Time,Down,Type,Yards,Details,Montreal,Hamilton
04:40,1,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for S.J. Green.,3,11
04:20,2,Pass,10,Jonathan Crompton pass to Duron Carter for 10 yards to the Ham27. Tackled by Ed Gainey.,3,11
03:15,1,Rush,4,Tyrell Sutton rush for 4 yards to the Ham23. Tackled by Simoni Lawrence.,3,11
02:58,2,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for Brandon London.,3,11
02:41,3,Missed Field Goal,30,Sean Whyte 30 yard field goal attempt is GOOD.,6,11
02:41,1,Pass,2,Zach Collaros pass to Samuel Giguere for 2 yards to the Ham37. Tackled by Jerald Brown.,6,11
02:28,2,Rush,5,Nic Grigsby rush for 5 yards to the Ham42. Tackled by Chip Cox.,6,11
02:11,3,Punt,2,Justin Medlock punts for 40 yards to Mtl28. Chris Rainey return for 2 yards to Mtl30. Tackled by Aaron Crawford.,6,11
01:45,1,Pass,9,Jonathan Crompton pass to Brandon London for 9 yards to the Mtl39. Tackled by Erik Harris.,6,11
01:40,2,Rush,2,Tanner Marsh rush for 2 yards to the Mtl41. Tackled by Justin Hickman.,6,11
01:21,1,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for Duron Carter.,6,11
01:01,2,Rush,2,Jonathan Crompton rush for 2 yards to the Mtl43. Tackled by Simoni Lawrence.,6,11
00:56,3,Punt,13,Sean Whyte punts for 46 yards to Ham21. Brandon Banks return for 13 yards to Ham34. Tackled by Kyle Norris.,6,11
00:28,1,Rush,15,Nic Grigsby rush for 15 yards to the Ham49. Tackled by Brian Brikowski.,6,11
00:05,1,Rush,1,Nic Grigsby rush for 1 yard to the Ham50. Tackled by Winston Venable.,6,11
15:00,0,Kickoff,2,Justin Medlock kicks off to the Mtl30. Chris Rainey return for 2 yards to Mtl32. Tackled by Craig Butler.,6,11
14:54,1,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for Duron Carter.,6,11
14:35,2,Pass,7,Jonathan Crompton pass to Chris Rainey for 7 yards to the Mtl39. Tackled by Craig Butler.,6,11
14:11,3,Punt,13,Sean Whyte punts for 50 yards to Ham21. Brandon Banks return for 13 yards to Ham34. Tackled by Mike Edem.,6,11
13:44,1,Pass,24,Zach Collaros pass to Bakari Grant for 24 yards to the Mtl52. Tackled by Jerald Brown.,6,11
12:58,0,Roughing Passer,15,Penalty: Roughing Passer on Montreal (Winston Venable) 15 yards.,6,11
12:41,1,Pass,-4,Zach Collaros pass to Brandon Banks for a loss of 4 yards to the Mtl41. Tackled by Kyries Hebert.,6,11
11:52,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Delone Carter.,6,11
11:34,0,Punt,0,Craig Butler recovered own teams punt. Justin Medlock punts for 17 yards to Mtl24. No return.,6,11
11:10,1,Rush,8,Nic Grigsby rush for 8 yards to the Mtl16. Tackled by Bear Woods.,6,11
10:33,2,Rush,0,Nic Grigsby rush for no gain to the Mtl16. Tackled by John Bowman.,6,11
09:35,3,Missed Field Goal,23,Justin Medlock 23 yard field goal attempt is GOOD.,6,14
09:35,1,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for S.J. Green.,6,14
09:27,2,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for Duron Carter.,6,14
08:55,3,Punt,11,Sean Whyte punts for 52 yards to Ham23. Brandon Banks return for 11 yards to Ham34. Tackled by James Tuck.,6,14
08:26,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Brandon Banks defensed by Billy Parker.,6,14
08:01,2,Pass,12,Zach Collaros pass to Luke Tasker for 12 yards to the Ham46. Tackled by Kyries Hebert.,6,14
07:20,1,Rush,6,Nic Grigsby rush for 6 yards to the Ham52. Tackled by Dominique Ellis.,6,14
06:35,2,Pass,6,Zach Collaros pass to Terrell Sinkfield for 6 yards to the Mtl52. Tackled by Dominique Ellis.,6,14
06:06,1,Pass,-3,Zach Collaros pass to Brandon Banks for a loss of 3 yards to the Ham55. Tackled by Billy Parker.,6,14
05:20,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Nic Grigsby.,6,14
