Time,Down,Type,Yards,Details,Calgary,Hamilton
07:20,2,Pass,6,Dan LeFevour pass to Brandon Banks for 6 yards to the Cgy48. Tackled by Jamar Wall.,10,7
06:20,3,Rush,2,Dan LeFevour rush for 2 yards to the Cgy46. Tackled by Freddie Bishop III.,10,7
05:37,1,Pass,6,Dan LeFevour pass to Greg Ellingson for 6 yards to the Cgy40. Tackled by Brandon Smith.,10,7
05:05,2,Incomplete Pass,0,Dan LeFevour incomplete pass intended for Samuel Giguere.,10,7
04:44,3,Missed Field Goal,33,43 yard field goal attempt by Justin Medlock is NO GOOD.  Missed field goal returned by Sederrik Cunningham to the Cgy30. Tackled by Luke Tasker.,10,7
04:20,1,Pass,74,Bo Levi Mitchell pass to Joe West for 74 yards to the Ham6. Tackled by Rico Murray.,10,7
03:10,1,Pass,6,Bo Levi Mitchell pass to Jeff Fuller for 6 yards for a TOUCHDOWN.,16,7
02:49,0,Made Extra Point,0,Rene Paredes extra point is good.,17,7
02:49,0,Kickoff,33,Rene Paredes kicks off to the Ham7. Brandon Banks return for 33 yards to Ham40. Tackled by Lin-J Shell.,17,7
02:42,1,Pass,14,Dan LeFevour pass to Greg Ellingson for 14 yards to the Ham54. Tackled by Deron Mayo.,17,7
02:34,1,Incomplete Pass,0,Dan LeFevour incomplete pass intended for Luke Tasker.,17,7
02:32,0,Holding,-10,Penalty: Holding on Hamilton (Marc Dile) -10 yards.,17,7
02:22,2,Pass,6,Dan LeFevour pass to Luke Tasker for 6 yards to the Ham50. Tackled by Keon Raymond.,17,7
02:13,3,Punt,16,Justin Medlock punts for 46 yards to Cgy14. Sederrik Cunningham return for 16 yards to Cgy30. Tackled by Frederic Plesius.,17,7
02:04,1,Pass,0,Bo Levi Mitchell pass to Marquay McDaniel for no gain to the Cgy30. Tackled by Brandon Stewart.,17,7
01:59,2,Pass,10,Bo Levi Mitchell pass to Joe West for 10 yards to the Cgy40. Tackled by Courtney Stephen.,17,7
01:34,3,Rush,1,Drew Tate rush for 1 yard to the Cgy41. Tackled by Brian Bulcke.,17,7
01:24,1,Pass,4,Bo Levi Mitchell pass to Anthony Parker for 4 yards to the Cgy45. Tackled by Brandon Stewart.,17,7
01:15,2,Pass,6,Bo Levi Mitchell pass to Joe West for 6 yards to the Cgy51. Tackled by Courtney Stephen.,17,7
01:10,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Joe West.,17,7
01:01,2,Pass,0,Bo Levi Mitchell pass to Brad Sinopoli for no gain to the Cgy51. Tackled by Michael Coe.,17,7
00:55,3,Punt,20,Rob Maver punts for 53 yards to Ham6. Brandon Banks return for 20 yards to Ham26. Tackled by Jamar Wall.,17,7
00:43,1,Rush,14,Mossis Madu rush for 14 yards to the Ham40. Tackled by Deron Mayo.,17,7
00:36,1,Pass,17,Dan LeFevour pass to Andy Fantuz for 17 yards to the Cgy53. Tackled by Josh Bell.,17,7
00:27,1,Incomplete Pass,0,Dan LeFevour incomplete pass intended for Andy Fantuz defensed by Juwan Simpson.,17,7
00:17,2,Incomplete Pass,0,Dan LeFevour incomplete pass intended for Andy Fantuz defensed by Keon Raymond.,17,7
00:13,3,Punt,6,Justin Medlock punts for 47 yards to Cgy6. Sederrik Cunningham return for 6 yards to Cgy12. Tackled by Arnaud Gascon-Nadon.,17,7
15:00,0,Kickoff,25,Justin Medlock kicks off to the Cgy12. Sederrik Cunningham return for 25 yards to Cgy37. Tackled by Brandon Stewart.,17,7
14:52,1,Rush,1,Hugh Charles rush for 1 yard to the Cgy38. Tackled by Frederic Plesius.,17,7
14:12,2,Offside,-5,Penalty: Offside on Calgary (Simon Charbonneau-Campeau) -5 yards.,17,7
13:48,2,Pass,22,Bo Levi Mitchell pass to Simon Charbonneau-Campeau for 22 yards to the Cgy55. Tackled by Michael Coe.,17,7
