Time,Down,Type,Yards,Details,Hamilton,Toronto
15:00,0,Kickoff,12,Toronto kicks off.   return for 12 yards to Ham20.,0,0
14:20,0,Intentional Grounding,-17,Penalty: Intentional Grounding on Hamilton -17 yards.,0,2
13:44,0,Kickoff,23,Hamilton kicks off.   return for 23 yards to Tor48.,0,2
13:12,2,Pass,10,pass to the Ham46.,0,2
12:35,1,Pass,1,pass to the Ham45.,0,2
12:15,2,Pass,32,pass to the Ham13.,0,2
10:52,2,Sack,-12,Sack at Ham29 for no gain Recovered by Tor ( ),0,2
10:01,3,Missed Field Goal,36,36 yard field goal attempt is GOOD.,0,5
09:43,1,Sack,-1,Sack at Ham44 for a loss of 1 yard.,0,5
09:08,2,Incomplete Pass,0,incomplete pass.,0,5
08:45,3,Punt,12,punts for 50 yards to Tor16.   return for 12 yards to Tor28.,0,5
08:24,1,Pass,10,pass to the Tor38.,0,5
07:01,0,Pass Interference,23,Penalty: Pass Interference on Hamilton 23 yards.,0,5
06:24,1,Pass,18,pass to the Ham20.,0,5
05:57,1,Pass,5,pass to the Ham15.,0,5
05:22,2,Incomplete Pass,0,incomplete pass.,0,5
04:39,3,Missed Field Goal,22,22 yard field goal attempt is GOOD.,0,8
04:39,1,Incomplete Pass,0,incomplete pass.,0,8
04:25,2,Incomplete Pass,0,incomplete pass.,0,8
04:05,3,Punt,9,punts for 44 yards to Tor31.   return for 9 yards to Tor40.,0,8
03:34,2,Pass,13,pass to the Ham54.,0,8
02:54,1,Face Mask,22,Penalty: Face Mask on Hamilton 15 yards,0,8
02:26,1,Incomplete Pass,0,incomplete pass.,0,8
02:10,0,Illegal Contact,10,Penalty: Illegal Contact on Hamilton 10 yards.,0,8
01:30,0,Illegal Block,-10,Penalty: Illegal Block on Toronto -10 yards.,0,8
01:04,1,Pass,10,pass to the Ham22.,0,8
00:00,2,Pass,22,pass for a TOUCHDOWN.,0,14
00:00,0,Made Extra Point,0,extra point is good.,0,15
15:00,0,Kickoff,24,Toronto kicks off.   return for 24 yards to Ham36.,0,15
14:53,1,Sack,-2,Sack at Ham34 for a loss of 2 yards.,0,15
14:26,2,Sack,-17,Sack at Ham17 for a loss of 17 yards.,0,15
13:44,3,Punt,4,punts for 44 yards to Tor49.   return for 4 yards to Tor53.,0,15
13:10,1,Pass,3,pass to the Ham54.,0,15
12:13,0,Holding,-10,Penalty: Holding on Toronto -10 yards.,0,15
11:40,1,Incomplete Pass,0,incomplete pass.,0,15
11:18,2,Interception,0,pass INTERCEPTED. No return.,0,15
10:53,1,Illegal Procedure,-5,Penalty: Illegal Procedure on Hamilton -5 yards.,0,15
10:35,1,Pass,8,pass to the Ham43.,0,15
09:46,3,Punt,-6,punts for 43 yards to Tor24.   return for a loss of 6 yards to Tor18.,0,15
08:56,2,Pass,11,pass to the Tor27.,0,15
08:20,3,Punt,2,punts for 53 yards to Ham30.   return for 2 yards to Ham32.,0,15
08:05,1,Pass,11,pass to the Ham43.,0,15
07:46,0,Pass Interference,17,Penalty: Pass Interference on Toronto 17 yards.,0,15
07:04,1,Pass,50,pass for a TOUCHDOWN.,6,15
06:50,0,Made Extra Point,0,extra point is good.,7,15
06:50,0,Kickoff,30,Hamilton kicks off.   return for 30 yards to Tor38.,7,15
06:42,1,Roughing Passer,31,pass to the Tor54. Penalty: Roughing Passer on Hamilton 15 yards.,7,15
06:20,0,Holding,-10,Penalty: Holding on Toronto -10 yards.,7,15
05:52,1,Time Count,-5,Penalty: Time Count on Toronto -5 yards.,7,15
05:29,1,Fumble,12,"pass to the Ham44. FUMBLE, recovered by Ham ( ).",7,15
05:19,1,Pass,7,pass to the Ham51.,7,15
05:01,2,Pass,11,pass to the Tor48.,7,15
03:50,2,Incomplete Pass,0,incomplete pass.,7,15
03:24,3,Punt,4,punts for 44 yards to Tor5.   return for 4 yards to Tor9.,7,15
03:10,0,Illegal Block,10,Penalty: Illegal Block on Hamilton 10 yards.,7,15
02:21,1,Incomplete Pass,0,incomplete pass.,7,15
02:00,2,Incomplete Pass,0,incomplete pass.,7,15
01:55,3,Punt,-1,punts for 57 yards to Ham20.   return for a loss of 1 yard to Ham19.,7,15
01:43,1,Incomplete Pass,0,incomplete pass.,7,15
01:38,2,Pass,7,pass to the Ham26.,7,15
01:32,3,Punt,7,punts for 38 yards to Tor46.   return for 7 yards to Tor53.,7,15
01:17,1,Incomplete Pass,0,incomplete pass.,7,15
01:13,0,Holding,-10,Penalty: Holding on Toronto -10 yards.,7,15
00:58,3,Punt,18,punts for 56 yards to Ham12.   return for 18 yards to Ham30.,7,15
15:00,0,Kickoff OOB,30,Hamilton kicks off. Penalty: Kickoff OOB on Hamilton -22 yards.,7,15
14:54,1,Incomplete Pass,0,incomplete pass.,7,15
14:27,2,Pass,45,pass to the Ham20.,7,15
13:53,1,Pass,-1,pass to the Ham21.,7,15
13:15,2,Fumble,1,"pass to the Ham25. FUMBLE, recovered by Ham ( ) and returned for 5 yards.",7,15
12:26,1,Incomplete Pass,0,incomplete pass.,7,15
12:13,2,Pass,23,pass to the Ham53.,7,15
11:30,1,Incomplete Pass,0,incomplete pass.,7,15
11:02,2,Pass,14,pass to the Tor43.,7,15
10:11,1,Pass,43,pass for a TOUCHDOWN.,13,15
09:55,0,Made Extra Point,0,extra point is good.,14,15
09:55,0,Kickoff,37,Hamilton kicks off.   return for 37 yards to Tor46.,14,15
09:18,2,Pass,10,pass to the Ham48.,14,15
08:48,1,Pass,3,pass to the Ham45.,14,15
08:01,2,Incomplete Pass,0,incomplete pass.,14,15
07:30,3,Illegal Procedure,-5,Penalty: Illegal Procedure on Toronto -5 yards.,14,15
07:18,3,Punt,-8,punts for 41 yards to Ham9.   return for a loss of 8 yards to Ham1.,14,15
07:00,1,Pass,13,pass to the Ham14.,14,15
06:44,1,Pass,8,pass to the Ham22.,14,15
05:39,1,Pass,16,pass to the Ham44.,14,15
05:11,1,Pass,3,pass to the Ham47.,14,15
04:40,2,Pass,15,pass to the Tor48.,14,15
03:12,2,Pass,20,pass to the Tor27.,14,15
02:56,1,Pass,0,pass to the Tor27.,14,15
01:52,2,Pass,27,pass for a TOUCHDOWN.,20,15
01:34,0,Made Extra Point,0,extra point is good.,21,15
01:34,0,Kickoff,29,Hamilton kicks off.   return for 29 yards to Tor40.,21,15
00:57,1,Incomplete Pass,0,incomplete pass.,21,15
00:19,2,Fumble,12,FUMBLE Recovered by Ham ( ),21,15
15:00,1,Pass,7,pass to the Ham42.,21,15
14:43,2,Interception,0,pass INTERCEPTED. No return.,21,15
14:09,1,Pass,0,pass to the Tor54.,21,15
13:30,2,Pass,32,pass to the Ham24.,21,15
12:32,2,Incomplete Pass,0,incomplete pass.,21,15
11:46,3,Missed Field Goal,29,29 yard field goal attempt is GOOD.,21,18
11:28,2,Pass,7,pass to the Ham40.,21,18
10:38,3,Punt,22,punts for 37 yards to Tor33.   return for 22 yards to Tor55.,21,18
08:51,1,Pass,30,pass to the Ham15.,21,18
08:01,1,Pass,12,pass to the Ham3.,21,18
07:01,1,Incomplete Pass,0,incomplete pass.,21,18
06:36,2,Pass,2,pass to the Ham1.,21,18
06:06,3,Offside,0,Penalty: Offside on Hamilton 0 yards.,21,18
05:26,1,Unnecessary Roughness,-14,for a TOUCHDOWN Penalty: Unnecessary Roughness on Toronto -15 yards,21,24
04:56,0,Made Extra Point,0,extra point is good.,21,25
04:56,0,Kickoff,22,Toronto kicks off.   return for 22 yards to Ham40.,21,25
04:48,1,Pass,12,pass to the Ham52.,21,25
04:24,1,Pass,3,pass to the Ham55.,21,25
03:45,2,Pass,5,pass to the Tor50.,21,25
03:02,3,Pass,12,pass to the Tor38.,21,25
02:56,1,Incomplete Pass,0,incomplete pass.,21,25
02:41,2,Incomplete Pass,0,incomplete pass.,21,25
02:31,3,Missed Field Goal,45,45 yard field goal attempt is GOOD.,24,25
02:25,2,Pass,31,pass to the Ham41.,24,25
00:21,3,Field Goal Single,45,45 yard field goal attempt by   is NO GOOD (Single).,24,26
