Time,Down,Type,Yards,Details,Toronto,Hamilton
15:00,0,Kickoff,16,"Justin Medlock kicks off to the Tor10. Trent Guy return for 16 yards to Tor26., recovered by Ham (Frederic Plesius). Tackled by Vincent Agnew.",0,0
14:50,1,Rush,5,Mossis Madu rush for 5 yards to the Tor21. Tackled by Gregory Jones.,0,0
14:30,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Bakari Grant.,0,0
13:35,3,Missed Field Goal,29,Justin Medlock 29 yard field goal attempt is GOOD.,0,3
13:35,0,Kickoff,18,Justin Medlock kicks off to the Tor12. Trent Guy return for 18 yards to Tor30. Tackled by Erik Harris.,0,3
13:28,1,Rush,10,Steve Slaton rush for 10 yards to the Tor40. Tackled by Brandon Stewart.,0,3
13:01,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Jason Barnes defensed by Antonio Coleman.,0,3
12:25,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Natey Adjei.,0,3
11:36,3,Punt Single,7,Swayze Waters punts for 80 yards to Ham0. Cary Koch return for 7 yards to Ham0. Tackled by Shane Horton (Single).,1,3
11:36,1,Pass,10,Zach Collaros pass to Andy Fantuz for 10 yards to the Ham45. Tackled by Branden Smith.,1,3
11:17,2,Rush,1,Jeremiah Masoli rush for 1 yard to the Ham46. Tackled by Tristan Okpalaugo.,1,3
10:39,1,Rush,4,Mossis Madu rush for 4 yards to the Ham50. Tackled by Shane Horton.,1,3
10:01,2,Pass,11,Zach Collaros pass to Greg Ellingson for 11 yards to the Tor49. Tackled by Donald Washington.,1,3
09:23,1,Pass,38,Zach Collaros pass to Luke Tasker for 38 yards to the Tor11. Tackled by  .,1,3
08:55,1,Rush,2,Mossis Madu rush for 2 yards to the Tor9. Tackled by Tristan Okpalaugo.,1,3
07:54,2,Pass,9,Zach Collaros pass to Bakari Grant for 9 yards for a TOUCHDOWN.,1,9
07:37,0,Made Extra Point,0,Justin Medlock extra point is good.,1,10
07:37,0,Kickoff,24,Justin Medlock kicks off to the Tor18. LaVon Brazill return for 24 yards to Tor42. Tackled by Mike Daly.,1,10
07:31,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Curtis Steele.,1,10
07:12,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Jason Barnes defensed by Erik Harris.,1,10
06:48,3,Illegal Procedure,-5,Penalty: Illegal Procedure on Toronto (Ivan Brown) -5 yards.,1,10
06:41,3,Holding,71,Swayze Waters punts for 69 yards to Ham4. Penalty: Holding on Hamilton (Beau Landry) 2 yards.,1,10
06:21,1,Rush,6,Mossis Madu rush for 6 yards to the Ham8. Tackled by  .,1,10
05:45,2,Rush,5,Mossis Madu rush for 5 yards to the Ham13. Tackled by Gregory Jones.,1,10
05:22,1,Pass,7,Zach Collaros pass to Andy Fantuz for 7 yards to the Ham20. Tackled by Donald Washington.,1,10
04:41,2,Offside,-5,Penalty: Offside on Hamilton (Luke Tasker) -5 yards.,1,10
04:21,2,Pass,5,Zach Collaros pass to Bakari Grant for 5 yards to the Ham20. Tackled by  .,1,10
04:05,3,No Yards,21,Justin Medlock punts for 36 yards to Tor54. Penalty: No Yards on Hamilton (Brandon Stewart) -15 yards.,1,10
03:38,1,Pass,-6,Ricky Ray pass to Steve Slaton for a loss of 6 yards to the Ham47. Tackled by Simoni Lawrence.,1,10
03:03,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Jason Barnes.,1,10
