Time,Down,Type,Yards,Details,Hamilton,Edmonton
08:07,1,Pass,12,Zach Collaros pass to Brandon Banks for 12 yards to the Ham47. Tackled by Joe Burnett.,7,10
07:44,1,Incomplete Pass,0,Jeremiah Masoli incomplete pass intended for Cary Koch defensed by Patrick Watkins.,7,10
07:18,2,Sack,-2,Sack at Ham45 for no gain by Odell Willis,7,10
06:40,3,Punt,7,Justin Medlock punts for 42 yards to Edm23. Patrick Robertson return for 7 yards to Edm30. Tackled by Marc Beswick.,7,10
06:28,1,Pass,5,Mike Reilly pass to Nate Coehoorn for 5 yards to the Edm35. Tackled by Michael Coe.,7,10
05:46,2,Time Count,-5,Penalty: Time Count on Edmonton (Mike Reilly) -5 yards.,7,10
05:30,2,Unnecessary Roughness,-17,Penalty: Illegal Procedure on Edmonton (Tony Washington) -5 yards. Penalty: Unnecessary Roughness on Edmonton (Adarius Bowman) -12 yards.,7,10
05:29,2,Pass,3,Mike Reilly pass to Shamawd Chambers for 3 yards to the Edm16. Tackled by Michael Coe.,7,10
05:13,3,Punt,10,Grant Shaw punts for 44 yards to Ham50. Brandon Banks return for 10 yards to Edm50. Tackled by Dexter McCoil.,7,10
05:03,1,Rush,13,C.J. Gable rush for 13 yards to the Edm37. Tackled by Patrick Watkins.,7,10
04:33,1,Face Mask,20,Dan LeFevour pass to C.J. Gable for 5 yards to the Edm32. Tackled by Marcell Young. Penalty: Face Mask on Edmonton (Odell Willis) 15 yards.,7,10
03:47,1,Rush,5,Dan LeFevour rush for 5 yards to the Edm12. Tackled by Marcell Young.,7,10
02:57,2,Rush,-3,Brandon Banks rush for a loss of 3 yards to the Edm15. Tackled by Almondo Sewell.,7,10
02:30,3,Missed Field Goal,22,Justin Medlock 22 yard field goal attempt is GOOD.,10,10
02:30,1,Pass,2,Mike Reilly pass to Tyler Thomas for 2 yards to the Edm37. Tackled by Simoni Lawrence.,10,10
02:22,2,Sack,-1,Sack at Edm36 for a loss of 1 yard by Simoni Lawrence.,10,10
01:54,3,Punt,0,Grant Shaw punts for 46 yards to Ham28. Brandon Banks return for no gain to Ham28. Tackled by Nathan Kanya.,10,10
01:36,1,Incomplete Pass,0,Jeremiah Masoli incomplete pass intended for Matt Coates defensed by Aaron Grymes.,10,10
01:30,2,Incomplete Pass,0,Jeremiah Masoli incomplete pass intended for Luke Tasker defensed by Willie Jefferson.,10,10
01:27,3,Punt,2,Justin Medlock punts for 44 yards to Edm38. Patrick Robertson return for 2 yards to Edm40. Tackled by Marc Beswick.,10,10
01:16,1,Pass,7,Mike Reilly pass to Fred Stamps for 7 yards to the Edm47. Tackled by Emanuel Davis.,10,10
01:11,2,Pass,8,Mike Reilly pass to Nate Coehoorn for 8 yards to the Edm55. Tackled by Michael Coe.,10,10
00:40,1,Interception,3,Mike Reilly pass INTERCEPTED and returned for 3 yards. Tackled by Fred Stamps.,10,10
15:00,0,Kickoff,15,Justin Medlock kicks off to the Edm2. Joe Burnett return for 15 yards to Edm17. Tackled by Beau Landry.,10,10
14:54,1,Pass,6,Mike Reilly pass to A.J. Guyton for 6 yards to the Edm23. Tackled by Simoni Lawrence.,10,10
14:32,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for A.J. Guyton.,10,10
14:16,3,Punt,-1,Grant Shaw punts for 44 yards to Ham43. Brandon Banks return for a loss of 1 yard to Ham42. Tackled by Mike Miller.,10,10
14:02,1,Pass,46,Jeremiah Masoli pass to Cary Koch for 46 yards to the Edm22. Tackled by Chris Rwabukamba.,10,10
13:02,1,Incomplete Pass,0,Jeremiah Masoli incomplete pass intended for Samuel Giguere.,10,10
12:51,2,Pass,15,Jeremiah Masoli pass to Matt Coates for 15 yards to the Edm7. Tackled by Aaron Grymes.,10,10
11:46,1,Rush,7,C.J. Gable rush for 7 yards for a TOUCHDOWN.,16,10
11:25,0,Made Extra Point,0,Justin Medlock extra point is good.,17,10
11:25,0,Kickoff,21,Justin Medlock kicks off to the Edm3. Patrick Robertson return for 21 yards to Edm24. Tackled by Kyle Miller.,17,10
11:20,1,Rush,8,Tyler Thomas rush for 8 yards to the Edm32. Tackled by Brandon Stewart.,17,10
10:30,2,Rush,3,Tyler Thomas rush for 3 yards to the Edm35. Tackled by Simoni Lawrence.,17,10
10:01,0,Pass Interference,24,Penalty: Pass Interference on Hamilton (Brandon Stewart) 24 yards.,17,10
09:32,1,Rush,1,Tyler Thomas rush for 1 yard to the Ham50. Tackled by Arnaud Gascon-Nadon.,17,10
09:01,2,Pass,21,Mike Reilly pass to Shamawd Chambers for 21 yards to the Ham29. Tackled by Frederic Plesius.,17,10
08:20,1,Pass,2,Mike Reilly pass to A.J. Guyton for 2 yards to the Ham27. Tackled by Craig Butler.,17,10
07:54,2,Pass,7,Mike Reilly pass to Nate Coehoorn for 7 yards to the Ham20. Tackled by Michael Coe.,17,10
07:16,3,Illegal Procedure,-5,Penalty: Illegal Procedure on Edmonton -5 yards.,17,10
06:55,3,Missed Field Goal,32,Grant Shaw 32 yard field goal attempt is GOOD.,17,13
06:55,1,Incomplete Pass,0,Jeremiah Masoli incomplete pass intended for Bakari Grant.,17,13
06:29,2,Incomplete Pass,0,Jeremiah Masoli incomplete pass intended for Samuel Giguere.,17,13
06:13,3,Illegal Block,58,Justin Medlock punts for 48 yards to Edm27. Penalty: Illegal Block on Edmonton (Mike Miller) 10 yards.,17,13
06:01,1,Rush,20,Mike Reilly rush for 20 yards to the Edm37.,17,13
05:27,1,Pass,5,Mike Reilly pass to A.J. Guyton for 5 yards to the Edm42. Tackled by Frederic Plesius.,17,13
04:40,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Adarius Bowman.,17,13
04:30,3,Punt,2,Grant Shaw punts for 51 yards to Ham17. Brandon Banks return for 2 yards to Ham19. Tackled by Mike Miller.,17,13
04:13,1,Rush,4,C.J. Gable rush for 4 yards to the Ham23. Tackled by J.C. Sherritt.,17,13
03:38,2,Rush,25,Jeremiah Masoli rush for 25 yards to the Ham48. Tackled by Chris Rwabukamba.,17,13
02:48,1,Incomplete Pass,0,Jeremiah Masoli incomplete pass intended for Bakari Grant.,17,13
02:37,2,Incomplete Pass,0,Jeremiah Masoli incomplete pass intended for Luke Tasker.,17,13
02:11,3,Punt,8,Justin Medlock punts for 46 yards to Edm16. Patrick Robertson return for 8 yards to Edm24. Tackled by Beau Landry.,17,13
01:57,1,Rush,4,Tyler Thomas rush for 4 yards to the Edm28. Tackled by Arnaud Gascon-Nadon.,17,13
01:22,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for A.J. Guyton.,17,13
