Time,Down,Type,Yards,Details,Calgary,Edmonton
15:00,0,Kickoff,27,Rene Paredes kicks off to the Edm13. Tyler Thomas return for 27 yards to Edm40. Tackled by Adam Berger.,0,0
14:53,1,Rush,1,Kendial Lawrence rush for 1 yard to the Edm41. Tackled by Deron Mayo.,0,0
14:20,2,Incomplete Pass,0,Matt Nichols incomplete pass intended for Adarius Bowman.,0,0
14:02,3,No Yards,34,punts for 49 yards to Cgy20. Penalty: No Yards on Edmonton (Deon Lacey) -15 yards.,0,0
13:43,1,Pass,11,Bo Levi Mitchell pass to Simon Charbonneau-Campeau for 11 yards to the Cgy46. Tackled by Aaron Grymes.,0,0
13:00,1,Rush,6,Anthony Parker rush for 6 yards to the Cgy52. Tackled by Chris Rwabukamba.,0,0
12:28,2,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Marquay McDaniel.,0,0
12:06,3,Punt,7,Rob Maver punts for 51 yards to Edm7. Kendial Lawrence return for 7 yards to Edm14. Tackled by Karl McCartney.,0,0
11:48,1,Incomplete Pass,0,Matt Nichols incomplete pass intended for Adarius Bowman.,0,0
11:38,2,Pass,17,Matt Nichols pass to Adarius Bowman for 17 yards to the Edm31. Tackled by Brandon Smith.,0,0
11:01,1,Rush,17,Pat White rush for 17 yards to the Edm48. Tackled by Buddy Jackson.,0,0
10:23,1,Pass,11,Pat White pass to Adarius Bowman for 11 yards to the Cgy51. Tackled by Josh Bell.,0,0
10:04,1,Rush,2,Calvin McCarty rush for 2 yards to the Cgy49. Tackled by Juwan Simpson.,0,0
09:39,2,Pass,5,Matt Nichols pass to   for 5 yards to the Cgy44. Tackled by Jamar Wall.,0,0
09:09,0,Fumble,-17,FUMBLE  Recovered by Edm (Kendial Lawrence),0,0
08:42,1,Rush,5,Jon Cornish rush for 5 yards to the Edm44. Tackled by Almondo Sewell.,0,0
08:02,2,Rush,10,Jon Cornish rush for 10 yards to the Edm34. Tackled by Cameron Sheffield.,0,0
07:26,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Jon Cornish.,0,0
07:02,2,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Marquay McDaniel defensed by Aaron Grymes.,0,0
06:20,3,Missed Field Goal,41,Rene Paredes 41 yard field goal attempt is GOOD.,3,0
06:20,0,Kickoff,20,Rene Paredes kicks off to the Edm7. Tyler Thomas return for 20 yards to Edm27. Tackled by Glenn Love.,3,0
06:14,1,Sack,-10,Sack at Edm17 for a loss of 10 yards by Shawn Lemon.,3,0
05:38,2,Pass,-2,Matt Nichols pass to   for a loss of 2 yards to the Edm15. Tackled by Keon Raymond.,3,0
05:01,3,Punt,15,punts for 51 yards to Cgy44. Jock Sanders return for 15 yards to Edm51. Tackled by Rennie Curran.,3,0
04:28,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Nik Lewis.,3,0
04:07,2,Pass,6,Bo Levi Mitchell pass to Anthony Parker for 6 yards to the Edm45. Tackled by Dexter McCoil.,3,0
03:24,3,Punt,0,Rob Maver punts for 31 yards to Edm14. No return.,3,0
02:58,1,Pass,4,Matt Nichols pass to Adarius Bowman for 4 yards to the Edm18. Tackled by Fred Bennett.,3,0
02:40,2,Pass,7,Matt Nichols pass to Adarius Bowman for 7 yards to the Edm25. Tackled by Brandon Smith.,3,0
02:02,0,Illegal Substitution,-10,Penalty: Illegal Substitution on Edmonton -10 yards.,3,0
01:58,1,Pass,4,Matt Nichols pass to Selvish Capers for 4 yards to the Edm19. Tackled by Juwan Simpson.,3,0
01:10,2,Pass,-1,Matt Nichols pass to Kendial Lawrence for a loss of 1 yard to the Edm18. Tackled by Buddy Jackson.,3,0
00:35,3,Punt,1,punts for 53 yards to Cgy39. Jock Sanders return for 1 yard to Cgy40. Tackled by Ryan King.,3,0
00:10,1,Rush,5,Jon Cornish rush for 5 yards to the Cgy45. Tackled by J.C. Sherritt.,3,0
15:00,2,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Anthony Parker defensed by Gregory Alexandre.,3,0
14:40,3,Punt,6,Rob Maver punts for 51 yards to Edm14. Kendial Lawrence return for 6 yards to Edm20. Tackled by Karl McCartney.,3,0
14:23,1,Pass,12,Matt Nichols pass to Shamawd Chambers for 12 yards to the Edm32.,3,0
14:06,1,Rush,11,Tyler Thomas rush for 11 yards to the Edm43. Tackled by Josh Bell.,3,0
13:34,1,Incomplete Pass,0,Matt Nichols incomplete pass intended for Kendial Lawrence.,3,0
13:14,2,Incomplete Pass,0,Matt Nichols incomplete pass intended for  .,3,0
12:58,3,Punt,9,punts for 42 yards to Cgy25. Jock Sanders return for 9 yards to Cgy34. Tackled by Corbin Sharun.,3,0
12:35,1,Rush,1,Jon Cornish rush for 1 yard to the Cgy35. Tackled by Marcell Young.,3,0
11:51,2,Sack,-5,Sack at Cgy30 for a loss of 5 yards by Cameron Sheffield.,3,0
11:08,3,Holding,42,Rob Maver punts for 32 yards to Edm48. Penalty: Holding on Edmonton (Deon Lacey) 10 yards.,3,0
10:52,1,Incomplete Pass,0,Matt Nichols incomplete pass intended for Adarius Bowman.,3,0
10:47,0,Holding,-10,Penalty: Holding on Edmonton (Justin Sorensen) -10 yards.,3,0
10:24,2,Pass,26,Matt Nichols pass to A.J. Guyton for 26 yards to the Edm54. Tackled by Brandon Smith.,3,0
09:44,1,Pass,30,Matt Nichols pass to Adarius Bowman for 30 yards to the Cgy26. Tackled by Jamar Wall.,3,0
09:00,1,Incomplete Pass,0,Matt Nichols incomplete pass intended for Adarius Bowman defensed by Jamar Wall.,3,0
08:12,2,Pass,26,Matt Nichols pass to A.J. Guyton for 26 yards for a TOUCHDOWN.,3,6
08:02,0,Made Extra Point,0,extra point is good.,3,7
08:02,0,Illegal Interference,31,kicks off to the Cgy19. Sederrik Cunningham return for 21 yards to Cgy40. Tackled by Deon Lacey. Penalty: Illegal Interference on Edmonton (Nate Coehoorn) 10 yards.,3,7
07:55,1,Pass,8,Bo Levi Mitchell pass to Sederrik Cunningham for 8 yards to the Edm52. Tackled by Patrick Watkins.,3,7
07:11,2,Rush,2,Bo Levi Mitchell rush for 2 yards to the Edm50. Tackled by Patrick Watkins.,3,7
06:59,3,Rush,1,Drew Tate rush for 1 yard to the Edm49. Tackled by Rennie Curran.,3,7
06:30,1,Face Mask,19,Jon Cornish rush for 4 yards to the Edm45. Tackled by Dexter McCoil. Penalty: Face Mask on Edmonton (Gregory Alexandre) 15 yards.,3,7
05:37,1,Pass,30,Bo Levi Mitchell pass to Simon Charbonneau-Campeau for 30 yards for a TOUCHDOWN.,9,7
05:23,0,Made Extra Point,0,Rene Paredes extra point is good.,10,7
05:23,0,Kickoff,31,Rene Paredes kicks off to the Edm5. Tyler Thomas return for 31 yards to Edm36. Tackled by Lin-J Shell.,10,7
05:15,1,Rush,2,Matt Nichols rush for 2 yards to the Edm38. Tackled by Deron Mayo.,10,7
04:43,2,Incomplete Pass,0,Matt Nichols incomplete pass intended for Shamawd Chambers defensed by Jamar Wall.,10,7
04:23,3,No Yards,21,punts for 26 yards to Cgy46. Penalty: No Yards on Edmonton (Eric Samuels) -5 yards.,10,7
04:03,1,Rush,7,Jon Cornish rush for 7 yards to the Edm52. Tackled by Almondo Sewell.,10,7
03:23,2,Rush,13,Jon Cornish rush for 13 yards to the Edm39. Tackled by Dexter McCoil.,10,7
