Time,Down,Type,Yards,Details,Ottawa,Edmonton
05:35,1,Pass,0,Mike Reilly pass to A.J. Guyton for no gain to the Ott43. Tackled by Brandyn Thompson.,7,1
04:54,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Fred Stamps defensed by Brandyn Thompson.,7,1
04:34,3,Punt,0,Grant Shaw punts for 31 yards to Ott12. No return.,7,1
04:17,1,Rush,5,Chevon Walker rush for 5 yards to the Ott17. Tackled by Dexter McCoil.,7,1
03:43,0,Roughing Passer,15,Penalty: Roughing Passer on Edmonton (Dexter McCoil) 15 yards.,7,1
03:21,1,Rush,-2,Chevon Walker rush for a loss of 2 yards to the Ott30. Tackled by Rennie Curran.,7,1
03:00,2,Pass,17,Henry Burris pass to Marcus Henry for 17 yards to the Ott47. Tackled by Aaron Grymes.,7,1
02:40,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Marcus Henry.,7,1
02:27,2,Rush,6,Henry Burris rush for 6 yards to the Ott53. Tackled by Almondo Sewell.,7,1
02:18,3,No Yards,35,Brett Maher punts for 40 yards to Edm17. Penalty: No Yards on Ottawa (Eric Fraser) -5 yards.,7,1
02:08,1,Pass,3,Mike Reilly pass to John White for 3 yards to the Edm25. Tackled by T.J. Hill.,7,1
02:02,2,Rush,9,Mike Reilly rush for 9 yards to the Edm34. Tackled by Jerrell Gavins.,7,1
01:34,1,Pass,34,Mike Reilly pass to Adarius Bowman for 34 yards to the Ott42. Tackled by T.J. Hill.,7,1
01:27,1,Roughing Passer,10,Penalty: Offside on Edmonton (Adarius Bowman) -5 yards. Penalty: Roughing Passer on Ottawa (Brandon Lang) 15 yards.,7,1
00:59,1,Pass,12,Mike Reilly pass to Devon Bailey for 12 yards to the Ott20. Tackled by Jovon Johnson.,7,1
00:50,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Akeem Foster.,7,1
00:28,2,Pass,4,Mike Reilly pass to John White for 4 yards to the Ott16. Tackled by Jerrell Gavins.,7,1
00:00,3,Field Goal Single,36,36 yard field goal attempt by Grant Shaw is NO GOOD (Single).,7,2
15:00,0,Kickoff,26,Brett Maher kicks off to the Edm7. Jamal Miles return for 26 yards to Edm33.,7,2
14:54,1,Pass,31,Mike Reilly pass to Nate Coehoorn for 31 yards to the Ott46. Tackled by Brandyn Thompson.,7,2
14:10,1,Pass,5,Mike Reilly pass to Adarius Bowman for 5 yards to the Ott41. Tackled by T.J. Hill.,7,2
13:38,2,Roughing Passer,56,Mike Reilly pass to Adarius Bowman for 41 yards for a TOUCHDOWN. Penalty: Roughing Passer on Ottawa (T.J. Hill) 15 yards.,7,8
13:02,0,Made Extra Point,0,Grant Shaw extra point is good.,7,9
13:00,0,Kick Off Single,74,Grant Shaw kicks off to the Ott0 (Single).,7,10
13:00,0,Holding,-10,Penalty: Holding on Ottawa (Matthew Albright) -10 yards.,7,10
12:41,1,Pass,4,Henry Burris pass to Marcus Henry for 4 yards to the Ott29. Tackled by Chris Rwabukamba.,7,10
12:05,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Marcus Henry.,7,10
11:43,3,Punt,0,Brett Maher punts for 43 yards to Edm38. No return.,7,10
11:30,1,Rush,7,John White rush for 7 yards to the Edm45. Tackled by Travis Brown.,7,10
11:05,2,Rush,3,John White rush for 3 yards to the Edm48. Tackled by Keith Shologan.,7,10
10:29,1,Offside,5,Penalty: Offside on Ottawa (Brandon Lang) 5 yards.,7,10
09:55,1,Rush,2,John White rush for 2 yards to the Edm55. Tackled by Travis Brown.,7,10
09:25,2,Pass,23,Mike Reilly pass to John White for 23 yards to the Ott32. Tackled by Travis Brown.,7,10
08:59,1,Sack,-11,Sack at Ott43 for a loss of 11 yards by Zack Evans.,7,10
08:32,2,Sack,-2,Sack at Ott45 for a loss of 2 yards by Jerrell Gavins.,7,10
07:56,3,Punt Single,0,Grant Shaw punts for 47 yards to Ott0. No return (Single).,7,11
