Time,Down,Type,Yards,Details,Calgary,Edmonton
08:43,3,Offside,5,Penalty: Offside on Edmonton (Odell Willis) 5 yards.,10,10
08:22,0,Holding,-10,Penalty: Holding on Calgary (Dan Federkeil) -10 yards.,10,10
08:07,0,Holding,-10,Penalty: Holding on Calgary (Dan Federkeil) -10 yards.,10,10
07:47,1,Pass,-3,Bo Levi Mitchell pass to Marquay McDaniel for a loss of 3 yards to the Cgy35. Tackled by Aaron Grymes.,10,10
07:02,2,Pass,5,Bo Levi Mitchell pass to Brad Sinopoli for 5 yards to the Cgy40. Tackled by Joe Burnett.,10,10
06:30,3,Punt,5,Rob Maver punts for 45 yards to Edm25. Jamal Miles return for 5 yards to Edm30. Tackled by Yannick Carter.,10,10
06:07,1,Rush,3,John White rush for 3 yards to the Edm33. Tackled by Micah Johnson.,10,10
05:32,2,Interception,10,Mike Reilly pass intended for A.J. Guyton INTERCEPTED and returned for 10 yards. Tackled by Matthew O'Donnell.,10,10
05:05,1,Rush,5,Jock Sanders rush for 5 yards to the Edm40. Tackled by Aaron Grymes.,10,10
04:33,2,Rush,6,Bo Levi Mitchell rush for 6 yards to the Edm34. Tackled by Dexter McCoil.,10,10
03:45,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Marquay McDaniel defensed by Aaron Grymes.,10,10
03:28,2,Pass,5,Bo Levi Mitchell pass to Brad Sinopoli for 5 yards to the Edm29. Tackled by Eric Samuels.,10,10
02:50,3,Missed Field Goal,36,Rene Paredes 36 yard field goal attempt is GOOD.,13,10
02:50,0,Kickoff,13,Rene Paredes kicks off to the Edm8. Jamal Miles return for 13 yards to Edm21. Tackled by Glenn Love.,13,10
02:46,1,Pass,9,Mike Reilly pass to Nate Coehoorn for 9 yards to the Edm30. Tackled by Brandon McDonald.,13,10
02:40,2,Pass,7,Mike Reilly pass to Calvin McCarty for 7 yards to the Edm37. Tackled by Brandon Smith.,13,10
02:34,2,Pass,26,Mike Reilly pass to Adarius Bowman for 26 yards to the Cgy47. Tackled by Brandon Smith.,13,10
02:28,1,Rush,4,Kendial Lawrence rush for 4 yards to the Cgy43. Tackled by Brandon Smith.,13,10
02:00,2,Pass,7,Mike Reilly pass to Shamawd Chambers for 7 yards to the Cgy36.,13,10
01:41,1,Rush,3,Mike Reilly rush for 3 yards to the Cgy33.,13,10
01:35,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Fred Stamps.,13,10
01:10,3,Missed Field Goal,40,Grant Shaw 40 yard field goal attempt is GOOD.,13,13
01:10,1,Rush,20,Jock Sanders rush for 20 yards to the Cgy55. Tackled by Eric Samuels.,13,13
01:03,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Jeff Fuller defensed by Patrick Watkins.,13,13
00:52,2,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Anthony Parker defensed by Joe Burnett.,13,13
00:46,3,Punt,0,Rob Maver punts for 49 yards to Edm6. Jamal Miles return for no gain to Edm6. Tackled by Ben D'Aguilar.,13,13
00:38,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Adarius Bowman.,13,13
00:29,2,Rush,0,John White rush for no gain to the Edm6. Tackled by Deon Lacey.,13,13
00:26,3,Rush,10,Aaron Grymes rush for 10 yards to the Edm16. Tackled by Keenan MacDougall.,13,13
00:10,1,Pass,16,Bo Levi Mitchell pass to Jeff Fuller for 16 yards for a TOUCHDOWN.,19,13
00:10,0,Made Extra Point,0,Rene Paredes extra point is good.,20,13
00:10,0,Kickoff,1,Rene Paredes kicks off to the Edm34. Eddie Steele return for 1 yard to Edm35. Tackled by Glenn Love.,20,13
15:00,0,Holding,19,Rene Paredes kicks off to the Edm14. Jamal Miles return for 29 yards to Edm43. Tackled by Rene Paredes. Penalty: Holding on Edmonton (Mike Dubuisson) -10 yards.,20,13
14:53,1,Rush,4,Mike Reilly rush for 4 yards to the Edm37. Tackled by Shawn Lemon.,20,13
14:13,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for John White.,20,13
13:54,3,Punt,1,Grant Shaw punts for 49 yards to Cgy24. Jock Sanders return for 1 yard to Cgy25. Tackled by Aaron Grymes.,20,13
13:31,1,Rush,4,Jock Sanders rush for 4 yards to the Cgy29. Tackled by Dexter McCoil.,20,13
13:00,2,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Anthony Parker.,20,13
12:29,3,Punt,6,Rob Maver punts for 47 yards to Edm34. Jamal Miles return for 6 yards to Edm40. Tackled by Karl McCartney.,20,13
12:06,0,Rush,11,"FUMBLE John White rush for 11 yards to the Edm51., recovered by Edm (John White).",20,13
11:25,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Shamawd Chambers.,20,13
11:14,2,Sack,-4,Sack at Edm47 for a loss of 4 yards by Charleston Hughes.,20,13
10:38,3,Punt,5,Grant Shaw punts for 45 yards to Cgy18. Marquay McDaniel return for 5 yards to Cgy23. Tackled by Nathan Kanya.,20,13
10:23,1,Pass,7,Bo Levi Mitchell pass to Jock Sanders for 7 yards to the Cgy30. Tackled by Aaron Grymes.,20,13
09:44,2,Rush,2,Jock Sanders rush for 2 yards to the Cgy32. Tackled by Willie Jefferson.,20,13
09:08,3,Rush,0,Drew Tate rush for no gain to the Cgy32. Tackled by Otha Foster.,20,13
08:31,1,Pass,32,Mike Reilly pass to Shamawd Chambers for 32 yards for a TOUCHDOWN.,20,19
08:26,0,Made Extra Point,0,Grant Shaw extra point is good.,20,20
08:26,0,Kickoff,22,Grant Shaw kicks off to the Cgy2. Marquay McDaniel return for 22 yards to Cgy24. Tackled by Deon Lacey.,20,20
08:20,1,Illegal Procedure,-5,Penalty: Illegal Procedure on Calgary (Stanley Bryant) -5 yards.,20,20
07:59,1,Rush,7,Bo Levi Mitchell rush for 7 yards to the Cgy26.,20,20
07:42,2,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Jeff Fuller.,20,20
07:25,3,Illegal Block,-8,Rob Maver punts for 52 yards to Edm32. Jamal Miles return for 2 yards to Edm34. Penalty: Illegal Block on Edmonton (Mathieu Boulay) -10 yards.,20,20
07:04,1,Rush,4,Mike Reilly rush for 4 yards to the Edm28. Tackled by Brandon Smith.,20,20
06:31,2,Sack,-7,Sack at Edm21 for a loss of 7 yards by Freddie Bishop III.,20,20
06:04,3,Punt,7,Grant Shaw punts for 50 yards to Cgy39. Jock Sanders return for 7 yards to Cgy46. Tackled by Ryan King.,20,20
05:47,1,Pass,3,Bo Levi Mitchell pass to Rob Cote for 3 yards to the Cgy49. Tackled by Eric Samuels.,20,20
05:22,2,Pass,17,Bo Levi Mitchell pass to Jeff Fuller for 17 yards to the Edm44. Tackled by Otha Foster.,20,20
05:00,1,Rush,3,Anthony Parker rush for 3 yards to the Edm41. Tackled by Otha Foster.,20,20
04:29,2,Pass,14,Bo Levi Mitchell pass to Brad Sinopoli for 14 yards to the Edm27. Tackled by Eric Samuels.,20,20
03:48,1,Pass,8,Bo Levi Mitchell pass to Jeff Fuller for 8 yards to the Edm19. Tackled by Rennie Curran.,20,20
03:08,2,Rush,2,Jock Sanders rush for 2 yards to the Edm17. Tackled by Otha Foster.,20,20
02:32,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Jeff Fuller.,20,20
01:57,2,Time Count,-5,Penalty: Time Count on Calgary (Bo Levi Mitchell) -5 yards.,20,20
01:36,2,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Marquay McDaniel defensed by Dexter McCoil.,20,20
01:16,3,Missed Field Goal,29,Rene Paredes 29 yard field goal attempt is GOOD.,23,20
01:15,1,Rush,4,John White rush for 4 yards to the Edm39. Tackled by Charleston Hughes.,23,20
00:44,2,Pass,13,Mike Reilly pass to A.J. Guyton for 13 yards to the Edm52. Tackled by Jamar Wall.,23,20
00:20,1,Rush,3,John White rush for 3 yards to the Edm55. Tackled by Deron Mayo.,23,20
00:01,2,Rush,-4,John White rush for a loss of 4 yards to the Edm51. Tackled by Shawn Lemon.,23,20
15:00,3,No Yards,45,Grant Shaw punts for 60 yards to Cgy0. Penalty: No Yards on Edmonton (Deon Lacey) -15 yards.,23,20
14:46,1,Rush,3,Jock Sanders rush for 3 yards to the Cgy28. Tackled by Dexter McCoil.,23,20
14:10,0,Illegal Contact,10,Penalty: Illegal Contact on Edmonton (Eric Samuels) 10 yards.,23,20
13:39,0,Pass Interference,10,Penalty: Pass Interference on Edmonton (Eric Samuels) 10 yards.,23,20
13:20,1,Rush,7,Jock Sanders rush for 7 yards to the Cgy54. Tackled by Almondo Sewell.,23,20
12:51,2,Rush,2,Jock Sanders rush for 2 yards to the Edm54. Tackled by Eddie Steele.,23,20
12:13,3,Offside,5,Penalty: Offside on Edmonton (Almondo Sewell) 5 yards.,23,20
11:53,0,Holding,-10,Penalty: Holding on Calgary (Dan Federkeil) -10 yards.,23,20
11:31,1,Pass,10,Bo Levi Mitchell pass to Marquay McDaniel for 10 yards to the Edm49. Tackled by Aaron Grymes.,23,20
10:59,2,Pass,26,Bo Levi Mitchell pass to Jeff Fuller for 26 yards to the Edm23. Tackled by Chris Rwabukamba.,23,20
10:09,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Nik Lewis defensed by Aaron Grymes.,23,20
09:30,2,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Jeff Fuller.,23,20
08:55,3,Missed Field Goal,30,Rene Paredes 30 yard field goal attempt is GOOD.,26,20
08:55,1,Pass,5,Mike Reilly pass to Fred Stamps for 5 yards to the Edm40. Tackled by Juwan Simpson.,26,20
08:29,2,Offside,5,Penalty: Offside on Calgary (Charleston Hughes) 5 yards.,26,20
08:13,1,Rush,11,Mike Reilly rush for 11 yards to the Cgy54.,26,20
07:57,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Shamawd Chambers.,26,20
07:32,2,Rush,8,John White rush for 8 yards to the Cgy46. Tackled by Junior Turner.,26,20
06:51,3,Holding,26,Grant Shaw punts for 31 yards to Cgy15. Penalty: No Yards on Edmonton (Mike Dubuisson) -15 yards. Penalty: Holding on Calgary 10 yards.,26,20
06:31,1,Rush,9,Jock Sanders rush for 9 yards to the Cgy29. Tackled by Dexter McCoil.,26,20
06:03,2,Rush,2,Drew Tate rush for 2 yards to the Cgy31. Tackled by Cameron Sheffield.,26,20
05:19,0,Illegal Substitution,-10,Penalty: Illegal Substitution on Calgary -10 yards.,26,20
05:06,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Marquay McDaniel defensed by Odell Willis.,26,20
04:44,2,Pass,6,Bo Levi Mitchell pass to Anthony Parker for 6 yards to the Cgy27. Tackled by Patrick Watkins.,26,20
04:15,3,Punt,6,Rob Maver punts for 43 yards to Edm40. Jamal Miles return for 6 yards to Edm46. Tackled by Simon Charbonneau-Campeau.,26,20
03:51,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Devon Bailey.,26,20
03:41,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Devon Bailey defensed by Fred Bennett.,26,20
03:07,3,Punt,4,Grant Shaw punts for 43 yards to Cgy21. Marquay McDaniel return for 4 yards to Cgy25. Tackled by Deon Lacey.,26,20
02:56,1,Rush,3,Jock Sanders rush for 3 yards to the Cgy28. Tackled by Willie Jefferson.,26,20
02:33,2,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Brad Sinopoli defensed by Aaron Grymes.,26,20
02:08,3,Punt,8,Rob Maver punts for 47 yards to Edm35. Jamal Miles return for 8 yards to Edm43. Tackled by Jamar Wall.,26,20
02:00,1,Pass,10,Mike Reilly pass to Shamawd Chambers for 10 yards to the Edm53. Tackled by Fred Bennett.,26,20
01:55,2,Sack,-9,Sack at Edm44 for a loss of 9 yards by Brandon Smith.,26,20
01:40,3,Punt,6,Grant Shaw punts for 52 yards to Cgy14. Marquay McDaniel return for 6 yards to Cgy20. Tackled by Deon Lacey.,26,20
01:22,1,Sack,-2,Sack at Cgy18 for a loss of 2 yards by Odell Willis.,26,20
01:05,2,Rush,4,Jock Sanders rush for 4 yards to the Cgy22. Tackled by Odell Willis.,26,20
00:44,3,Safety,-22,Safety,26,22
00:44,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Fred Stamps.,26,22
00:39,2,Offside,-5,Penalty: Offside on Edmonton (Adarius Bowman) -5 yards.,26,22
00:39,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Fred Stamps.,26,22
00:31,3,Incomplete Pass,0,Mike Reilly incomplete pass intended for Adarius Bowman defensed by Brandon McDonald.,26,22
