Time,Down,Type,Yards,Details,Edmonton,BC
06:42,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Korey Williams.,13,14
06:24,3,Punt,12,Ricky Schmitt punts for 53 yards to Edm21. Patrick Robertson return for 12 yards to Edm33. Tackled by Jason Arakgi.,13,14
06:04,1,Pass,0,Mike Reilly pass to Adarius Bowman for no gain to the Edm33. Tackled by Cord Parks.,13,14
05:26,2,Pass,4,Mike Reilly pass to Shamawd Chambers for 4 yards to the Edm37. Tackled by Josh Johnson.,13,14
04:54,3,Punt,7,Grant Shaw punts for 37 yards to BC36. Stefan Logan return for 7 yards to BC43. Tackled by Dexter McCoil.,13,14
04:34,1,Offside,5,Penalty: Offside on Edmonton (Dexter McCoil) 5 yards.,13,14
04:17,1,Rush,11,Andrew Harris rush for 11 yards to the Edm51. Tackled by Marcell Young.,13,14
03:43,1,Rush,11,Andrew Harris rush for 11 yards to the Edm40. Tackled by Eric Samuels.,13,14
03:08,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Shawn Gore.,13,14
02:43,2,Pass,18,Kevin Glenn pass to Shawn Gore for 18 yards to the Edm22. Tackled by Aaron Grymes.,13,14
02:19,1,Pass,8,Kevin Glenn pass to Andrew Harris for 8 yards to the Edm14. Tackled by Rennie Curran.,13,14
01:51,2,Rush,4,Andrew Harris rush for 4 yards to the Edm10. Tackled by Ryan Hinds.,13,14
01:23,1,Rush,-6,Stefan Logan rush for a loss of 6 yards to the Edm16. Tackled by Aaron Grymes.,13,14
01:05,2,Pass,7,Kevin Glenn pass to Kito Poblah for 7 yards to the Edm9. Tackled by Joe Burnett.,13,14
00:43,3,Missed Field Goal,16,Paul McCallum 16 yard field goal attempt is GOOD.,13,17
00:43,1,Rush,7,Tyler Thomas rush for 7 yards to the Edm42. Tackled by Solomon Elimimian.,13,17
00:38,2,Rush,3,Tyler Thomas rush for 3 yards to the Edm45. Tackled by Eric Taylor.,13,17
00:14,3,Rush,1,Pat White rush for 1 yard to the Edm46. Tackled by Jamall Johnson.,13,17
15:00,0,Holding,5,Penalty: Offside on BC (Jamall Johnson) -5 yards. Penalty: Holding on Edmonton (Mike Dubuisson) 10 yards.,13,17
14:54,0,Kickoff,35,Ricky Schmitt kicks off to the Edm1. Patrick Robertson return for 35 yards to Edm36. Tackled by Stefan Logan.,13,17
14:46,1,Rush,5,Tyler Thomas rush for 5 yards to the Edm41. Tackled by Khreem Smith.,13,17
