Time,Down,Type,Yards,Details,BC,Edmonton
06:24,3,Punt,8,Hugh O'Neill punts for 51 yards to BC19. Marco Iannuzzi return for 8 yards to BC27. Tackled by Mathieu Boulay.,3,17
06:12,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Ernest Jackson.,3,17
05:48,2,Sack,-5,Sack at BC22 for a loss of 5 yards by J.C. Sherritt.,3,17
05:17,3,Illegal Punt,18,Ricky Schmitt punts for 28 yards to BC50. Penalty: Illegal Punt on BC (Ricky Schmitt) -10 yards.,3,17
05:03,1,Rush,7,John White rush for 7 yards to the BC33. Tackled by Adam Bighill.,3,17
04:20,2,Rush,1,Kendial Lawrence rush for 1 yard to the BC32. Tackled by Adam Bighill.,3,17
03:22,3,Time Count,-5,Penalty: Time Count on Edmonton (Matt Nichols) -5 yards.,3,17
03:12,3,Missed Field Goal,44,Hugh O'Neill 44 yard field goal attempt is GOOD.,3,20
03:12,1,Rush,3,Keola Antolin rush for 3 yards to the BC38. Tackled by Otha Foster.,3,20
02:54,2,Rush,0,Keola Antolin rush for no gain to the BC38. Tackled by J.C. Sherritt.,3,20
02:41,3,Illegal Punt,36,Ricky Schmitt punts for 46 yards to Edm26. Penalty: Illegal Punt on BC (Ricky Schmitt) -10 yards.,3,20
02:30,1,Pass,18,Mike Reilly pass to John White for 18 yards to the Edm54. Tackled by Adam Bighill.,3,20
02:23,0,Illegal Contact,10,Penalty: Illegal Contact on BC (T.J. Lee) 10 yards.,3,20
02:13,1,Rush,4,John White rush for 4 yards to the BC42. Tackled by Alex Bazzie.,3,20
01:54,2,Pass,27,Mike Reilly pass to Kendial Lawrence for 27 yards to the BC15. Tackled by Adam Bighill.,3,20
01:45,1,Fumble,3,"John White rush for 3 yards to the BC12. FUMBLE, recovered by BC (Khreem Smith). Tackled by John White.",3,20
01:23,1,Pass,3,Kevin Glenn pass to Kito Poblah for 3 yards to the BC15. Tackled by Patrick Watkins.,3,20
01:15,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Ernest Jackson.,3,20
01:07,3,Objectionable Conduct,16,Ricky Schmitt punts for 54 yards to Edm41. Kendial Lawrence return for 6 yards to Edm47. Tackled by Mike Benson. Penalty: Objectionable Conduct on BC (Akwasi Antwi) 10 yards.,3,20
00:55,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Adarius Bowman.,3,20
00:49,2,Rush,7,Mike Reilly rush for 7 yards to the BC46. Tackled by Solomon Elimimian.,3,20
00:41,3,Punt,0,Hugh O'Neill punts for 36 yards to BC10. No return.,3,20
00:22,1,Rush,9,Keola Antolin rush for 9 yards to the BC19. Tackled by Otha Foster.,3,20
00:16,2,Rush,0,Keola Antolin rush for no gain to the BC19. Tackled by Alonzo Lawrence.,3,20
15:00,0,Kickoff,22,Ricky Schmitt kicks off to the Edm1. Kendial Lawrence return for 22 yards to Edm23. Tackled by Torri Williams.,3,20
14:56,1,Rush,7,John White rush for 7 yards to the Edm30. Tackled by Josh Johnson.,3,20
14:14,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for John White.,3,20
13:38,3,Punt,-5,Hugh O'Neill punts for 50 yards to BC30. Marco Iannuzzi return for a loss of 5 yards to BC25. Tackled by Pat White.,3,20
13:23,1,Rush,10,Ernest Jackson rush for 10 yards to the BC40. Tackled by Cauchy Muamba.,3,20
12:55,1,Rush,2,Keola Antolin rush for 2 yards to the BC42. Tackled by Otha Foster.,3,20
12:30,2,Sack,-7,Sack at BC35 for a loss of 7 yards by J.C. Sherritt.,3,20
11:38,3,Punt,54,Ricky Schmitt punts for 46 yards to Edm29. Kendial Lawrence return for 54 yards to BC27. Tackled by Jamall Johnson.,3,20
11:18,1,Pass,15,Mike Reilly pass to Adarius Bowman for 15 yards to the BC12. Tackled by J.R. LaRose.,3,20
10:42,1,Rush,7,Mike Reilly rush for 7 yards to the BC5. Tackled by Solomon Elimimian.,3,20
09:42,2,Rush,4,John White rush for 4 yards to the BC1. Tackled by Jason Arakgi.,3,20
09:08,1,Rush,1,Mike Reilly rush for 1 yard for a TOUCHDOWN.,3,26
