Time,Down,Type,Yards,Details,Edmonton,Winnipeg
06:00,2,Rush,30,Mike Reilly rush for 30 yards to the Wpg35. Tackled by Johnny Sears Jr..,10,0
05:15,1,Pass,12,Mike Reilly pass to A.J. Guyton for 12 yards to the Wpg23. Tackled by Johnny Sears Jr..,10,0
04:50,1,Pass,13,Mike Reilly pass to Shamawd Chambers for 13 yards to the Wpg10. Tackled by Greg Peach.,10,0
04:03,1,Sack,-9,Sack at Wpg19 for a loss of 9 yards by Teague Sherman.,10,0
03:15,2,Pass,13,Mike Reilly pass to Fred Stamps for 13 yards to the Wpg6. Tackled by Matt Bucknor.,10,0
02:46,3,Missed Field Goal,13,Grant Shaw 13 yard field goal attempt is GOOD.,13,0
02:46,1,Rush,7,Nic Grigsby rush for 7 yards to the Wpg42. Tackled by Chris Rwabukamba.,13,0
02:37,2,Rush,8,Nic Grigsby rush for 8 yards to the Wpg50. Tackled by Willie Jefferson.,13,0
02:15,1,Incomplete Pass,0,Drew Willy incomplete pass intended for Nick Moore defensed by Patrick Watkins.,13,0
02:00,2,Pass,50,Drew Willy pass to Clarence Denmark for 50 yards to the Edm10. Tackled by Chris Rwabukamba.,13,0
01:52,1,Sack,-5,Sack at Edm15 for a loss of 5 yards by Dexter McCoil.,13,0
01:30,2,Incomplete Pass,0,Drew Willy incomplete pass intended for Clarence Denmark.,13,0
01:07,3,Missed Field Goal,22,Lirim Hajrullahu 22 yard field goal attempt is GOOD.,13,3
01:07,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Fred Stamps defensed by Matt Bucknor.,13,3
01:01,2,Rush,3,Mike Reilly rush for 3 yards to the Edm38. Tackled by Ian Wild.,13,3
00:56,3,Punt,3,Grant Shaw punts for 35 yards to Wpg37. Julian Feoli-Gudino return for 3 yards to Wpg40. Tackled by Dexter McCoil.,13,3
00:36,1,Pass,9,Drew Willy pass to Nic Grigsby for 9 yards to the Wpg49. Tackled by Rennie Curran.,13,3
00:27,2,Pass,3,Drew Willy pass to Julian Feoli-Gudino for 3 yards to the Wpg52. Tackled by Patrick Watkins.,13,3
00:15,1,Incomplete Pass,0,Drew Willy incomplete pass intended for Nic Grigsby.,13,3
00:01,2,Pass,28,Drew Willy pass to Nic Grigsby for 28 yards to the Edm30. Tackled by Rennie Curran.,13,3
15:00,0,Kickoff,16,Lirim Hajrullahu kicks off to the Edm7. Jamal Miles return for 16 yards to Edm23. Tackled by Matt Bucknor.,13,3
14:55,1,Rush,4,John White rush for 4 yards to the Edm27. Tackled by Desia Dunn.,13,3
14:22,2,Pass,9,Mike Reilly pass to A.J. Guyton for 9 yards to the Edm36. Tackled by Jason Vega.,13,3
13:46,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Adarius Bowman.,13,3
13:28,2,Sack,-6,Sack at Edm30 for a loss of 6 yards by Desia Dunn.,13,3
12:56,3,Punt,9,Grant Shaw punts for 46 yards to Wpg34. Julian Feoli-Gudino return for 9 yards to Wpg43. Tackled by Mike Miller.,13,3
12:32,1,Rush,2,Nic Grigsby rush for 2 yards to the Wpg45. Tackled by Eddie Steele.,13,3
12:07,2,Sack,-9,Sack at Wpg36 for a loss of 9 yards by Odell Willis.,13,3
11:34,3,Holding,4,Lirim Hajrullahu punts for 44 yards to Edm30. Jamal Miles return for 14 yards to Edm44. Penalty: Holding on Edmonton (Mike Dubuisson) -10 yards.,13,3
11:14,1,Pass,11,Mike Reilly pass to Fred Stamps for 11 yards to the Edm45. Tackled by Johnny Sears Jr..,13,3
10:49,1,Pass,9,Mike Reilly pass to A.J. Guyton for 9 yards to the Edm54. Tackled by Johnny Sears Jr..,13,3
10:17,2,Rush,3,John White rush for 3 yards to the Wpg53. Tackled by Jason Vega.,13,3
09:38,1,Pass,6,Mike Reilly pass to Nate Coehoorn for 6 yards to the Wpg47. Tackled by Matt Bucknor.,13,3
09:06,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for John White.,13,3
08:45,3,Punt,0,Grant Shaw punts for 42 yards to Wpg5. No return.,13,3
08:26,1,Offside,5,Penalty: Offside on Edmonton (Otha Foster) 5 yards.,13,3
08:07,1,Pass,5,Drew Willy pass to Julian Feoli-Gudino for 5 yards to the Wpg15. Tackled by Deon Lacey.,13,3
07:24,2,Rush,1,Robert Marve rush for 1 yard to the Wpg16. Tackled by Willie Jefferson.,13,3
06:54,1,Pass,9,Drew Willy pass to Julian Feoli-Gudino for 9 yards to the Wpg25. Tackled by Joe Burnett.,13,3
06:06,2,Rush,1,Nic Grigsby rush for 1 yard to the Wpg26. Tackled by Otha Foster.,13,3
05:39,1,Rush,1,Nic Grigsby rush for 1 yard to the Wpg27. Tackled by Almondo Sewell.,13,3
05:05,2,Unnecessary Roughness,28,Nic Grigsby rush for 13 yards to the Wpg40. Tackled by Nathan Kanya. Penalty: Unnecessary Roughness on Edmonton (Nathan Kanya) 15 yards.,13,3
04:40,1,Rush,1,Nic Grigsby rush for 1 yard to the Edm54. Tackled by Odell Willis.,13,3
04:06,2,Pass,15,Drew Willy pass to Rory Kohlert for 15 yards to the Edm39. Tackled by Joe Burnett.,13,3
03:43,1,Rush,4,Nic Grigsby rush for 4 yards to the Edm35. Tackled by Gregory Alexandre.,13,3
03:18,2,Fumble,17,"Drew Willy pass to Nick Moore for 17 yards to the Edm18. FUMBLE, recovered by Edm (Odell Willis). Tackled by Clarence Denmark.",13,3
02:54,1,Rush,6,Mike Reilly rush for 6 yards to the Edm24. Tackled by Greg Peach.,13,3
02:22,0,Holding,-10,Penalty: Holding on Edmonton (Shamawd Chambers) -10 yards.,13,3
01:56,2,Pass,6,Mike Reilly pass to Adarius Bowman for 6 yards to the Edm20. Tackled by Demond Washington.,13,3
01:29,3,Punt,3,Grant Shaw punts for 41 yards to Wpg49. Julian Feoli-Gudino return for 3 yards to Wpg52. Tackled by Nathan Kanya.,13,3
01:16,1,Roughing Passer,21,Drew Willy pass to Nic Grigsby for 6 yards to the Edm52. Tackled by Rennie Curran. Penalty: Roughing Passer on Edmonton (Odell Willis) 15 yards.,13,3
00:50,1,Incomplete Pass,0,Drew Willy incomplete pass intended for Nic Grigsby.,13,3
00:33,2,Incomplete Pass,0,Drew Willy incomplete pass intended for  .,13,3
00:01,3,Unnecessary Roughness,22,37 yard field goal attempt by Lirim Hajrullahu is NO GOOD. Penalty: Unnecessary Roughness on Winnipeg (Don Unamba) -15 yards.,13,3
15:00,1,Rush,3,John White rush for 3 yards to the Edm43. Tackled by Zach Anderson.,13,3
14:35,2,Rush,5,Mike Reilly rush for 5 yards to the Edm48. Tackled by Ian Wild.,13,3
13:42,3,Rush,3,Pat White rush for 3 yards to the Edm51. Tackled by Don Unamba.,13,3
12:57,1,Rush,14,John White rush for 14 yards to the Wpg45. Tackled by Ejiro Kuale.,13,3
12:21,1,Rush,21,John White rush for 21 yards to the Wpg24. Tackled by Johnny Sears Jr..,13,3
11:38,1,Rush,8,John White rush for 8 yards to the Wpg16. Tackled by Johnny Sears Jr..,13,3
11:01,2,Rush,3,Mike Reilly rush for 3 yards to the Wpg13. Tackled by Ejiro Kuale.,13,3
10:41,0,Unnecessary Roughness,0,Penalty: Objectionable Conduct on Edmonton (Nate Coehoorn) -10 yards. Penalty: Roughing Passer on Winnipeg (Bryant Turner Jr.) 6 yards. Penalty: Unnecessary Roughness on Winnipeg (Demond Washington) 4 yards.,13,3
10:08,1,Pass,13,Mike Reilly pass to A.J. Guyton for 13 yards for a TOUCHDOWN.,19,3
09:49,0,Made Extra Point,0,Grant Shaw extra point is good.,20,3
09:49,0,Illegal Block,-3,Grant Shaw kicks off to the Wpg10. Paris Cotton return for 5 yards to Wpg15. Penalty: Illegal Block on Winnipeg (Mike Cornell) -8 yards.,20,3
09:43,1,Rush,8,Drew Willy rush for 8 yards to the Wpg15. Tackled by Almondo Sewell.,20,3
09:08,2,Sack,-10,Sack at Wpg5 for a loss of 10 yards by Willie Jefferson.,20,3
08:40,3,Unnecessary Roughness,-1,Lirim Hajrullahu punts for 40 yards to Wpg45. Jamal Miles return for 4 yards to Wpg41. Tackled by Dan West. Penalty: Objectionable Conduct on Winnipeg (Louie Richardson) 10 yards. Penalty: Unnecessary Roughness on Edmonton (Elie Ngoyi) -15 yards.,20,3
08:19,1,Rush,14,Mike Reilly rush for 14 yards to the Wpg27. Tackled by Teague Sherman.,20,3
07:54,1,Rush,-4,John White rush for a loss of 4 yards to the Wpg31. Tackled by Zach Anderson.,20,3
07:23,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Adarius Bowman.,20,3
06:56,3,Missed Field Goal,38,Grant Shaw 38 yard field goal attempt is GOOD.,23,3
06:56,1,Rush,1,Drew Willy rush for 1 yard to the Wpg36. Tackled by Willie Jefferson.,23,3
06:31,2,Sack,-7,Sack at Wpg29 for a loss of 7 yards by Willie Jefferson.,23,3
06:01,3,Punt,7,Lirim Hajrullahu punts for 48 yards to Edm33. Jamal Miles return for 7 yards to Edm40. Tackled by Ian Wild.,23,3
05:37,1,Rush,4,John White rush for 4 yards to the Edm44. Tackled by Ejiro Kuale.,23,3
04:54,2,Pass,39,Mike Reilly pass to Shamawd Chambers for 39 yards to the Wpg27. Tackled by Demond Washington.,23,3
04:10,1,Rush,5,John White rush for 5 yards to the Wpg22. Tackled by Bryant Turner Jr..,23,3
03:28,2,Pass,-1,Mike Reilly pass to A.J. Guyton for a loss of 1 yard to the Wpg23. Tackled by Bruce Johnson.,23,3
03:02,3,Time Count,-5,Penalty: Time Count on Edmonton (Matt Nichols) -5 yards.,23,3
02:38,3,Missed Field Goal,35,Grant Shaw 35 yard field goal attempt is GOOD.,26,3
02:38,1,Pass,-5,Drew Willy pass to Nic Grigsby for a loss of 5 yards to the Wpg30. Tackled by Gregory Alexandre.,26,3
02:30,2,Incomplete Pass,0,Drew Willy incomplete pass intended for Clarence Denmark.,26,3
02:19,3,Punt,2,Lirim Hajrullahu punts for 59 yards to Edm21. Jamal Miles return for 2 yards to Edm23. Tackled by Don Unamba.,26,3
02:07,1,Rush,7,John White rush for 7 yards to the Edm30. Tackled by Chris Randle.,26,3
02:02,2,Rush,4,John White rush for 4 yards to the Edm34. Tackled by Demond Washington.,26,3
01:39,1,Rush,12,John White rush for 12 yards to the Edm46. Tackled by Greg Peach.,26,3
01:17,1,Rush,3,John White rush for 3 yards to the Edm49. Tackled by Greg Peach.,26,3
00:54,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Kendial Lawrence.,26,3
00:31,3,No Yards,31,Grant Shaw punts for 36 yards to Wpg25. Penalty: No Yards on Edmonton (Nathan Kanya) -5 yards.,26,3
00:23,1,Holding,1,Drew Willy pass to Nic Grigsby for 11 yards to the Wpg41. Tackled by Rennie Curran. Penalty: Holding on Winnipeg (Brett Carter) -10 yards.,26,3
00:15,1,Sack,-1,Sack at Wpg30 for a loss of 1 yard by Gregory Alexandre.,26,3
00:01,2,Pass,28,Drew Willy pass to Paris Cotton for 28 yards to the Edm52. Tackled by Aaron Grymes.,26,3
