Time,Down,Type,Yards,Details,Edmonton,Hamilton
06:04,2,Sack,-8,Sack at Edm49 for a loss of 8 yards by Eddie Steele.,1,3
05:36,3,Punt,7,Justin Medlock punts for 38 yards to Edm11. Marcell Young return for 7 yards to Edm18. Tackled by Ed Gainey.,1,3
04:58,1,Pass,50,Mike Reilly pass to Nate Coehoorn for 50 yards to the Ham42. Tackled by Rico Murray.,1,3
04:30,0,Unnecessary Roughness,35,Penalty: Pass Interference on Hamilton ( ) 28 yards. Penalty: Unnecessary Roughness on Hamilton ( ) 7 yards.,1,3
04:07,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Adarius Bowman.,1,3
03:55,0,Roughing Passer,3,Penalty: Roughing Passer on Hamilton (Eric Norwood) 3 yards.,1,3
03:31,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Adarius Bowman.,1,3
02:40,2,Pass,4,Mike Reilly pass to Tyler Thomas for 4 yards for a TOUCHDOWN.,7,3
02:40,0,Made Extra Point,0,Hugh O'Neill extra point is good.,8,3
02:40,0,Kickoff,22,Hugh O'Neill kicks off to the Ham3. Brandon Banks return for 22 yards to Ham25. Tackled by Otha Foster.,8,3
02:33,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Luke Tasker defensed by J.C. Sherritt.,8,3
01:18,0,Sack,9,Sack at Ham25 for no gain by Odell Willis.  Recovered by Edm (Alonzo Lawrence) and returned for 17 yards for a TOUCHDOWN,14,3
01:18,0,Made Extra Point,0,Hugh O'Neill extra point is good.,15,3
02:18,0,Kickoff,33,Hugh O'Neill kicks off to the Ham7. Samuel Giguere return for 33 yards to Ham40. Tackled by Deon Lacey.,15,3
02:10,1,Pass,1,Zach Collaros pass to Carl-Olivier Prime for 1 yard to the Ham41. Tackled by  .,15,3
02:04,2,Rush,4,Zach Collaros rush for 4 yards to the Ham45. Tackled by J.C. Sherritt.,15,3
01:39,3,Punt,1,Justin Medlock punts for 38 yards to Edm27. A.J. Guyton return for 1 yard to Edm28. Tackled by Marcellus Bowman.,15,3
01:11,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Fred Stamps.,15,3
01:06,2,Pass,27,Mike Reilly pass to Shamawd Chambers for 27 yards to the Edm55. Tackled by  .,15,3
00:57,1,Illegal Procedure,0,Penalty: Illegal Procedure on Edmonton (D'Anthony Batiste) 0 yards.,15,3
00:40,1,Sack,-4,Sack at Edm51 for a loss of 4 yards by Eric Norwood.,15,3
00:26,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Fred Stamps.,15,3
15:00,0,Unnecessary Roughness,37,Hugh O'Neill kicks off to the Ham23. Brandon Banks return for 22 yards to Ham45. Tackled by Hugh O'Neill. Penalty: Unnecessary Roughness on Edmonton (Nathan Kanya) 15 yards.,15,3
14:54,1,Pass,20,Zach Collaros pass to Greg Ellingson for 20 yards to the Edm30. Tackled by Dexter McCoil.,15,3
14:31,1,Offside,5,Penalty: Offside on Edmonton (Odell Willis) 5 yards.,15,3
14:02,1,Rush,3,Carl-Olivier Prime rush for 3 yards to the Edm22. Tackled by Cameron Sheffield.,15,3
13:30,2,Rush,2,Carl-Olivier Prime rush for 2 yards to the Edm20. Tackled by  .,15,3
12:59,3,Rush,1,Zach Collaros rush for 1 yard to the Edm19. Tackled by Gregory Alexandre.,15,3
12:40,1,Pass,7,Zach Collaros pass to Andy Fantuz for 7 yards to the Edm12. Tackled by Patrick Watkins.,15,3
12:06,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Andy Fantuz.,15,3
11:10,3,Missed Field Goal,19,Justin Medlock 19 yard field goal attempt is GOOD.,15,6
11:10,1,Pass,5,Mike Reilly pass to Nate Coehoorn for 5 yards to the Edm40. Tackled by Rico Murray.,15,6
10:55,2,Pass,11,Mike Reilly pass to Fred Stamps for 11 yards to the Edm51. Tackled by Rico Murray.,15,6
10:23,1,Sack,-1,Sack at Edm50 for a loss of 1 yard by Sam Scott.,15,6
09:52,2,Pass,-2,Mike Reilly pass to Tyler Thomas for a loss of 2 yards to the Edm48. Tackled by Marcellus Bowman.,15,6
09:17,3,Punt,10,Hugh O'Neill punts for 44 yards to Ham18. Brandon Banks return for 10 yards to Ham28. Tackled by Calvin McCarty.,15,6
08:36,1,Sack,-8,Sack at Ham20 for a loss of 8 yards by  .,15,6
08:19,2,Rush,6,Zach Collaros rush for 6 yards to the Ham26. Tackled by Willie Jefferson.,15,6
07:56,3,Holding,-8,Justin Medlock punts for 51 yards to Edm33. A.J. Guyton return for 2 yards to Edm35. Penalty: Holding on Edmonton (Patrick Watkins) -10 yards.,15,6
07:37,1,Rush,27,Tyler Thomas rush for 27 yards to the Edm52. Tackled by Ed Gainey.,15,6
07:21,1,Interception,18,Mike Reilly pass intended for Fred Stamps INTERCEPTED and returned for 18 yards. Tackled by Nate Coehoorn.,15,6
06:36,1,Pass,9,Zach Collaros pass to Brandon Banks for 9 yards to the Edm52. Tackled by Patrick Watkins.,15,6
06:14,2,Rush,7,Carl-Olivier Prime rush for 7 yards to the Edm45. Tackled by Dexter McCoil.,15,6
05:27,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Luke Tasker.,15,6
04:49,2,Sack,-5,Sack at Edm50 for a loss of 5 yards by Odell Willis.,15,6
04:05,3,Punt Single,0,Justin Medlock punts for 60 yards to Edm0. No return (Single).,15,7
