Time,Down,Type,Yards,Details,Calgary,Winnipeg
06:09,2,Sack,-9,Sack at Cgy17 for no gain by Shawn Lemon Recovered by Cgy (Junior Turner). Tackled by Devin Tyler,16,6
05:48,1,Pass,12,Bo Levi Mitchell pass to Jon Cornish for 12 yards to the Cgy29. Tackled by  .,16,6
04:58,0,Holding,-10,Penalty: Holding on Calgary ( ) -10 yards.,16,6
04:39,1,Pass,8,Bo Levi Mitchell pass to Anthony Parker for 8 yards to the Cgy27.,16,6
04:19,2,Interception,2,Bo Levi Mitchell pass intended for   INTERCEPTED and returned for 2 yards. Tackled by  .,16,6
03:55,1,Incomplete Pass,0,Brian Brohm incomplete pass intended for Nick Moore.,16,6
03:33,2,Incomplete Pass,0,Brian Brohm incomplete pass intended for Nick Moore.,16,6
03:09,3,Illegal Punt,14,Lirim Hajrullahu punts for 24 yards to Cgy25. Penalty: Illegal Punt on Winnipeg (Lirim Hajrullahu) -10 yards.,16,6
03:01,1,Pass,5,Bo Levi Mitchell pass to Anthony Parker for 5 yards to the Cgy40. Tackled by Don Unamba.,16,6
02:38,2,Rush,11,Jon Cornish rush for 11 yards to the Cgy51. Tackled by Maurice Leggett.,16,6
02:25,1,Pass,11,Bo Levi Mitchell pass to Anthony Parker for 11 yards to the Wpg48. Tackled by Matt Bucknor.,16,6
02:02,1,Rush,1,Jon Cornish rush for 1 yard to the Wpg47. Tackled by Kashawn Fraser.,16,6
01:57,2,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Jabari Arthur.,16,6
01:35,3,Punt,10,Rob Cote punts for 28 yards to Wpg19. Johnny Sears Jr. return for 10 yards to Wpg29. Tackled by Keenan MacDougall.,16,6
01:26,1,Pass,13,Brian Brohm pass to Rory Kohlert for 13 yards to the Wpg42. Tackled by Keon Raymond.,16,6
01:20,1,Pass,5,Brian Brohm pass to Nick Moore for 5 yards to the Wpg47. Tackled by Brandon Smith.,16,6
01:10,2,Incomplete Pass,0,Brian Brohm incomplete pass intended for Romby Bryant.,16,6
01:05,3,Punt,18,Lirim Hajrullahu punts for 55 yards to Cgy8. Jock Sanders return for 18 yards to Cgy26. Tackled by Jesse Briggs.,16,6
00:52,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Jabari Arthur.,16,6
00:45,2,Pass,33,Bo Levi Mitchell pass to Maurice Price for 33 yards to the Wpg51. Tackled by Matt Bucknor.,16,6
00:38,1,Interception,0,Bo Levi Mitchell pass intended for Nik Lewis INTERCEPTED. No return. Tackled by Nik Lewis.,16,6
00:21,1,Pass,7,Brian Brohm pass to Paris Cotton for 7 yards to the Wpg45. Tackled by Brandon Smith.,16,6
00:14,2,Rush,5,Brian Brohm rush for 5 yards to the Wpg50.,16,6
00:01,1,Pass,15,Brian Brohm pass to Rory Kohlert for 15 yards to the Cgy45.,16,6
15:00,0,Kickoff,11,Rene Paredes kicks off to the Wpg26. Sam McGuffie return for 11 yards to Wpg37. Tackled by Jeff Hecht.,16,6
14:57,1,Rush,18,Paris Cotton rush for 18 yards to the Wpg55. Tackled by Brandon Smith.,16,6
14:16,1,Rush,5,Paris Cotton rush for 5 yards to the Cgy50. Tackled by Brandon Smith.,16,6
13:45,2,Incomplete Pass,0,Brian Brohm incomplete pass intended for Clarence Denmark.,16,6
13:09,3,Punt Single,0,Lirim Hajrullahu punts for 55 yards to Cgy0. No return (Single).,16,7
13:09,1,Illegal Procedure,-5,Penalty: Illegal Procedure on Calgary -5 yards.,16,7
13:01,1,Rush,15,Jon Cornish rush for 15 yards to the Cgy45. Tackled by Don Unamba.,16,7
12:22,1,Rush,12,Anthony Parker rush for 12 yards to the Wpg53. Tackled by Johnny Sears Jr..,16,7
11:38,1,Pass,8,Bo Levi Mitchell pass to Jabari Arthur for 8 yards to the Wpg45. Tackled by Matt Bucknor.,16,7
11:00,2,Unnecessary Roughness,20,Jon Cornish rush for 5 yards to the Wpg40. Tackled by Johnny Sears Jr.. Penalty: Unnecessary Roughness on Winnipeg (Ameet Pall) 15 yards.,16,7
10:36,0,Pass Interference,24,Penalty: Pass Interference on Winnipeg ( ) 24 yards.,16,7
09:58,1,Rush,1,Drew Tate rush for 1 yard for a TOUCHDOWN.,22,7
09:39,0,Made Extra Point,0,Rene Paredes extra point is good.,23,7
09:39,0,Kickoff,21,Rene Paredes kicks off to the Wpg12. Sam McGuffie return for 21 yards to Wpg33. Tackled by Karl McCartney.,23,7
09:33,1,Pass,9,Brian Brohm pass to Romby Bryant for 9 yards to the Wpg42. Tackled by Fred Bennett.,23,7
08:50,2,Rush,1,Brian Brohm rush for 1 yard to the Wpg43. Tackled by Deron Mayo.,23,7
08:22,0,Roughing Passer,27,Penalty: Pass Interference on Calgary (Fred Bennett) 12 yards. Penalty: Roughing Passer on Calgary (Juwan Simpson) 15 yards.,23,7
08:04,1,Rush,-1,Paris Cotton rush for a loss of 1 yard to the Cgy41. Tackled by Junior Turner.,23,7
07:34,2,Rush,11,Robert Marve rush for 11 yards to the Cgy30. Tackled by Josh Bell.,23,7
06:47,1,Incomplete Pass,0,Robert Marve incomplete pass intended for Carl Fitzgerald.,23,7
06:31,2,Incomplete Pass,0,Robert Marve incomplete pass intended for Cory Watson.,23,7
06:10,3,Missed Field Goal,37,42 yard field goal attempt by Lirim Hajrullahu is NO GOOD.  Missed field goal returned by Jock Sanders to the Cgy25. Tackled by Louie Richardson.,23,7
05:44,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for  .,23,7
05:27,2,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Maurice Price.,23,7
05:06,3,Punt,3,Rob Maver punts for 38 yards to Wpg47. Johnny Sears Jr. return for 3 yards to Wpg50. Tackled by Adam Thibault.,23,7
04:40,1,Rush,5,Robert Marve rush for 5 yards to the Wpg55. Tackled by Shawn Lemon.,23,7
04:04,2,Incomplete Pass,0,Robert Marve incomplete pass intended for Brett Carter.,23,7
03:47,3,Punt,0,Lirim Hajrullahu punts for 51 yards to Cgy4. No return.,23,7
03:37,1,Rush,6,Jon Cornish rush for 6 yards to the Cgy10. Tackled by Ian Wild.,23,7
03:11,2,Rush,0,Jon Cornish rush for no gain to the Cgy10. Tackled by Maurice Leggett.,23,7
02:08,3,Safety,-10,Safety,23,9
02:08,0,Kickoff,20,Rene Paredes kicks off to the Wpg30. Carl Volny return for 20 yards to Wpg50. Tackled by Adam Berger.,23,9
02:02,1,Rush,-3,Paris Cotton rush for a loss of 3 yards to the Wpg47. Tackled by Frank Beltre.,23,9
01:22,2,Pass,16,Robert Marve pass to Rory Kohlert for 16 yards to the Cgy47. Tackled by Juwan Simpson.,23,9
00:39,1,Rush,12,Robert Marve rush for 12 yards to the Cgy35. Tackled by Juwan Simpson.,23,9
00:00,1,Rush,35,Paris Cotton rush for 35 yards for a TOUCHDOWN.,23,15
00:00,0,Made Extra Point,0,Lirim Hajrullahu extra point is good.,23,16
15:00,0,Unnecessary Roughness,26,Lirim Hajrullahu kicks off to the Cgy23. Sederrik Cunningham return for 11 yards to Cgy34. Tackled by Louie Richardson. Penalty: Unnecessary Roughness on Winnipeg (Louie Richardson) 15 yards.,23,16
14:57,0,Illegal Block,-10,Penalty: Illegal Block on Calgary (Anthony Parker) -10 yards.,23,16
14:24,1,Pass,19,Bo Levi Mitchell pass to Anthony Parker for 19 yards to the Wpg52. Tackled by Desia Dunn.,23,16
13:38,2,Rush,2,Drew Tate rush for 2 yards to the Wpg50. Tackled by Jesse Briggs.,23,16
13:06,1,Rush,17,Jon Cornish rush for 17 yards to the Wpg33. Tackled by Maurice Leggett.,23,16
12:34,1,Rush,6,Jon Cornish rush for 6 yards to the Wpg27. Tackled by Don Unamba.,23,16
11:46,2,Sack,-7,Sack at Wpg34 for a loss of 7 yards by Jason Vega.,23,16
10:42,3,Missed Field Goal,41,Rene Paredes 41 yard field goal attempt is GOOD.,26,16
10:42,1,Pass,15,Robert Marve pass to Rory Kohlert for 15 yards to the Wpg50. Tackled by Keon Raymond.,26,16
10:14,1,Rush,2,Paris Cotton rush for 2 yards to the Wpg52. Tackled by Deron Mayo.,26,16
09:40,2,Pass,8,Robert Marve pass to Brett Carter for 8 yards to the Cgy50.,26,16
09:11,1,Rush,4,Paris Cotton rush for 4 yards to the Cgy46. Tackled by Josh Bell.,26,16
08:38,2,Rush,8,Robert Marve rush for 8 yards to the Cgy38. Tackled by Juwan Simpson.,26,16
07:58,1,Roughing Passer,28,Robert Marve pass to Clarence Denmark for 18 yards to the Cgy20. Tackled by Brandon Smith. Penalty: Roughing Passer on Calgary (Deron Mayo) 10 yards.,26,16
07:21,1,Rush,10,Paris Cotton rush for 10 yards for a TOUCHDOWN.,26,22
07:09,0,Made Extra Point,0,Lirim Hajrullahu extra point is good.,26,23
07:09,0,Kickoff,28,Lirim Hajrullahu kicks off to the Cgy23. Sederrik Cunningham return for 28 yards to Cgy51. Tackled by Chris Randle.,26,23
07:02,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Nik Lewis defensed by Ian Wild.,26,23
06:53,2,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Jabari Arthur.,26,23
06:25,3,Punt,11,Rob Maver punts for 52 yards to Wpg7. Johnny Sears Jr. return for 11 yards to Wpg18. Tackled by Glenn Love.,26,23
06:01,1,Face Mask,17,Paris Cotton rush for 2 yards to the Wpg20. Tackled by DeQuin Evans. Penalty: Face Mask on Calgary (DeQuin Evans) 15 yards.,26,23
05:40,1,Rush,4,Paris Cotton rush for 4 yards to the Wpg39. Tackled by Corey Mace.,26,23
05:06,2,Sack,-1,Sack at Wpg38 for a loss of 1 yard by DeQuin Evans.,26,23
04:35,3,Punt,11,Lirim Hajrullahu punts for 33 yards to Cgy39. Jock Sanders return for 11 yards to Cgy50. Tackled by Jesse Briggs.,26,23
04:24,1,Rush,6,Jon Cornish rush for 6 yards to the Wpg54. Tackled by Bryant Turner Jr..,26,23
03:54,2,Pass,7,Bo Levi Mitchell pass to Anthony Parker for 7 yards to the Wpg47. Tackled by  .,26,23
