Time,Down,Type,Yards,Details,Toronto,Calgary
06:44,3,Incomplete Pass,0,Rob Maver incomplete pass intended for Rob Cote.,22,3
06:25,1,Pass,5,Ricky Ray pass to Curtis Steele for 5 yards to the Cgy33. Tackled by Deron Mayo.,22,3
06:00,2,Rush,6,Curtis Steele rush for 6 yards to the Cgy27. Tackled by Charleston Hughes.,22,3
05:18,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Curtis Steele.,22,3
04:44,2,Pass,27,Ricky Ray pass to Jason Barnes for 27 yards for a TOUCHDOWN.,28,3
04:22,0,Made Extra Point,0,Swayze Waters extra point is good.,29,3
04:22,0,Holding,14,Swayze Waters kicks off to the Cgy15. Sederrik Cunningham return for 24 yards to Cgy39. Penalty: Holding on Calgary (Simon Charbonneau-Campeau) -10 yards.,29,3
04:12,0,Too Many Men on Field,-10,Penalty: Too Many Men on Field on Calgary -10 yards.,29,3
03:55,1,Pass,7,Bo Levi Mitchell pass to Jabari Arthur for 7 yards to the Cgy26. Tackled by Shea Emry.,29,3
03:33,2,Pass,4,Bo Levi Mitchell pass to Jon Cornish for 4 yards to the Cgy30. Tackled by Nick Rosamonda.,29,3
03:17,3,Illegal Block,53,Rob Maver punts for 43 yards to Tor37. Penalty: Illegal Block on Toronto (Jermaine Gabriel) 10 yards.,29,3
02:44,1,Rush,-1,Steve Slaton rush for a loss of 1 yard to the Tor26. Tackled by Junior Turner.,29,3
02:29,2,Pass,-1,Ricky Ray pass to   for a loss of 1 yard to the Tor25. Tackled by Josh Bell.,29,3
02:01,3,Punt,20,Swayze Waters punts for 46 yards to Cgy39. Sederrik Cunningham return for 20 yards to Tor51. Tackled by Donald Washington.,29,3
01:34,1,Pass,4,Bo Levi Mitchell pass to Jon Cornish for 4 yards to the Tor47. Tackled by Nick Rosamonda.,29,3
01:20,2,Rush,22,Jon Cornish rush for 22 yards to the Tor25. Tackled by Jermaine Gabriel.,29,3
01:04,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Jon Cornish.,29,3
00:54,2,Offside,5,Penalty: Offside on Toronto (Aston Whiteside) 5 yards.,29,3
00:47,2,Pass,8,Bo Levi Mitchell pass to Nik Lewis for 8 yards to the Tor12. Tackled by Evan McCollough.,29,3
00:38,1,Pass,12,Bo Levi Mitchell pass to Sederrik Cunningham for 12 yards for a TOUCHDOWN.,29,9
00:38,0,Made Extra Point,0,Rene Paredes extra point is good.,29,10
00:38,0,Kickoff,95,Rene Paredes kicks off to the Tor0.,29,10
15:00,0,Holding,1,Swayze Waters kicks off to the Cgy6. Sederrik Cunningham return for 18 yards to Cgy24. Penalty: Unnecessary Roughness on Calgary (Shawn Lemon) -7 yards. Penalty: Holding on Calgary (Keenan MacDougall) -10 yards.,29,10
14:53,1,Rush,1,Jon Cornish rush for 1 yard to the Cgy8. Tackled by Vincent Agnew.,29,10
14:20,2,Pass,1,Bo Levi Mitchell pass to Nik Lewis for 1 yard to the Cgy9. Tackled by Nick Rosamonda.,29,10
13:54,3,Punt,4,Rob Maver punts for 71 yards to Tor30. LaVon Brazill return for 4 yards to Tor34. Tackled by Jeff Hecht.,29,10
13:30,1,Pass,6,Ricky Ray pass to Trent Guy for 6 yards to the Tor40. Tackled by Brandon Smith.,29,10
12:58,2,Pass,12,Ricky Ray pass to Jason Barnes for 12 yards to the Tor52. Tackled by Brandon Smith.,29,10
12:20,1,Pass,22,Ricky Ray pass to LaVon Brazill for 22 yards to the Cgy36. Tackled by Juwan Simpson.,29,10
11:40,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Jason Barnes.,29,10
11:21,2,Rush,7,Ricky Ray rush for 7 yards to the Cgy29. Tackled by Juwan Simpson.,29,10
10:22,3,Missed Field Goal,36,Swayze Waters 36 yard field goal attempt is GOOD.,32,10
10:15,0,Holding,10,Swayze Waters kicks off to the Cgy10. Sederrik Cunningham return for 20 yards to Cgy30. Penalty: Holding on Calgary (Keenan MacDougall) -10 yards.,32,10
10:15,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Maurice Price.,32,10
09:45,2,Rush,11,Bo Levi Mitchell rush for 11 yards to the Cgy31. Tackled by Alex Suber.,32,10
08:50,1,Rush,79,Jon Cornish rush for 79 yards for a TOUCHDOWN.,32,16
08:46,0,Roughing Passer,3,Penalty: Roughing Passer on Toronto (Cleyon Laing) 3 yards.,32,16
08:23,0,Offside,7,Matt Walter 2 pt rush attempt. Successful. Penalty: Offside on Toronto (Cleyon Laing) 5 yards.,32,18
08:04,0,Kickoff,23,Rene Paredes kicks off to the Tor4. LaVon Brazill return for 23 yards to Tor27. Tackled by Lin-J Shell.,32,18
07:58,1,Chop Block,-10,rush for 5 yards to the Tor32. Tackled by Demonte' Bolden. Penalty: Chop Block on Toronto (Chris Van Zeyl) -15 yards.,32,18
07:37,2,Sack,-7,Sack at Tor10 for a loss of 7 yards by Juwan Simpson.,32,18
06:55,3,No Yards,20,Swayze Waters punts for 35 yards to Tor45. Penalty: No Yards on Toronto (Jake Reinhart) -15 yards.,32,18
06:41,1,Pass,9,Bo Levi Mitchell pass to Maurice Price for 9 yards to the Tor21. Tackled by Branden Smith.,32,18
06:11,2,Rush,2,Bo Levi Mitchell rush for 2 yards to the Tor19. Tackled by Cleyon Laing.,32,18
05:50,0,Unnecessary Roughness,5,Penalty: Objectionable Conduct on Calgary (Sederrik Cunningham) -10 yards. Penalty: Unnecessary Roughness on Toronto (Aston Whiteside) 15 yards.,32,18
05:07,1,Pass,14,Bo Levi Mitchell pass to Brad Sinopoli for 14 yards for a TOUCHDOWN.,32,24
05:02,0,Made Extra Point,0,Rene Paredes extra point is good.,32,25
05:02,0,Illegal Block,19,Rene Paredes kicks off to the Tor0. LaVon Brazill return for 29 yards to Tor29. Penalty: Illegal Block on Toronto (Zander Robinson) -10 yards.,32,25
04:50,1,Pass,-2,Ricky Ray pass to Trent Guy for a loss of 2 yards to the Tor17. Tackled by Deron Mayo.,32,25
04:14,2,Rush,12,Ricky Ray rush for 12 yards to the Tor29. Tackled by Josh Bell.,32,25
03:44,1,Pass,8,Ricky Ray pass to   for 8 yards to the Tor37. Tackled by Brandon Smith.,32,25
03:32,2,Rush,-1,Steve Slaton rush for a loss of 1 yard to the Tor36. Tackled by Fred Bennett.,32,25
02:50,3,Punt,5,Swayze Waters punts for 45 yards to Cgy29. Sederrik Cunningham return for 5 yards to Cgy34. Tackled by Ivan Brown.,32,25
02:20,1,Pass,0,Bo Levi Mitchell pass to Jabari Arthur for no gain to the Cgy34. Tackled by Jermaine Gabriel.,32,25
01:45,2,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Jabari Arthur defensed by Jermaine Gabriel.,32,25
01:23,3,Punt,5,Rob Maver punts for 52 yards to Tor24. Branden Smith return for 5 yards to Tor29. Tackled by Glenn Love.,32,25
00:58,1,Rush,11,Curtis Steele rush for 11 yards to the Tor40. Tackled by Brandon Smith.,32,25
00:01,1,Pass,4,Ricky Ray pass to Zander Robinson for 4 yards to the Tor44. Tackled by Josh Bell.,32,25
15:00,2,Pass,7,Ricky Ray pass to Spencer Watt for 7 yards to the Tor51. Tackled by Quincy Butler.,32,25
14:30,1,Pass,9,Ricky Ray pass to Natey Adjei for 9 yards to the Cgy50. Tackled by Fred Bennett.,32,25
13:50,2,Rush,4,Ricky Ray rush for 4 yards to the Cgy46. Tackled by Juwan Simpson.,32,25
13:20,1,Pass,0,Ricky Ray pass to Spencer Watt for no gain to the Cgy46. Tackled by Jamar Wall.,32,25
12:47,2,Pass,-1,Ricky Ray pass to   for a loss of 1 yard to the Cgy47. Tackled by  .,32,25
11:53,3,Punt Single,0,Swayze Waters punts for 67 yards to Cgy0. No return (Single).,33,25
11:53,1,Pass,2,Bo Levi Mitchell pass to Simon Charbonneau-Campeau for 2 yards to the Cgy37. Tackled by Matt Black.,33,25
11:20,2,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Nik Lewis.,33,25
11:05,3,Punt,4,Rob Maver punts for 46 yards to Tor27. Branden Smith return for 4 yards to Tor31. Tackled by Adam Berger.,33,25
10:45,1,Rush,4,Steve Slaton rush for 4 yards to the Tor35. Tackled by Junior Turner.,33,25
10:12,2,Pass,10,Ricky Ray pass to LaVon Brazill for 10 yards to the Tor45. Tackled by Juwan Simpson.,33,25
09:20,1,Rush,4,Curtis Steele rush for 4 yards to the Tor49. Tackled by Deron Mayo.,33,25
09:06,2,Fumble,8,"Ricky Ray pass to LaVon Brazill for 8 yards to the Cgy53. FUMBLE, recovered by Cgy (Deron Mayo). Tackled by Curtis Steele.",33,25
