Time,Down,Type,Yards,Details,Edmonton,Calgary
06:35,3,No Yards,39,Rob Maver punts for 44 yards to Edm36. Penalty: No Yards on Calgary (Keenan MacDougall) -5 yards.,7,15
06:16,1,Pass,22,Matt Nichols pass to Adarius Bowman for 22 yards to the Cgy47. Tackled by Buddy Jackson.,7,15
05:53,1,Sack,-6,Sack at Cgy53 for a loss of 6 yards by Charleston Hughes.,7,15
05:11,2,Roughing Passer,22,Matt Nichols pass to A.J. Guyton for 7 yards to the Cgy46. Tackled by Jamar Wall. Penalty: Roughing Passer on Calgary (Keon Raymond) 15 yards.,7,15
04:53,1,Rush,6,Kendial Lawrence rush for 6 yards to the Cgy25. Tackled by Brandon Smith.,7,15
04:23,2,Pass,18,Matt Nichols pass to Adarius Bowman for 18 yards to the Cgy7. Tackled by Jamar Wall.,7,15
03:41,1,Incomplete Pass,0,Matt Nichols incomplete pass intended for A.J. Guyton.,7,15
03:26,2,Incomplete Pass,0,Matt Nichols incomplete pass intended for A.J. Guyton.,7,15
02:59,3,Missed Field Goal,14,Grant Shaw 14 yard field goal attempt is GOOD.,10,15
02:59,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Nik Lewis.,10,15
02:36,2,Incomplete Pass,0,Bo Levi Mitchell incomplete pass defensed by Willie Jefferson.,10,15
02:33,3,Punt,5,Rob Maver punts for 44 yards to Edm31. A.J. Guyton return for 5 yards to Edm36. Tackled by Lin-J Shell.,10,15
02:21,1,Fumble,7,"Matt Nichols pass to Adarius Bowman for 7 yards to the Edm43. FUMBLE, recovered by Edm (Shamawd Chambers).",10,15
02:14,2,Rush,4,Kendial Lawrence rush for 4 yards to the Edm47. Tackled by Charleston Hughes.,10,15
01:54,1,Pass,4,Matt Nichols pass to Adarius Bowman for 4 yards to the Edm51. Tackled by Buddy Jackson.,10,15
01:37,2,Offside,-5,Penalty: Offside on Edmonton (Adarius Bowman) -5 yards.,10,15
01:33,2,Rush,6,Tyler Thomas rush for 6 yards to the Edm52. Tackled by Shawn Lemon.,10,15
01:27,3,Punt,0,Grant Shaw punts for 53 yards to Cgy5. No return.,10,15
01:01,1,Rush,21,Jon Cornish rush for 21 yards to the Cgy26. Tackled by Chris Rwabukamba.,10,15
00:50,1,Rush,11,Jon Cornish rush for 11 yards to the Cgy37. Tackled by Chris Rwabukamba.,10,15
00:46,1,Sack,-5,Sack at Cgy32 for a loss of 5 yards by Eddie Steele.,10,15
00:28,2,Rush,9,Jon Cornish rush for 9 yards to the Cgy41. Tackled by Dexter McCoil.,10,15
00:12,3,Rush,18,Jon Cornish rush for 18 yards to the Edm51. Tackled by J.C. Sherritt.,10,15
15:00,0,Kickoff,14,Grant Shaw kicks off to the Cgy17. Jock Sanders return for 14 yards to Cgy31. Tackled by Calvin McCarty.,10,15
14:54,1,Pass,13,Bo Levi Mitchell pass to Maurice Price for 13 yards to the Cgy44. Tackled by Eric Samuels.,10,15
14:16,1,Pass,4,Bo Levi Mitchell pass to Marquay McDaniel for 4 yards to the Cgy48. Tackled by Otha Foster.,10,15
13:38,0,Illegal Contact,10,Penalty: Illegal Contact on Edmonton (Odell Willis) 10 yards.,10,15
13:15,1,Pass,10,Bo Levi Mitchell pass to Maurice Price for 10 yards to the Edm42. Tackled by Otha Foster.,10,15
12:38,2,Rush,1,Drew Tate rush for 1 yard to the Edm41. Tackled by Almondo Sewell.,10,15
11:47,1,Pass,1,Bo Levi Mitchell pass to Nik Lewis for 1 yard to the Edm40. Tackled by Dexter McCoil.,10,15
11:11,2,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Simon Charbonneau-Campeau defensed by Eric Samuels.,10,15
10:28,3,Missed Field Goal,47,Rene Paredes 47 yard field goal attempt is GOOD.,10,18
10:28,1,Rush,5,Kendial Lawrence rush for 5 yards to the Edm40. Tackled by Juwan Simpson.,10,18
10:00,2,Rush,3,Matt Nichols rush for 3 yards to the Edm43. Tackled by Shawn Lemon.,10,18
09:26,3,Punt,13,Grant Shaw punts for 46 yards to Cgy21. Jock Sanders return for 13 yards to Cgy34. Tackled by Deon Lacey.,10,18
09:03,1,Pass,2,Bo Levi Mitchell pass to Jon Cornish for 2 yards to the Cgy36. Tackled by Almondo Sewell.,10,18
08:20,2,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Nik Lewis defensed by Marcell Young.,10,18
08:05,3,Punt,6,Rob Maver punts for 42 yards to Edm32. A.J. Guyton return for 6 yards to Edm38. Tackled by Keenan MacDougall.,10,18
07:44,1,Rush,6,Kendial Lawrence rush for 6 yards to the Edm44. Tackled by Shawn Lemon.,10,18
07:10,2,Rush,6,Kendial Lawrence rush for 6 yards to the Edm50. Tackled by Juwan Simpson.,10,18
06:43,1,Rush,-5,Kendial Lawrence rush for a loss of 5 yards to the Edm45. Tackled by Shawn Lemon.,10,18
06:00,2,Incomplete Pass,0,Matt Nichols incomplete pass intended for A.J. Guyton.,10,18
05:39,3,Punt,6,Grant Shaw punts for 54 yards to Cgy11. Jock Sanders return for 6 yards to Cgy17. Tackled by Deon Lacey.,10,18
05:17,1,Rush,6,Jon Cornish rush for 6 yards to the Cgy23. Tackled by Cameron Sheffield.,10,18
04:52,2,Rush,9,Jon Cornish rush for 9 yards to the Cgy32. Tackled by Rennie Curran.,10,18
04:15,1,Rush,3,Jock Sanders rush for 3 yards to the Cgy35. Tackled by Gregory Alexandre.,10,18
03:39,2,Pass,17,Bo Levi Mitchell pass to   for 17 yards to the Cgy52. Tackled by Ryan Hinds.,10,18
02:50,1,Rush,-2,Jon Cornish rush for a loss of 2 yards to the Cgy50. Tackled by Otha Foster.,10,18
02:11,2,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Maurice Price.,10,18
01:51,3,Punt,6,Rob Maver punts for 50 yards to Edm10. A.J. Guyton return for 6 yards to Edm16. Tackled by Jeff Hecht.,10,18
01:35,1,Pass,37,Matt Nichols pass to Adarius Bowman for 37 yards to the Edm53. Tackled by Josh Bell.,10,18
01:02,1,Rush,4,Kendial Lawrence rush for 4 yards to the Cgy53. Tackled by Juwan Simpson.,10,18
00:23,2,Pass,5,Matt Nichols pass to Devon Bailey for 5 yards to the Cgy48. Tackled by Jamar Wall.,10,18
00:02,3,Illegal Procedure,-5,Penalty: Illegal Procedure on Edmonton (Pat White) -5 yards.,10,18
00:01,3,Punt,3,Grant Shaw punts for 48 yards to Cgy5. Jock Sanders return for 3 yards to Cgy8. Tackled by Deon Lacey.,10,18
15:00,1,Pass,20,Bo Levi Mitchell pass to Maurice Price for 20 yards to the Cgy28. Tackled by Dexter McCoil.,10,18
14:18,1,Pass,16,Bo Levi Mitchell pass to Marquay McDaniel for 16 yards to the Cgy44. Tackled by Aaron Grymes.,10,18
14:00,1,Pass,18,Bo Levi Mitchell pass to Joe West for 18 yards to the Edm48. Tackled by J.C. Sherritt.,10,18
13:15,1,Rush,0,Jon Cornish rush for no gain to the Edm48. Tackled by Dexter McCoil.,10,18
12:34,2,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Marquay McDaniel.,10,18
12:10,0,Roughing Kicker,15,Penalty: Roughing Kicker on Edmonton (Alonzo Lawrence) 15 yards.,10,18
11:47,1,Rush,0,Bo Levi Mitchell rush for no gain to the Edm33. Tackled by Odell Willis.,10,18
11:04,2,Pass,17,Bo Levi Mitchell pass to Nik Lewis for 17 yards to the Edm16. Tackled by Marcell Young.,10,18
10:20,1,Rush,13,Bo Levi Mitchell rush for 13 yards to the Edm3. Tackled by Eddie Steele.,10,18
09:10,1,Rush,3,Jon Cornish rush for 3 yards for a TOUCHDOWN.,10,24
08:49,0,Made Extra Point,0,Rene Paredes extra point is good.,10,25
08:49,0,Kickoff,20,Rene Paredes kicks off to the Edm13. Tyler Thomas return for 20 yards to Edm33. Tackled by Ben D'Aguilar.,10,25
08:43,1,Incomplete Pass,0,Matt Nichols incomplete pass intended for Adarius Bowman defensed by Lin-J Shell.,10,25
08:31,2,Pass,12,Matt Nichols pass to Shamawd Chambers for 12 yards to the Edm45. Tackled by Deron Mayo.,10,25
07:50,1,Pass,22,Matt Nichols pass to Shamawd Chambers for 22 yards to the Cgy43.,10,25
07:34,1,Incomplete Pass,0,Matt Nichols incomplete pass intended for Adarius Bowman.,10,25
07:16,2,Pass,9,Matt Nichols pass to Adarius Bowman for 9 yards to the Cgy34. Tackled by Buddy Jackson.,10,25
06:43,3,Rush,4,Kendial Lawrence rush for 4 yards to the Cgy30. Tackled by Jamar Wall.,10,25
06:10,1,Rush,3,Kendial Lawrence rush for 3 yards to the Cgy27. Tackled by Junior Turner.,10,25
05:35,0,Holding,-10,Penalty: Holding on Edmonton (Brian Ramsay) -10 yards.,10,25
05:10,2,Incomplete Pass,0,Matt Nichols incomplete pass intended for Kendial Lawrence.,10,25
04:37,3,Missed Field Goal,44,Grant Shaw 44 yard field goal attempt is GOOD.,13,25
04:37,1,Rush,44,Jon Cornish rush for 44 yards to the Edm31. Tackled by Aaron Grymes.,13,25
03:41,1,Rush,5,rush for 5 yards to the Edm26. Tackled by J.C. Sherritt.,13,25
03:10,2,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Maurice Price defensed by Otha Foster.,13,25
02:21,3,Missed Field Goal,33,Rene Paredes 33 yard field goal attempt is GOOD.,13,28
02:21,1,Pass,11,Matt Nichols pass to Nate Coehoorn for 11 yards to the Edm46. Tackled by Josh Bell.,13,28
02:13,1,Pass,8,Matt Nichols pass to Shamawd Chambers for 8 yards to the Edm54. Tackled by Buddy Jackson.,13,28
02:01,2,Rush,17,Tyler Thomas rush for 17 yards to the Cgy39. Tackled by Deron Mayo.,13,28
01:43,1,Pass,11,Matt Nichols pass to Adarius Bowman for 11 yards to the Cgy28. Tackled by Brandon Smith.,13,28
01:16,1,Incomplete Pass,0,Matt Nichols incomplete pass intended for Adarius Bowman.,13,28
01:06,2,Incomplete Pass,0,Matt Nichols incomplete pass intended for Adarius Bowman.,13,28
01:02,3,Incomplete Pass,0,Matt Nichols incomplete pass intended for Adarius Bowman.,13,28
00:56,1,Rush,3,Jon Cornish rush for 3 yards to the Cgy31. Tackled by Rennie Curran.,13,28
00:51,2,Offside,5,Penalty: Offside on Edmonton (Odell Willis) 5 yards.,13,28
00:39,2,Rush,3,rush for 3 yards to the Cgy39. Tackled by Eric Samuels.,13,28
