Time,Down,Type,Yards,Details,Edmonton,Calgary
15:00,0,Kickoff,15,Hugh O'Neill kicks off to the Cgy16. Sederrik Cunningham return for 15 yards to Cgy31. Tackled by Deon Lacey.,0,0
14:54,1,Rush,-1,Jon Cornish rush for a loss of 1 yard to the Cgy30. Tackled by Alonzo Lawrence.,0,0
14:12,2,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Marquay McDaniel.,0,0
13:52,3,Clipping,-11,Rob Maver punts for 52 yards to Edm28. Kendial Lawrence return for 4 yards to Edm32. Tackled by Keenan MacDougall. Penalty: Clipping on Edmonton (Mike Dubuisson) -15 yards.,0,0
13:34,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Adarius Bowman.,0,0
13:16,2,Pass,1,Mike Reilly pass to John White for 1 yard to the Edm18. Tackled by Buddy Jackson.,0,0
12:44,3,Punt,4,Hugh O'Neill punts for 39 yards to Cgy53. Sederrik Cunningham return for 4 yards to Edm53. Tackled by Calvin McCarty.,0,0
12:22,1,Rush,7,Jon Cornish rush for 7 yards to the Edm46. Tackled by Almondo Sewell.,0,0
11:27,2,Pass,46,Bo Levi Mitchell pass to Marquay McDaniel for 46 yards for a TOUCHDOWN.,0,6
11:13,0,Made Extra Point,0,Rene Paredes extra point is good.,0,7
11:13,0,Kickoff,31,Rene Paredes kicks off to the Edm11. Kendial Lawrence return for 31 yards to Edm42. Tackled by Keon Raymond.,0,7
11:04,1,Illegal Procedure,-5,Penalty: Illegal Procedure on Edmonton (Justin Sorensen) -5 yards.,0,7
10:51,1,Illegal Procedure,-5,Penalty: Illegal Procedure on Edmonton (Tony Washington) -5 yards.,0,7
10:38,1,Rush,7,John White rush for 7 yards to the Edm39. Tackled by Deron Mayo.,0,7
10:17,2,Pass,10,Mike Reilly pass to Kendial Lawrence for 10 yards to the Edm49. Tackled by Jamar Wall.,0,7
09:44,3,Punt,7,Hugh O'Neill punts for 50 yards to Cgy11. Sederrik Cunningham return for 7 yards to Cgy18. Tackled by Deon Lacey.,0,7
09:21,1,Sack,-1,Sack at Cgy17 for a loss of 1 yard by Odell Willis.,0,7
08:44,2,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Marquay McDaniel.,0,7
08:22,3,No Yards,29,Rob Maver punts for 34 yards to Cgy51. Penalty: No Yards on Calgary (Rob Cote) -5 yards.,0,7
08:05,1,Rush,1,John White rush for 1 yard to the Cgy45. Tackled by Quinn Smith.,0,7
07:39,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Devon Bailey defensed by Corey Mace.,0,7
07:04,3,Punt Single,0,Hugh O'Neill punts for 46 yards to Cgy0. No return (Single).,1,7
07:04,1,Rush,-5,Anthony Parker rush for a loss of 5 yards to the Cgy30. Tackled by Deon Lacey.,1,7
06:22,2,Pass,11,Bo Levi Mitchell pass to Eric Rogers for 11 yards to the Cgy41. Tackled by Aaron Grymes.,1,7
05:49,3,Punt,-3,Rob Maver punts for 49 yards to Edm20. Kendial Lawrence return for a loss of 3 yards to Edm17. Tackled by Frank Beltre.,1,7
05:30,1,Pass,7,Mike Reilly pass to Paris Jackson for 7 yards to the Edm24. Tackled by Buddy Jackson.,1,7
04:57,2,Rush,2,John White rush for 2 yards to the Edm26. Tackled by Quinn Smith.,1,7
04:04,3,Rush,2,Mike Reilly rush for 2 yards to the Edm28. Tackled by Charleston Hughes.,1,7
03:39,1,Rush,16,John White rush for 16 yards to the Edm44. Tackled by Keon Raymond.,1,7
03:00,1,Rush,10,Mike Reilly rush for 10 yards to the Edm54. Tackled by Deron Mayo.,1,7
02:37,1,Pass,9,Mike Reilly pass to Kendial Lawrence for 9 yards to the Cgy47. Tackled by Josh Bell.,1,7
01:52,2,Rush,2,Mike Reilly rush for 2 yards to the Cgy45. Tackled by Juwan Simpson.,1,7
01:22,1,Pass,-3,Mike Reilly pass to Kendial Lawrence for a loss of 3 yards to the Cgy48. Tackled by Shawn Lemon.,1,7
00:30,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Kendial Lawrence.,1,7
00:14,3,Punt,0,Hugh O'Neill punts for 29 yards to Cgy19. No return.,1,7
15:00,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Nik Lewis defensed by Rennie Curran.,1,7
14:45,0,Pass Interference,24,Penalty: Pass Interference on Edmonton (Marcell Young) 24 yards.,1,7
14:20,1,Roughing Passer,64,Bo Levi Mitchell pass to Simon Charbonneau-Campeau for 61 yards to the Edm6. Tackled by Cauchy Muamba. Penalty: Roughing Passer on Edmonton (Odell Willis) 3 yards.,1,7
13:50,1,Rush,1,Jon Cornish rush for 1 yard to the Edm2. Tackled by Cauchy Muamba.,1,7
13:17,2,Rush,2,Bo Levi Mitchell rush for 2 yards for a TOUCHDOWN.,1,13
13:09,0,Made Extra Point,0,Rene Paredes extra point is good.,1,14
13:09,0,Kickoff,23,Rene Paredes kicks off to the Edm12. Kendial Lawrence return for 23 yards to Edm35. Tackled by Keon Raymond.,1,14
13:01,1,Rush,4,John White rush for 4 yards to the Edm39. Tackled by Deron Mayo.,1,14
12:24,2,Interception,15,Mike Reilly pass intended for Nate Coehoorn INTERCEPTED and returned for 15 yards. Tackled by Thaddeus Coleman.,1,14
11:55,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Marquay McDaniel.,1,14
11:30,2,Rush,3,Jon Cornish rush for 3 yards to the Edm28. Tackled by Rennie Curran.,1,14
10:38,3,Field Goal Single,47,47 yard field goal attempt by Rene Paredes is NO GOOD (Single).,1,15
10:38,1,Pass,6,Mike Reilly pass to Paris Jackson for 6 yards to the Edm41. Tackled by Shawn Lemon.,1,15
10:22,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Adarius Bowman defensed by Junior Turner.,1,15
10:00,3,Punt,6,Hugh O'Neill punts for 43 yards to Cgy26. Sederrik Cunningham return for 6 yards to Cgy32. Tackled by Calvin McCarty.,1,15
09:40,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Joe West.,1,15
08:50,2,Pass,78,Bo Levi Mitchell pass to Jon Cornish for 78 yards for a TOUCHDOWN.,1,21
08:42,0,Made Extra Point,0,Rene Paredes extra point is good.,1,22
