Time,Down,Type,Yards,Details,Hamilton,Calgary
15:00,0,Kickoff,17,Rene Paredes kicks off to the Ham11. Terrell Sinkfield return for 17 yards to Ham28. Tackled by Frank Beltre.,0,0
14:54,1,Pass,7,Zach Collaros pass to Luke Tasker for 7 yards to the Ham35. Tackled by Buddy Jackson.,0,0
14:12,2,Rush,3,Terrell Sinkfield rush for 3 yards to the Ham38. Tackled by Fred Bennett.,0,0
13:24,1,Rush,13,Nic Grigsby rush for 13 yards to the Ham51. Tackled by Brandon Smith.,0,0
12:37,1,Rush,3,Nic Grigsby rush for 3 yards to the Ham54. Tackled by Shawn Lemon.,0,0
11:55,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Terrell Sinkfield.,0,0
11:31,3,Punt,0,Justin Medlock punts for 34 yards to Cgy22. Sederrik Cunningham return for no gain to Cgy22. Tackled by Mike Daly.,0,0
11:22,1,Rush,0,Jon Cornish rush for no gain to the Cgy22. Tackled by Erik Harris.,0,0
10:48,2,Offside,-5,Penalty: Offside on Calgary (Simon Charbonneau-Campeau) -5 yards.,0,0
10:24,2,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Jon Cornish.,0,0
09:59,3,Punt,10,Rob Maver punts for 54 yards to Ham39. Terrell Sinkfield return for 10 yards to Ham49. Tackled by Adam Thibault.,0,0
09:36,1,Pass,9,Zach Collaros pass to Mossis Madu for 9 yards to the Cgy52. Tackled by Jamar Wall.,0,0
08:51,0,Rush,-29,"FUMBLE Nic Grigsby rush for a loss of 29 yards to the Ham29., recovered by Ham (Brian Simmons).",0,0
08:22,3,Illegal Block,26,Justin Medlock punts for 31 yards to Cgy50. Penalty: No Yards on Hamilton (Arnaud Gascon-Nadon) -15 yards. Penalty: Illegal Block on Calgary (Maalik Bomar) 10 yards.,0,0
08:12,1,Pass,28,Bo Levi Mitchell pass to Eric Rogers for 28 yards to the Ham27. Tackled by Taylor Reed.,0,0
07:36,1,Pass,7,Bo Levi Mitchell pass to Marquay McDaniel for 7 yards to the Ham20. Tackled by Rico Murray.,0,0
06:53,2,Pass,6,Bo Levi Mitchell pass to Tim St. Pierre for 6 yards to the Ham14. Tackled by Erik Harris.,0,0
06:10,1,Pass,13,Bo Levi Mitchell pass to Nik Lewis for 13 yards to the Ham1. Tackled by Craig Butler.,0,0
05:12,1,Rush,1,Drew Tate rush for 1 yard for a TOUCHDOWN.,0,6
05:04,0,Made Extra Point,0,Rene Paredes extra point is good.,0,7
05:04,0,Kickoff,19,Rene Paredes kicks off to the Ham10. Brandon Banks return for 19 yards to Ham29. Tackled by Josh Bell.,0,7
04:56,1,Rush,-2,Nic Grigsby rush for a loss of 2 yards to the Ham27. Tackled by Juwan Simpson.,0,7
04:14,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Terrell Sinkfield.,0,7
03:49,3,Punt,4,Justin Medlock punts for 43 yards to Cgy40. Sederrik Cunningham return for 4 yards to Cgy44. Tackled by Arnaud Gascon-Nadon.,0,7
03:33,1,Pass,12,Bo Levi Mitchell pass to Eric Rogers for 12 yards to the Ham54. Tackled by Simoni Lawrence.,0,7
02:49,1,Rush,0,Jon Cornish rush for no gain to the Ham54. Tackled by Rico Murray.,0,7
02:06,2,Illegal Procedure,-5,Penalty: Illegal Procedure on Calgary (Brett Jones) -5 yards.,0,7
01:43,2,Illegal Procedure,-5,Penalty: Illegal Procedure on Calgary (Shane Bergman) -5 yards.,0,7
01:22,2,Pass,28,Bo Levi Mitchell pass to Simon Charbonneau-Campeau for 28 yards to the Ham36. Tackled by Rico Murray.,0,7
00:46,1,Pass,9,Bo Levi Mitchell pass to   for 9 yards to the Ham27. Tackled by Ed Gainey.,0,7
00:08,2,Rush,2,Bo Levi Mitchell rush for 2 yards to the Ham25. Tackled by Taylor Reed.,0,7
15:00,1,Pass,14,Bo Levi Mitchell pass to Marquay McDaniel for 14 yards to the Ham11. Tackled by Brandon Stewart.,0,7
14:43,0,Pass Interference,10,Penalty: Pass Interference on Hamilton (Brandon Stewart) 10 yards.,0,7
14:26,1,Face Mask,16,Drew Tate rush for 1 yard for a TOUCHDOWN. Penalty: Face Mask on Hamilton (Brandon Stewart) 15 yards.,0,13
14:01,0,Made Extra Point,0,Rene Paredes extra point is good.,0,14
14:01,0,Kickoff,29,Rene Paredes kicks off to the Ham0. Brandon Banks return for 29 yards to Ham26. Tackled by Keon Raymond.,0,14
13:51,1,Pass,21,Zach Collaros pass to Andy Fantuz for 21 yards to the Ham47. Tackled by Buddy Jackson.,0,14
13:14,1,Rush,3,Zach Collaros rush for 3 yards to the Ham50. Tackled by Junior Turner.,0,14
12:31,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Brandon Banks.,0,14
12:06,3,Punt,1,Justin Medlock punts for 47 yards to Cgy13. Sederrik Cunningham return for 1 yard to Cgy14. Tackled by Mike Daly.,0,14
11:57,1,Pass,15,Bo Levi Mitchell pass to Jon Cornish for 15 yards to the Cgy29. Tackled by Simoni Lawrence.,0,14
