Time,Down,Type,Yards,Details,Hamilton,Calgary
14:58,0,Kick Off Single,91,Justin Medlock kicks off to the Cgy0 (Single).,1,0
14:58,1,Rush,4,Matt Walter rush for 4 yards to the Cgy39. Tackled by Taylor Reed.,1,0
14:44,2,Pass,1,Bo Levi Mitchell pass to Marquay McDaniel for 1 yard to the Cgy40. Tackled by Delvin Breaux.,1,0
13:50,3,Punt,27,Rob Maver punts for 37 yards to Ham33. Brandon Banks return for 27 yards to Cgy50. Tackled by Randy Chevrier.,1,0
13:14,1,Sack,-2,Sack at Cgy52 for no gain by Charleston Hughes Recovered by Ham (C.J. Gable),1,0
12:31,2,Incomplete Pass,0,Jeremiah Masoli incomplete pass intended for Bakari Grant.,1,0
12:16,3,Punt,0,Justin Medlock punts for 36 yards to Cgy16. No return.,1,0
12:02,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Jeff Fuller defensed by Emanuel Davis.,1,0
11:43,2,Pass,12,Bo Levi Mitchell pass to Marquay McDaniel for 12 yards to the Cgy28. Tackled by Erik Harris.,1,0
11:14,1,Rush,0,Matt Walter rush for no gain to the Cgy28. Tackled by Courtney Stephen.,1,0
10:36,2,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Jock Sanders.,1,0
10:05,3,No Yards,21,Rob Maver punts for 36 yards to Ham46. Penalty: No Yards on Calgary (Maalik Bomar) -15 yards.,1,0
09:39,1,Rush,-2,C.J. Gable rush for a loss of 2 yards to the Cgy51. Tackled by Micah Johnson.,1,0
09:08,2,Incomplete Pass,0,Jeremiah Masoli incomplete pass intended for Andy Fantuz.,1,0
08:48,3,Punt,5,Justin Medlock punts for 41 yards to Cgy10. Jock Sanders return for 5 yards to Cgy15. Tackled by Arnaud Gascon-Nadon.,1,0
08:31,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Nik Lewis.,1,0
08:16,2,Rush,2,Bo Levi Mitchell rush for 2 yards to the Cgy17. Tackled by Brian Bulcke.,1,0
07:37,3,Punt,9,Rob Maver punts for 42 yards to Ham51. Brandon Banks return for 9 yards to Cgy50. Tackled by Rob Cote.,1,0
07:13,1,Rush,1,C.J. Gable rush for 1 yard to the Cgy49. Tackled by Charleston Hughes.,1,0
06:46,2,Incomplete Pass,0,Jeremiah Masoli incomplete pass intended for Bakari Grant.,1,0
06:20,3,Punt,7,Justin Medlock punts for 41 yards to Cgy8. Jock Sanders return for 7 yards to Cgy15. Tackled by Mossis Madu.,1,0
06:08,1,Unnecessary Roughness,-5,Matt Walter rush for 5 yards to the Cgy20. Tackled by Brandon Stewart. Penalty: Unnecessary Roughness on Calgary (Joe West) -10 yards.,1,0
05:50,2,Offside,5,Penalty: Offside on Hamilton (Ted Laurent) 5 yards.,1,0
05:30,2,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Nik Lewis defensed by Erik Harris.,1,0
05:10,3,Holding,45,Rob Maver punts for 40 yards to Cgy55. Penalty: No Yards on Calgary (Maalik Bomar) -5 yards. Penalty: Holding on Hamilton (Emanuel Davis) 10 yards.,1,0
04:52,1,Pass,12,Jeremiah Masoli pass to Luke Tasker for 12 yards to the Cgy48. Tackled by Jamar Wall.,1,0
04:26,1,Incomplete Pass,0,Jeremiah Masoli incomplete pass intended for Bakari Grant.,1,0
04:10,2,Pass,14,Jeremiah Masoli pass to Samuel Giguere for 14 yards to the Cgy34. Tackled by Fred Bennett.,1,0
03:35,1,Rush,-1,C.J. Gable rush for a loss of 1 yard to the Cgy35. Tackled by Juwan Simpson.,1,0
02:50,2,Incomplete Pass,0,Jeremiah Masoli incomplete pass intended for C.J. Gable.,1,0
02:05,3,Missed Field Goal,42,Justin Medlock 42 yard field goal attempt is GOOD.,4,0
02:05,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Jock Sanders.,4,0
01:43,2,Illegal Procedure,-5,Penalty: Illegal Procedure on Calgary (Spencer Wilson) -5 yards.,4,0
01:29,2,Pass,17,Bo Levi Mitchell pass to Brad Sinopoli for 17 yards to the Cgy47. Tackled by Marcellus Bowman.,4,0
00:55,1,Rush,2,Jock Sanders rush for 2 yards to the Cgy49. Tackled by Taylor Reed.,4,0
00:28,2,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Anthony Parker defensed by Brandon Stewart.,4,0
15:00,3,Punt,1,Rob Maver punts for 43 yards to Ham18. Brandon Banks return for 1 yard to Ham19. Tackled by Adam Berger.,4,0
14:45,1,Pass,11,Jeremiah Masoli pass to C.J. Gable for 11 yards to the Ham30. Tackled by Juwan Simpson.,4,0
14:27,1,Objectionable Conduct,20,Jeremiah Masoli pass to Greg Ellingson for 30 yards to the Cgy50. Tackled by Buddy Jackson. Penalty: Objectionable Conduct on Hamilton (Greg Ellingson) -10 yards.,4,0
14:04,1,Pass,8,Jeremiah Masoli pass to Samuel Giguere for 8 yards to the Cgy52. Tackled by Buddy Jackson.,4,0
13:49,2,Incomplete Pass,0,Jeremiah Masoli incomplete pass intended for Carl-Olivier Prime.,4,0
13:37,3,No Yards,27,Justin Medlock punts for 32 yards to Cgy20. Penalty: No Yards on Hamilton (Marc Beswick) -5 yards.,4,0
13:08,1,Rush,9,Matt Walter rush for 9 yards to the Cgy34. Tackled by Marcellus Bowman.,4,0
12:55,2,Rush,6,Drew Tate rush for 6 yards to the Cgy40. Tackled by Courtney Stephen.,4,0
12:25,1,Pass,16,Bo Levi Mitchell pass to Rob Cote for 16 yards to the Ham54. Tackled by Marcellus Bowman.,4,0
11:40,1,Pass,10,Bo Levi Mitchell pass to Matt Walter for 10 yards to the Ham44. Tackled by Erik Harris.,4,0
11:18,1,Time Count,-5,Penalty: Time Count on Calgary (Bo Levi Mitchell) -5 yards.,4,0
10:55,1,Pass,7,Bo Levi Mitchell pass to Marquay McDaniel for 7 yards to the Ham42. Tackled by Courtney Stephen.,4,0
10:27,2,Pass,18,Bo Levi Mitchell pass to Marquay McDaniel for 18 yards to the Ham24. Tackled by Marcellus Bowman.,4,0
09:45,1,Pass,3,Bo Levi Mitchell pass to Rob Cote for 3 yards to the Ham21. Tackled by Emanuel Davis.,4,0
09:01,2,Offside,5,Penalty: Offside on Hamilton (Erik Harris) 5 yards.,4,0
08:46,2,Unnecessary Roughness,-10,Bo Levi Mitchell pass to Jeff Fuller for 5 yards to the Ham11. Tackled by Delvin Breaux. Penalty: Unnecessary Roughness on Calgary (Spencer Wilson) -15 yards.,4,0
08:01,1,Rush,26,Brad Sinopoli rush for 26 yards for a TOUCHDOWN.,4,6
07:56,0,Made Extra Point,0,Rene Paredes extra point is good.,4,7
07:56,0,Kickoff,29,Rene Paredes kicks off to the Ham0. Brandon Banks return for 29 yards to Ham28. Tackled by Ben D'Aguilar.,4,7
07:48,1,Rush,5,Jeremiah Masoli rush for 5 yards to the Ham33.,4,7
07:14,2,Pass,8,Jeremiah Masoli pass to Bakari Grant for 8 yards to the Ham41. Tackled by Jamar Wall.,4,7
06:29,1,Rush,28,Brandon Banks rush for 28 yards to the Cgy41. Tackled by Fred Bennett.,4,7
06:09,1,Offside,5,Penalty: Offside on Calgary (Charleston Hughes) 5 yards.,4,7
05:56,1,Rush,4,Jeremiah Masoli rush for 4 yards to the Cgy32. Tackled by Freddie Bishop III.,4,7
05:20,2,Rush,2,Dan LeFevour rush for 2 yards to the Cgy30. Tackled by Micah Johnson.,4,7
04:31,1,Interception,0,Jeremiah Masoli pass intended for Samuel Giguere INTERCEPTED. No return. Tackled by Samuel Giguere.,4,7
04:16,1,Pass,10,Bo Levi Mitchell pass to Nik Lewis for 10 yards to the Cgy35. Tackled by Craig Butler.,4,7
03:35,1,Rush,8,Matt Walter rush for 8 yards to the Cgy43. Tackled by Brian Bulcke.,4,7
03:00,2,Rush,2,Matt Walter rush for 2 yards to the Cgy45. Tackled by Marcellus Bowman.,4,7
02:39,3,Rush,2,Drew Tate rush for 2 yards to the Cgy47. Tackled by Ted Laurent.,4,7
02:24,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass.,4,7
02:07,2,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Jeff Fuller.,4,7
02:01,3,Punt,4,Rob Maver punts for 54 yards to Ham9. Brandon Banks return for 4 yards to Ham13. Tackled by Ben D'Aguilar.,4,7
01:51,1,Rush,7,C.J. Gable rush for 7 yards to the Ham20. Tackled by Brandon Smith.,4,7
01:46,2,Rush,0,C.J. Gable rush for no gain to the Ham20. Tackled by Juwan Simpson.,4,7
01:27,3,Punt,5,Justin Medlock punts for 29 yards to Ham49. Jock Sanders return for 5 yards to Ham44. Tackled by Craig Butler.,4,7
01:17,1,Pass,3,Bo Levi Mitchell pass to Jock Sanders for 3 yards to the Ham41. Tackled by Brandon Stewart.,4,7
