Time,Down,Type,Yards,Details,Calgary,Montreal
07:38,2,Rush,1,Tyrell Sutton rush for 1 yard to the Mtl44. Tackled by Frank Beltre.,1,8
07:03,3,Rush,2,Tanner Marsh rush for 2 yards to the Mtl46. Tackled by Frank Beltre.,1,8
06:25,1,Pass,19,Tanner Marsh pass to James Rodgers for 19 yards to the Cgy45. Tackled by Deron Mayo.,1,8
06:00,1,Face Mask,24,Tyrell Sutton rush for 9 yards to the Cgy36. Tackled by Freddie Bishop III. Penalty: Face Mask on Calgary (Brandon Smith) 15 yards.,1,8
05:25,1,Rush,4,Tyrell Sutton rush for 4 yards to the Cgy17. Tackled by Deron Mayo.,1,8
04:38,2,Pass,17,Jonathan Crompton pass to James Rodgers for 17 yards for a TOUCHDOWN.,1,14
04:25,0,Made Extra Point,0,Sean Whyte extra point is good.,1,15
04:25,0,Kickoff,26,Sean Whyte kicks off to the Cgy17. Sederrik Cunningham return for 26 yards to Cgy43. Tackled by Daryl Townsend.,1,15
04:12,1,Incomplete Pass,0,Drew Tate incomplete pass intended for Hugh Charles.,1,15
03:56,2,Fumble,12,"Drew Tate pass to Nik Lewis for 12 yards to the Cgy55. FUMBLE, recovered by Cgy (Nik Lewis).",1,15
03:10,1,Rush,5,Hugh Charles rush for 5 yards to the Mtl50. Tackled by John Bowman.,1,15
03:00,2,Rush,15,Drew Tate rush for 15 yards to the Mtl35.,1,15
02:46,1,Rush,2,Hugh Charles rush for 2 yards to the Mtl33. Tackled by Aaron Lavarias.,1,15
02:41,2,Pass,9,Drew Tate pass to Brad Sinopoli for 9 yards to the Mtl24. Tackled by Jerald Brown.,1,15
02:21,1,Rush,9,Matt Walter rush for 9 yards to the Mtl15. Tackled by John Bowman.,1,15
02:01,2,Rush,2,Matt Walter rush for 2 yards to the Mtl13. Tackled by Bear Woods.,1,15
01:40,1,Pass,10,Drew Tate pass to Maurice Price for 10 yards to the Mtl3. Tackled by Billy Parker.,1,15
01:20,2,Rush,0,Bryant Moniz rush for no gain to the Mtl3. Tackled by Billy Parker.,1,15
01:00,1,Rush,2,Matt Walter rush for 2 yards to the Mtl1. Tackled by Billy Parker.,1,15
00:22,2,Rush,1,Drew Tate rush for 1 yard for a TOUCHDOWN.,7,15
00:22,0,Made Extra Point,0,Rene Paredes extra point is good.,8,15
00:22,0,Kickoff,17,Rene Paredes kicks off to the Mtl10. Tyrell Sutton return for 17 yards to Mtl27. Tackled by Glenn Love.,8,15
15:00,0,Kickoff,12,Rene Paredes kicks off to the Mtl15. Tyrell Sutton return for 12 yards to Mtl27. Tackled by Glenn Love.,8,15
14:52,1,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for Duron Carter.,8,15
14:33,2,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for Brandon London.,8,15
14:13,3,Punt,8,Sean Whyte punts for 35 yards to Cgy48. Sederrik Cunningham return for 8 yards to Mtl54. Tackled by Andrew Lue.,8,15
13:49,1,Incomplete Pass,0,Drew Tate incomplete pass intended for Anthony Parker.,8,15
13:29,0,Roughing Passer,5,Penalty: Holding on Calgary (Spencer Wilson) -10 yards. Penalty: Roughing Passer on Montreal (John Bowman) 15 yards.,8,15
13:01,1,Rush,4,Matt Walter rush for 4 yards to the Mtl45. Tackled by Marc-Olivier Brouillette.,8,15
12:30,2,Pass,39,Drew Tate pass to Maurice Price for 39 yards to the Mtl6. Tackled by Billy Parker.,8,15
11:43,1,Rush,6,Drew Tate rush for 6 yards for a TOUCHDOWN.,14,15
11:27,0,Made Extra Point,0,Rene Paredes extra point is good.,15,15
11:27,0,Kickoff,15,Rene Paredes kicks off to the Mtl13. Tyrell Sutton return for 15 yards to Mtl28. Tackled by Keenan MacDougall.,15,15
11:22,1,Rush,17,Brandon Whitaker rush for 17 yards to the Mtl45. Tackled by Fred Bennett.,15,15
10:44,1,Rush,5,Brandon Whitaker rush for 5 yards to the Mtl50. Tackled by Juwan Simpson.,15,15
10:10,2,Pass,6,Jonathan Crompton pass to Dave Stala for 6 yards to the Cgy54. Tackled by Brandon Smith.,15,15
