Time,Down,Type,Yards,Details,Calgary,BC
06:27,1,Pass,18,Bo Levi Mitchell pass to Joe West for 18 yards to the Cgy43. Tackled by Ronnie Yell.,10,6
05:44,1,Rush,17,Anthony Parker rush for 17 yards to the BC50. Tackled by Solomon Elimimian.,10,6
04:58,1,Pass,6,Bo Levi Mitchell pass to Anthony Parker for 6 yards to the BC44. Tackled by Ryan Phillips.,10,6
04:37,2,Pass,31,Bo Levi Mitchell pass to Marquay McDaniel for 31 yards to the BC13. Tackled by T.J. Lee.,10,6
03:48,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Martell Mallett.,10,6
03:26,0,Pass Interference,12,Penalty: Pass Interference on BC (Cord Parks) 12 yards.,10,6
03:01,1,Rush,0,Bryant Moniz rush for no gain to the BC1. Tackled by Jamall Johnson.,10,6
02:42,2,Face Mask,16,Bryant Moniz rush for 1 yard for a TOUCHDOWN. Penalty: Face Mask on BC (Rob Lohr) 15 yards.,16,6
02:18,0,Made Extra Point,0,Rene Paredes extra point is good.,17,6
02:18,0,Kickoff,17,Rene Paredes kicks off to the BC5. Marco Iannuzzi return for 17 yards to BC22. Tackled by Jeff Hecht.,17,6
02:12,1,Pass,6,Kevin Glenn pass to Ernest Jackson for 6 yards to the BC28. Tackled by Deron Mayo.,17,6
02:08,2,Pass,5,Kevin Glenn pass to Stefan Logan for 5 yards to the BC33. Tackled by Keon Raymond.,17,6
01:53,1,Pass,6,Kevin Glenn pass to Emmanuel Arceneaux for 6 yards to the BC39.,17,6
01:35,2,Pass,15,Kevin Glenn pass to Shawn Gore for 15 yards to the BC54. Tackled by Jamar Wall.,17,6
01:25,1,Pass,10,Kevin Glenn pass to Kito Poblah for 10 yards to the Cgy46.,17,6
01:01,1,Pass,46,Kevin Glenn pass to Emmanuel Arceneaux for 46 yards for a TOUCHDOWN.,17,12
01:01,0,Made Extra Point,0,Paul McCallum extra point is good.,17,13
01:01,0,Kickoff,29,Ricky Schmitt kicks off to the Cgy16. Keon Raymond return for 29 yards to Cgy45. Tackled by Casey Chin.,17,13
00:55,1,Pass,5,Bo Levi Mitchell pass to Marquay McDaniel for 5 yards to the Cgy50. Tackled by Ryan Phillips.,17,13
00:49,2,Pass,36,Bo Levi Mitchell pass to Marquay McDaniel for 36 yards to the BC24. Tackled by Josh Johnson.,17,13
00:23,1,Pass,48,Bo Levi Mitchell pass to Eric Rogers for 24 yards to the BC0. Bo Levi Mitchell pass to Eric Rogers for 24 yards for a TOUCHDOWN.,23,13
00:23,0,Made Extra Point,0,Rene Paredes extra point is good.,24,13
00:23,0,Holding,-5,Rene Paredes kicks off to the BC21. Marco Iannuzzi return for 5 yards to BC26. Penalty: Holding on BC (Pascal Lochard) -10 yards.,24,13
00:15,1,Rush,3,Stefan Logan rush for 3 yards to the BC19. Tackled by Juwan Simpson.,24,13
15:00,0,Kickoff,14,Rene Paredes kicks off to the BC13. Marco Iannuzzi return for 14 yards to BC27. Tackled by Keenan MacDougall.,24,13
14:54,1,Rush,7,Stefan Logan rush for 7 yards to the BC34. Tackled by Juwan Simpson.,24,13
14:14,2,Rush,5,Stefan Logan rush for 5 yards to the BC39. Tackled by  .,24,13
13:40,1,Pass,6,Kevin Glenn pass to Emmanuel Arceneaux for 6 yards to the BC45. Tackled by Jamar Wall.,24,13
13:07,2,Pass,20,Kevin Glenn pass to Stefan Logan for 20 yards to the Cgy45. Tackled by Buddy Jackson.,24,13
12:43,1,Rush,2,Pascal Lochard rush for 2 yards to the Cgy43. Tackled by Josh Bell.,24,13
12:09,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Kito Poblah.,24,13
11:49,3,Time Count,-5,Penalty: Time Count on BC (Paul McCallum) -5 yards.,24,13
11:27,3,Punt,9,Paul McCallum punts for 38 yards to Cgy10. Anthony Parker return for 9 yards to Cgy19. Tackled by Alex Hoffman-Ellis.,24,13
