Time,Down,Type,Yards,Details,Calgary,BC
02:45,0,Made Extra Point,0,Paul McCallum extra point is good.,4,17
02:45,0,Kickoff,23,Paul McCallum kicks off to the Cgy22. Clifton Smith return for 23 yards to Cgy45. Tackled by Rolly Lumbala.,4,17
02:38,1,Pass,2,Drew Tate pass to Rob Cote for 2 yards to the Cgy47. Tackled by Cord Parks.,4,17
02:30,2,Incomplete Pass,0,Drew Tate incomplete pass intended for Marquay McDaniel.,4,17
02:09,3,Punt,16,Rob Maver punts for 58 yards to BC5. Stefan Logan return for 16 yards to BC21. Tackled by Yannick Carter.,4,17
01:58,1,Rush,3,Stefan Logan rush for 3 yards to the BC24. Tackled by Glenn Love.,4,17
01:51,2,Pass,11,pass to Marco Iannuzzi for 11 yards to the BC35. Tackled by Chris Randle.,4,17
01:27,1,Rush,-2,Stefan Logan rush for a loss of 2 yards to the BC33. Tackled by Brandon Smith.,4,17
01:19,2,Incomplete Pass,0,incomplete pass intended for Andrew Harris.,4,17
00:57,3,Punt,8,Paul McCallum punts for 44 yards to Cgy33. Clifton Smith return for 8 yards to Cgy41. Tackled by Korey Jones.,4,17
00:46,1,Sack,-10,Sack at Cgy31 for a loss of 10 yards by Jabar Westerman.,4,17
00:41,2,Chop Block,-8,Matt Walter rush for 7 yards to the Cgy38. Tackled by Adam Bighill. Penalty: Chop Block on Calgary (Edwin Harrison) -15 yards.,4,17
00:19,3,Punt,10,Rob Maver punts for 43 yards to BC44. Stefan Logan return for 10 yards to BC54. Tackled by Randy Chevrier.,4,17
00:10,1,Rush,9,Andrew Harris rush for 9 yards to the Cgy47. Tackled by Deron Mayo.,4,17
15:00,0,Kickoff,18,Rene Paredes kicks off to the BC20. Andrew Harris return for 18 yards to BC38. Tackled by Yannick Carter.,4,17
14:53,1,Rush,-1,Stefan Logan rush for a loss of 1 yard to the BC37. Tackled by Glenn Love.,4,17
14:15,2,Sack,-2,Sack at BC35 for a loss of 2 yards by Deron Mayo.,4,17
13:41,3,Punt,5,Paul McCallum punts for 40 yards to Cgy35. Clifton Smith return for 5 yards to Cgy40. Tackled by Korey Jones.,4,17
13:28,1,Incomplete Pass,0,Drew Tate incomplete pass intended for Jeff Fuller.,4,17
13:10,2,Pass,5,Drew Tate pass to Matt Walter for 5 yards to the Cgy45. Tackled by Jason Arakgi.,4,17
12:39,3,Punt,11,Rob Maver punts for 49 yards to BC16. Stefan Logan return for 11 yards to BC27. Tackled by Glenn Love.,4,17
12:15,1,Rush,12,Andrew Harris rush for 12 yards to the BC39. Tackled by Junior Turner.,4,17
11:37,1,Rush,5,Stefan Logan rush for 5 yards to the BC44. Tackled by Glenn Love.,4,17
11:00,2,Incomplete Pass,0,Thomas DeMarco incomplete pass intended for Nick Moore.,4,17
10:42,3,Punt,0,Paul McCallum punts for 36 yards to Cgy30. No return.,4,17
10:32,1,Rush,11,Drew Tate rush for 11 yards to the Cgy41. Tackled by Chris Wilson.,4,17
10:15,1,Pass,5,Drew Tate pass to Maurice Price for 5 yards to the Cgy46. Tackled by Dante Marsh.,4,17
09:43,2,Rush,9,Matt Walter rush for 9 yards to the Cgy55. Tackled by Solomon Elimimian.,4,17
08:59,1,Incomplete Pass,0,Drew Tate incomplete pass intended for Jeff Fuller defensed by Cameron Chism.,4,17
08:41,2,Offside,-5,Penalty: Offside on Calgary (Kenny Stafford) -5 yards.,4,17
08:15,2,Rush,4,Drew Tate rush for 4 yards to the Cgy54. Tackled by Jermaine Reid.,4,17
07:43,2,Punt,6,Rob Maver punts for 47 yards to BC9. Stefan Logan return for 6 yards to BC15. Tackled by Chris Randle.,4,17
07:25,1,Rush,9,Thomas DeMarco rush for 9 yards to the BC24. Tackled by Eric Fraser.,4,17
06:57,2,Rush,2,Thomas DeMarco rush for 2 yards to the BC26. Tackled by Juwan Simpson.,4,17
06:24,1,Incomplete Pass,0,Thomas DeMarco incomplete pass intended for Shawn Gore.,4,17
06:00,2,Incomplete Pass,0,Thomas DeMarco incomplete pass intended for Shawn Gore.,4,17
05:35,3,Punt,7,Paul McCallum punts for 32 yards to Cgy52. Clifton Smith return for 7 yards to BC51. Tackled by Lin-J Shell.,4,17
05:23,1,Pass,16,Drew Tate pass to Rob Cote for 16 yards to the BC35. Tackled by Eric Taylor.,4,17
05:04,1,Pass,21,Drew Tate pass to Jeff Fuller for 21 yards to the BC14. Tackled by Solomon Elimimian.,4,17
04:29,1,Incomplete Pass,0,Drew Tate incomplete pass defensed by Chris Wilson.,4,17
04:02,2,Incomplete Pass,0,Drew Tate incomplete pass intended for Anthony Parker.,4,17
03:21,3,Missed Field Goal,21,Rene Paredes 21 yard field goal attempt is GOOD.,7,17
03:21,0,Kickoff,26,Rene Paredes kicks off to the BC14. Stefan Logan return for 26 yards to BC40. Tackled by Yannick Carter.,7,17
03:14,1,Rush,5,Stefan Logan rush for 5 yards to the BC45. Tackled by Keon Raymond.,7,17
02:36,2,Pass,7,Thomas DeMarco pass to Shawn Gore for 7 yards to the BC52. Tackled by Fred Bennett.,7,17
01:55,1,Incomplete Pass,0,Thomas DeMarco incomplete pass intended for Nick Moore.,7,17
01:32,2,Pass,8,Thomas DeMarco pass to Nick Moore for 8 yards to the Cgy50. Tackled by Jamar Wall.,7,17
01:06,3,Punt,6,Paul McCallum punts for 37 yards to Cgy13. Clifton Smith return for 6 yards to Cgy19. Tackled by Lin-J Shell.,7,17
00:54,1,Rush,16,Matt Walter rush for 16 yards to the Cgy35. Tackled by J.R. LaRose.,7,17
00:12,1,Offside,-5,Penalty: Offside on Calgary (Maurice Price) -5 yards.,7,17
00:01,1,Pass,5,Drew Tate pass to Jabari Arthur for 5 yards to the Cgy35. Tackled by Lin-J Shell.,7,17
15:00,2,Incomplete Pass,0,Drew Tate incomplete pass intended for Jabari Arthur.,7,17
14:42,3,Face Mask,22,Rob Maver punts for 53 yards to BC22. Stefan Logan return for 7 yards to BC29. Tackled by Yannick Carter. Penalty: Face Mask on Calgary (Yannick Carter) 15 yards.,7,17
14:30,1,Incomplete Pass,0,Thomas DeMarco incomplete pass intended for Emmanuel Arceneaux.,7,17
14:07,2,Pass,21,Thomas DeMarco pass to Courtney Taylor for 21 yards to the Cgy45. Tackled by Jeff Hecht.,7,17
13:24,1,Rush,7,Stefan Logan rush for 7 yards to the Cgy38. Tackled by Brandon Smith.,7,17
12:40,2,Rush,1,Stefan Logan rush for 1 yard to the Cgy37. Tackled by Justin Phillips.,7,17
11:22,3,Missed Field Goal,45,Paul McCallum 45 yard field goal attempt is GOOD.,7,20
11:22,1,Offside,-5,Penalty: Offside on Calgary (Kenny Stafford) -5 yards.,7,20
11:00,1,Illegal Procedure,-5,Penalty: Illegal Procedure on Calgary (Edwin Harrison) -5 yards.,7,20
10:39,1,Pass,7,Bo Levi Mitchell pass to Jeff Fuller for 7 yards to the Cgy32. Tackled by Dante Marsh.,7,20
10:00,2,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Anthony Parker.,7,20
09:39,3,Punt,13,Rob Maver punts for 50 yards to BC28. Stefan Logan return for 13 yards to BC41. Tackled by Yannick Carter.,7,20
09:22,1,Pass,45,Thomas DeMarco pass to Emmanuel Arceneaux for 45 yards to the Cgy24. Tackled by Brandon Smith.,7,20
08:42,1,Rush,2,Andrew Harris rush for 2 yards to the Cgy22. Tackled by Junior Turner.,7,20
