Time,Down,Type,Yards,Details,BC,Winnipeg
07:13,1,Interception,2,Max Hall pass intended for Clarence Denmark INTERCEPTED by Cord Parks and returned for 2 yards. Tackled by Clarence Denmark.,15,7
06:53,1,Rush,1,Andrew Harris rush for 1 yard to the Wpg27. Tackled by Pierre-Luc Labbe.,15,7
06:09,2,Incomplete Pass,0,Thomas DeMarco incomplete pass intended for Nick Moore defensed by Marty Markett.,15,7
05:36,3,Missed Field Goal,34,Paul McCallum 34 yard field goal attempt is GOOD.,18,7
05:36,0,Kickoff,17,Paul McCallum kicks off to the Wpg15. Will Ford return for 17 yards to Wpg32. Tackled by Tim Cronk.,18,7
05:29,1,Rush,11,Will Ford rush for 11 yards to the Wpg43. Tackled by Adam Bighill.,18,7
04:54,0,Pass Interference,31,Penalty: Pass Interference on BC (Dante Marsh) 31 yards.,18,7
04:00,1,Interception,80,Max Hall pass intended for Jade Etienne INTERCEPTED by Dante Marsh and returned for 80 yards for a TOUCHDOWN.,24,7
03:42,0,Made Extra Point,0,Paul McCallum extra point is good.,25,7
03:42,0,Kickoff,13,Paul McCallum kicks off to the Wpg12. Clarence Denmark return for 13 yards to Wpg25. Tackled by Tim Cronk.,25,7
03:37,1,Incomplete Pass,0,Max Hall incomplete pass intended for Clarence Denmark.,25,7
03:15,2,Pass,-1,Max Hall pass to Will Ford for a loss of 1 yard to the Wpg24. Tackled by Khreem Smith.,25,7
02:53,3,Punt,14,Mike Renaud punts for 41 yards to BC45. Tim Brown return for 14 yards to Wpg51. Tackled by James Green.,25,7
02:35,1,Pass,6,Thomas DeMarco pass to Tim Brown for 6 yards to the Wpg45. Tackled by Henoc Muamba.,25,7
02:31,2,Incomplete Pass,0,Thomas DeMarco incomplete pass intended for  .,25,7
02:01,3,Punt Single,0,Paul McCallum punts for 50 yards to Wpg0. No return (Single).,26,7
01:49,1,Fumble,55,"Max Hall pass to Akeem Foster for 10 yards to the Wpg45. FUMBLE, recovered by BC (Cord Parks) and returned for 45 yards for a TOUCHDOWN.",32,7
01:49,0,Made Extra Point,0,Paul McCallum extra point is good.,33,7
01:49,0,Kickoff OOB,30,Paul McCallum kicks off to the Wpg6. Penalty: Kickoff OOB on BC (Paul McCallum) -39 yards.,33,7
01:49,1,Pass,8,Max Hall pass to Aaron Kelly for 8 yards to the Wpg53. Tackled by Adam Bighill.,33,7
01:44,2,Rush,9,Will Ford rush for 9 yards to the BC48. Tackled by Solomon Elimimian.,33,7
01:39,1,Pass,13,Max Hall pass to Clarence Denmark for 13 yards to the BC35. Tackled by Ryan Phillips.,33,7
01:21,1,Incomplete Pass,0,Max Hall incomplete pass intended for Aaron Kelly.,33,7
01:02,2,Pass,35,Max Hall pass to Clarence Denmark for 35 yards for a TOUCHDOWN.,33,13
01:02,0,Made Extra Point,0,Sandro DeAngelis extra point is good.,33,14
01:02,0,Kickoff,14,Sandro DeAngelis kicks off to the BC23. Tim Brown return for 14 yards to BC37. Tackled by Teague Sherman.,33,14
00:58,1,Incomplete Pass,0,Thomas DeMarco incomplete pass intended for Nick Moore.,33,14
00:53,2,Pass,6,Thomas DeMarco pass to Paris Jackson for 6 yards to the BC43. Tackled by Demond Washington.,33,14
00:48,3,Punt,-2,Paul McCallum punts for 38 yards to Wpg29. Demond Washington return for a loss of 2 yards to Wpg27. Tackled by Jordan Matechuk.,33,14
00:22,1,Pass,23,Max Hall pass to Rory Kohlert for 23 yards to the Wpg50. Tackled by J.R. LaRose.,33,14
00:15,1,Incomplete Pass,0,Max Hall incomplete pass intended for Clarence Denmark.,33,14
00:01,2,Pass,4,Max Hall pass to Jade Etienne for 4 yards to the Wpg54. Tackled by Adam Bighill.,33,14
15:00,0,Kickoff,21,Sandro DeAngelis kicks off to the BC18. Tim Brown return for 21 yards to BC39. Tackled by Henoc Muamba.,33,14
14:55,1,Rush,7,Tim Brown rush for 7 yards to the BC46. Tackled by Desia Dunn.,33,14
14:15,2,Rush,-2,Andrew Harris rush for a loss of 2 yards to the BC44. Tackled by Kenny Mainor.,33,14
13:50,3,Punt,6,Paul McCallum punts for 51 yards to Wpg15. Jovon Johnson return for 6 yards to Wpg21. Tackled by Lin-J Shell.,33,14
13:34,1,Interception,0,Jason Boltus pass intended for Will Ford INTERCEPTED by Solomon Elimimian. No return. Tackled by Will Ford.,33,14
13:21,1,Pass,11,Thomas DeMarco pass to Seydou Junior Haidara for 11 yards to the Wpg17. Tackled by Desia Dunn.,33,14
12:31,1,Rush,7,Andrew Harris rush for 7 yards to the Wpg10. Tackled by Desia Dunn.,33,14
11:45,2,Pass,9,Thomas DeMarco pass to Tim Brown for 9 yards to the Wpg1. Tackled by Marty Markett.,33,14
10:36,1,Rush,1,Thomas DeMarco rush for 1 yard for a TOUCHDOWN.,39,14
10:18,0,Made Extra Point,0,Paul McCallum extra point is good.,40,14
10:18,0,Kickoff,25,Paul McCallum kicks off to the Wpg9. Will Ford return for 25 yards to Wpg34. Tackled by Tim Cronk.,40,14
10:12,1,Rush,0,Will Ford rush for no gain to the Wpg34. Tackled by Adam Bighill.,40,14
09:29,2,Incomplete Pass,0,Jason Boltus incomplete pass intended for Rory Kohlert.,40,14
09:09,3,Punt,10,Mike Renaud punts for 45 yards to BC31. Tim Brown return for 10 yards to BC41. Tackled by Henoc Muamba.,40,14
08:48,1,Rush,-1,Andrew Harris rush for a loss of 1 yard to the BC40. Tackled by Greg Peach.,40,14
08:12,2,Incomplete Pass,0,Thomas DeMarco incomplete pass intended for  .,40,14
07:54,3,Punt,5,Paul McCallum punts for 55 yards to Wpg15. Jovon Johnson return for 5 yards to Wpg20. Tackled by Tim Cronk.,40,14
07:38,1,Pass,6,Jason Boltus pass to Terrence Edwards for 6 yards to the Wpg26. Tackled by Korey Banks.,40,14
07:00,2,Incomplete Pass,0,Jason Boltus incomplete pass intended for Rory Kohlert defensed by Korey Banks.,40,14
06:40,3,Illegal Punt,23,Mike Renaud punts for 33 yards to BC51. Penalty: Illegal Punt on Winnipeg (Mike Renaud) -10 yards.,40,14
06:18,1,Pass,13,Thomas DeMarco pass to Nick Moore for 13 yards to the Wpg36. Tackled by Jovon Johnson.,40,14
05:45,1,Pass,1,Thomas DeMarco pass to Shawn Gore for 1 yard to the Wpg35. Tackled by Alex Suber.,40,14
05:04,2,Pass,8,Thomas DeMarco pass to Shawn Gore for 8 yards to the Wpg27. Tackled by Demond Washington.,40,14
04:36,3,Rush,1,Thomas DeMarco rush for 1 yard to the Wpg26. Tackled by Henoc Muamba.,40,14
04:12,1,Pass,0,Jason Boltus pass to Aaron Kelly for no gain to the Wpg26. Tackled by Adam Bighill.,40,14
03:39,2,Sack,-5,Sack at Wpg21 for no gain by Solomon Elimimian Recovered by Wpg (Jason Boltus),40,14
