Time,Down,Type,Yards,Details,BC,Toronto
15:00,0,Kickoff,23,Noel Prefontaine kicks off to the BC16. Tim Brown return for 23 yards to BC39. Tackled by James Yurichuk.,0,0
14:54,1,Incomplete Pass,0,Travis Lulay incomplete pass intended for Nick Moore.,0,0
14:32,2,Pass,17,Travis Lulay pass to Courtney Taylor for 17 yards to the Tor54. Tackled by Jamie Robinson.,0,0
14:01,1,Sack,-7,Sack at BC49 for a loss of 7 yards by Khalif Mitchell.,0,0
13:08,2,Sack,-3,Sack at BC46 for a loss of 3 yards by Shane Horton.,0,0
12:35,3,Punt,5,Paul McCallum punts for 44 yards to Tor20. Chad Owens return for 5 yards to Tor25.,0,0
12:24,1,Rush,5,Zach Collaros rush for 5 yards to the Tor30. Tackled by Khreem Smith.,0,0
11:50,2,Pass,16,Zach Collaros pass to Jason Barnes for 16 yards to the Tor46. Tackled by Adam Bighill.,0,0
11:31,1,Rush,4,Zach Collaros rush for 4 yards to the Tor50. Tackled by Solomon Elimimian.,0,0
10:50,2,Fumble,-2,Recovered by BC (Korey Banks) FUMBLE,0,0
10:14,0,Rush,3,"FUMBLE Andrew Harris rush for 3 yards to the Tor39., recovered by BC (Kirby Fabien).",0,0
09:15,2,Pass,36,Travis Lulay pass to Nick Moore for 36 yards to the Tor3. Tackled by Marcus Ball.,0,0
09:14,1,Pass,0,Thomas DeMarco pass to Rolly Lumbala for no gain to the Tor3. Tackled by Robert McCune.,0,0
08:28,2,Incomplete Pass,0,Travis Lulay incomplete pass intended for Marco Iannuzzi.,0,0
07:48,3,Missed Field Goal,10,Paul McCallum 10 yard field goal attempt is GOOD.,3,0
07:48,0,Kickoff,23,Hugh O'Neill kicks off to the Tor26. Zander Robinson return for 23 yards to Tor49. Tackled by Hugh O'Neill.,3,0
07:36,1,Face Mask,20,Curtis Steele rush for 5 yards to the Tor54. Tackled by Keron Williams. Penalty: Face Mask on BC (Dante Marsh) 15 yards.,3,0
07:09,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Chad Owens defensed by Dante Marsh.,3,0
06:49,2,Pass,7,Zach Collaros pass to John Chiles for 7 yards to the BC34. Tackled by Cord Parks.,3,0
05:50,3,Holding,22,41 yard field goal attempt by Noel Prefontaine is NO GOOD.  Missed field goal returned by Tim Brown to the BC25. Penalty: Holding on BC (Josh Bell) -10 yards.,3,0
05:20,1,Rush,10,Andrew Harris rush for 10 yards to the BC25. Tackled by Joshua Gatlin.,3,0
05:00,2,Rush,2,Thomas DeMarco rush for 2 yards to the BC27. Tackled by Robert McCune.,3,0
04:56,1,Pass,-1,Travis Lulay pass to Andrew Harris for a loss of 1 yard to the BC26. Tackled by Kiante Tripp.,3,0
03:22,1,Rush,4,Travis Lulay rush for 4 yards to the BC30. Tackled by Jamie Robinson.,3,0
03:19,1,Holding,-4,Paul McCallum punts for 46 yards to Tor34. Chad Owens return for 6 yards to Tor40. Penalty: Holding on Toronto (Spencer Watt) -10 yards.,3,0
02:52,1,Sack,-14,Sack at Tor16 for a loss of 14 yards by Adam Bighill.,3,0
02:13,2,Pass,9,Zach Collaros pass to Curtis Steele for 9 yards to the Tor25. Tackled by Cord Parks.,3,0
01:52,3,Holding,-9,Noel Prefontaine punts for 36 yards to BC49. Tim Brown return for 1 yard to BC50. Penalty: Holding on BC (Jordan Matechuk) -10 yards.,3,0
01:19,1,Interception,9,Travis Lulay pass intended for Nick Moore INTERCEPTED by Marcus Ball and returned for 9 yards. Tackled by Courtney Taylor.,3,0
00:58,1,Rush,8,Zach Collaros rush for 8 yards to the BC35. Tackled by Solomon Elimimian.,3,0
00:30,2,Rush,2,Zach Collaros rush for 2 yards to the BC33. Tackled by Solomon Elimimian.,3,0
00:01,3,Rush,0,Zach Collaros rush for no gain to the BC33. Tackled by Jason Arakgi.,3,0
15:00,1,Pass,7,Zach Collaros pass to Chad Owens for 7 yards to the BC26. Tackled by Josh Bell.,3,0
14:13,2,Rush,4,Zach Collaros rush for 4 yards to the BC22. Tackled by Solomon Elimimian.,3,0
13:10,1,Pass,22,Zach Collaros pass to Jason Barnes for 22 yards for a TOUCHDOWN.,3,6
12:56,0,Made Extra Point,0,Noel Prefontaine extra point is good.,3,7
12:56,0,Kickoff,33,Noel Prefontaine kicks off to the BC16. Tim Brown return for 33 yards to BC49. Tackled by Janzen Jackson.,3,7
12:46,1,Rush,15,Andrew Harris rush for 15 yards to the Tor46.,3,7
12:16,1,Pass,7,Travis Lulay pass to Nick Moore for 7 yards to the Tor39. Tackled by Marcus Ball.,3,7
11:33,2,Rush,7,Andrew Harris rush for 7 yards to the Tor32. Tackled by Jalil Carter.,3,7
11:10,1,Rush,4,Andrew Harris rush for 4 yards to the Tor28. Tackled by Jonathan Williams.,3,7
10:30,2,Pass,11,Travis Lulay pass to Courtney Taylor for 11 yards to the Tor17. Tackled by Matt Black.,3,7
09:52,1,Incomplete Pass,0,Travis Lulay incomplete pass intended for Marco Iannuzzi.,3,7
09:21,2,Pass,7,Travis Lulay pass to Nick Moore for 7 yards to the Tor10. Tackled by Joshua Gatlin.,3,7
08:33,3,Missed Field Goal,17,Paul McCallum 17 yard field goal attempt is GOOD.,6,7
08:33,0,Kickoff,33,Hugh O'Neill kicks off to the Tor22. Quinn Porter return for 33 yards to Tor55. Tackled by Hugh O'Neill.,6,7
08:11,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Andre Durie.,6,7
08:00,2,Pass,15,Zach Collaros pass to Spencer Watt for 15 yards to the BC40. Tackled by Cord Parks.,6,7
07:31,1,Rush,7,Curtis Steele rush for 7 yards to the BC33. Tackled by Khreem Smith.,6,7
06:48,2,Pass,17,Zach Collaros pass to Andre Durie for 17 yards to the BC16. Tackled by Solomon Elimimian.,6,7
06:10,1,Pass,11,Zach Collaros pass to Zander Robinson for 11 yards to the BC5. Tackled by Dante Marsh.,6,7
05:26,1,Pass,4,Zach Collaros pass to Curtis Steele for 4 yards to the BC1. Tackled by Adam Bighill.,6,7
04:12,2,Pass,1,Zach Collaros pass to Zander Robinson for 1 yard for a TOUCHDOWN.,6,13
04:00,0,Made Extra Point,0,Noel Prefontaine extra point is good.,6,14
04:00,0,Kickoff,21,Noel Prefontaine kicks off to the BC18. Tim Brown return for 21 yards to BC39. Tackled by James Yurichuk.,6,14
03:56,1,Rush,11,Marco Iannuzzi rush for 11 yards to the BC50. Tackled by Shane Horton.,6,14
