Time,Down,Type,Yards,Details,BC,Calgary
08:02,1,Pass,2,Kevin Glenn pass to Jon Cornish for 2 yards to the Cgy48. Tackled by Adam Bighill.,4,16
07:25,2,Pass,10,Kevin Glenn pass to Marquay McDaniel for 10 yards to the BC52. Tackled by Josh Bell.,4,16
06:52,1,Rush,2,Jon Cornish rush for 2 yards to the BC50. Tackled by Korey Banks.,4,16
05:55,2,Pass,11,Kevin Glenn pass to Anthony Parker for 11 yards to the BC39. Tackled by Adam Bighill.,4,16
05:28,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Maurice Price defensed by Adam Bighill.,4,16
04:52,2,Pass,25,Kevin Glenn pass to Marquay McDaniel for 25 yards to the BC14. Tackled by Ryan Phillips.,4,16
04:23,1,Pass,1,Kevin Glenn pass to Jabari Arthur for 1 yard to the BC13. Tackled by Josh Bell.,4,16
04:00,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Brad Sinopoli defensed by Keron Williams.,4,16
03:01,3,Missed Field Goal,20,Rene Paredes 20 yard field goal attempt is GOOD.,4,19
03:01,0,Kickoff,24,Rene Paredes kicks off to the BC17. Tim Brown return for 24 yards to BC41. Tackled by Karl McCartney.,4,19
02:53,1,Incomplete Pass,0,Thomas DeMarco incomplete pass intended for  .,4,19
02:39,2,Pass,11,Thomas DeMarco pass to Nick Moore for 11 yards to the BC52. Tackled by Jonathan Hefney.,4,19
02:34,1,Pass,11,Thomas DeMarco pass to   for 11 yards to the Cgy47. Tackled by  .,4,19
02:14,1,Pass,6,Thomas DeMarco pass to Andrew Harris for 6 yards to the Cgy41. Tackled by Deron Mayo.,4,19
01:59,2,Pass,14,Thomas DeMarco pass to Shawn Gore for 14 yards to the Cgy27. Tackled by Jonathan Hefney.,4,19
01:45,1,Pass,27,Thomas DeMarco pass to   for 27 yards for a TOUCHDOWN.,10,19
01:45,0,Made Extra Point,0,Paul McCallum extra point is good.,11,19
01:45,0,Kickoff,31,Paul McCallum kicks off to the Cgy12. Clifton Smith return for 31 yards to Cgy43. Tackled by Kyle Jones.,11,19
01:36,1,Pass,10,Kevin Glenn pass to Maurice Price for 10 yards to the Cgy53. Tackled by Dante Marsh.,11,19
01:31,1,Pass,13,Kevin Glenn pass to Brad Sinopoli for 13 yards to the BC44. Tackled by Adam Bighill.,11,19
01:24,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Marquay McDaniel.,11,19
01:14,2,Pass,8,Kevin Glenn pass to Jon Cornish for 8 yards to the BC36. Tackled by Adam Bighill.,11,19
01:07,3,Missed Field Goal,21,41 yard field goal attempt by Rene Paredes is NO GOOD.  Missed field goal returned by Tim Brown to the BC16. Tackled by Micah Johnson.,11,19
00:37,1,Incomplete Pass,0,Thomas DeMarco incomplete pass intended for Nick Moore.,11,19
00:32,2,Incomplete Pass,0,Thomas DeMarco incomplete pass intended for Shawn Gore.,11,19
00:27,3,Punt,12,Paul McCallum punts for 44 yards to Cgy50. Clifton Smith return for 12 yards to BC48. Tackled by Rolly Lumbala.,11,19
00:13,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Maurice Price defensed by Ryan Phillips.,11,19
00:04,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Brad Sinopoli.,11,19
15:00,0,Kickoff,15,Rene Paredes kicks off to the BC15. Tim Brown return for 15 yards to BC30. Tackled by Tim St. Pierre.,11,19
14:54,1,Incomplete Pass,0,Thomas DeMarco incomplete pass intended for Andrew Harris defensed by Deron Mayo.,11,19
14:31,2,Incomplete Pass,0,Thomas DeMarco incomplete pass intended for Nick Moore.,11,19
14:08,3,Punt,12,Paul McCallum punts for 44 yards to Cgy36. Clifton Smith return for 12 yards to Cgy48. Tackled by Adam Bighill.,11,19
13:54,1,Rush,4,Jon Cornish rush for 4 yards to the Cgy52. Tackled by Solomon Elimimian.,11,19
13:30,2,Pass,6,Kevin Glenn pass to Maurice Price for 6 yards to the BC52. Tackled by Dante Marsh.,11,19
13:03,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Anthony Parker.,11,19
12:41,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Maurice Price.,11,19
12:16,3,Punt,0,Rob Maver punts for 49 yards to BC3. No return.,11,19
11:55,1,Rush,6,Andrew Harris rush for 6 yards to the BC9. Tackled by Juwan Simpson.,11,19
11:36,2,Pass,1,Thomas DeMarco pass to Shawn Gore for 1 yard to the BC10. Tackled by  .,11,19
10:58,3,Punt,29,Paul McCallum punts for 39 yards to BC49. Clifton Smith return for 29 yards to BC20. Tackled by Rolly Lumbala.,11,19
10:27,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Marquay McDaniel defensed by Jermaine Reid.,11,19
09:48,2,Pass,20,Kevin Glenn pass to Marquay McDaniel for 20 yards for a TOUCHDOWN.,11,25
09:33,0,Made Extra Point,0,Rene Paredes extra point is good.,11,26
09:33,0,Kickoff,18,Rene Paredes kicks off to the BC13. Tim Brown return for 18 yards to BC31. Tackled by Karl McCartney.,11,26
09:27,1,Rush,7,Andrew Harris rush for 7 yards to the BC38. Tackled by Juwan Simpson.,11,26
09:08,2,Rush,12,Andrew Harris rush for 12 yards to the BC50. Tackled by  .,11,26
08:33,1,Rush,0,Andrew Harris rush for no gain to the BC50. Tackled by Micah Johnson.,11,26
07:51,2,Pass,39,Thomas DeMarco pass to Shawn Gore for 39 yards to the Cgy21. Tackled by Chris Randle.,11,26
07:10,1,Incomplete Pass,0,Thomas DeMarco incomplete pass intended for Emmanuel Arceneaux.,11,26
06:29,2,Pass,20,Thomas DeMarco pass to Emmanuel Arceneaux for 20 yards to the Cgy1. Tackled by Eric Fraser.,11,26
06:04,1,Rush,0,Thomas DeMarco rush for no gain to the Cgy1. Tackled by Deron Mayo.,11,26
05:09,2,Rush,1,Thomas DeMarco rush for 1 yard for a TOUCHDOWN.,17,26
04:56,0,Made Extra Point,0,Paul McCallum extra point is good.,18,26
04:56,0,Kickoff,9,Paul McCallum kicks off to the Cgy6. Clifton Smith return for 9 yards to Cgy15. Tackled by Josh Bell.,18,26
04:46,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Maurice Price.,18,26
04:19,2,Pass,2,Kevin Glenn pass to Anthony Parker for 2 yards to the Cgy17. Tackled by Eric Taylor.,18,26
03:46,3,Punt,6,Rob Maver punts for 43 yards to BC50. Marco Iannuzzi return for 6 yards to Cgy54. Tackled by Eric Fraser.,18,26
03:24,1,Rush,-1,Andrew Harris rush for a loss of 1 yard to the BC55. Tackled by Charleston Hughes.,18,26
03:00,2,Sack,-1,Sack at BC54 for a loss of 1 yard by Cordarro Law.,18,26
02:23,3,Punt,9,Paul McCallum punts for 46 yards to Cgy10. Clifton Smith return for 9 yards to Cgy19. Tackled by Jason Arakgi.,18,26
02:07,1,Rush,4,Jon Cornish rush for 4 yards to the Cgy23. Tackled by Solomon Elimimian.,18,26
01:44,2,Rush,5,Jon Cornish rush for 5 yards to the Cgy28. Tackled by Adam Bighill.,18,26
