Time,Down,Type,Yards,Details,Edmonton,BC
15:00,0,Kickoff,24,Hugh O'Neill kicks off to the Edm11. Tracy Lampley return for 24 yards to Edm35. Tackled by Kyle Jones.,0,0
14:45,1,Rush,1,Hugh Charles rush for 1 yard to the Edm36. Tackled by Eric Taylor.,0,0
14:29,2,Pass,4,Mike Reilly pass to Nate Coehoorn for 4 yards to the Edm40. Tackled by Cord Parks.,0,0
14:00,3,Punt,15,Grant Shaw punts for 56 yards to BC14. Tim Brown return for 15 yards to BC29. Tackled by Calvin McCarty.,0,0
13:26,1,Pass,11,Travis Lulay pass to Andrew Harris for 11 yards to the BC40. Tackled by Donovan Alexander.,0,0
12:43,1,Incomplete Pass,0,Travis Lulay incomplete pass intended for Courtney Taylor.,0,0
12:19,2,Pass,36,Travis Lulay pass to Nick Moore for 36 yards to the Edm34. Tackled by Donovan Alexander.,0,0
11:43,1,Pass,11,Travis Lulay pass to Courtney Taylor for 11 yards to the Edm23. Tackled by Chris Thompson.,0,0
10:50,1,Incomplete Pass,0,Travis Lulay incomplete pass intended for Andrew Harris.,0,0
10:05,2,Pass,23,Travis Lulay pass to Courtney Taylor for 23 yards for a TOUCHDOWN.,0,6
09:49,0,Made Extra Point,0,Hugh O'Neill extra point is good.,0,7
09:49,0,Kickoff,23,Hugh O'Neill kicks off to the Edm17. Tracy Lampley return for 23 yards to Edm40. Tackled by Joash Gesse.,0,7
09:41,1,Fumble,15,"Mike Reilly pass to Rico Wallace for 13 yards to the Edm53. FUMBLE, recovered by BC (Korey Banks) and returned for 2 yards. Tackled by Rico Wallace.",0,7
08:44,1,Incomplete Pass,0,Travis Lulay incomplete pass intended for Shawn Gore.,0,7
08:19,2,Incomplete Pass,0,Travis Lulay incomplete pass intended for Nick Moore.,0,7
07:57,0,Holding,0,Penalty: Illegal Punt on BC (Hugh O'Neill) -10 yards. Penalty: Holding on Edmonton (Justin Capicciotti) 10 yards.,0,7
07:27,3,Punt Single,0,Hugh O'Neill punts for 60 yards to Edm0. No return. Hugh O'Neill 0 yard punt single attempt is GOOD.,0,8
07:27,1,Rush,2,Hugh Charles rush for 2 yards to the Edm37. Tackled by Eric Taylor.,0,8
06:57,2,Pass,7,Mike Reilly pass to Nate Coehoorn for 7 yards to the Edm44. Tackled by Josh Bell.,0,8
06:08,3,Rush,6,Hugh Charles rush for 6 yards to the Edm50. Tackled by Josh Bell.,0,8
05:33,1,Pass,5,Mike Reilly pass to Nate Coehoorn for 5 yards to the Edm55. Tackled by Korey Banks.,0,8
