Time,Down,Type,Yards,Details,Saskatchewan,BC
15:00,0,Kickoff,16,Paul McCallum kicks off to the Ssk18.   return for 16 yards to Ssk34. Tackled by Jason Arakgi.,0,0
14:53,1,Rush,4,Kory Sheets rush for 4 yards to the Ssk38. Tackled by Solomon Elimimian.,0,0
14:15,2,Pass,8,Darian Durant pass to Chris Getzlaf for 8 yards to the Ssk46. Tackled by Korey Banks.,0,0
13:07,1,Rush,2,Kory Sheets rush for 2 yards to the Ssk48. Tackled by Khreem Smith.,0,0
12:44,2,Pass,-6,Darian Durant pass to Kory Sheets for a loss of 6 yards to the Ssk42. Tackled by Adam Bighill.,0,0
11:54,3,No Yards,18,Ricky Schmitt punts for 33 yards to BC35. Penalty: No Yards on Saskatchewan (Graig Newman) -15 yards.,0,0
11:42,1,Rush,3,Thomas DeMarco rush for 3 yards to the BC53. Tackled by Diamond Ferri.,0,0
11:12,2,Pass,0,Thomas DeMarco pass to Andrew Harris for no gain to the BC53. Tackled by Rod Williams.,0,0
10:44,3,Punt,11,Paul McCallum punts for 46 yards to Ssk11.   return for 11 yards to Ssk22. Tackled by Tim Cronk.,0,0
10:09,1,Pass,-2,Darian Durant pass to Kory Sheets for a loss of 2 yards to the Ssk20. Tackled by Adam Bighill.,0,0
09:30,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Kory Sheets.,0,0
09:10,3,Punt,11,Ricky Schmitt punts for 46 yards to BC44. Tim Brown return for 11 yards to BC55. Tackled by Spencer Moore.,0,0
08:53,1,Pass,17,Thomas DeMarco pass to Emmanuel Arceneaux for 17 yards to the Ssk38. Tackled by Rod Williams.,0,0
08:13,0,Holding,-10,Penalty: Holding on BC (Shawn Gore) -10 yards.,0,0
07:57,1,Pass,8,Thomas DeMarco pass to Paris Jackson for 8 yards to the Ssk40. Tackled by Rod Williams.,0,0
07:35,2,Pass,12,Thomas DeMarco pass to   for 12 yards to the Ssk28. Tackled by Tristan Jackson.,0,0
06:57,3,Rush,1,Thomas DeMarco rush for 1 yard to the Ssk27. Tackled by Ricky Foley.,0,0
06:31,1,Incomplete Pass,0,Thomas DeMarco incomplete pass intended for Andrew Harris.,0,0
06:11,2,Incomplete Pass,0,Thomas DeMarco incomplete pass intended for   defensed by Diamond Ferri.,0,0
05:35,3,Missed Field Goal,35,Paul McCallum 35 yard field goal attempt is GOOD.,0,3
05:35,0,Kickoff,25,Paul McCallum kicks off to the Ssk13.   return for 25 yards to Ssk38. Tackled by Keynan Parker.,0,3
05:26,1,Offside,5,Penalty: Offside on BC (Khreem Smith) 5 yards.,0,3
05:09,1,Pass,10,Darian Durant pass to Chris Getzlaf for 10 yards to the Ssk53. Tackled by Josh Bell.,0,3
04:55,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Weston Dressler defensed by Ryan Phillips.,0,3
04:38,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Geroy Simon.,0,3
04:12,3,Punt,4,Ricky Schmitt punts for 31 yards to BC26. Tim Brown return for 4 yards to BC30. Tackled by Craig Butler.,0,3
03:54,1,Rush,9,Andrew Harris rush for 9 yards to the BC39. Tackled by Terrell Maze.,0,3
03:25,2,Rush,2,Tim Brown rush for 2 yards to the BC41. Tackled by Diamond Ferri.,0,3
02:34,1,Pass,11,Thomas DeMarco pass to Shawn Gore for 11 yards to the BC52. Tackled by Terrell Maze.,0,3
01:54,1,Rush,-2,Andrew Harris rush for a loss of 2 yards to the BC50. Tackled by Diamond Ferri.,0,3
01:11,2,Incomplete Pass,0,Thomas DeMarco incomplete pass intended for Emmanuel Arceneaux.,0,3
00:50,3,Punt,5,Paul McCallum punts for 35 yards to Ssk25.   return for 5 yards to Ssk30. Tackled by Keynan Parker.,0,3
00:36,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Chris Getzlaf.,0,3
00:16,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Kory Sheets.,0,3
15:00,3,Holding,-3,Ricky Schmitt punts for 48 yards to BC32. Tim Brown return for 7 yards to BC39. Tackled by Neal Hughes. Penalty: Holding on BC (Lin-J Shell) -10 yards.,0,3
14:46,0,Face Mask,15,Penalty: Face Mask on Saskatchewan (Tearrius George) 15 yards.,0,3
14:21,1,Rush,1,Tim Brown rush for 1 yard to the BC45. Tackled by John Chick.,0,3
13:41,2,Time Count,-5,Penalty: Time Count on BC (Thomas DeMarco) -5 yards.,0,3
13:21,2,Incomplete Pass,0,Thomas DeMarco incomplete pass intended for Shawn Gore.,0,3
13:13,3,Punt,24,Paul McCallum punts for 45 yards to Ssk25.   return for 24 yards to Ssk49. Tackled by Kyle Jones.,0,3
12:54,1,Rush,21,Kory Sheets rush for 21 yards to the BC40. Tackled by Cord Parks.,0,3
12:34,0,Pass Interference,33,Penalty: Pass Interference on BC (J.R. LaRose) 33 yards.,0,3
12:09,1,Pass,1,Darian Durant pass to Neal Hughes for 1 yard to the BC6. Tackled by Korey Banks.,0,3
11:18,2,Pass,6,Darian Durant pass to Weston Dressler for 6 yards for a TOUCHDOWN.,6,3
11:08,0,Made Extra Point,0,Chris Milo extra point is good.,7,3
11:08,0,Kickoff,24,Ricky Schmitt kicks off to the BC11. Tim Brown return for 24 yards to BC35. Tackled by Tristan Black.,7,3
11:02,1,Rush,1,Andrew Harris rush for 1 yard to the BC36. Tackled by John Chick.,7,3
10:21,2,Pass,27,Thomas DeMarco pass to Nick Moore for 27 yards to the Ssk47. Tackled by Tristan Jackson.,7,3
09:30,1,Pass,14,Thomas DeMarco pass to Emmanuel Arceneaux for 14 yards to the Ssk33. Tackled by Craig Butler.,7,3
