Time,Down,Type,Yards,Details,Hamilton,BC
05:40,3,Punt,5,Josh Bartel punts for 46 yards to BC16. Tim Brown return for 5 yards to BC21. Tackled by Jamall Johnson.,7,14
05:25,1,Rush,-1,Andrew Harris rush for a loss of 1 yard to the BC20. Tackled by Brandon Boudreaux.,7,14
04:48,2,Pass,13,Travis Lulay pass to Nick Moore for 13 yards to the BC33. Tackled by Emanuel Davis.,7,14
04:00,1,Rush,7,Travis Lulay rush for 7 yards to the BC40. Tackled by Dee Webb.,7,14
03:20,2,Pass,7,Travis Lulay pass to Marco Iannuzzi for 7 yards to the BC47. Tackled by Raymond Brown.,7,14
02:56,1,Incomplete Pass,0,Travis Lulay incomplete pass intended for Courtney Taylor.,7,14
02:37,2,Incomplete Pass,0,Travis Lulay incomplete pass intended for Marco Iannuzzi.,7,14
02:30,3,Punt,5,Paul McCallum punts for 52 yards to Ham11. Tavoy Moore return for 5 yards to Ham16. Tackled by Adam Bighill.,7,14
02:17,1,Illegal Procedure,-5,Penalty: Illegal Procedure on Hamilton (Brian Simmons) -5 yards.,7,14
02:17,1,Pass,17,Henry Burris pass to Andy Fantuz for 17 yards to the Ham28. Tackled by Adam Bighill.,7,14
02:10,1,Pass,13,Henry Burris pass to Greg Ellingson for 13 yards to the Ham41. Tackled by Korey Banks.,7,14
01:50,1,Pass,12,Henry Burris pass to C.J. Gable for 12 yards to the Ham53. Tackled by Dante Marsh.,7,14
01:26,1,Sack,-5,Sack at Ham48 for a loss of 5 yards by Korey Banks.,7,14
01:04,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Greg Ellingson.,7,14
00:35,3,Illegal Block,-5,Josh Bartel punts for 48 yards to BC14. Tim Brown return for 4 yards to BC18. Penalty: Illegal Block on BC (Seydou Junior Haidara) -9 yards.,7,14
00:24,1,Objectionable Conduct,-5,Andrew Harris rush for no gain to the BC9. Tackled by Jamall Johnson. Penalty: Objectionable Conduct on BC (Andrew Harris) -5 yards.,7,14
00:19,2,Rush,3,Andrew Harris rush for 3 yards to the BC7. Tackled by Simoni Lawrence.,7,14
00:07,2,Safety,-7,Safety,9,14
