Time,Down,Type,Yards,Details,BC,Saskatchewan
15:00,0,Kickoff OOB,30,Paul McCallum kicks off to the Ssk22. Penalty: Kickoff OOB on BC (Paul McCallum) -23 yards.,0,0
14:59,1,Rush,6,Chris Garrett rush for 6 yards to the Ssk51. Tackled by Solomon Elimimian.,0,0
14:26,0,Fumble,0,"FUMBLE, recovered by BC (Keron Williams). . Tackled by Darian Durant",0,0
14:01,1,Pass,16,Thomas DeMarco pass to Ernest Jackson for 16 yards to the Ssk30. Tackled by Eddie Russ.,0,0
13:33,1,Pass,6,Thomas DeMarco pass to Nick Moore for 6 yards to the Ssk24. Tackled by Craig Butler.,0,0
12:54,2,Pass,5,Thomas DeMarco pass to Andrew Harris for 5 yards to the Ssk19. Tackled by Carlos Thomas.,0,0
12:25,1,Pass,16,Thomas DeMarco pass to Courtney Taylor for 16 yards to the Ssk3. Tackled by Mike McCullough.,0,0
11:56,1,Pass,-2,Thomas DeMarco pass to Ernest Jackson for a loss of 2 yards to the Ssk5. Tackled by Carlos Thomas.,0,0
11:07,2,Incomplete Pass,0,Thomas DeMarco incomplete pass intended for Ernest Jackson.,0,0
10:27,3,Missed Field Goal,12,Paul McCallum 12 yard field goal attempt is GOOD.,3,0
10:27,1,Pass,16,Darian Durant pass to Weston Dressler for 16 yards to the Ssk51. Tackled by Cord Parks.,3,0
10:03,1,Rush,2,Chris Garrett rush for 2 yards to the Ssk53. Tackled by Adam Bighill.,3,0
09:30,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Taj Smith.,3,0
09:02,2,Punt,7,Ricky Schmitt punts for 39 yards to BC18. Tim Brown return for 7 yards to BC25. Tackled by Spencer Moore.,3,0
08:42,1,Rush,1,Tim Brown rush for 1 yard to the BC26. Tackled by Craig Butler.,3,0
08:23,2,Incomplete Pass,0,Thomas DeMarco incomplete pass intended for Ernest Jackson.,3,0
07:49,3,Punt,3,Paul McCallum punts for 44 yards to Ssk40. Tristan Jackson return for 3 yards to Ssk43. Tackled by Jordan Matechuk.,3,0
07:33,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Weston Dressler.,3,0
