Time,Down,Type,Yards,Details,BC,Calgary
15:00,0,Kickoff,13,BC kicks off.   return for 13 yards to Cgy24.,0,0
14:21,2,Incomplete Pass,0,incomplete pass.,0,0
13:57,3,Punt,6,punts for 58 yards to BC21.   return for 6 yards to BC27.,0,0
11:48,2,Pass,5,pass to the BC48.,0,0
11:25,3,Punt,10,punts for 46 yards to Cgy16.   return for 10 yards to Cgy26.,0,0
11:06,1,Incomplete Pass,0,incomplete pass.,0,0
10:49,2,Pass,20,pass to the Cgy46.,0,0
09:23,2,Incomplete Pass,0,incomplete pass.,0,0
09:09,3,Punt,3,punts for 45 yards to BC15.   return for 3 yards to BC18.,0,0
08:23,2,Pass,18,pass to the BC38.,0,0
07:10,2,Incomplete Pass,0,incomplete pass.,0,0
06:49,3,Punt,0,punts for 41 yards to Cgy27. No return.,0,0
06:19,1,Interception,34,pass INTERCEPTED and returned for 34 yards for a TOUCHDOWN.,6,0
06:19,0,Unnecessary Roughness,-15,extra point is good. Penalty: Unnecessary Roughness on BC -15 yards.,7,0
06:02,0,Kickoff,18,BC kicks off.   return for 18 yards to Cgy46.,7,0
05:55,1,Offside,5,Penalty: Offside on BC 5 yards.,7,0
04:17,2,Pass,11,pass to the BC36.,7,0
03:39,1,Pass,18,pass to the BC18.,7,0
02:47,1,Pass,18,pass for a TOUCHDOWN.,7,6
02:43,0,Made Extra Point,0,extra point is good.,7,7
02:43,0,Kickoff,22,Calgary kicks off.   return for 22 yards to BC25.,7,7
01:57,2,Pass,2,pass to the BC27.,7,7
01:35,3,Punt,11,punts for 51 yards to Cgy32.   return for 11 yards to Cgy43.,7,7
00:43,2,Incomplete Pass,0,incomplete pass.,7,7
00:21,3,Punt,-3,punts for 45 yards to BC22.   return for a loss of 3 yards to BC19.,7,7
15:00,1,Pass,6,pass to the BC25.,7,7
14:32,2,Pass,5,pass to the BC30.,7,7
12:30,3,Punt,6,punts for 50 yards to Cgy21.   return for 6 yards to Cgy27.,7,7
12:16,1,Pass,8,pass to the Cgy35.,7,7
11:28,3,Punt,5,punts for 44 yards to BC30.   return for 5 yards to BC35.,7,7
11:04,0,Pass Interference,10,Penalty: Pass Interference on Calgary 10 yards.,7,7
10:17,2,Pass,17,pass to the Cgy45.,7,7
09:18,2,Pass,7,pass to the Cgy37.,7,7
08:24,3,Missed Field Goal,45,45 yard field goal attempt is GOOD.,10,7
08:24,1,Pass,5,pass to the Cgy40.,10,7
07:54,2,Sack,-20,Sack at Cgy20 for no gain Recovered by Cgy ( ),10,7
07:12,3,Punt,4,punts for 40 yards to BC50.   return for 4 yards to BC54.,10,7
06:00,2,Interception,63,pass INTERCEPTED and returned for 63 yards for a TOUCHDOWN.,10,13
05:46,0,Made Extra Point,0,extra point is good.,10,14
05:46,0,Kickoff,25,Calgary kicks off.   return for 25 yards to BC42.,10,14
05:39,1,Pass,5,pass to the BC47.,10,14
05:02,2,Incomplete Pass,0,incomplete pass.,10,14
04:43,3,Punt,17,punts for 52 yards to Cgy11.   return for 17 yards to Cgy28.,10,14
03:43,1,Incomplete Pass,0,incomplete pass.,10,14
03:22,2,Pass,11,pass to the BC14.,10,14
02:02,1,,1,for a TOUCHDOWN,10,20
02:02,0,Made Extra Point,0,extra point is good.,10,21
02:02,0,Kickoff,27,Calgary kicks off.   return for 27 yards to BC43.,10,21
01:55,1,Pass,5,pass to the BC48.,10,21
01:49,2,Incomplete Pass,0,incomplete pass.,10,21
01:35,3,Holding,56,punts for 51 yards to Cgy11. Penalty: Holding on Calgary 5 yards.,10,21
01:25,1,Pass,7,pass to the Cgy13.,10,21
15:00,0,Kickoff,22,Calgary kicks off.   return for 22 yards to BC30.,10,21
14:15,2,Pass,18,pass to the BC50.,10,21
13:42,1,Incomplete Pass,0,incomplete pass.,10,21
13:27,2,Pass,9,pass to the Cgy51.,10,21
12:46,3,Illegal Procedure,-5,Penalty: Illegal Procedure on BC -5 yards.,10,21
12:25,3,Punt,9,punts for 48 yards to Cgy8.   return for 9 yards to Cgy17.,10,21
12:11,0,Pass Interference,42,Penalty: Pass Interference on BC 42 yards.,10,21
11:20,2,Fumble,18,"pass to the BC29. FUMBLE, recovered by BC ( ).",10,21
10:54,1,Pass,12,pass to the BC41.,10,21
10:19,1,Pass,14,pass to the BC55.,10,21
09:42,1,Pass,1,pass to the Cgy54.,10,21
09:16,2,Sack,-1,Sack at BC55 for a loss of 1 yard.,10,21
08:54,3,Punt,6,punts for 47 yards to Cgy8.   return for 6 yards to Cgy14.,10,21
08:35,1,Incomplete Pass,0,incomplete pass.,10,21
08:19,2,Pass,2,pass to the Cgy16.,10,21
07:45,3,No Yards,34,punts for 39 yards to Cgy55. Penalty: No Yards on Calgary -5 yards.,10,21
06:16,3,Fumble,2,FUMBLE Recovered by BC ( ),10,21
05:40,1,Unnecessary Roughness,10,Penalty: Offside on BC -5 yards. Penalty: Unnecessary Roughness on Calgary 15 yards.,10,21
04:30,2,Offside,5,Penalty: Offside on Calgary 5 yards.,10,21
04:13,1,Incomplete Pass,0,incomplete pass.,10,21
03:56,2,Incomplete Pass,0,incomplete pass.,10,21
03:14,3,Missed Field Goal,21,21 yard field goal attempt is GOOD.,13,21
03:14,0,Kickoff,7,BC kicks off.   return for 7 yards to Cgy17.,13,21
02:29,2,Pass,8,pass to the Cgy28.,13,21
01:14,2,Pass,9,pass to the Cgy39.,13,21
00:14,2,Pass,3,pass to the Cgy47.,13,21
15:00,3,Punt,2,punts for 46 yards to BC17.   return for 2 yards to BC19.,13,21
14:39,1,Pass,25,pass to the BC44.,13,21
13:54,1,Pass,8,pass to the BC52.,13,21
11:37,2,Pass,28,pass to the Cgy4.,13,21
10:47,1,Incomplete Pass,0,incomplete pass.,13,21
09:59,2,Pass,4,pass for a TOUCHDOWN.,19,21
09:59,0,Incomplete Pass,0,incomplete pass.,19,21
09:41,0,Kickoff,15,BC kicks off.   return for 15 yards to Cgy29.,19,21
09:36,1,Pass,15,pass to the Cgy44.,19,21
08:55,1,Pass,6,pass to the Cgy50.,19,21
08:17,2,Pass,25,pass to the BC35.,19,21
07:29,1,Pass,6,pass to the BC29.,19,21
05:58,3,Missed Field Goal,35,35 yard field goal attempt is GOOD.,19,24
05:58,1,Holding,5,Penalty: Holding on BC -10 yards,19,24
05:37,1,Pass,7,pass to the BC47.,19,24
04:19,3,Punt,14,punts for 47 yards to Cgy15.   return for 14 yards to Cgy29.,19,24
03:52,1,Incomplete Pass,0,incomplete pass.,19,24
