Time,Down,Type,Yards,Details,BC,Hamilton
05:02,1,Incomplete Pass,0,Kevin Glenn incomplete pass defensed by Erik Harris.,10,6
04:42,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for  .,10,6
04:21,3,No Yards,28,Ricky Schmitt punts for 33 yards to Ham21. Penalty: No Yards on BC (Bo Lokombo) -5 yards.,10,6
04:08,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Bakari Grant.,10,6
03:55,2,Pass,29,Zach Collaros pass to Bakari Grant for 29 yards to the Ham55. Tackled by J.R. LaRose.,10,6
03:16,1,Pass,5,Zach Collaros pass to Luke Tasker for 5 yards to the BC50. Tackled by Cord Parks.,10,6
02:55,2,Pass,15,Zach Collaros pass to Mossis Madu for 15 yards to the BC35. Tackled by Ryan Phillips.,10,6
02:36,1,Pass,8,Zach Collaros pass to Mossis Madu for 8 yards to the BC27. Tackled by Solomon Elimimian.,10,6
02:10,2,Pass,3,Zach Collaros pass to Terrell Sinkfield for 3 yards to the BC24. Tackled by Alex Bazzie.,10,6
01:56,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Luke Tasker.,10,6
01:34,2,Sack,-11,Sack at BC35 for a loss of 11 yards by Josh Johnson.,10,6
01:15,3,Missed Field Goal,42,Justin Medlock 42 yard field goal attempt is GOOD.,10,9
01:15,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Shawn Gore defensed by Delvin Breaux.,10,9
01:09,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Seydou Junior Haidara.,10,9
01:05,3,Punt,16,Ricky Schmitt punts for 50 yards to Ham25. Brandon Banks return for 16 yards to Ham41. Tackled by Jason Arakgi.,10,9
00:53,1,Pass,6,Zach Collaros pass to Samuel Giguere for 6 yards to the Ham47. Tackled by T.J. Lee.,10,9
00:41,2,Rush,4,Zach Collaros rush for 4 yards to the Ham51. Tackled by Jabar Westerman.,10,9
00:31,1,Sack,-6,Sack at Ham45 for a loss of 6 yards by Solomon Elimimian.,10,9
15:00,0,Kickoff OOB,30,Justin Medlock kicks off to the BC25. Penalty: Kickoff OOB on Hamilton (Justin Medlock) -20 yards.,10,9
14:59,1,Pass,9,Kevin Glenn pass to Keola Antolin for 9 yards to the BC54. Tackled by Simoni Lawrence.,10,9
14:36,2,Rush,2,John Beck rush for 2 yards to the Ham54. Tackled by Bryan Hall.,10,9
13:40,1,Rush,7,Keola Antolin rush for 7 yards to the Ham47. Tackled by Rico Murray.,10,9
13:00,2,Pass,2,Kevin Glenn pass to Emmanuel Arceneaux for 2 yards to the Ham45. Tackled by Brandon Stewart.,10,9
12:20,3,Punt,0,Ricky Schmitt punts for 38 yards to Ham7. No return.,10,9
12:10,1,Pass,19,Zach Collaros pass to Mossis Madu for 19 yards to the Ham26. Tackled by Adam Bighill.,10,9
11:37,1,Pass,13,Zach Collaros pass to Brandon Banks for 13 yards to the Ham39. Tackled by Ronnie Yell.,10,9
10:58,1,Pass,20,Zach Collaros pass to Bakari Grant for 20 yards to the BC51. Tackled by T.J. Lee.,10,9
10:19,1,Pass,7,Zach Collaros pass to Mossis Madu for 7 yards to the BC44. Tackled by J.R. LaRose.,10,9
10:02,2,Rush,14,Mossis Madu rush for 14 yards to the BC30. Tackled by J.R. LaRose.,10,9
09:23,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Luke Tasker.,10,9
09:07,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Brandon Banks.,10,9
08:28,3,Missed Field Goal,37,Justin Medlock 37 yard field goal attempt is GOOD.,10,12
08:28,0,Kickoff,16,Justin Medlock kicks off to the BC23. Bradley Randle return for 16 yards to BC39. Tackled by Frederic Plesius.,10,12
08:23,1,Rush,1,Kevin Glenn rush for 1 yard to the BC40. Tackled by Taylor Reed.,10,12
07:31,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Seydou Junior Haidara.,10,12
07:20,3,Unnecessary Roughness,-2,Ricky Schmitt punts for 61 yards to Ham9. Brandon Banks return for 5 yards to Ham14. Tackled by Keynan Parker. Penalty: Unnecessary Roughness on Hamilton (Marc Beswick) -7 yards.,10,12
07:04,1,Rush,4,Mossis Madu rush for 4 yards to the Ham11. Tackled by Adam Bighill.,10,12
06:31,2,Face Mask,13,Zach Collaros pass to Brandon Banks for a loss of 2 yards to the Ham9. Tackled by Ryan Phillips. Penalty: Face Mask on BC (Ryan Phillips) 15 yards.,10,12
05:55,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Mossis Madu defensed by Adam Bighill.,10,12
05:35,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Brandon Banks.,10,12
05:13,3,Punt,0,Justin Medlock punts for 36 yards to BC50. Bradley Randle return for no gain to BC50. Tackled by Ed Gainey.,10,12
04:47,1,Rush,2,Keola Antolin rush for 2 yards to the BC52. Tackled by Bryan Hall.,10,12
