Time,Down,Type,Yards,Details,BC,Edmonton
07:35,2,Rush,4,Jonathan Crompton rush for 4 yards to the Edm30. Tackled by Alex Hoffman-Ellis.,3,7
06:53,3,No Yards,26,Grant Shaw punts for 41 yards to BC39. Penalty: No Yards on Edmonton (Eric Samuels) -15 yards.,3,7
06:34,1,Incomplete Pass,0,John Beck incomplete pass intended for Seydou Junior Haidara.,3,7
06:14,2,Pass,27,John Beck pass to Stephen Adekolu for 27 yards to the Edm29.,3,7
05:50,1,Incomplete Pass,0,John Beck incomplete pass intended for Jabin Sambrano.,3,7
05:21,2,Sack,-7,Sack at Edm36 for a loss of 7 yards by Donovan Richard.,3,7
04:46,3,Illegal Procedure,-5,Penalty: Illegal Procedure on BC (Alex Bazzie) -5 yards.,3,7
04:10,3,Punt Single,48,Steven Shott punts for 48 yards to Edm0 (Single).,4,7
04:10,1,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for Patrick Robertson.,4,7
03:51,2,Pass,4,Jonathan Crompton pass to Hugh Charles for 4 yards to the Edm39. Tackled by Korey Jones.,4,7
03:23,3,No Yards,31,Grant Shaw punts for 36 yards to BC35. Penalty: No Yards on Edmonton (Nathan Kanya) -5 yards.,4,7
03:03,1,Rush,4,Keola Antolin rush for 4 yards to the BC44. Tackled by Anthony Watkins.,4,7
02:48,2,Pass,38,John Beck pass to Seydou Junior Haidara for 38 yards to the Edm28. Tackled by Ryan Hinds.,4,7
02:32,1,Pass,16,John Beck pass to Stephen Adekolu for 16 yards to the Edm12. Tackled by Dexter McCoil.,4,7
02:15,1,Rush,3,Keola Antolin rush for 3 yards to the Edm9. Tackled by Ryan Hinds.,4,7
02:05,2,Incomplete Pass,0,John Beck incomplete pass intended for Jabin Sambrano.,4,7
01:43,3,Incomplete Pass,0,John Beck incomplete pass intended for Jabin Sambrano defensed by Otha Foster.,4,7
01:38,1,Rush,11,Tyler Thomas rush for 11 yards to the Edm20. Tackled by Brandon McDonald.,4,7
01:34,1,Rush,3,Pat White rush for 3 yards to the Edm23. Tackled by Brandon McDonald.,4,7
01:12,2,Incomplete Pass,0,Pat White incomplete pass intended for Kevin Cummings.,4,7
01:09,3,Illegal Block,-3,Grant Shaw punts for 59 yards to BC28. Jabin Sambrano return for 7 yards to BC35. Tackled by Curtis Dublanko. Penalty: Illegal Block on BC (Casey Chin) -10 yards.,4,7
00:57,1,Pass,22,John Beck pass to Keola Antolin for 22 yards to the BC47. Tackled by Anthony Watkins.,4,7
00:50,1,Illegal Procedure,-5,Penalty: Illegal Procedure on BC (Matthew Norman) -5 yards.,4,7
00:50,1,Interception,18,John Beck pass INTERCEPTED and returned for 18 yards. Tackled by Jabin Sambrano.,4,7
00:43,0,Pass Interference,22,Penalty: Pass Interference on BC (Brandon McDonald) 22 yards.,4,7
