Time,Down,Type,Yards,Details,Calgary,BC
15:00,0,Kickoff,25,Ricky Schmitt kicks off to the Cgy12. Jock Sanders return for 25 yards to Cgy37. Tackled by Casey Chin.,0,0
14:45,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Jeff Fuller.,0,0
14:34,2,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Jeff Fuller.,0,0
14:12,0,Too Many Men on Field,10,Penalty: Too Many Men on Field on BC 10 yards.,0,0
13:50,1,Rush,1,Jon Cornish rush for 1 yard to the Cgy48. Tackled by Eric Taylor.,0,0
13:30,2,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Nik Lewis defensed by Ryan Phillips.,0,0
12:59,3,Punt,9,Rob Maver punts for 35 yards to BC27. Stefan Logan return for 9 yards to BC36. Tackled by Karl McCartney.,0,0
12:44,1,Rush,2,Andrew Harris rush for 2 yards to the BC38. Tackled by Deron Mayo.,0,0
12:17,2,Illegal Procedure,-5,Penalty: Illegal Procedure on BC (Nyere Aumaitre) -5 yards.,0,0
12:03,2,Pass,-4,Kevin Glenn pass to Andrew Harris for a loss of 4 yards to the BC29. Tackled by Shawn Lemon.,0,0
11:36,3,Punt,1,Ricky Schmitt punts for 44 yards to Cgy37. Jock Sanders return for 1 yard to Cgy38. Tackled by Ricky Schmitt.,0,0
11:17,0,Holding,-10,Penalty: Holding on Calgary (Stanley Bryant) -10 yards.,0,0
11:03,1,Interception,17,Bo Levi Mitchell pass INTERCEPTED and returned for 17 yards. Tackled by Jeff Fuller.,0,0
10:19,1,Pass,23,Kevin Glenn pass to Korey Williams for 23 yards for a TOUCHDOWN.,0,6
10:07,0,Made Extra Point,0,Paul McCallum extra point is good.,0,7
10:07,0,Kickoff,25,Ricky Schmitt kicks off to the Cgy20. Jock Sanders return for 25 yards to Cgy45. Tackled by Bryan Burnham.,0,7
09:50,1,Pass,3,Drew Tate pass to Jon Cornish for 3 yards to the Cgy48. Tackled by Ronnie Yell.,0,7
09:25,2,Sack,-3,Sack at Cgy45 for a loss of 3 yards by Torri Williams.,0,7
08:21,3,Punt,93,Rob Maver punts for 48 yards to BC17. Stefan Logan return for 93 yards to Cgy0 for a TOUCHDOWN.,0,13
08:09,0,Made Extra Point,0,Paul McCallum extra point is good.,0,14
08:09,0,Kickoff,24,Ricky Schmitt kicks off to the Cgy13. Jock Sanders return for 24 yards to Cgy37. Tackled by Kito Poblah.,0,14
08:01,1,Offside,5,Penalty: Offside on BC (Khalif Mitchell) 5 yards.,0,14
07:42,1,Rush,0,Jon Cornish rush for no gain to the Cgy42. Tackled by Eric Taylor.,0,14
07:06,2,Rush,4,Jon Cornish rush for 4 yards to the Cgy46. Tackled by Khreem Smith.,0,14
06:22,3,Offside,5,Penalty: Offside on BC (Torri Williams) 5 yards.,0,14
05:56,1,Incomplete Pass,0,Drew Tate incomplete pass intended for Sederrik Cunningham.,0,14
05:39,2,Incomplete Pass,0,Drew Tate incomplete pass intended for Sederrik Cunningham defensed by Khreem Smith.,0,14
05:20,3,Punt,2,Rob Maver punts for 42 yards to BC17. Tim Brown return for 2 yards to BC19. Tackled by Ben D'Aguilar.,0,14
04:59,1,Rush,34,Stefan Logan rush for 34 yards to the BC53. Tackled by Ryan Steed.,0,14
04:24,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Seydou Junior Haidara.,0,14
04:13,2,Offside,5,Penalty: Offside on Calgary (Charleston Hughes) 5 yards.,0,14
04:06,2,Pass,21,Kevin Glenn pass to Courtney Taylor for 21 yards to the Cgy31. Tackled by Lin-J Shell.,0,14
03:27,1,Rush,5,Stefan Logan rush for 5 yards to the Cgy26. Tackled by Lin-J Shell.,0,14
02:57,2,Pass,16,Kevin Glenn pass to Korey Williams for 16 yards to the Cgy10. Tackled by Juwan Simpson.,0,14
02:13,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Courtney Taylor.,0,14
01:57,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Seydou Junior Haidara.,0,14
01:22,3,Missed Field Goal,17,Paul McCallum 17 yard field goal attempt is GOOD.,0,17
01:22,0,Fumble,37,"Ricky Schmitt kicks off to the Cgy14. Jock Sanders return for 37 yards to Cgy51., recovered by BC (Torri Williams). FUMBLE",0,17
01:09,1,Rush,1,Andrew Harris rush for 1 yard to the Cgy50. Tackled by Corey Mace.,0,17
00:44,2,Offside,-5,Penalty: Offside on BC (Korey Williams) -5 yards.,0,17
00:31,2,Pass,12,Kevin Glenn pass to Stefan Logan for 12 yards to the Cgy43. Tackled by Brandon Smith.,0,17
00:00,3,Punt Single,0,Ricky Schmitt punts for 57 yards to Cgy0. No return (Single).,0,18
15:00,1,Rush,7,Anthony Parker rush for 7 yards to the Cgy42. Tackled by Torri Williams.,0,18
14:31,2,Rush,4,Jock Sanders rush for 4 yards to the Cgy46. Tackled by Solomon Elimimian.,0,18
13:56,1,Pass,6,Bo Levi Mitchell pass to Sederrik Cunningham for 6 yards to the Cgy52. Tackled by Ronnie Yell.,0,18
13:17,2,Rush,7,Jock Sanders rush for 7 yards to the BC51. Tackled by Solomon Elimimian.,0,18
12:38,1,Rush,1,Jock Sanders rush for 1 yard to the BC50. Tackled by Alex Bazzie.,0,18
12:11,2,Pass,15,Bo Levi Mitchell pass to Sederrik Cunningham for 15 yards to the BC35. Tackled by Ronnie Yell.,0,18
11:33,1,Pass,12,Bo Levi Mitchell pass to Brad Sinopoli for 12 yards to the BC23. Tackled by Dante Marsh.,0,18
10:52,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Jeff Fuller.,0,18
10:32,2,Pass,6,Bo Levi Mitchell pass to Brad Sinopoli for 6 yards to the BC17. Tackled by Ronnie Yell.,0,18
09:54,3,Missed Field Goal,24,Rene Paredes 24 yard field goal attempt is GOOD.,3,18
09:54,0,Kickoff,13,Rene Paredes kicks off to the BC12. Andrew Harris return for 13 yards to BC25. Tackled by Josh Bell.,3,18
09:48,1,Pass,10,Kevin Glenn pass to Seydou Junior Haidara for 10 yards to the BC35. Tackled by Brandon Smith.,3,18
09:14,1,Rush,-6,Andrew Harris rush for a loss of 6 yards to the BC29. Tackled by Freddie Bishop III.,3,18
08:25,2,Pass,12,Kevin Glenn pass to Courtney Taylor for 12 yards to the BC41. Tackled by Juwan Simpson.,3,18
08:02,3,Punt,10,Ricky Schmitt punts for 42 yards to Cgy27. Jock Sanders return for 10 yards to Cgy37. Tackled by Guillaume Bourassa.,3,18
07:43,1,Pass,43,Drew Tate pass to Jeff Fuller for 43 yards to the BC30. Tackled by Torri Williams.,3,18
07:06,1,Rush,17,Jon Cornish rush for 17 yards to the BC13. Tackled by T.J. Lee.,3,18
06:49,1,Incomplete Pass,0,Drew Tate incomplete pass intended for Simon Charbonneau-Campeau.,3,18
06:10,2,Pass,13,Drew Tate pass to Simon Charbonneau-Campeau for 13 yards for a TOUCHDOWN.,9,18
05:56,0,Made Extra Point,0,Rene Paredes extra point is good.,10,18
05:56,0,Kickoff,23,Rene Paredes kicks off to the BC14. Keola Antolin return for 23 yards to BC37. Tackled by Ben D'Aguilar.,10,18
05:48,1,Pass,3,Kevin Glenn pass to Ernest Jackson for 3 yards to the BC40. Tackled by Jamar Wall.,10,18
05:16,2,Rush,15,Andrew Harris rush for 15 yards to the BC55. Tackled by Brandon Smith.,10,18
04:37,1,Pass,13,Kevin Glenn pass to Stephen Adekolu for 13 yards to the Cgy42. Tackled by Fred Bennett.,10,18
04:03,1,Rush,2,Andrew Harris rush for 2 yards to the Cgy40. Tackled by Demonte' Bolden.,10,18
03:23,2,Rush,6,Kevin Glenn rush for 6 yards to the Cgy34. Tackled by Deron Mayo.,10,18
02:49,3,Missed Field Goal,42,Paul McCallum 42 yard field goal attempt is GOOD.,10,21
02:49,0,Kickoff,23,Ricky Schmitt kicks off to the Cgy9. Sederrik Cunningham return for 23 yards to Cgy32. Tackled by Matt McGarva.,10,21
