Time,Down,Type,Yards,Details,BC,Saskatchewan
06:51,3,Missed Field Goal,10,Chris Milo 10 yard field goal attempt is GOOD.,11,6
06:51,0,Kickoff,19,Chris Milo kicks off to the BC9. Andrew Harris return for 19 yards to BC28. Tackled by Kevin Regimbald.,11,6
06:42,1,Pass,6,Kevin Glenn pass to Courtney Taylor for 6 yards to the BC34. Tackled by Macho Harris.,11,6
06:16,2,Pass,6,Kevin Glenn pass to Ernest Jackson for 6 yards to the BC40. Tackled by Terrell Maze.,11,6
05:46,1,Rush,1,Shawn Gore rush for 1 yard to the BC41. Tackled by Macho Harris.,11,6
05:17,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Courtney Taylor.,11,6
04:43,3,Punt,43,Ricky Schmitt punts for 49 yards to Ssk20. Marshay Green return for 43 yards to BC47. Tackled by Solomon Elimimian.,11,6
04:08,1,Pass,19,Darian Durant pass to Rob Bagg for 19 yards to the BC28. Tackled by Cord Parks.,11,6
03:44,1,Rush,23,Hugh Charles rush for 23 yards to the BC5. Tackled by J.R. LaRose.,11,6
03:07,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Brett Swain.,11,6
02:31,2,Pass,5,Darian Durant pass to Taj Smith for 5 yards for a TOUCHDOWN.,11,12
02:31,0,Made Extra Point,0,Chris Milo extra point is good.,11,13
02:31,0,Kickoff,17,Chris Milo kicks off to the BC13. Stefan Logan return for 17 yards to BC30. Tackled by Kevin Regimbald.,11,13
02:23,1,Rush,5,Andrew Harris rush for 5 yards to the BC35. Tackled by Tearrius George.,11,13
02:19,2,Pass,8,Kevin Glenn pass to Andrew Harris for 8 yards to the BC43. Tackled by Samuel Hurl.,11,13
01:53,1,Pass,16,Kevin Glenn pass to Andrew Harris for 16 yards to the Ssk51. Tackled by Terrell Maze.,11,13
01:32,1,Pass,0,Kevin Glenn pass to   for no gain to the Ssk51. Tackled by Weldon Brown.,11,13
01:10,2,Rush,2,Andrew Harris rush for 2 yards to the Ssk49. Tackled by Derek Walker.,11,13
00:48,3,Punt,10,Ricky Schmitt punts for 42 yards to Ssk7. Marshay Green return for 10 yards to Ssk17. Tackled by Keynan Parker.,11,13
00:38,1,Rush,0,Hugh Charles rush for no gain to the Ssk17. Tackled by Josh Johnson.,11,13
00:33,2,Fumble,17,"Hugh Charles rush for 17 yards to the Ssk34. FUMBLE, recovered by BC (J.R. LaRose). Tackled by Hugh Charles.",11,13
00:00,1,Missed Field Goal,41,Paul McCallum 41 yard field goal attempt is GOOD.,14,13
15:00,0,Kickoff,28,Chris Milo kicks off to the BC17. Stefan Logan return for 28 yards to BC45. Tackled by Paul Woldu.,14,13
14:52,1,Rush,1,Andrew Harris rush for 1 yard to the BC46. Tackled by Brian Peters.,14,13
13:59,0,Face Mask,15,Penalty: Face Mask on Saskatchewan (Trevor Guyton) 15 yards.,14,13
13:45,1,Rush,8,Stefan Logan rush for 8 yards to the Ssk41. Tackled by Terrell Maze.,14,13
13:37,2,Rush,2,Stefan Logan rush for 2 yards to the Ssk39. Tackled by Derek Walker.,14,13
13:09,1,Rush,4,Stefan Logan rush for 4 yards to the Ssk35. Tackled by Trevor Guyton.,14,13
12:38,2,Time Count,-5,Penalty: Time Count on BC (Kevin Glenn) -5 yards.,14,13
12:14,2,Illegal Procedure,-5,Penalty: Illegal Procedure on BC (Ryan Cave) -5 yards.,14,13
12:13,2,Sack,-12,Sack at BC53 for a loss of 12 yards by John Chick.,14,13
11:56,3,Punt,3,Ricky Schmitt punts for 44 yards to Ssk13. Marshay Green return for 3 yards to Ssk16. Tackled by Jason Arakgi.,14,13
