Time,Down,Type,Yards,Details,Montreal,BC
13:50,1,Pass,27,pass for a TOUCHDOWN.,3,33
13:40,0,Made Extra Point,0,extra point is good.,3,34
13:40,0,Kickoff,23,BC kicks off.   return for 23 yards to Mtl31.,3,34
13:30,1,Sack,-1,Sack at Mtl30 for no gain Recovered by Mtl ( ),3,34
13:10,2,Interception,41,pass INTERCEPTED and returned for 41 yards.,3,34
11:50,1,Pass,13,pass for a TOUCHDOWN.,3,40
11:30,0,Made Extra Point,0,extra point is good.,3,41
11:30,0,Kickoff,43,BC kicks off.   return for 43 yards to Mtl48.,3,41
10:50,1,Incomplete Pass,0,incomplete pass.,3,41
10:20,2,Pass,6,pass to the Mtl54.,3,41
10:00,3,Punt,6,punts for 43 yards to BC13.   return for 6 yards to BC19.,3,41
09:10,2,Incomplete Pass,0,incomplete pass.,3,41
08:50,3,Punt,1,punts for 42 yards to Mtl46.   return for 1 yard to Mtl47.,3,41
07:30,1,Incomplete Pass,0,incomplete pass.,3,41
06:50,2,Sack,-7,Sack at BC51 for a loss of 7 yards.,3,41
06:30,3,Punt,0,punts for 50 yards to BC1. No return.,3,41
05:30,2,Incomplete Pass,0,incomplete pass.,3,41
04:22,3,Safety,-5,Safety,5,41
04:22,0,Kickoff,7,BC kicks off.   return for 7 yards to Mtl55.,5,41
04:16,1,Pass,4,pass to the BC51.,5,41
04:00,2,Incomplete Pass,0,incomplete pass.,5,41
03:50,3,Incomplete Pass,0,incomplete pass.,5,41
02:00,2,Sack,6,Sack at BC54 for no gain Recovered by Mtl ( ) and returned for 19 yards,5,41
01:40,1,Pass,7,pass to the BC28.,5,41
01:20,2,Incomplete Pass,0,incomplete pass.,5,41
01:00,3,Incomplete Pass,0,incomplete pass.,5,41
00:10,3,Punt,1,punts for 38 yards to Mtl37.   return for 1 yard to Mtl38.,5,41
