Time,Down,Type,Yards,Details,BC,Montreal
06:17,2,Pass,15,Kevin Glenn pass to Courtney Taylor for 15 yards to the BC38. Tackled by Chris Smith.,0,14
05:40,1,Fumble,11,"Stefan Logan rush for 8 yards to the BC46. FUMBLE, recovered by Mtl (Jerald Brown) and returned for 3 yards. Tackled by Shawn Gore.",0,14
05:00,1,Incomplete Pass,0,Troy Smith incomplete pass intended for S.J. Green defensed by Dante Marsh.,0,14
04:52,2,Rush,16,Troy Smith rush for 16 yards to the BC27. Tackled by Adam Bighill.,0,14
04:08,1,Incomplete Pass,0,Troy Smith incomplete pass intended for Brandon Whitaker.,0,14
03:52,2,Incomplete Pass,0,Troy Smith incomplete pass intended for Chad Johnson defensed by Alex Bazzie.,0,14
03:07,3,Missed Field Goal,34,Sean Whyte 34 yard field goal attempt is GOOD.,0,17
03:07,1,Rush,11,Korey Williams rush for 11 yards to the BC46. Tackled by Jerald Brown.,0,17
02:45,1,Pass,2,Kevin Glenn pass to Ernest Jackson for 2 yards to the BC48. Tackled by Geoff Tisdale.,0,17
02:31,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Korey Williams.,0,17
02:06,3,Punt,7,Ricky Schmitt punts for 41 yards to Mtl21. Larry Taylor return for 7 yards to Mtl28. Tackled by Keynan Parker.,0,17
01:58,1,Rush,1,Brandon Whitaker rush for 1 yard to the Mtl29. Tackled by Alex Bazzie.,0,17
01:53,2,Incomplete Pass,0,Troy Smith incomplete pass intended for   defensed by Dante Marsh.,0,17
01:36,3,Punt,0,Sean Whyte punts for 44 yards to BC37. No return.,0,17
01:26,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Korey Williams.,0,17
01:22,2,Sack,-7,Sack at BC30 for a loss of 7 yards by John Bowman.,0,17
01:16,3,Punt,2,Ricky Schmitt punts for 52 yards to Mtl28. Larry Taylor return for 2 yards to Mtl30. Tackled by Jordan Matechuk.,0,17
00:50,1,Pass,13,Troy Smith pass to   for 13 yards to the Mtl43. Tackled by Adam Bighill.,0,17
00:43,1,Pass,38,Troy Smith pass to S.J. Green for 38 yards to the BC29. Tackled by J.R. LaRose.,0,17
00:28,1,Rush,9,Troy Smith rush for 9 yards to the BC20. Tackled by Adam Bighill.,0,17
00:23,2,Incomplete Pass,0,Troy Smith incomplete pass intended for Chad Johnson.,0,17
00:14,3,Missed Field Goal,27,Sean Whyte 27 yard field goal attempt is GOOD.,0,20
00:14,0,Kickoff,17,Sean Whyte kicks off to the BC20. Stefan Logan return for 17 yards to BC37. Tackled by Daryl Townsend.,0,20
00:07,1,Rush,7,Andrew Harris rush for 7 yards to the BC44. Tackled by Kyries Hebert.,0,20
00:01,2,Rush,3,Andrew Harris rush for 3 yards to the BC47. Tackled by Kristian Matte.,0,20
15:00,0,Kickoff,20,Sean Whyte kicks off to the BC17. Stefan Logan return for 20 yards to BC37. Tackled by Winston Venable.,0,20
14:45,1,Rush,5,Stefan Logan rush for 5 yards to the BC42. Tackled by Geoff Tisdale.,0,20
14:14,2,Rush,2,Stefan Logan rush for 2 yards to the BC44. Tackled by Scott Paxson.,0,20
13:43,3,Unnecessary Roughness,17,Ricky Schmitt punts for 54 yards to Mtl12. Larry Taylor return for 2 yards to Mtl14. Tackled by Jamall Johnson. Penalty: Unnecessary Roughness on BC (Jamall Johnson) 15 yards.,0,20
13:31,1,Rush,7,Brandon Whitaker rush for 7 yards to the Mtl36. Tackled by Solomon Elimimian.,0,20
13:10,2,Rush,2,Troy Smith rush for 2 yards to the Mtl38. Tackled by Solomon Elimimian.,0,20
12:11,3,Fumble,2,"Tanner Marsh rush for 2 yards to the Mtl40. FUMBLE, recovered by BC (Solomon Elimimian). Tackled by Josh Bourke.",0,20
11:42,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Courtney Taylor.,0,20
11:09,2,Time Count,-5,Penalty: Time Count on BC (Kevin Glenn) -5 yards.,0,20
11:03,2,Pass,29,Kevin Glenn pass to Ernest Jackson for 29 yards to the Mtl16. Tackled by Marc-Olivier Brouillette.,0,20
10:23,1,Rush,0,Andrew Harris rush for no gain to the Mtl16. Tackled by Gabriel Knapton.,0,20
