Time,Down,Type,Yards,Details,Saskatchewan,BC
05:12,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Brett Swain.,3,13
04:53,2,Pass,15,Darian Durant pass to Chris Getzlaf for 15 yards to the BC23. Tackled by J.R. LaRose.,3,13
04:10,1,Rush,3,Will Ford rush for 3 yards to the BC20. Tackled by Khreem Smith.,3,13
03:31,2,Unnecessary Roughness,12,Darian Durant pass to Anthony Allen for 4 yards to the BC16. Tackled by Adam Bighill. Penalty: Unnecessary Roughness on BC (Adam Bighill) 8 yards.,3,13
03:09,1,Rush,3,Will Ford rush for 3 yards to the BC5. Tackled by Khreem Smith.,3,13
02:54,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Chris Getzlaf.,3,13
02:31,3,Missed Field Goal,12,Chris Milo 12 yard field goal attempt is GOOD.,6,13
02:31,0,Kickoff,34,Chris Milo kicks off to the BC11. Tim Brown return for 34 yards to BC45. Tackled by Tyron Brackenridge.,6,13
02:24,1,Rush,2,rush for 2 yards to the BC47. Tackled by Chad Kilgore.,6,13
02:18,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Courtney Taylor.,6,13
01:57,3,Illegal Block,-4,Ricky Schmitt punts for 46 yards to Ssk17. Ryan Smith return for 6 yards to Ssk23. Penalty: Illegal Block on Saskatchewan (Shomari Williams) -10 yards.,6,13
01:42,1,Rush,3,Will Ford rush for 3 yards to the Ssk16. Tackled by Khreem Smith.,6,13
01:36,2,Rush,13,Darian Durant rush for 13 yards to the Ssk29. Tackled by Torri Williams.,6,13
01:10,0,Roughing Passer,15,Penalty: Roughing Passer on BC (Khalif Mitchell) 15 yards.,6,13
00:44,1,Pass,17,Darian Durant pass to Chris Getzlaf for 17 yards to the BC49. Tackled by Torri Williams.,6,13
00:37,1,Illegal Procedure,-5,Penalty: Illegal Procedure on Saskatchewan (Ben Heenan) -5 yards.,6,13
00:27,1,Pass,26,Darian Durant pass to Rob Bagg for 26 yards to the BC28. Tackled by Adam Bighill.,6,13
00:16,0,Holding,-10,Penalty: Holding on Saskatchewan (Ben Heenan) -10 yards.,6,13
00:11,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Anthony Allen.,6,13
00:00,2,Missed Field Goal,46,Chris Milo 46 yard field goal attempt is GOOD.,9,13
15:00,0,Holding,16,Ricky Schmitt kicks off to the Ssk8. Ryan Smith return for 26 yards to Ssk34. Penalty: Holding on Saskatchewan (Tristan Black) -10 yards.,9,13
14:49,1,Incomplete Pass,0,Tino Sunseri incomplete pass intended for Rob Bagg.,9,13
14:25,2,Incomplete Pass,0,Tino Sunseri incomplete pass intended for Anthony Allen.,9,13
14:04,3,Punt,49,Josh Bartel punts for 42 yards to BC44. Stefan Logan return for 49 yards to Ssk17. Tackled by Josh Bartel.,9,13
13:45,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Emmanuel Arceneaux.,9,13
13:32,2,Pass,9,Kevin Glenn pass to Ernest Jackson for 9 yards to the Ssk8. Tackled by Tristan Jackson.,9,13
12:40,3,Illegal Procedure,-5,Penalty: Illegal Procedure on BC (Cameron Thorn) -5 yards.,9,13
12:16,3,Missed Field Goal,21,Paul McCallum 21 yard field goal attempt is GOOD.,9,16
12:16,1,Rush,7,Anthony Allen rush for 7 yards to the Ssk42. Tackled by Cord Parks.,9,16
11:45,2,Rush,5,Anthony Allen rush for 5 yards to the Ssk47. Tackled by Cord Parks.,9,16
11:15,1,Pass,24,Tino Sunseri pass to Chris Getzlaf for 24 yards to the BC39. Tackled by Torri Williams.,9,16
10:27,1,Rush,3,Anthony Allen rush for 3 yards to the BC36. Tackled by Eric Taylor.,9,16
09:58,2,Sack,-5,Sack at BC41 for a loss of 5 yards by Solomon Elimimian.,9,16
09:16,3,Missed Field Goal,48,Chris Milo 48 yard field goal attempt is GOOD.,12,16
09:16,1,Rush,1,rush for 1 yard to the BC36. Tackled by Ricky Foley.,12,16
08:43,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Emmanuel Arceneaux.,12,16
