Time,Down,Type,Yards,Details,BC,Montreal
15:00,0,Kickoff,17,Sean Whyte kicks off to the BC10.   return for 17 yards to BC27. Tackled by James Tuck.,0,0
14:53,1,Pass,8,Kevin Glenn pass to Shawn Gore for 8 yards to the BC35. Tackled by Jerald Brown.,0,0
14:30,2,Rush,5,Stefan Logan rush for 5 yards to the BC40. Tackled by Billy Parker.,0,0
13:55,1,Rush,9,Stefan Logan rush for 9 yards to the BC49. Tackled by Bear Woods.,0,0
13:22,2,Rush,4,Stefan Logan rush for 4 yards to the BC53. Tackled by Gabriel Knapton.,0,0
12:49,1,Rush,7,Stefan Logan rush for 7 yards to the Mtl50. Tackled by Bear Woods.,0,0
12:13,2,Rush,6,rush for 6 yards to the Mtl44. Tackled by Winston Venable.,0,0
11:40,1,Rush,0,rush for no gain to the Mtl44. Tackled by Chip Cox.,0,0
11:10,2,Sack,-7,Sack at Mtl51 for a loss of 7 yards by Kyries Hebert.,0,0
10:33,3,Punt,0,Paul McCallum punts for 17 yards to Mtl34. No return.,0,0
10:10,1,Rush,-2,Brandon Rutley rush for a loss of 2 yards to the Mtl32. Tackled by Jabar Westerman.,0,0
09:39,2,Offside,5,Penalty: Offside on BC (Alex Bazzie) 5 yards.,0,0
09:25,2,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for Jean-Christophe Beaulieu.,0,0
09:07,3,Punt,7,Sean Whyte punts for 43 yards to BC30.   return for 7 yards to BC37. Tackled by Jerod Zaleski.,0,0
08:55,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Rolly Lumbala.,0,0
08:44,2,Pass,6,Kevin Glenn pass to Stefan Logan for 6 yards to the BC43. Tackled by Bear Woods.,0,0
08:12,3,Illegal Block,2,Paul McCallum punts for 37 yards to Mtl30.   return for 12 yards to Mtl42. Penalty: Illegal Block on Montreal (Chip Cox) -10 yards.,0,0
07:57,1,Unnecessary Roughness,25,rush for 10 yards to the Mtl42. Tackled by Cord Parks. Penalty: Unnecessary Roughness on BC (Cord Parks) 15 yards.,0,0
07:43,1,Rush,9,Brandon Rutley rush for 9 yards to the BC44. Tackled by Solomon Elimimian.,0,0
07:03,2,Rush,1,Tanner Marsh rush for 1 yard to the BC43. Tackled by Solomon Elimimian.,0,0
06:25,1,Rush,4,Brandon Rutley rush for 4 yards to the BC39. Tackled by  .,0,0
05:48,2,Illegal Procedure,-5,Penalty: Illegal Procedure on Montreal (Josh Bourke) -5 yards.,0,0
05:31,2,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for S.J. Green.,0,0
04:56,3,Punt Single,0,Sean Whyte punts for 56 yards to BC0. No return (Single).,0,1
04:56,1,Rush,6,Stefan Logan rush for 6 yards to the BC41. Tackled by Kyries Hebert.,0,1
04:20,2,Pass,8,Kevin Glenn pass to Shawn Gore for 8 yards to the BC49. Tackled by Jerald Brown.,0,1
03:52,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Emmanuel Arceneaux.,0,1
03:33,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Kito Poblah.,0,1
03:13,3,Punt,0,Paul McCallum punts for 30 yards to Mtl31. No return.,0,1
03:01,1,Sack,-2,Sack at Mtl29 for a loss of 2 yards by Alex Bazzie.,0,1
