Time,Down,Type,Yards,Details,BC,Toronto
07:14,3,Missed Field Goal,34,Swayze Waters 34 yard field goal attempt is GOOD.,10,6
07:14,0,Kickoff,21,Swayze Waters kicks off to the BC9.   return for 21 yards to BC30. Tackled by Thomas Miles.,10,6
07:07,1,Pass,3,Kevin Glenn pass to Ernest Jackson for 3 yards to the BC33. Tackled by Jalil Carter.,10,6
06:43,2,Pass,6,Kevin Glenn pass to Emmanuel Arceneaux for 6 yards to the BC39. Tackled by Jalil Carter.,10,6
06:00,3,Rush,1,John Beck rush for 1 yard to the BC40. Tackled by Logan Harrell.,10,6
05:40,1,Unnecessary Roughness,-9,Kevin Glenn pass to Stefan Logan for 6 yards to the BC46. Tackled by Shea Emry. Penalty: Unnecessary Roughness on BC (Courtney Taylor) -15 yards.,10,6
05:10,2,Pass,11,Kevin Glenn pass to Stefan Logan for 11 yards to the BC42. Tackled by Shane Horton.,10,6
04:52,3,Punt,11,Ricky Schmitt punts for 51 yards to Tor17. Branden Smith return for 11 yards to Tor28. Tackled by Jamall Johnson.,10,6
04:33,1,Pass,-2,Ricky Ray pass to Jason Barnes for a loss of 2 yards to the Tor26. Tackled by T.J. Lee.,10,6
03:56,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Terrell Sinkfield defensed by Ronnie Yell.,10,6
03:34,3,Punt,1,Swayze Waters punts for 53 yards to BC31.   return for 1 yard to BC32. Tackled by Vincent Agnew.,10,6
03:17,1,Rush,4,Stefan Logan rush for 4 yards to the BC36. Tackled by Shane Horton.,10,6
02:58,2,Pass,22,Kevin Glenn pass to Emmanuel Arceneaux for 22 yards to the Tor52. Tackled by Jalil Carter.,10,6
02:45,1,Rush,31,Stefan Logan rush for 31 yards to the Tor21. Tackled by Antwaun Molden.,10,6
02:30,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Courtney Taylor.,10,6
02:15,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Marco Iannuzzi defensed by Shea Emry.,10,6
02:05,3,Missed Field Goal,29,Paul McCallum 29 yard field goal attempt is GOOD.,13,6
02:05,1,Rush,6,Curtis Steele rush for 6 yards to the Tor41. Tackled by Khalif Mitchell.,13,6
01:58,2,Sack,-9,Sack at Tor32 for a loss of 9 yards by Khreem Smith.,13,6
01:37,3,Punt,5,Swayze Waters punts for 41 yards to BC37.   return for 5 yards to BC42. Tackled by Vincent Agnew.,13,6
01:05,1,Sack,-7,Sack at BC35 for a loss of 7 yards by Nick Rosamonda.,13,6
00:59,2,Sack,-2,Sack at BC33 for a loss of 2 yards by Tristan Okpalaugo.,13,6
00:32,3,No Yards,27,Ricky Schmitt punts for 32 yards to Tor45. Penalty: No Yards on BC (Akwasi Antwi) -5 yards.,13,6
00:07,1,Pass,20,Ricky Ray pass to Jason Barnes for 20 yards to the BC40. Tackled by Solomon Elimimian.,13,6
00:00,1,Missed Field Goal,47,Swayze Waters 47 yard field goal attempt is GOOD.,13,9
