Time,Down,Type,Yards,Details,Hamilton,Saskatchewan
08:19,3,No Yards,13,Josh Bartel punts for 28 yards to Ham32. Penalty: No Yards on Saskatchewan (Dylan Ainsworth) -15 yards.,0,21
07:53,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Brandon Banks.,0,21
07:35,2,Pass,6,Zach Collaros pass to Samuel Giguere for 6 yards to the Ham53. Tackled by Weldon Brown.,0,21
06:57,3,Punt Single,0,Justin Medlock punts for 57 yards to Ssk0. No return (Single).,1,21
06:57,1,Rush,4,Anthony Allen rush for 4 yards to the Ssk39. Tackled by Eric Norwood.,1,21
06:29,0,Pass Interference,18,Penalty: Pass Interference on Hamilton (Delvin Breaux) 18 yards.,1,21
06:00,0,Pass Interference,10,Penalty: Pass Interference on Hamilton (Delvin Breaux) 10 yards.,1,21
05:35,0,Holding,-10,Penalty: Holding on Saskatchewan (Xavier Fulton) -10 yards.,1,21
05:09,1,Pass,10,Darian Durant pass to Chris Getzlaf for 10 yards to the Ham43. Tackled by Emanuel Davis.,1,21
04:39,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Taj Smith.,1,21
04:08,3,Punt,4,Josh Bartel punts for 33 yards to Ham10. Brandon Banks return for 4 yards to Ham14. Tackled by Dylan Ainsworth.,1,21
03:38,1,Rush,9,Brandon Banks rush for 9 yards to the Ham23. Tackled by Tyron Brackenridge.,1,21
03:10,2,Rush,0,C.J. Gable rush for no gain to the Ham23. Tackled by Ricky Foley.,1,21
02:44,3,Rush,2,Dan LeFevour rush for 2 yards to the Ham25. Tackled by Samuel Hurl.,1,21
02:38,1,Sack,-3,Sack at Ham22 for a loss of 3 yards by John Chick.,1,21
02:16,2,Time Count,0,Penalty: Time Count on Hamilton (Zach Collaros) 0 yards.,1,21
01:56,3,Punt,48,Justin Medlock punts for 45 yards to Ssk43. Ryan Smith return for 48 yards to Ham19. Tackled by Brandon Stewart.,1,21
01:40,1,Pass,6,Darian Durant pass to Rob Bagg for 6 yards to the Ham13.,1,21
01:34,2,Rush,-1,Anthony Allen rush for a loss of 1 yard to the Ham14. Tackled by Brandon Stewart.,1,21
01:04,3,Missed Field Goal,21,Chris Milo 21 yard field goal attempt is GOOD.,1,24
01:04,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Brandon Banks defensed by Tristan Jackson.,1,24
