Time,Down,Type,Yards,Details,Montreal,Saskatchewan
02:49,1,Incomplete Pass,0,Alex Brink incomplete pass intended for  .,4,4
02:43,2,Pass,7,Alex Brink pass to Brandon London for 7 yards to the Mtl35. Tackled by Rod Williams.,4,4
02:37,3,Holding,57,Sean Whyte punts for 47 yards to Ssk28. Penalty: Holding on Saskatchewan (Dylan Ainsworth) 10 yards.,4,4
02:22,1,Pass,5,Darian Durant pass to Rob Bagg for 5 yards to the Ssk23. Tackled by Mitchell White.,4,4
02:05,2,Pass,7,Darian Durant pass to Taj Smith for 7 yards to the Ssk30. Tackled by Geoff Tisdale.,4,4
01:47,1,Pass,8,Darian Durant pass to Chris Getzlaf for 8 yards to the Ssk38. Tackled by Jerald Brown.,4,4
01:39,2,Rush,1,Will Ford rush for 1 yard to the Ssk39. Tackled by Jermaine McElveen.,4,4
01:22,3,Punt,3,Josh Bartel punts for 40 yards to Mtl31. Duron Carter return for 3 yards to Mtl34. Tackled by Brian Peters.,4,4
00:55,1,Pass,1,Alex Brink pass to Tyrell Sutton for 1 yard to the Mtl35. Tackled by Derek Walker.,4,4
00:50,2,Pass,8,Alex Brink pass to Duron Carter for 8 yards to the Mtl43. Tackled by Ricky Foley.,4,4
00:28,3,Rush,2,Tanner Marsh rush for 2 yards to the Mtl45. Tackled by Tearrius George.,4,4
00:14,1,Pass,5,Alex Brink pass to Duron Carter for 5 yards to the Mtl50. Tackled by Rod Williams.,4,4
00:01,2,Incomplete Pass,0,Alex Brink incomplete pass intended for  .,4,4
15:00,0,Kickoff,28,Chris Milo kicks off to the Mtl17. Tyrell Sutton return for 28 yards to Mtl45. Tackled by Kevin Regimbald.,4,4
14:52,1,Sack,-10,Sack at Mtl35 for a loss of 10 yards by John Chick.,4,4
14:18,2,Offside,-5,Penalty: Offside on Montreal (Kenny Stafford) -5 yards.,4,4
14:14,2,Incomplete Pass,0,Alex Brink incomplete pass intended for  .,4,4
13:57,3,Punt,5,Sean Whyte punts for 49 yards to Ssk31. Ryan Smith return for 5 yards to Ssk36. Tackled by Winston Venable.,4,4
13:38,1,Pass,28,Darian Durant pass to Chris Getzlaf for 28 yards to the Mtl46. Tackled by Billy Parker.,4,4
13:23,1,Rush,4,Jerome Messam rush for 4 yards to the Mtl42. Tackled by Bear Woods.,4,4
12:39,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Rob Bagg.,4,4
12:02,3,Punt Single,55,Josh Bartel punts for 55 yards to Mtl0 (Single).,4,5
12:02,1,Rush,6,Brandon Whitaker rush for 6 yards to the Mtl41. Tackled by Ricky Foley.,4,5
11:31,2,Pass,9,Alex Brink pass to Kenny Stafford for 9 yards to the Mtl50. Tackled by Tyron Brackenridge.,4,5
11:00,1,Rush,1,Brandon Whitaker rush for 1 yard to the Mtl51. Tackled by Terrell Maze.,4,5
10:22,0,Pass Interference,11,Penalty: Pass Interference on Saskatchewan (Macho Harris) 11 yards.,4,5
09:49,1,Interception,8,Alex Brink pass intended for   INTERCEPTED and returned for 8 yards. Tackled by Brandon London.,4,5
09:15,1,Rush,5,Jerome Messam rush for 5 yards to the Ssk29. Tackled by Kyries Hebert.,4,5
09:02,2,Pass,12,Darian Durant pass to Taj Smith for 12 yards to the Ssk41. Tackled by Aaron Lavarias.,4,5
08:31,1,Rush,1,Jerome Messam rush for 1 yard to the Ssk42. Tackled by Chip Cox.,4,5
07:53,2,Pass,10,Darian Durant pass to Rob Bagg for 10 yards to the Ssk52. Tackled by Mitchell White.,4,5
07:27,1,Rush,6,Jerome Messam rush for 6 yards to the Mtl52. Tackled by Michael Klassen.,4,5
06:53,2,Rush,1,Jerome Messam rush for 1 yard to the Mtl51. Tackled by Alan-Michael Cash.,4,5
06:20,3,Punt,0,Josh Bartel punts for 21 yards to Mtl30. No return.,4,5
06:02,1,Rush,8,Tyrell Sutton rush for 8 yards to the Mtl38. Tackled by Ricky Foley.,4,5
05:33,2,Rush,3,Brandon Whitaker rush for 3 yards to the Mtl41. Tackled by Trevor Guyton.,4,5
04:52,1,Pass,6,Alex Brink pass to Eric Deslauriers for 6 yards to the Mtl47. Tackled by Tristan Black.,4,5
04:12,2,Incomplete Pass,0,Alex Brink incomplete pass intended for Duron Carter.,4,5
03:41,3,Punt,18,Sean Whyte punts for 46 yards to Ssk17. Ryan Smith return for 18 yards to Ssk35. Tackled by Tyrell Sutton.,4,5
03:19,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Chris Getzlaf.,4,5
03:05,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Taj Smith.,4,5
02:41,3,Punt,8,Josh Bartel punts for 61 yards to Mtl14. Duron Carter return for 8 yards to Mtl22. Tackled by Chad Kilgore.,4,5
02:16,1,Rush,2,Brandon Whitaker rush for 2 yards to the Mtl24. Tackled by Tearrius George.,4,5
01:46,2,Incomplete Pass,0,Alex Brink incomplete pass intended for  .,4,5
01:16,3,Punt,21,Sean Whyte punts for 59 yards to Ssk27. Ryan Smith return for 21 yards to Ssk48. Tackled by Tyrell Sutton.,4,5
00:45,1,Rush,4,Jerome Messam rush for 4 yards to the Ssk52. Tackled by Jerald Brown.,4,5
00:24,2,Pass,6,Darian Durant pass to Taj Smith for 6 yards to the Mtl52. Tackled by Geoff Tisdale.,4,5
00:01,1,Pass,22,Darian Durant pass to Rob Bagg for 22 yards to the Mtl30. Tackled by Bear Woods.,4,5
14:46,1,Pass,30,Darian Durant pass to Rob Bagg for 30 yards for a TOUCHDOWN.,4,11
14:24,0,Made Extra Point,0,Chris Milo extra point is good.,4,12
14:24,0,Kickoff,18,Chris Milo kicks off to the Mtl12. Jamahl Knowles return for 18 yards to Mtl30. Tackled by Shomari Williams.,4,12
14:04,1,Unnecessary Roughness,32,Alex Brink pass to Duron Carter for 17 yards to the Mtl47. Tackled by Tristan Jackson. Penalty: Unnecessary Roughness on Saskatchewan (Tristan Jackson) 15 yards.,4,12
13:35,1,Rush,3,Brandon Whitaker rush for 3 yards to the Ssk45. Tackled by Terrell Maze.,4,12
13:20,2,Incomplete Pass,0,Alex Brink incomplete pass intended for   defensed by Terrell Maze.,4,12
12:53,3,Punt,1,Sean Whyte punts for 40 yards to Ssk5. Ryan Smith return for 1 yard to Ssk6. Tackled by Jamahl Knowles.,4,12
12:31,1,Rush,25,Jerome Messam rush for 25 yards to the Ssk31. Tackled by Kyries Hebert.,4,12
12:02,1,Rush,5,Darian Durant rush for 5 yards to the Ssk36. Tackled by Aaron Lavarias.,4,12
11:25,2,Pass,5,Darian Durant pass to Taj Smith for 5 yards to the Ssk41. Tackled by Jerald Brown.,4,12
10:42,1,Pass,8,Darian Durant pass to Chris Getzlaf for 8 yards to the Ssk49. Tackled by Mitchell White.,4,12
10:15,2,Rush,6,Jerome Messam rush for 6 yards to the Ssk55. Tackled by Aaron Lavarias.,4,12
09:41,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Rob Bagg.,4,12
09:22,2,Rush,2,Jerome Messam rush for 2 yards to the Mtl53. Tackled by Gabriel Knapton.,4,12
08:33,3,Holding,36,Josh Bartel punts for 26 yards to Mtl27. Penalty: Holding on Montreal (Jerod Zaleski) 10 yards.,4,12
08:23,1,Incomplete Pass,0,Alex Brink incomplete pass intended for  .,4,12
08:07,2,Time Count,-5,Penalty: Time Count on Montreal (Alex Brink) -5 yards.,4,12
07:44,2,Pass,1,Alex Brink pass to Brandon Whitaker for 1 yard to the Mtl13. Tackled by Tristan Black.,4,12
