Time,Down,Type,Yards,Details,Saskatchewan,Ottawa
07:58,3,Punt,15,Justin Palardy punts for 47 yards to Ssk40. Troy Stoudermire return for 15 yards to Ssk55. Tackled by Andrew Marshall.,14,10
07:26,1,Pass,15,Darian Durant pass to Eron Riley for 15 yards to the Ott40. Tackled by Antoine Pruneau.,14,10
07:00,1,Rush,2,Anthony Allen rush for 2 yards to the Ott38. Tackled by Brandyn Thompson.,14,10
06:30,2,Fumble,5,"Darian Durant pass to Anthony Allen for 5 yards to the Ott33. FUMBLE, recovered by Ott (Antoine Pruneau). Tackled by Chris Best.",14,10
05:53,1,Pass,15,Danny O'Brien pass to Jamill Smith for 15 yards to the Ott48.,14,10
05:39,1,Incomplete Pass,0,Danny O'Brien incomplete pass intended for Jamill Smith.,14,10
05:19,2,Incomplete Pass,0,Danny O'Brien incomplete pass intended for Wallace Miles.,14,10
04:57,3,Punt,41,Justin Palardy punts for 49 yards to Ssk13. Troy Stoudermire return for 41 yards to Ssk54. Tackled by Paris Jackson.,14,10
04:28,1,Rush,4,Jermaine Thomas rush for 4 yards to the Ott52. Tackled by Jovon Johnson.,14,10
04:12,2,Pass,7,Darian Durant pass to Taj Smith for 7 yards to the Ott45. Tackled by Jovon Johnson.,14,10
03:30,1,Rush,4,Jermaine Thomas rush for 4 yards to the Ott41. Tackled by Zack Evans.,14,10
03:00,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Chaz Schilens defensed by Jerrell Gavins.,14,10
02:54,3,Missed Field Goal,29,46 yard field goal attempt by   is NO GOOD.  Missed field goal returned by   to the Ott24.,14,10
02:25,1,Pass,8,Danny O'Brien pass to Wallace Miles for 8 yards to the Ott32. Tackled by Marshay Green.,14,10
02:17,2,Rush,3,Eric O'Neal rush for 3 yards to the Ott35. Tackled by Trevor Guyton.,14,10
01:56,1,Rush,6,Jamill Smith rush for 6 yards to the Ott41. Tackled by Marshay Green.,14,10
01:39,2,Incomplete Pass,0,Danny O'Brien incomplete pass intended for Wallace Miles.,14,10
01:21,3,Punt,-2,Justin Palardy punts for 44 yards to Ssk25. Troy Stoudermire return for a loss of 2 yards to Ssk23. Tackled by Jeremiah Green.,14,10
01:21,1,Rush,1,Jermaine Thomas rush for 1 yard to the Ssk24. Tackled by Justin Phillips.,14,10
00:58,2,Rush,5,Jermaine Thomas rush for 5 yards to the Ssk29. Tackled by Larry Parker.,14,10
00:40,3,Punt,6,Josh Bartel punts for 51 yards to Ott30. Chika Madu return for 6 yards to Ott36. Tackled by Brandon Isaac.,14,10
00:21,1,Pass,13,Danny O'Brien pass to Wallace Miles for 13 yards to the Ott49. Tackled by Paul Woldu.,14,10
00:11,1,Incomplete Pass,0,Danny O'Brien incomplete pass intended for Travon Patterson.,14,10
00:01,2,Pass,7,Danny O'Brien pass to Wallace Miles for 7 yards to the Ssk54. Tackled by Brandon Isaac.,14,10
15:00,0,Kickoff,22,Justin Palardy kicks off to the Ssk13. Clifton Smith return for 22 yards to Ssk35. Tackled by Marlon Smith.,14,10
14:48,1,Rush,2,Curtis McNeal rush for 2 yards to the Ssk37. Tackled by Jasper Simmons.,14,10
14:21,2,Interception,2,Adam Weber pass intended for Alex Pierzchalski INTERCEPTED and returned for 2 yards. Tackled by Alex Pierzchalski.,14,10
14:08,1,Incomplete Pass,0,Thomas DeMarco incomplete pass intended for Aaron Hargreaves.,14,10
13:57,2,Sack,-8,Sack at Ssk50 for a loss of 8 yards by Mortty Ivy.,14,10
13:29,3,Punt,11,Justin Palardy punts for 41 yards to Ssk9. Clifton Smith return for 11 yards to Ssk20. Tackled by Andrew Marshall.,14,10
13:03,1,Rush,38,Keith Toston rush for 38 yards to the Ott52. Tackled by Parker Orms.,14,10
12:32,1,Incomplete Pass,0,Adam Weber incomplete pass intended for Isaiah Sweeney.,14,10
12:12,2,Fumble,35,"Adam Weber pass to DeMarco Sampson for 35 yards to the Ott17. FUMBLE, recovered by Ssk (DeMarco Sampson).",14,10
11:23,0,Pass Interference,8,Penalty: Pass Interference on Ottawa (Larry Parker) 8 yards.,14,10
11:23,1,Rush,5,Keith Toston rush for 5 yards to the Ott4. Tackled by Keith Shologan.,14,10
10:19,2,Pass,4,Adam Weber pass to Brett Swain for 4 yards for a TOUCHDOWN.,20,10
10:22,0,Made Extra Point,0,John Mark extra point is good.,21,10
10:22,0,Kickoff,7,John Mark kicks off to the Ott16. Jamill Smith return for 7 yards to Ott23. Tackled by Travis Bent.,21,10
10:15,1,Rush,-1,Eric O'Neal rush for a loss of 1 yard to the Ott22. Tackled by Mortty Ivy.,21,10
09:48,2,Pass,9,Thomas DeMarco pass to Aaron Hargreaves for 9 yards to the Ott31. Tackled by Antonio Fenelus.,21,10
09:10,3,Punt,5,Justin Palardy punts for 32 yards to Ssk47. Clifton Smith return for 5 yards to Ssk52. Tackled by  .,21,10
08:43,1,Rush,4,Clifton Smith rush for 4 yards to the Ott54. Tackled by T.J. Hill.,21,10
08:16,2,Illegal Procedure,-5,Penalty: Illegal Procedure on Saskatchewan (Dan Clark) -5 yards.,21,10
07:54,2,Rush,13,Seth Doege rush for 13 yards to the Ott46. Tackled by Antoine Pruneau.,21,10
07:23,1,Pass,6,Seth Doege pass to Martel Moore for 6 yards to the Ott40. Tackled by Jovon Johnson.,21,10
06:52,2,Incomplete Pass,0,Seth Doege incomplete pass intended for DeMarco Sampson defensed by Jerrell Gavins.,21,10
06:21,3,Punt,6,Brett Cameron punts for 44 yards to Ott0. Travon Patterson return for 6 yards to Ott2. Tackled by Levi Steinhauer.,21,10
06:06,1,Pass,26,Thomas DeMarco pass to Fred Rouse for 26 yards to the Ott28. Tackled by Brandon Isaac.,21,10
05:38,1,Rush,12,Michael Hayes rush for 12 yards to the Ott40. Tackled by Antonio Fenelus.,21,10
05:01,1,Rush,7,Michael Hayes rush for 7 yards to the Ott47. Tackled by Samuel Hurl.,21,10
04:23,2,Rush,2,Michael Hayes rush for 2 yards to the Ott49. Tackled by David Lee.,21,10
03:53,3,Rush,1,Thomas DeMarco rush for 1 yard to the Ott50. Tackled by Troy Stoudermire.,21,10
03:03,1,Incomplete Pass,0,Thomas DeMarco incomplete pass intended for John Delahunt.,21,10
02:08,2,Pass,60,Thomas DeMarco pass to Travon Patterson for 60 yards for a TOUCHDOWN.,21,16
01:55,0,Made Extra Point,0,Justin Palardy extra point is good.,21,17
01:55,0,Kickoff,21,Justin Palardy kicks off to the Ssk15. Clifton Smith return for 21 yards to Ssk36. Tackled by D.J. Harper.,21,17
01:49,1,Rush,4,Curtis McNeal rush for 4 yards to the Ssk40. Tackled by Jonathan Williams.,21,17
01:15,2,Pass,5,Seth Doege pass to Alex Pierzchalski for 5 yards to the Ssk45. Tackled by Larry Parker.,21,17
00:40,3,Rush,6,Curtis McNeal rush for 6 yards to the Ssk51. Tackled by Brandyn Thompson.,21,17
00:01,1,Rush,2,Curtis McNeal rush for 2 yards to the Ssk53. Tackled by Chika Madu.,21,17
15:00,0,Holding,-10,Penalty: Holding on Saskatchewan (Dan Clark) -10 yards.,21,17
14:36,2,Rush,1,Seth Doege rush for 1 yard to the Ssk44. Tackled by Jeremiah Green.,21,17
14:00,3,Punt,3,Brett Cameron punts for 50 yards to Ott16. Chika Madu return for 3 yards to Ott19. Tackled by Matt Webster.,21,17
13:41,1,Rush,19,D.J. Harper rush for 19 yards to the Ott38. Tackled by Antonio Fenelus.,21,17
13:19,1,Rush,3,D.J. Harper rush for 3 yards to the Ott41. Tackled by Derek Walker.,21,17
12:35,2,Pass,2,Thomas DeMarco pass to Fred Rouse for 2 yards to the Ott43. Tackled by Antonio Fenelus.,21,17
12:01,3,Punt,7,Justin Palardy punts for 48 yards to Ssk19. Ryan Smith return for 7 yards to Ssk26. Tackled by Jermaine Robinson.,21,17
11:29,1,Rush,15,Keith Toston rush for 15 yards to the Ssk41. Tackled by Travis Brown.,21,17
11:05,1,Rush,2,Adam Weber rush for 2 yards to the Ssk43. Tackled by Marlon Smith.,21,17
10:30,2,Sack,-10,Sack at Ssk33 for a loss of 10 yards by Justin Capicciotti.,21,17
10:00,3,Punt,12,Brett Cameron punts for 47 yards to Ott30. Jamill Smith return for 12 yards to Ott42. Tackled by Levi Steinhauer.,21,17
09:44,1,Rush,10,D.J. Harper rush for 10 yards to the Ott52. Tackled by Mark LeGree.,21,17
09:12,1,Rush,0,D.J. Harper rush for no gain to the Ott52. Tackled by Derek Walker.,21,17
08:41,2,Interception,3,Thomas DeMarco pass intended for Robin Medeiros INTERCEPTED and returned for 3 yards. Tackled by Robin Medeiros.,21,17
08:15,1,Pass,12,Seth Doege pass to Kristopher Bastien for 12 yards to the Ott47. Tackled by Brandyn Thompson.,21,17
07:41,1,Rush,11,Clifton Smith rush for 11 yards to the Ott36. Tackled by Devin Arrington.,21,17
07:16,1,Incomplete Pass,0,Seth Doege incomplete pass intended for DeMarco Sampson.,21,17
06:59,2,Sack,-2,Sack at Ott38 for a loss of 2 yards by Andrew Marshall.,21,17
06:29,3,Punt,3,Brett Cameron punts for 36 yards to Ott2. Travon Patterson return for 3 yards to Ott5. Tackled by Mortty Ivy.,21,17
06:14,1,Pass,9,Alex Carder pass to Patrick Lavoie for 9 yards to the Ott14. Tackled by Greg McCoy.,21,17
06:03,2,Rush,3,D.J. Harper rush for 3 yards to the Ott17. Tackled by Hugo Lopez.,21,17
05:25,1,Pass,16,Alex Carder pass to Wallace Miles for 16 yards to the Ott33. Tackled by Greg McCoy.,21,17
04:54,1,Offside,-5,Penalty: Offside on Ottawa (Taulib Ikharo) -5 yards.,21,17
04:23,1,Rush,7,Alex Carder rush for 7 yards to the Ott35. Tackled by Dylan Ainsworth.,21,17
03:51,2,Interception,0,Alex Carder pass intended for Robin Medeiros INTERCEPTED. No return. Tackled by Robin Medeiros.,21,17
