Time,Down,Type,Yards,Details,Edmonton,Saskatchewan
07:42,2,Pass,10,Matt Nichols pass to Paris Jackson for 10 yards to the Ssk8. Tackled by Woodny Turenne.,1,7
07:06,3,Illegal Procedure,-5,Penalty: Illegal Procedure on Edmonton (Andrew Jones) -5 yards.,1,7
06:43,3,Missed Field Goal,20,Hugh O'Neill 20 yard field goal attempt is GOOD.,4,7
06:43,0,Kickoff,1,Hugh O'Neill kicks off to the Ssk40. Steven Miller return for 1 yard to Ssk41. Tackled by J.C. Sherritt.,4,7
06:41,1,Incomplete Pass,0,Kerry Joseph incomplete pass intended for Brett Swain defensed by Alonzo Lawrence.,4,7
06:20,2,Pass,12,Kerry Joseph pass to Weston Dressler for 12 yards to the Ssk53. Tackled by Dexter McCoil.,4,7
05:51,0,Holding,-10,Penalty: Holding on Saskatchewan (Xavier Fulton) -10 yards.,4,7
05:21,1,Illegal Procedure,-5,Penalty: Illegal Procedure on Saskatchewan (Xavier Fulton) -5 yards.,4,7
05:08,1,Rush,2,Anthony Allen rush for 2 yards to the Ssk40. Tackled by Odell Willis.,4,7
04:25,2,Time Count,-5,Penalty: Time Count on Saskatchewan (Kerry Joseph) -5 yards.,4,7
04:08,2,Face Mask,44,Kerry Joseph pass to Chris Getzlaf for 29 yards to the Edm46. Tackled by Cauchy Muamba. Penalty: Face Mask on Edmonton (Cauchy Muamba) 15 yards.,4,7
03:57,1,Incomplete Pass,0,Kerry Joseph incomplete pass intended for Rob Bagg.,4,7
03:42,2,Incomplete Pass,0,Kerry Joseph incomplete pass intended for Chris Getzlaf.,4,7
03:11,3,Missed Field Goal,39,Chris Milo 39 yard field goal attempt is GOOD.,4,10
03:11,1,Rush,0,Tyler Thomas rush for no gain to the Edm35. Tackled by Trevor Guyton.,4,10
02:55,2,Incomplete Pass,0,Matt Nichols incomplete pass intended for Nate Coehoorn.,4,10
02:45,3,Punt,0,Hugh O'Neill punts for 29 yards to Ssk46. No return.,4,10
02:37,1,Rush,1,Steven Miller rush for 1 yard to the Ssk47. Tackled by Alonzo Lawrence.,4,10
02:31,2,Incomplete Pass,0,Kerry Joseph incomplete pass intended for Weston Dressler defensed by Dexter McCoil.,4,10
02:11,3,Punt,1,Josh Bartel punts for 48 yards to Edm15. Kendial Lawrence return for 1 yard to Edm16. Tackled by Diamond Ferri.,4,10
01:59,0,Fumble,-11,FUMBLE  Recovered by Edm (Tyler Thomas),4,10
01:37,2,Fumble,25,"Matt Nichols pass to Tyler Thomas for 30 yards to the Edm35. FUMBLE, recovered by Ssk ( ) and returned for a loss of 5 yards. Tackled by Paris Jackson.",4,10
01:24,1,Incomplete Pass,0,Kerry Joseph incomplete pass intended for Steven Miller.,4,10
01:16,2,Rush,22,Kerry Joseph rush for 22 yards to the Edm18. Tackled by Ryan Hinds.,4,10
00:45,1,Rush,18,Korey Williams rush for 18 yards for a TOUCHDOWN.,4,16
00:45,0,Incomplete Pass,0,Kerry Joseph incomplete pass intended for Weston Dressler.,4,16
00:45,0,Illegal Block,1,Chris Milo kicks off to the Edm18. Kendial Lawrence return for 11 yards to Edm29. Penalty: Illegal Block on Edmonton (Mike Miller) -10 yards.,4,16
00:33,1,Rush,-3,Kendial Lawrence rush for a loss of 3 yards to the Edm16. Tackled by Marvin Burdette.,4,16
00:12,2,Rush,3,Kendial Lawrence rush for 3 yards to the Edm19. Tackled by Derek Walker.,4,16
15:00,0,Kickoff,0,"Hugh O'Neill kicks off to the Ssk52. Alex Pierzchalski - no return., recovered by Ssk (Alex Pierzchalski).",4,16
14:55,1,Rush,2,Anthony Allen rush for 2 yards to the Ssk37. Tackled by Almondo Sewell.,4,16
14:06,0,Illegal Contact,10,Penalty: Illegal Contact on Edmonton (Odell Willis) 10 yards.,4,16
13:34,1,Rush,0,Anthony Allen rush for no gain to the Ssk47. Tackled by Marcell Young.,4,16
13:19,2,Incomplete Pass,0,Kerry Joseph incomplete pass intended for Brett Swain.,4,16
12:50,3,Punt,10,Josh Bartel punts for 49 yards to Edm14. Kendial Lawrence return for 10 yards to Edm24. Tackled by  .,4,16
12:33,1,Pass,6,Matt Nichols pass to Nate Coehoorn for 6 yards to the Edm30. Tackled by Rod Williams.,4,16
