Time,Down,Type,Yards,Details,Edmonton,Saskatchewan
15:00,0,Kickoff,19,Chris Milo kicks off to the Edm4. Hugh Charles return for 19 yards to Edm23. Tackled by Tyron Brackenridge.,0,0
14:31,0,Illegal Contact,10,Penalty: Illegal Contact on Saskatchewan (Rod Williams) 10 yards.,0,0
14:19,1,Pass,-1,Mike Reilly pass to Devon Bailey for a loss of 1 yard to the Ssk34. Tackled by Terrell Maze.,0,0
13:42,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Adarius Bowman.,0,0
13:28,3,Punt,16,Grant Shaw punts for 35 yards to Ssk0. Marshay Green return for 16 yards to Ssk13. Tackled by Deon Lacey.,0,0
13:12,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Taj Smith.,0,0
12:59,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Ryan Smith.,0,0
12:36,3,Illegal Punt,20,Josh Bartel punts for 30 yards to Edm21. Penalty: Illegal Punt on Saskatchewan (Josh Bartel) -10 yards.,0,0
12:24,0,Illegal Block,-10,Penalty: Illegal Block on Edmonton (Adam Baboulas) -10 yards.,0,0
12:10,1,Sack,-5,Sack at Edm16 for a loss of 5 yards by John Chick.,0,0
11:29,2,Pass,6,Mike Reilly pass to Hugh Charles for 6 yards to the Edm22. Tackled by Rod Williams.,0,0
11:15,3,Punt,7,Grant Shaw punts for 40 yards to Ssk48. Marshay Green return for 7 yards to Ssk55.,0,0
10:53,1,Pass,10,Darian Durant pass to Brett Swain for 10 yards to the Edm45. Tackled by Eric Samuels.,0,0
10:18,1,Rush,11,Keith Toston rush for 11 yards to the Edm34. Tackled by Rennie Curran.,0,0
09:43,1,Fumble,23,"Keith Toston rush for 16 yards to the Edm18. FUMBLE, recovered by Edm (Marcell Young) and returned for 7 yards. Tackled by Keith Toston.",0,0
09:09,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Devon Bailey.,0,0
08:54,1,Pass,7,Mike Reilly pass to Hugh Charles for 7 yards to the Edm32. Tackled by Chad Kilgore.,0,0
08:17,3,Fumble,-2,"Grant Shaw punts for 44 yards to Ssk34. Marshay Green return for a loss of 2 yards to Ssk32. FUMBLE, recovered by Edm (Deon Lacey). Tackled by Marshay Green.",0,0
07:54,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Adarius Bowman.,0,0
07:34,2,Unnecessary Roughness,-15,Mike Reilly rush for no gain to the Ssk32. Tackled by Weldon Brown. Penalty: Unnecessary Roughness on Edmonton (Thaddeus Coleman) -15 yards.,0,0
07:04,3,Punt,42,Grant Shaw punts for 42 yards to Ssk5.,0,0
06:39,1,Rush,3,Anthony Allen rush for 3 yards to the Ssk8. Tackled by Dexter McCoil.,0,0
06:01,2,Offside,5,Penalty: Offside on Edmonton (Odell Willis) 5 yards.,0,0
05:45,2,Rush,6,Anthony Allen rush for 6 yards to the Ssk19. Tackled by Eric Samuels.,0,0
05:12,1,Rush,3,Anthony Allen rush for 3 yards to the Ssk22. Tackled by Daniel Ross.,0,0
04:45,2,Pass,17,Darian Durant pass to Chaz Schilens for 17 yards to the Ssk39. Tackled by Patrick Watkins.,0,0
04:12,1,Rush,9,Anthony Allen rush for 9 yards to the Ssk48. Tackled by Eric Samuels.,0,0
03:29,2,Rush,5,Anthony Allen rush for 5 yards to the Ssk53. Tackled by Odell Willis.,0,0
02:56,1,Time Count,-5,Penalty: Time Count on Saskatchewan (Darian Durant) -5 yards.,0,0
02:43,1,Rush,6,Anthony Allen rush for 6 yards to the Ssk54. Tackled by Eric Samuels.,0,0
02:25,2,Incomplete Pass,0,Darian Durant incomplete pass.,0,0
02:02,3,Punt,4,Josh Bartel punts for 47 yards to Edm9. Jamal Miles return for 4 yards to Edm13. Tackled by Matt Webster.,0,0
01:42,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Adarius Bowman defensed by Tristan Jackson.,0,0
01:28,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Devon Bailey defensed by Rod Williams.,0,0
01:08,3,Punt,16,Grant Shaw punts for 40 yards to Edm53. Marshay Green return for 16 yards to Edm37. Tackled by Corbin Sharun.,0,0
00:46,1,Pass,10,Darian Durant pass to Chaz Schilens for 10 yards to the Edm27. Tackled by Patrick Watkins.,0,0
00:01,1,Rush,2,Anthony Allen rush for 2 yards to the Edm25. Tackled by Eddie Steele.,0,0
14:46,2,Pass,25,Darian Durant pass to Taj Smith for 25 yards for a TOUCHDOWN.,0,6
14:34,0,Made Extra Point,0,Chris Milo extra point is good.,0,7
14:34,0,Kickoff,29,Chris Milo kicks off to the Edm18. Patrick Robertson return for 29 yards to Edm47. Tackled by Tyron Brackenridge.,0,7
14:27,1,Rush,6,Tyler Thomas rush for 6 yards to the Edm53. Tackled by Ricky Foley.,0,7
13:54,0,Roughing Passer,15,Penalty: Roughing Passer on Saskatchewan (Jeremy Beal) 15 yards.,0,7
13:25,1,Fumble,9,"Mike Reilly pass to Adarius Bowman for 9 yards to the Ssk33. FUMBLE, recovered by Ssk (Chad Kilgore).",0,7
12:55,1,Rush,-3,Jermaine Thomas rush for a loss of 3 yards to the Ssk30. Tackled by Otha Foster.,0,7
12:24,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Taj Smith.,0,7
12:04,3,Punt,2,Josh Bartel punts for 37 yards to Edm43. Jamal Miles return for 2 yards to Edm45. Tackled by Samuel Hurl.,0,7
11:49,1,Sack,-2,Sack at Edm43 for a loss of 2 yards by David Lee.,0,7
11:11,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Devon Bailey defensed by Weldon Brown.,0,7
10:55,3,Face Mask,44,Grant Shaw punts for 46 yards to Ssk21. Ryan Smith return for 29 yards to Ssk50. Tackled by Eric Samuels. Penalty: Face Mask on Edmonton (Pat White) 15 yards.,0,7
10:25,1,Pass,6,Darian Durant pass to Rob Bagg for 6 yards to the Edm39. Tackled by Marcell Young.,0,7
09:59,2,Rush,3,Darian Durant rush for 3 yards to the Edm36. Tackled by Odell Willis.,0,7
09:30,3,Rush,1,Tino Sunseri rush for 1 yard to the Edm35. Tackled by Daniel Ross.,0,7
08:59,1,Rush,-4,Jermaine Thomas rush for a loss of 4 yards to the Edm39. Tackled by Dexter McCoil.,0,7
07:51,2,Pass,39,Darian Durant pass to Taj Smith for 39 yards for a TOUCHDOWN.,0,13
07:40,0,Made Extra Point,0,Chris Milo extra point is good.,0,14
07:40,0,Kickoff,16,Chris Milo kicks off to the Edm19. Patrick Robertson return for 16 yards to Edm35. Tackled by Tyron Brackenridge.,0,14
07:31,1,Rush,22,Tyler Thomas rush for 22 yards to the Ssk53. Tackled by Samuel Hurl.,0,14
06:50,1,Unnecessary Roughness,-12,Tyler Thomas rush for 3 yards to the Ssk50. Tackled by Ricky Foley. Penalty: Unnecessary Roughness on Edmonton (Tony Washington) -15 yards.,0,14
06:23,2,Pass,15,Mike Reilly pass to A.J. Guyton for 15 yards to the Ssk50. Tackled by Brian Peters.,0,14
05:18,3,Punt Single,0,Grant Shaw punts for 50 yards to Ssk0. No return (Single).,1,14
05:10,1,Rush,2,Keith Toston rush for 2 yards to the Ssk37. Tackled by Don Oramasionwu.,1,14
04:44,2,Pass,6,Darian Durant pass to Chaz Schilens for 6 yards to the Ssk43. Tackled by Patrick Watkins.,1,14
04:24,3,Holding,53,Josh Bartel punts for 43 yards to Edm24. Penalty: Holding on Edmonton (Deon Lacey) 10 yards.,1,14
04:01,1,Pass,6,Mike Reilly pass to Adarius Bowman for 6 yards to the Edm20. Tackled by Dwight Anderson.,1,14
03:37,2,Pass,6,Mike Reilly pass to Adarius Bowman for 6 yards to the Edm26. Tackled by Dwight Anderson.,1,14
03:03,1,Rush,20,Tyler Thomas rush for 20 yards to the Edm46. Tackled by Rod Williams.,1,14
02:34,1,Rush,9,Tyler Thomas rush for 9 yards to the Edm55. Tackled by Chad Kilgore.,1,14
02:22,0,Unnecessary Roughness,-10,"FUMBLE Tyler Thomas rush for 5 yards to the Ssk50., recovered by Edm (Tony Washington). Penalty: Unnecessary Roughness on Edmonton (Tony Washington) -15 yards.",1,14
01:55,1,Rush,5,Tyler Thomas rush for 5 yards to the Edm50. Tackled by Rod Williams.,1,14
01:40,2,Pass,7,Mike Reilly pass to Devon Bailey for 7 yards to the Ssk53. Tackled by Rod Williams.,1,14
01:30,1,Rush,3,Tyler Thomas rush for 3 yards to the Ssk50. Tackled by Derek Walker.,1,14
01:00,2,Pass,5,Mike Reilly pass to Tony Washington for 5 yards to the Ssk45.,1,14
00:25,3,Punt Single,0,Grant Shaw punts for 48 yards to Ssk0. No return (Single).,2,14
15:00,0,Kickoff,8,Chris Milo kicks off to the Edm20. Patrick Robertson return for 8 yards to Edm28. Tackled by Brandon Isaac.,2,14
14:40,1,Pass,59,Matt Nichols pass to Nate Coehoorn for 59 yards to the Ssk23. Tackled by Tyron Brackenridge.,2,14
14:18,1,Objectionable Conduct,2,John White rush for 12 yards to the Ssk11. Tackled by Tristan Jackson. Penalty: Objectionable Conduct on Edmonton (John White) -10 yards.,2,14
13:45,1,Rush,1,John White rush for 1 yard to the Ssk20. Tackled by Brandon Isaac.,2,14
12:42,2,Pass,20,Matt Nichols pass to Adarius Bowman for 20 yards for a TOUCHDOWN.,8,14
12:28,0,Made Extra Point,0,Zackary Medeiros extra point is good.,9,14
12:28,0,Kickoff,55,Zackary Medeiros kicks off to the Ssk3. Isaiah Sweeney return for 55 yards to Edm52. Tackled by Joe Burnett.,9,14
12:11,1,Incomplete Pass,0,Tino Sunseri incomplete pass intended for Taj Smith.,9,14
11:57,2,Sack,-6,Sack at Ssk52 for a loss of 6 yards by Marcus Howard.,9,14
11:28,3,Time Count,-5,Penalty: Time Count on Saskatchewan (Josh Bartel) -5 yards.,9,14
11:07,3,Punt,0,Josh Bartel punts for 47 yards to Edm16. A.J. Guyton return for no gain to Edm16. Tackled by Dylan Ainsworth.,9,14
10:55,1,Rush,3,John White rush for 3 yards to the Edm19. Tackled by David Lee.,9,14
10:35,2,Pass,22,Matt Nichols pass to John White for 22 yards to the Edm41. Tackled by Tristan Black.,9,14
10:01,2,Pass,28,Matt Nichols pass to A.J. Guyton for 28 yards to the Ssk41. Tackled by Tyron Brackenridge.,9,14
08:50,1,Rush,41,John White rush for 41 yards for a TOUCHDOWN.,15,14
08:34,0,Made Extra Point,0,Zackary Medeiros extra point is good.,16,14
08:34,0,Kickoff,31,Zackary Medeiros kicks off to the Ssk3. Isaiah Sweeney return for 31 yards to Ssk34. Tackled by Curtis Dublanko.,16,14
08:26,1,Rush,3,Anthony Allen rush for 3 yards to the Ssk37. Tackled by Daniel Ross.,16,14
07:50,2,Pass,15,Tino Sunseri pass to Chaz Schilens for 15 yards to the Ssk52. Tackled by Dexter McCoil.,16,14
07:10,1,Rush,-1,Anthony Allen rush for a loss of 1 yard to the Ssk51. Tackled by Dexter McCoil.,16,14
06:33,2,Interception,5,Tino Sunseri pass INTERCEPTED and returned for 5 yards. Tackled by Anthony Allen.,16,14
06:02,1,Rush,7,Tyler Thomas rush for 7 yards to the Ssk54. Tackled by Markus White.,16,14
05:40,2,Pass,-1,Matt Nichols pass to Tyler Thomas for a loss of 1 yard to the Edm55. Tackled by Tristan Black.,16,14
05:06,3,Illegal Procedure,5,Penalty: Illegal Procedure on Edmonton 5 yards.,16,14
04:43,3,Punt,10,Hugh O'Neill punts for 47 yards to Ssk13. Isaiah Sweeney return for 10 yards to Ssk23. Tackled by Elie Ngoyi.,16,14
04:19,1,Rush,3,Anthony Allen rush for 3 yards to the Ssk26. Tackled by Ra'Shon Harris.,16,14
03:51,2,Rush,5,Tino Sunseri rush for 5 yards to the Ssk31. Tackled by Chris Rwabukamba.,16,14
03:16,3,Objectionable Conduct,68,Chris Milo punts for 39 yards to Edm40. Chris Milo punts for 39 yards to Edm1. Penalty: No Yards on Saskatchewan (Marshay Green) -15 yards. Penalty: No Yards on Saskatchewan (Marshay Green) -15 yards. Penalty: Objectionable Conduct on Edmonton 10 yards. Penalty: Objectionable Conduct on Edmonton (Nathan Kanya) 10 yards.,16,14
02:57,1,Rush,8,Tyler Thomas rush for 4 yards to the Edm49. Tyler Thomas rush for 4 yards to the Edm53. Tackled by Tristan Jackson.,16,14
02:25,2,Incomplete Pass,0,Matt Nichols incomplete pass. Matt Nichols incomplete pass.,16,14
01:58,3,No Yards,34,Hugh O'Neill punts for 49 yards to Ssk12. Penalty: No Yards on Edmonton (Robert Sands) -15 yards.,16,14
01:32,1,Rush,1,Tino Sunseri rush for 1 yard to the Ssk38. Tackled by Eddie Steele.,16,14
00:47,2,Rush,18,Keith Toston rush for 18 yards to the Edm54. Tackled by Marcell Young.,16,14
00:26,1,Rush,11,Keith Toston rush for 11 yards to the Edm43. Tackled by Eric Samuels.,16,14
00:01,1,Pass,8,Tino Sunseri pass to Keith Toston for 8 yards to the Edm35. Tackled by Marcus Howard.,16,14
15:00,2,Objectionable Conduct,5,Penalty: Illegal Procedure on Saskatchewan -5 yards. Penalty: Objectionable Conduct on Edmonton (Odell Willis) 10 yards.,16,14
14:27,1,Rush,6,Keith Toston rush for 6 yards to the Edm24. Tackled by Otha Foster.,16,14
14:02,2,Rush,3,Keith Toston rush for 3 yards to the Edm21. Tackled by Otha Foster.,16,14
13:35,3,Missed Field Goal,21,21 yard field goal attempt by John Mark is NO GOOD.,16,14
13:08,1,Incomplete Pass,0,Matt Nichols incomplete pass intended for Devon Bailey.,16,14
13:02,2,Incomplete Pass,0,Matt Nichols incomplete pass intended for Tyler Thomas.,16,14
12:41,3,Punt,0,Hugh O'Neill punts for 32 yards to Ssk53. No return.,16,14
12:22,1,Incomplete Pass,0,Seth Doege incomplete pass intended for Isaiah Sweeney.,16,14
12:00,2,Incomplete Pass,0,Seth Doege incomplete pass defensed by Dexter McCoil.,16,14
11:40,3,Punt,9,John Mark punts for 38 yards to Edm19. Patrick Robertson return for 9 yards to Edm28. Tackled by Troy Stoudermire.,16,14
11:20,1,Pass,1,Matt Nichols pass to Patrick Robertson for 1 yard to the Edm29. Tackled by Marshay Green.,16,14
11:00,2,Pass,6,Matt Nichols pass to Aaron Milton for 6 yards to the Edm35. Tackled by Mark LeGree.,16,14
10:17,3,Illegal Block,-7,Hugh O'Neill punts for 43 yards to Ssk32. Dan DePalma return for 3 yards to Ssk35. Penalty: Illegal Block on Saskatchewan (Ryan Wellman) -10 yards.,16,14
09:49,1,Rush,2,Jermaine Thomas rush for 2 yards to the Ssk27. Tackled by Dexter McCoil.,16,14
09:30,2,Incomplete Pass,0,Adam Weber incomplete pass intended for Dan DePalma.,16,14
09:01,3,Punt,-1,John Mark punts for 42 yards to Edm41. Patrick Robertson return for a loss of 1 yard to Edm40. Tackled by Dylan Ainsworth.,16,14
08:32,1,Pass,20,Matt Nichols pass to Patrick Robertson for 20 yards to the Edm50. Tackled by Brandon Isaac.,16,14
08:14,1,Rush,5,Aaron Milton rush for 5 yards to the Edm55. Tackled by Tristan Black.,16,14
07:26,2,Sack,-1,Sack at Edm54 for a loss of 1 yard by Tristan Black.,16,14
06:51,3,Punt,8,Hugh O'Neill punts for 40 yards to Ssk16. Dan DePalma return for 8 yards to Ssk24. Tackled by Mike Dubuisson.,16,14
06:29,1,Incomplete Pass,0,Seth Doege incomplete pass intended for Alex Pierzchalski.,16,14
06:01,2,Rush,9,Jermaine Thomas rush for 9 yards to the Ssk33. Tackled by Dexter McCoil.,16,14
05:37,3,Punt,5,John Mark punts for 53 yards to Edm24. Patrick Robertson return for 5 yards to Edm29. Tackled by Dylan Ainsworth.,16,14
05:03,1,Pass,8,Pat White pass to Jamal Miles for 8 yards to the Edm37. Tackled by Greg McCoy.,16,14
04:12,2,Rush,3,Aaron Milton rush for 3 yards to the Edm40. Tackled by Mark LeGree.,16,14
03:35,1,Time Count,-5,Penalty: Time Count on Edmonton (Pat White) -5 yards.,16,14
03:05,1,Rush,2,Pat White rush for 2 yards to the Edm37. Tackled by Troy Stoudermire.,16,14
02:58,2,Rush,0,Pat White rush for no gain to the Edm37. Tackled by Markus White.,16,14
02:43,3,Time Count,-5,Penalty: Time Count on Edmonton (Hugh O'Neill) -5 yards.,16,14
02:21,3,Holding,42,Hugh O'Neill punts for 32 yards to Ssk46. Penalty: Holding on Saskatchewan (Greg McCoy) 10 yards.,16,14
02:10,1,Rush,4,Jermaine Thomas rush for 4 yards to the Ssk40. Tackled by Willie Jefferson.,16,14
02:03,2,Rush,0,Adam Weber rush for no gain to the Ssk40. Tackled by Daniel Ross.,16,14
01:54,3,Incomplete Pass,0,Adam Weber incomplete pass intended for Isaiah Sweeney.,16,14
01:44,1,Rush,8,Tyler Thomas rush for 8 yards to the Ssk32. Tackled by Richard Sumlin.,16,14
01:29,2,Rush,7,Pat White rush for 7 yards to the Ssk25. Tackled by Brandon Isaac.,16,14
01:18,1,Offside,-5,Penalty: Offside on Edmonton (Patrick Robertson) -5 yards.,16,14
01:05,1,Rush,4,Tyler Thomas rush for 4 yards to the Ssk26. Tackled by Brandon Isaac.,16,14
00:59,2,Pass,1,Pat White pass to Tyler Thomas for 1 yard to the Ssk25. Tackled by Markus White.,16,14
00:13,3,Missed Field Goal,32,Hugh O'Neill 32 yard field goal attempt is GOOD.,19,14
00:13,1,Pass,16,Seth Doege pass to Jordan Sisco for 16 yards to the Ssk51. Tackled by Deon Lacey.,19,14
00:01,1,Incomplete Pass,0,Seth Doege incomplete pass intended for Jordan Sisco defensed by Dexter McCoil.,19,14
