Time,Down,Type,Yards,Details,Toronto,Saskatchewan
08:17,2,Pass,15,Ricky Ray pass to Darvin Adams for 15 yards to the Tor23. Tackled by Tyron Brackenridge.,6,14
07:44,3,Punt,7,Swayze Waters punts for 47 yards to Ssk40. Marshay Green return for 7 yards to Ssk47. Tackled by Shane Herbert.,6,14
07:27,1,Pass,18,Darian Durant pass to Rob Bagg for 18 yards to the Tor45. Tackled by Branden Smith.,6,14
07:08,1,Pass,7,Darian Durant pass to Will Ford for 7 yards to the Tor38. Tackled by Nicholas Williams.,6,14
06:26,2,Rush,4,Will Ford rush for 4 yards to the Tor34. Tackled by Thaddeus Gibson.,6,14
05:55,1,Offside,5,Penalty: Offside on Toronto (Jamie Robinson) 5 yards.,6,14
05:30,1,Sack,-9,Sack at Tor38 for a loss of 9 yards by Jermaine Gabriel.,6,14
04:42,2,Pass,35,Darian Durant pass to Taj Smith for 35 yards to the Tor3. Tackled by Jalil Carter.,6,14
03:37,1,Rush,3,Will Ford rush for 3 yards for a TOUCHDOWN.,6,20
03:29,0,Made Extra Point,0,Chris Milo extra point is good.,6,21
03:29,0,Kickoff,11,Chris Milo kicks off to the Tor17. Curtis Steele return for 11 yards to Tor28. Tackled by Dylan Ainsworth.,6,21
03:22,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Maurice Mann.,6,21
02:57,0,Pass Interference,-17,Penalty: Pass Interference on Saskatchewan (Brian Peters) -17 yards.,6,21
02:36,1,Pass,5,Ricky Ray pass to Mike Bradwell for 5 yards to the Tor50. Tackled by Weldon Brown.,6,21
02:31,2,Sack,-8,Sack at Tor42 for a loss of 8 yards by John Chick.,6,21
02:27,3,Punt,21,Swayze Waters punts for 37 yards to Ssk31. Tristan Jackson return for 21 yards to Ssk52. Tackled by Swayze Waters.,6,21
01:56,1,Pass,56,Darian Durant pass to Dan DePalma for 56 yards to the Tor2. Tackled by Brandon Underwood.,6,21
01:39,1,Rush,2,Will Ford rush for 2 yards for a TOUCHDOWN.,6,27
01:39,0,Made Extra Point,0,Chris Milo extra point is good.,6,28
01:39,0,Kickoff,17,Chris Milo kicks off to the Tor15. Jeremiah Johnson return for 17 yards to Tor32. Tackled by Tyron Brackenridge.,6,28
01:33,1,Pass,11,Ricky Ray pass to Maurice Mann for 11 yards to the Tor43. Tackled by Rod Williams.,6,28
01:26,1,Pass,10,Ricky Ray pass to Jarred Fayson for 10 yards to the Tor53. Tackled by Brian Peters.,6,28
01:15,2,Rush,2,Ricky Ray rush for 2 yards to the Tor55. Tackled by Ricky Foley.,6,28
01:08,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Jarred Fayson.,6,28
00:56,2,Unnecessary Roughness,24,Ricky Ray pass intended for Jarred Fayson INTERCEPTED and returned for 9 yards. Tackled by Jarriel King. Penalty: Unnecessary Roughness on Toronto (Jeff Keeping) 15 yards.,6,28
00:45,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Chaz Schilens.,6,28
00:41,2,Rush,7,Darian Durant rush for 7 yards to the Tor34. Tackled by Jermaine Gabriel.,6,28
00:30,3,Objectionable Conduct,9,41 yard field goal attempt by Chris Milo is NO GOOD.  Missed field goal returned by Anthony Coombs to the Tor8. Penalty: Illegal Block on Toronto (Shane Horton) -4 yards. Penalty: Objectionable Conduct on Toronto (Cleyon Laing) -2 yards.,6,28
15:00,0,Kickoff,26,Swayze Waters kicks off to the Ssk10. Tristan Jackson return for 26 yards to Ssk36. Tackled by Shane Horton.,6,28
14:51,1,Rush,3,Will Ford rush for 3 yards to the Ssk39. Tackled by Shea Emry.,6,28
14:21,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Taj Smith.,6,28
13:51,3,Punt,3,Josh Bartel punts for 54 yards to Tor17. Branden Smith return for 3 yards to Tor20. Tackled by Brian Peters.,6,28
13:30,1,Rush,9,Curtis Steele rush for 9 yards to the Tor29. Tackled by Tristan Jackson.,6,28
12:59,2,Rush,0,Mitchell Gale rush for no gain to the Tor29. Tackled by Trevor Guyton.,6,28
12:10,3,Rush,2,Mitchell Gale rush for 2 yards to the Tor31. Tackled by Samuel Hurl.,6,28
11:40,1,Rush,7,Curtis Steele rush for 7 yards to the Tor38. Tackled by Ricky Foley.,6,28
10:57,2,Pass,14,Ricky Ray pass to Alexandre Dupuis for 14 yards to the Tor52. Tackled by Samuel Hurl.,6,28
10:18,0,Sack,-12,"FUMBLE Sack at Tor40 for a loss of 12 yards by John Chick., recovered by Ssk (Samuel Hurl). Tackled by Chris Van Zeyl.",6,28
09:54,1,Pass,9,Darian Durant pass to Will Ford for 9 yards to the Tor31. Tackled by Shea Emry.,6,28
09:27,2,Rush,-1,Will Ford rush for a loss of 1 yard to the Tor32. Tackled by Shane Horton.,6,28
08:22,3,Missed Field Goal,39,Chris Milo 39 yard field goal attempt is GOOD.,6,31
08:22,1,Rush,17,Anthony Coombs rush for 17 yards to the Tor52. Tackled by Tyron Brackenridge.,6,31
07:54,1,Pass,7,Ricky Ray pass to Maurice Mann for 7 yards to the Ssk51. Tackled by Weldon Brown.,6,31
07:28,2,Rush,3,Curtis Steele rush for 3 yards to the Ssk48. Tackled by Samuel Hurl.,6,31
06:33,1,Pass,-3,Ricky Ray pass to Anthony Coombs for a loss of 3 yards to the Ssk51. Tackled by Terrell Maze.,6,31
05:39,2,Pass,16,Ricky Ray pass to Jarred Fayson for 16 yards to the Ssk35. Tackled by Mark LeGree.,6,31
05:06,1,Rush,8,Curtis Steele rush for 8 yards to the Ssk27. Tackled by Ricky Foley.,6,31
04:28,2,Rush,-1,Curtis Steele rush for a loss of 1 yard to the Ssk28. Tackled by Tyron Brackenridge.,6,31
03:45,3,Offside,5,Penalty: Offside on Saskatchewan (Tyron Brackenridge) 5 yards.,6,31
03:15,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Jeremiah Johnson.,6,31
02:52,0,Pass Interference,-10,Penalty: Pass Interference on Toronto (Spencer Watt) -10 yards.,6,31
02:35,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Anthony Coombs defensed by Tearrius George.,6,31
01:53,3,Missed Field Goal,40,Swayze Waters 40 yard field goal attempt is GOOD.,9,31
01:53,1,Rush,6,Anthony Allen rush for 6 yards to the Ssk41. Tackled by Nicholas Williams.,9,31
01:30,2,Pass,10,Darian Durant pass to Brett Swain for 10 yards to the Ssk51. Tackled by Brandon Underwood.,9,31
01:01,1,Incomplete Pass,0,Darian Durant incomplete pass.,9,31
00:44,2,Pass,8,Darian Durant pass to Taj Smith for 8 yards to the Tor51. Tackled by Thaddeus Gibson.,9,31
00:18,3,Punt,0,Josh Bartel punts for 41 yards to Tor10. No return.,9,31
00:01,1,Pass,-2,Ricky Ray pass to Anthony Coombs for a loss of 2 yards to the Tor8. Tackled by Derek Walker.,9,31
15:00,2,Pass,7,Ricky Ray pass to Maurice Mann for 7 yards to the Tor15. Tackled by Rod Williams.,9,31
14:33,3,Punt,12,Swayze Waters punts for 43 yards to Ssk52. Tristan Jackson return for 12 yards to Tor46. Tackled by Jermaine Gabriel.,9,31
14:14,1,Rush,11,Darian Durant rush for 11 yards to the Tor35.,9,31
13:49,1,Rush,4,Anthony Allen rush for 4 yards to the Tor31. Tackled by Shea Emry.,9,31
12:50,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Brett Swain.,9,31
12:08,3,Missed Field Goal,38,Chris Milo 38 yard field goal attempt is GOOD.,9,34
12:08,0,Kickoff,24,Chris Milo kicks off to the Tor13. Curtis Steele return for 24 yards to Tor37. Tackled by Paul Woldu.,9,34
11:57,1,Rush,3,Ricky Ray rush for 3 yards to the Tor40. Tackled by Rod Williams.,9,34
11:33,2,Pass,13,Ricky Ray pass to Darvin Adams for 13 yards to the Tor53. Tackled by Rod Williams.,9,34
10:59,1,Pass,6,Ricky Ray pass to Anthony Coombs for 6 yards to the Ssk51. Tackled by Tristan Jackson.,9,34
10:22,2,Fumble,19,"Ricky Ray pass to Jarred Fayson for 19 yards to the Ssk32. FUMBLE, recovered by Ssk (Macho Harris). Tackled by Jarred Fayson.",9,34
09:49,1,Rush,38,Will Ford rush for 38 yards to the Tor40. Tackled by Dwight Anderson.,9,34
09:32,1,Rush,4,Will Ford rush for 4 yards to the Tor36. Tackled by Tristan Okpalaugo.,9,34
08:53,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Taj Smith defensed by Jalil Carter.,9,34
08:04,3,Missed Field Goal,43,Chris Milo 43 yard field goal attempt is GOOD.,9,37
08:04,1,Incomplete Pass,0,Trevor Harris incomplete pass intended for Darvin Adams.,9,37
07:54,2,Pass,2,Trevor Harris pass to Jeremiah Johnson for 2 yards to the Tor37. Tackled by Samuel Hurl.,9,37
07:20,3,Illegal Block,-1,Swayze Waters punts for 42 yards to Ssk31. Tristan Jackson return for 9 yards to Ssk40. Penalty: Illegal Block on Saskatchewan (Tristan Black) -10 yards.,9,37
06:55,1,Rush,-1,Will Ford rush for a loss of 1 yard to the Ssk29. Tackled by Tristan Okpalaugo.,9,37
06:23,2,Incomplete Pass,0,Tino Sunseri incomplete pass intended for Dan DePalma defensed by Jermaine Gabriel.,9,37
05:58,3,Punt,5,Josh Bartel punts for 47 yards to Tor34. Mike Bradwell return for 5 yards to Tor39. Tackled by Shomari Williams.,9,37
05:29,1,Rush,1,Curtis Steele rush for 1 yard to the Tor40. Tackled by Trevor Guyton.,9,37
04:57,2,Pass,7,Trevor Harris pass to Mike Bradwell for 7 yards to the Tor47. Tackled by Tristan Jackson.,9,37
04:22,3,Fumble,15,"Swayze Waters punts for 43 yards to Ssk20. Tristan Jackson return for 15 yards to Ssk35. FUMBLE, recovered by Tor (Shane Herbert). Tackled by Tristan Jackson.",9,37
03:52,1,Incomplete Pass,0,Trevor Harris incomplete pass intended for Maurice Mann.,9,37
03:36,2,Rush,3,Trevor Harris rush for 3 yards to the Ssk32. Tackled by Derek Walker.,9,37
03:00,3,Pass,8,Trevor Harris pass to Natey Adjei for 8 yards to the Ssk24. Tackled by Tristan Black.,9,37
02:33,1,Incomplete Pass,0,Trevor Harris incomplete pass intended for Jarred Fayson.,9,37
