Time,Down,Type,Yards,Details,Winnipeg,Saskatchewan
05:26,2,Pass,10,Drew Willy pass to Cory Watson for 10 yards to the Wpg25. Tackled by Carlos Thomas.,7,11
05:00,1,Rush,7,Clarence Denmark rush for 7 yards to the Wpg32. Tackled by Terrell Maze.,7,11
04:19,2,Incomplete Pass,0,Drew Willy incomplete pass intended for Clarence Denmark.,7,11
03:42,3,Punt,7,Lirim Hajrullahu punts for 28 yards to Ssk50. Weston Dressler return for 7 yards to Wpg53. Tackled by Don Unamba.,7,11
03:13,1,Pass,10,Darian Durant pass to Weston Dressler for 10 yards to the Wpg43. Tackled by Matt Bucknor.,7,11
02:48,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Rob Bagg defensed by Chris Randle.,7,11
02:32,3,Rush,2,Tino Sunseri rush for 2 yards to the Wpg41. Tackled by Ian Wild.,7,11
02:28,1,Rush,9,Darian Durant rush for 9 yards to the Wpg32. Tackled by Ian Wild.,7,11
02:06,2,Offside,5,Penalty: Offside on Winnipeg (Ejiro Kuale) 5 yards.,7,11
01:50,1,Pass,19,Darian Durant pass to Taj Smith for 19 yards to the Wpg8. Tackled by Teague Sherman.,7,11
01:41,0,Fumble,-2,"FUMBLE, recovered by Ssk (Darian Durant). . Tackled by Jake Thomas",7,11
01:19,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Chris Getzlaf.,7,11
01:02,3,Missed Field Goal,17,Chris Milo 17 yard field goal attempt is GOOD.,7,14
01:02,1,Incomplete Pass,0,Drew Willy incomplete pass intended for Rory Kohlert.,7,14
00:57,2,Fumble,10,"Drew Willy pass to Nic Grigsby for 10 yards to the Wpg45. FUMBLE, recovered by Wpg (Nic Grigsby).",7,14
00:50,1,Sack,-7,Sack at Wpg38 for a loss of 7 yards by Tearrius George.,7,14
00:33,2,Rush,10,Drew Willy rush for 10 yards to the Wpg48. Tackled by Tyron Brackenridge.,7,14
15:00,0,Kickoff,14,Chris Milo kicks off to the Wpg20. Troy Stoudermire return for 14 yards to Wpg34. Tackled by Dylan Ainsworth.,7,14
14:54,1,Pass,16,Drew Willy pass to Michel-Pierre Pontbriand for 16 yards to the Wpg50. Tackled by Tyron Brackenridge.,7,14
14:28,1,Rush,4,Nic Grigsby rush for 4 yards to the Wpg54. Tackled by Woodny Turenne.,7,14
14:02,0,Illegal Substitution,-10,Penalty: Illegal Substitution on Winnipeg -10 yards.,7,14
13:44,2,Fumble,-6,"Sack at Wpg43 for a loss of 6 yards by Ricky Foley. FUMBLE, recovered by Ssk (Ricky Foley). Tackled by Drew Willy.",7,14
13:16,1,Pass,9,Darian Durant pass to Rob Bagg for 9 yards to the Wpg34. Tackled by Matt Bucknor.,7,14
12:52,2,Rush,19,rush for 19 yards to the Wpg15. Tackled by Teague Sherman.,7,14
12:02,1,Rush,4,Anthony Allen rush for 4 yards to the Wpg11. Tackled by Jake Thomas.,7,14
11:25,2,Pass,5,Darian Durant pass to Chris Getzlaf for 5 yards to the Wpg6. Tackled by Matt Bucknor.,7,14
10:37,3,Rush,1,Tino Sunseri rush for 1 yard to the Wpg5. Tackled by Bryant Turner Jr..,7,14
09:50,1,Rush,2,rush for 2 yards to the Wpg3. Tackled by Ian Wild.,7,14
08:35,2,Rush,3,Anthony Allen rush for 3 yards for a TOUCHDOWN.,7,20
08:25,0,Made Extra Point,0,Chris Milo extra point is good.,7,21
08:25,0,Kickoff,33,Chris Milo kicks off to the Wpg18. Troy Stoudermire return for 33 yards to Wpg51. Tackled by Paul Woldu.,7,21
08:15,1,Rush,1,Nic Grigsby rush for 1 yard to the Wpg52. Tackled by Tearrius George.,7,21
07:56,2,Pass,13,Drew Willy pass to Rory Kohlert for 13 yards to the Ssk45. Tackled by Tristan Jackson.,7,21
07:12,1,Pass,6,Drew Willy pass to Clarence Denmark for 6 yards to the Ssk39. Tackled by Rod Williams.,7,21
06:35,2,Objectionable Conduct,16,Nic Grigsby rush for 6 yards to the Ssk33. Tackled by Carlos Thomas. Penalty: Objectionable Conduct on Saskatchewan (Tearrius George) 10 yards.,7,21
05:53,1,Unnecessary Roughness,10,Penalty: Illegal Procedure on Winnipeg (Michel-Pierre Pontbriand) -5 yards. Penalty: Unnecessary Roughness on Saskatchewan (John Chick) 15 yards.,7,21
05:32,1,Pass,2,Drew Willy pass to Nick Moore for 2 yards to the Ssk11. Tackled by Woodny Turenne.,7,21
04:38,2,Rush,11,Drew Willy rush for 11 yards for a TOUCHDOWN.,13,21
04:19,0,Made Extra Point,0,Lirim Hajrullahu extra point is good.,14,21
04:19,0,Kickoff,13,Lirim Hajrullahu kicks off to the Ssk5. Tristan Jackson return for 13 yards to Ssk18. Tackled by Dan West.,14,21
04:10,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Taj Smith.,14,21
03:49,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Taj Smith.,14,21
02:58,3,Punt,64,Josh Bartel punts for 46 yards to Wpg46. Troy Stoudermire return for 64 yards to Ssk0 for a TOUCHDOWN.,20,21
02:38,0,Made Extra Point,0,Lirim Hajrullahu extra point is good.,21,21
02:38,0,Kickoff,30,Lirim Hajrullahu kicks off to the Ssk5. Tristan Jackson return for 30 yards to Ssk35. Tackled by Don Unamba.,21,21
02:32,1,Rush,0,Anthony Allen rush for no gain to the Ssk35. Tackled by Zach Anderson.,21,21
01:44,2,Sack,-3,Sack at Ssk32 for a loss of 3 yards by Bryant Turner Jr..,21,21
01:12,3,Punt,1,Josh Bartel punts for 38 yards to Wpg40. Troy Stoudermire return for 1 yard to Wpg41. Tackled by Dylan Ainsworth.,21,21
00:53,1,Rush,8,Nic Grigsby rush for 8 yards to the Wpg49. Tackled by Macho Harris.,21,21
00:01,2,Rush,1,Nic Grigsby rush for 1 yard to the Wpg50. Tackled by Macho Harris.,21,21
15:00,3,Rush,2,Robert Marve rush for 2 yards to the Wpg52. Tackled by Brian Peters.,21,21
14:30,1,Rush,11,Nic Grigsby rush for 11 yards to the Ssk47. Tackled by Brian Peters.,21,21
13:57,1,Pass,25,Drew Willy pass to Nick Moore for 25 yards to the Ssk22. Tackled by Terrell Maze.,21,21
13:09,1,Rush,-4,Nic Grigsby rush for a loss of 4 yards to the Ssk26. Tackled by Tyron Brackenridge.,21,21
12:27,2,Incomplete Pass,0,Drew Willy incomplete pass.,21,21
11:26,3,Missed Field Goal,33,Lirim Hajrullahu 33 yard field goal attempt is GOOD.,24,21
11:26,1,Rush,7,rush for 7 yards to the Ssk42. Tackled by Ejiro Kuale.,24,21
11:04,2,Rush,17,rush for 17 yards to the Wpg51. Tackled by Teague Sherman.,24,21
10:27,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Taj Smith.,24,21
09:58,2,Offside,5,Penalty: Offside on Winnipeg (Ejiro Kuale) 5 yards.,24,21
09:32,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Weston Dressler.,24,21
09:13,0,Blocked Punt,-14,FUMBLE Punt blocked by Cory Watson.  Recovered by Wpg (Maurice Leggett) and returned for 3 yards. Tackled by Woodny Turenne,24,21
08:56,1,Rush,6,Nic Grigsby rush for 6 yards to the Ssk38. Tackled by Ricky Foley.,24,21
08:36,2,Sack,-1,Sack at Ssk39 for a loss of 1 yard by Trevor Guyton.,24,21
07:48,3,Missed Field Goal,46,Lirim Hajrullahu 46 yard field goal attempt is GOOD.,27,21
07:48,0,Kickoff,20,Lirim Hajrullahu kicks off to the Ssk20. Tristan Jackson return for 20 yards to Ssk40. Tackled by Derek Jones.,27,21
07:41,1,Rush,8,Will Ford rush for 8 yards to the Ssk48. Tackled by Demond Washington.,27,21
07:15,2,Rush,3,Anthony Allen rush for 3 yards to the Ssk51. Tackled by Teague Sherman.,27,21
06:45,1,Pass,0,Darian Durant pass to Brett Swain for no gain to the Ssk51. Tackled by Maurice Leggett.,27,21
05:33,2,Pass,59,Darian Durant pass to Taj Smith for 59 yards for a TOUCHDOWN.,27,27
05:19,0,Made Extra Point,0,Chris Milo extra point is good.,27,28
05:19,0,Kickoff,16,Chris Milo kicks off to the Wpg11. Troy Stoudermire return for 16 yards to Wpg27. Tackled by Levi Steinhauer.,27,28
05:14,1,Rush,23,Nic Grigsby rush for 23 yards to the Wpg50. Tackled by Tyron Brackenridge.,27,28
04:42,0,Pass Interference,17,Penalty: Pass Interference on Saskatchewan (Terrell Maze) 17 yards.,27,28
04:19,1,Rush,5,Carl Volny rush for 5 yards to the Ssk38. Tackled by Brian Peters.,27,28
03:50,2,Rush,4,Carl Volny rush for 4 yards to the Ssk34. Tackled by Chad Kilgore.,27,28
02:58,3,Missed Field Goal,41,Lirim Hajrullahu 41 yard field goal attempt is GOOD.,30,28
02:58,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Rob Bagg.,30,28
02:44,2,Rush,10,Darian Durant rush for 10 yards to the Ssk45. Tackled by Desia Dunn.,30,28
02:35,3,Rush,1,Tino Sunseri rush for 1 yard to the Ssk46. Tackled by Teague Sherman.,30,28
02:32,1,Pass,13,Darian Durant pass to Rob Bagg for 13 yards to the Wpg51. Tackled by Matt Bucknor.,30,28
02:09,1,Rush,9,Darian Durant rush for 9 yards to the Wpg42. Tackled by Desia Dunn.,30,28
01:47,2,Rush,3,rush for 3 yards to the Wpg39. Tackled by Bryant Turner Jr..,30,28
01:43,1,Rush,16,rush for 16 yards to the Wpg23. Tackled by Maurice Leggett.,30,28
01:13,1,Rush,8,Anthony Allen rush for 8 yards to the Wpg15. Tackled by Teague Sherman.,30,28
00:28,2,Rush,15,Anthony Allen rush for 15 yards for a TOUCHDOWN.,30,34
00:28,0,Made Extra Point,25,Troy Stoudermire return for 25 yards to Wpg30. Chris Milo extra point is good.,30,35
00:28,0,Kickoff,25,Chris Milo kicks off to the Wpg6. Troy Stoudermire return for 25 yards to Wpg31. Tackled by Brian Peters.,30,35
00:20,1,Pass,19,Drew Willy pass to Nick Moore for 19 yards to the Wpg50. Tackled by Rod Williams.,30,35
00:15,1,Pass,9,Drew Willy pass to Rory Kohlert for 9 yards to the Ssk51. Tackled by Chad Kilgore.,30,35
00:01,2,Incomplete Pass,0,Drew Willy incomplete pass intended for Clarence Denmark defensed by Terrell Maze.,30,35
