Time,Down,Type,Yards,Details,Saskatchewan,Montreal
15:00,0,Kickoff,20,Sean Whyte kicks off to the Ssk10. Tristan Jackson return for 20 yards to Ssk30. Tackled by Andrew Lue.,0,0
14:54,1,Rush,10,Anthony Allen rush for 10 yards to the Ssk40. Tackled by Winston Venable.,0,0
14:09,2,Rush,4,Anthony Allen rush for 4 yards to the Ssk44. Tackled by Marc-Olivier Brouillette.,0,0
13:45,1,Rush,7,Anthony Allen rush for 7 yards to the Ssk51. Tackled by Winston Venable.,0,0
13:12,2,Rush,3,Anthony Allen rush for 3 yards to the Ssk54. Tackled by Gabriel Knapton.,0,0
12:34,1,Rush,4,Anthony Allen rush for 4 yards to the Mtl52. Tackled by Jeffrey Finley.,0,0
11:54,2,Incomplete Pass,0,Tino Sunseri incomplete pass intended for Chris Getzlaf.,0,0
11:34,3,Unnecessary Roughness,43,Josh Bartel punts for 34 yards to Mtl18. Penalty: No Yards on Saskatchewan (Diamond Ferri) -15 yards. Penalty: Illegal Block on Montreal (Bryn Roy) 9 yards. Penalty: Unnecessary Roughness on Montreal (Jonathan Beaulieu-Richard) 15 yards.,0,0
11:13,1,Pass,13,Jonathan Crompton pass to Brandon London for 13 yards to the Mtl22. Tackled by Tristan Jackson.,0,0
10:43,1,Sack,-3,Sack at Mtl19 for a loss of 3 yards by Brian Peters.,0,0
09:54,2,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for S.J. Green.,0,0
09:43,3,Illegal Block,2,Sean Whyte punts for 55 yards to Ssk36. Tristan Jackson return for 12 yards to Ssk48. Penalty: Illegal Block on Saskatchewan (Diamond Ferri) -10 yards.,0,0
09:31,1,Rush,12,Anthony Allen rush for 12 yards to the Ssk50. Tackled by Jerald Brown.,0,0
09:04,1,Rush,4,Anthony Allen rush for 4 yards to the Ssk54. Tackled by Aaron Lavarias.,0,0
08:31,2,Sack,-3,Sack at Ssk51 for a loss of 3 yards by Bear Woods.,0,0
07:52,3,Holding,-10,Josh Bartel punts for 42 yards to Mtl17. James Rodgers return for a loss of 3 yards to Mtl14. Penalty: Holding on Montreal (Chip Cox) -7 yards.,0,0
07:37,1,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for S.J. Green.,0,0
07:26,2,Rush,14,Jonathan Crompton rush for 14 yards to the Mtl21. Tackled by Ricky Foley.,0,0
06:45,1,Fumble,14,"Jonathan Crompton pass to Duron Carter for 14 yards to the Mtl35. FUMBLE, recovered by Ssk (Rod Williams). Tackled by Duron Carter.",0,0
06:00,1,Rush,13,Anthony Allen rush for 13 yards to the Mtl22. Tackled by Bear Woods.,0,0
05:31,1,Rush,5,Anthony Allen rush for 5 yards to the Mtl17. Tackled by Alan-Michael Cash.,0,0
04:57,2,Pass,6,Tino Sunseri pass to Weston Dressler for 6 yards to the Mtl11. Tackled by Jerald Brown.,0,0
04:15,1,Incomplete Pass,0,Tino Sunseri incomplete pass intended for Weston Dressler defensed by Chip Cox.,0,0
