Time,Down,Type,Yards,Details,Edmonton,Saskatchewan
15:00,0,Kickoff,5,Hugh O'Neill kicks off to the Ssk22. Tristan Jackson return for 5 yards to Ssk27. Tackled by Deon Lacey.,0,0
14:56,1,Incomplete Pass,0,Kerry Joseph incomplete pass intended for Korey Williams defensed by Patrick Watkins.,0,0
14:20,2,Pass,8,Kerry Joseph pass to Chris Getzlaf for 8 yards to the Ssk35. Tackled by Dexter McCoil.,0,0
13:54,3,No Yards,0,Josh Bartel punts for 15 yards to Ssk50. Penalty: No Yards on Saskatchewan (Dylan Ainsworth) -15 yards.,0,0
13:23,1,Rush,0,John White rush for no gain to the Ssk35. Tackled by Derek Walker.,0,0
13:00,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Devon Bailey.,0,0
12:40,3,Missed Field Goal,18,47 yard field goal attempt by Hugh O'Neill is NO GOOD.  Missed field goal returned by Tristan Jackson to the Ssk6. Tackled by Deon Lacey.,0,0
12:20,1,Rush,4,Will Ford rush for 4 yards to the Ssk10. Tackled by Rennie Curran.,0,0
12:02,2,Pass,12,Kerry Joseph pass to Weston Dressler for 12 yards to the Ssk22. Tackled by Rennie Curran.,0,0
11:20,1,Pass,10,Kerry Joseph pass to Korey Williams for 10 yards to the Ssk32. Tackled by Marcell Young.,0,0
10:47,1,Rush,1,Will Ford rush for 1 yard to the Ssk33. Tackled by Almondo Sewell.,0,0
09:47,2,Incomplete Pass,0,Kerry Joseph incomplete pass intended for Korey Williams defensed by Rennie Curran.,0,0
09:30,3,Fumble,3,"Josh Bartel punts for 41 yards to Edm36. Fred Stamps return for 3 yards to Edm39. FUMBLE, recovered by Ssk (Mark LeGree). Tackled by Chris Rwabukamba.",0,0
09:15,1,Pass,3,Kerry Joseph pass to Korey Williams for 3 yards to the Edm36. Tackled by Dexter McCoil.,0,0
08:47,2,Incomplete Pass,0,Kerry Joseph incomplete pass intended for Weston Dressler.,0,0
08:05,3,Missed Field Goal,43,Chris Milo 43 yard field goal attempt is GOOD.,0,3
08:05,1,Pass,6,Mike Reilly pass to Nate Coehoorn for 6 yards to the Edm41. Tackled by Tristan Jackson.,0,3
07:37,2,Rush,4,John White rush for 4 yards to the Edm45. Tackled by Brian Peters.,0,3
06:50,0,Pass Interference,-10,Penalty: Pass Interference on Edmonton (Isaiah Williams) -10 yards.,0,3
06:31,1,Pass,3,Mike Reilly pass to Kendial Lawrence for 3 yards to the Edm38. Tackled by Brandon Boudreaux.,0,3
05:59,2,Sack,-7,Sack at Edm31 for a loss of 7 yards by Ricky Foley.,0,3
05:03,3,Holding,54,Hugh O'Neill punts for 44 yards to Ssk35. Penalty: Holding on Saskatchewan (Alex Pierzchalski) 10 yards.,0,3
04:41,1,Rush,9,Kerry Joseph rush for 9 yards to the Ssk34. Tackled by J.C. Sherritt.,0,3
04:17,2,Rush,0,Kerry Joseph rush for no gain to the Ssk34. Tackled by J.C. Sherritt.,0,3
03:40,3,Rush,1,Kerry Joseph rush for 1 yard to the Ssk35. Tackled by Odell Willis.,0,3
02:41,1,Rush,3,Jerome Messam rush for 3 yards to the Ssk38. Tackled by Alonzo Lawrence.,0,3
02:13,0,Pass Interference,10,Penalty: Pass Interference on Edmonton (Marcell Young) 10 yards.,0,3
01:54,1,Incomplete Pass,0,Kerry Joseph incomplete pass intended for Weston Dressler.,0,3
01:43,0,Holding,-10,Penalty: Holding on Saskatchewan (Chris Best) -10 yards.,0,3
01:20,2,Pass,11,Kerry Joseph pass to Korey Williams for 11 yards to the Ssk49. Tackled by Dexter McCoil.,0,3
00:47,3,Punt,1,Josh Bartel punts for 42 yards to Edm19. Kendial Lawrence return for 1 yard to Edm20. Tackled by Shomari Williams.,0,3
00:01,1,Pass,10,Mike Reilly pass to Kendial Lawrence for 10 yards to the Edm30. Tackled by Weldon Brown.,0,3
15:00,1,Pass,20,Mike Reilly pass to Kendial Lawrence for 20 yards to the Edm50. Tackled by Terrell Maze.,0,3
14:35,1,Pass,3,Mike Reilly pass to Nate Coehoorn for 3 yards to the Edm53. Tackled by Rod Williams.,0,3
14:00,2,Pass,7,Mike Reilly pass to Nate Coehoorn for 7 yards to the Ssk50. Tackled by Tristan Jackson.,0,3
13:18,1,Pass,15,Mike Reilly pass to Isaiah Williams for 15 yards to the Ssk35. Tackled by Rod Williams.,0,3
12:50,1,Incomplete Pass,0,Pat White incomplete pass intended for Isaiah Williams.,0,3
12:42,2,Pass,5,Mike Reilly pass to Isaiah Williams for 5 yards to the Ssk30. Tackled by Rod Williams.,0,3
11:38,3,Missed Field Goal,38,Hugh O'Neill 38 yard field goal attempt is GOOD.,3,3
11:38,1,Rush,0,Kerry Joseph rush for no gain to the Ssk35. Tackled by Almondo Sewell.,3,3
11:08,2,Rush,6,Will Ford rush for 6 yards to the Ssk41. Tackled by Dexter McCoil.,3,3
10:29,3,Illegal Procedure,-5,Penalty: Illegal Procedure on Saskatchewan (Weldon Brown) -5 yards.,3,3
10:12,3,Punt,8,Josh Bartel punts for 45 yards to Edm29. Kendial Lawrence return for 8 yards to Edm37. Tackled by Alex Pierzchalski.,3,3
09:58,1,Rush,26,John White rush for 26 yards to the Ssk47. Tackled by Macho Harris.,3,3
09:33,1,Pass,14,Mike Reilly pass to Adarius Bowman for 14 yards to the Ssk33. Tackled by Tyron Brackenridge.,3,3
09:04,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Adarius Bowman.,3,3
08:35,0,Illegal Contact,10,Penalty: Illegal Contact on Saskatchewan (Tyron Brackenridge) 10 yards.,3,3
08:13,1,Sack,-1,Sack at Ssk24 for a loss of 1 yard by Ricky Foley.,3,3
07:46,2,Sack,-4,Sack at Ssk28 for a loss of 4 yards by Ricky Foley.,3,3
06:45,3,Field Goal Single,48,48 yard field goal attempt by Hugh O'Neill is NO GOOD (Single).,4,3
06:45,1,Rush,1,Will Ford rush for 1 yard to the Ssk36. Tackled by Deon Lacey.,4,3
06:29,2,Pass,19,Kerry Joseph pass to Weston Dressler for 19 yards to the Ssk55. Tackled by Alonzo Lawrence.,4,3
05:49,1,Rush,-4,Will Ford rush for a loss of 4 yards to the Ssk51. Tackled by Dexter McCoil.,4,3
05:02,0,Pass Interference,20,Penalty: Pass Interference on Edmonton (Alonzo Lawrence) 20 yards.,4,3
04:32,1,Pass,2,Kerry Joseph pass to Will Ford for 2 yards to the Edm37. Tackled by Rennie Curran.,4,3
03:54,2,Interception,2,Kerry Joseph pass intended for Brett Swain INTERCEPTED and returned for 2 yards. Tackled by Brett Swain.,4,3
03:08,1,Rush,4,John White rush for 4 yards to the Edm34. Tackled by Derek Walker.,4,3
02:52,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Kendial Lawrence.,4,3
02:40,3,Punt,30,Hugh O'Neill punts for 52 yards to Ssk24. Weston Dressler return for 30 yards to Ssk54. Tackled by Rennie Curran.,4,3
02:24,1,Incomplete Pass,0,Kerry Joseph incomplete pass intended for Brett Swain.,4,3
02:17,2,Pass,21,Kerry Joseph pass to Chris Getzlaf for 21 yards to the Edm35. Tackled by J.C. Sherritt.,4,3
02:11,1,Pass,5,Kerry Joseph pass to Rob Bagg for 5 yards to the Edm30. Tackled by Patrick Watkins.,4,3
01:48,2,Pass,13,Kerry Joseph pass to Rob Bagg for 13 yards to the Edm17. Tackled by Otha Foster.,4,3
01:23,1,Incomplete Pass,0,Kerry Joseph incomplete pass intended for Chris Getzlaf.,4,3
00:58,2,Pass,17,Kerry Joseph pass to Brett Swain for 17 yards for a TOUCHDOWN.,4,9
00:58,0,Made Extra Point,0,Chris Milo extra point is good.,4,10
00:58,0,Kickoff,19,Chris Milo kicks off to the Edm17. Kendial Lawrence return for 19 yards to Edm36. Tackled by Brian Peters.,4,10
00:52,1,Face Mask,36,Mike Reilly pass intended for Devon Bailey INTERCEPTED and returned for 26 yards. Tackled by Isaiah Williams. Penalty: Face Mask on Edmonton (Matthew O'Donnell) 10 yards.,4,10
00:41,1,Incomplete Pass,0,Kerry Joseph incomplete pass intended for Korey Williams defensed by Patrick Watkins.,4,10
00:35,2,Incomplete Pass,0,Kerry Joseph incomplete pass intended for Weston Dressler defensed by Aaron Grymes.,4,10
00:25,3,Missed Field Goal,17,Chris Milo 17 yard field goal attempt is GOOD.,4,13
00:25,0,Kickoff,20,Chris Milo kicks off to the Edm25. Kendial Lawrence return for 20 yards to Edm45. Tackled by Brandon Boudreaux.,4,13
14:47,0,Kickoff,96,Chris Milo kicks off to the Edm14. Kendial Lawrence return for 96 yards to Ssk0 for a TOUCHDOWN.,10,13
14:39,0,Made Extra Point,0,Hugh O'Neill extra point is good.,11,13
14:39,0,Kickoff,32,Hugh O'Neill kicks off to the Ssk12. Tristan Jackson return for 32 yards to Ssk44. Tackled by Otha Foster.,11,13
14:32,1,Rush,3,Will Ford rush for 3 yards to the Ssk47. Tackled by Almondo Sewell.,11,13
14:00,2,Offside,5,Penalty: Offside on Edmonton (Odell Willis) 5 yards.,11,13
13:49,2,Rush,7,Will Ford rush for 7 yards to the Edm51. Tackled by Eddie Steele.,11,13
13:13,1,Rush,2,Jerome Messam rush for 2 yards to the Edm49. Tackled by Rennie Curran.,11,13
12:41,2,Rush,1,Kerry Joseph rush for 1 yard to the Edm48. Tackled by Rennie Curran.,11,13
12:09,3,Punt,0,Josh Bartel punts for 34 yards to Edm14. No return.,11,13
11:54,0,Illegal Interference,-7,Penalty: Illegal Interference on Edmonton (Devon Bailey) -7 yards.,11,13
11:43,1,Pass,13,Mike Reilly pass to Calvin McCarty for 13 yards to the Edm20. Tackled by Rod Williams.,11,13
11:22,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for John White.,11,13
11:03,3,Punt,11,Hugh O'Neill punts for 48 yards to Ssk42. Tristan Jackson return for 11 yards to Ssk53. Tackled by Ryan King.,11,13
10:39,1,Rush,2,Will Ford rush for 2 yards to the Ssk55. Tackled by Alonzo Lawrence.,11,13
09:55,2,Pass,9,Kerry Joseph pass to Rob Bagg for 9 yards to the Edm46. Tackled by Otha Foster.,11,13
09:27,0,Holding,-10,Penalty: Holding on Saskatchewan (Ben Heenan) -10 yards.,11,13
08:58,1,Incomplete Pass,0,Kerry Joseph incomplete pass intended for Korey Williams.,11,13
08:29,2,Incomplete Pass,0,Kerry Joseph incomplete pass intended for Chris Getzlaf.,11,13
08:16,3,Illegal Punt,18,Josh Bartel punts for 28 yards to Edm28. Penalty: Illegal Punt on Saskatchewan (Josh Bartel) -10 yards.,11,13
