Time,Down,Type,Yards,Details,Saskatchewan,Edmonton
15:00,0,Kickoff,22,Chris Milo kicks off to the Edm13.   return for 22 yards to Edm35. Tackled by Brian Peters.,0,0
14:53,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Kendial Lawrence.,0,0
14:33,2,Pass,7,Mike Reilly pass to Kendial Lawrence for 7 yards to the Edm42. Tackled by Macho Harris.,0,0
14:04,3,Punt,7,Hugh O'Neill punts for 47 yards to Ssk21. Weston Dressler return for 7 yards to Ssk28. Tackled by Dexter McCoil.,0,0
13:42,1,Rush,0,Anthony Allen rush for no gain to the Ssk28. Tackled by Almondo Sewell.,0,0
13:05,2,Pass,9,Tino Sunseri pass to Chris Getzlaf for 9 yards to the Ssk37. Tackled by Rennie Curran.,0,0
12:35,3,Rush,-1,Seth Doege rush for a loss of 1 yard to the Ssk36. Tackled by Dexter McCoil.,0,0
11:56,1,Rush,36,rush for 36 yards for a TOUCHDOWN.,0,6
11:39,0,Made Extra Point,0,Hugh O'Neill extra point is good.,0,7
11:39,0,Kickoff,30,Hugh O'Neill kicks off to the Ssk9. Tristan Jackson return for 30 yards to Ssk39. Tackled by  .,0,7
11:32,1,Incomplete Pass,0,Tino Sunseri incomplete pass intended for Rob Bagg.,0,7
11:07,2,Pass,9,Tino Sunseri pass to Anthony Allen for 9 yards to the Ssk48. Tackled by Dexter McCoil.,0,7
10:30,3,Punt,9,Chris Milo punts for 48 yards to Edm14. Kendial Lawrence return for 9 yards to Edm23. Tackled by Chad Rempel.,0,7
10:06,0,Illegal Block,-10,Penalty: Illegal Block on Edmonton (Akeem Foster) -10 yards.,0,7
09:53,1,Pass,9,Mike Reilly pass to Adarius Bowman for 9 yards to the Edm22. Tackled by Brian Peters.,0,7
09:16,2,Rush,12,Mike Reilly rush for 12 yards to the Edm34. Tackled by Chad Kilgore.,0,7
08:39,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Kendial Lawrence.,0,7
08:15,2,Pass,19,Mike Reilly pass to Adarius Bowman for 19 yards to the Edm53. Tackled by Rod Williams.,0,7
07:55,1,Illegal Procedure,-5,Penalty: Illegal Procedure on Edmonton -5 yards.,0,7
07:27,1,Pass,13,Mike Reilly pass to Kendial Lawrence for 13 yards to the Ssk49. Tackled by Macho Harris.,0,7
06:47,2,Rush,2,rush for 2 yards to the Ssk47. Tackled by Chad Kilgore.,0,7
06:12,1,Rush,8,Mike Reilly rush for 8 yards to the Ssk39. Tackled by Brian Peters.,0,7
05:47,2,Pass,4,Mike Reilly pass to Adarius Bowman for 4 yards to the Ssk35. Tackled by Weldon Brown.,0,7
05:12,1,Pass,0,Mike Reilly pass to Kendial Lawrence for no gain to the Ssk35. Tackled by Macho Harris.,0,7
04:30,2,Rush,15,Mike Reilly rush for 15 yards to the Ssk20.,0,7
03:50,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Fred Stamps defensed by Tristan Jackson.,0,7
03:20,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Adarius Bowman.,0,7
02:43,3,Missed Field Goal,27,Hugh O'Neill 27 yard field goal attempt is GOOD.,0,10
02:43,0,Kickoff,15,Hugh O'Neill kicks off to the Ssk14. Tristan Jackson return for 15 yards to Ssk29. Tackled by J.C. Sherritt.,0,10
02:38,1,Rush,1,Anthony Allen rush for 1 yard to the Ssk30. Tackled by Cedric McKinley.,0,10
02:13,2,Sack,-7,Sack at Ssk23 for a loss of 7 yards by Gregory Alexandre.,0,10
01:30,3,No Yards,41,Chris Milo punts for 46 yards to Edm41. Penalty: No Yards on Saskatchewan (Matt Webster) -5 yards.,0,10
01:15,1,Objectionable Conduct,7,rush for a loss of 3 yards to the Edm43. Tackled by John Chick. Penalty: Objectionable Conduct on Saskatchewan (Tyron Brackenridge) 10 yards.,0,10
00:45,2,Rush,2,rush for 2 yards to the Edm55. Tackled by Chad Kilgore.,0,10
00:28,3,Rush,2,Pat White rush for 2 yards to the Ssk53. Tackled by Macho Harris.,0,10
00:01,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Adarius Bowman.,0,10
15:00,2,Sack,-6,Sack at Edm51 for a loss of 6 yards by Hilee Taylor.,0,10
14:30,3,Holding,53,Hugh O'Neill punts for 47 yards to Ssk12. Penalty: Holding on Saskatchewan (Shomari Williams) 6 yards.,0,10
14:13,1,Rush,3,Anthony Allen rush for 3 yards to the Ssk9. Tackled by Cedric McKinley.,0,10
13:45,2,Incomplete Pass,0,Tino Sunseri incomplete pass intended for  .,0,10
13:06,3,Safety,-9,Safety,0,12
13:06,0,Kickoff,25,Chris Milo kicks off to the Edm22.   return for 25 yards to Edm47. Tackled by Brian Peters.,0,12
13:00,1,Rush,19,Mike Reilly rush for 19 yards to the Ssk44. Tackled by Rod Williams.,0,12
12:37,1,Rush,4,rush for 4 yards to the Ssk40. Tackled by  .,0,12
12:02,0,Holding,-10,Penalty: Holding on Edmonton (Simeon Rottier) -10 yards.,0,12
11:40,2,Rush,11,Mike Reilly rush for 11 yards to the Ssk39. Tackled by Tyron Brackenridge.,0,12
10:33,3,Field Goal Single,44,44 yard field goal attempt by Hugh O'Neill is NO GOOD (Single).,0,13
10:33,1,Pass,9,Tino Sunseri pass to   for 9 yards to the Ssk48. Tackled by Marcell Young.,0,13
09:50,2,Rush,18,Anthony Allen rush for 18 yards to the Edm44. Tackled by Ryan Hinds.,0,13
09:39,1,Unnecessary Roughness,-6,Tino Sunseri pass INTERCEPTED and returned for 8 yards. Penalty: Unnecessary Roughness on Edmonton (Odell Willis) -14 yards.,0,13
09:16,1,Rush,12,Mike Reilly rush for 12 yards to the Edm26. Tackled by Brian Peters.,0,13
08:45,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Adarius Bowman.,0,13
08:17,2,Pass,8,Mike Reilly pass to Nate Coehoorn for 8 yards to the Edm34. Tackled by Macho Harris.,0,13
07:45,3,Punt,5,Hugh O'Neill punts for 41 yards to Ssk35. Weston Dressler return for 5 yards to Ssk40. Tackled by Deon Lacey.,0,13
07:11,1,Rush,10,Anthony Allen rush for 10 yards to the Ssk50. Tackled by Dexter McCoil.,0,13
06:43,1,Rush,3,Anthony Allen rush for 3 yards to the Ssk53. Tackled by Aaron Grymes.,0,13
06:04,2,Pass,5,Tino Sunseri pass to Anthony Allen for 5 yards to the Edm52. Tackled by Rennie Curran.,0,13
05:23,3,Punt,0,Chris Milo punts for 48 yards to Edm4. No return.,0,13
04:57,1,Rush,60,rush for 60 yards to the Ssk46. Tackled by Terrell Maze.,0,13
04:20,1,Rush,-1,Kendial Lawrence rush for a loss of 1 yard to the Ssk47. Tackled by John Chick.,0,13
03:46,2,Pass,-3,Mike Reilly pass to   for a loss of 3 yards to the Ssk50. Tackled by Tyron Brackenridge.,0,13
02:52,3,Punt Single,0,Hugh O'Neill punts for 55 yards to Ssk0. No return (Single).,0,14
02:52,1,Illegal Interference,-2,"Sack at Ssk33 for a loss of 2 yards by Cedric McKinley. FUMBLE, recovered by Ssk (Tino Sunseri). Penalty: Illegal Interference on Edmonton (Cedric McKinley) 0 yards.",0,14
02:40,1,Incomplete Pass,0,Tino Sunseri incomplete pass intended for Rob Bagg defensed by Gregory Alexandre.,0,14
02:33,2,Pass,10,Tino Sunseri pass to Anthony Allen for 10 yards to the Ssk43. Tackled by Eddie Steele.,0,14
02:21,1,Rush,8,Tino Sunseri rush for 8 yards to the Ssk51. Tackled by J.C. Sherritt.,0,14
01:54,2,Rush,3,Jerome Messam rush for 3 yards to the Ssk54. Tackled by Odell Willis.,0,14
01:32,1,Sack,-5,Sack at Ssk49 for a loss of 5 yards by Odell Willis.,0,14
01:05,2,Pass,11,Tino Sunseri pass to Taj Smith for 11 yards to the Edm50. Tackled by Alonzo Lawrence.,0,14
00:48,3,Punt,3,Chris Milo punts for 48 yards to Edm2. Kendial Lawrence return for 3 yards to Edm5. Tackled by Samuel Hurl.,0,14
15:00,0,Kickoff,15,Hugh O'Neill kicks off to the Ssk19. Tristan Jackson return for 15 yards to Ssk34. Tackled by Mike Dubuisson.,0,14
14:55,1,Rush,4,Anthony Allen rush for 4 yards to the Ssk38. Tackled by Almondo Sewell.,0,14
14:14,2,Sack,-12,Sack at Ssk26 for a loss of 12 yards by Cameron Sheffield.,0,14
13:50,3,Punt,7,Chris Milo punts for 48 yards to Edm36. Kendial Lawrence return for 7 yards to Edm43. Tackled by Chad Kilgore.,0,14
13:34,1,Rush,9,rush for 9 yards to the Edm52. Tackled by Rod Williams.,0,14
12:55,2,Rush,2,Mike Reilly rush for 2 yards to the Edm54. Tackled by John Chick.,0,14
12:10,1,Pass,11,Mike Reilly pass to Nate Coehoorn for 11 yards to the Ssk45. Tackled by Brian Peters.,0,14
11:49,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Kendial Lawrence.,0,14
11:24,2,Offside,5,Penalty: Offside on Saskatchewan (Tearrius George) 5 yards.,0,14
11:00,2,Rush,2,Mike Reilly rush for 2 yards to the Ssk38. Tackled by  .,0,14
10:14,3,Missed Field Goal,45,Hugh O'Neill 45 yard field goal attempt is GOOD.,0,17
10:14,0,Roughing Passer,15,Penalty: Roughing Passer on Edmonton (Almondo Sewell) 15 yards.,0,17
10:00,1,Incomplete Pass,0,Tino Sunseri incomplete pass intended for Chris Getzlaf.,0,17
09:40,2,Incomplete Pass,0,Tino Sunseri incomplete pass intended for Anthony Allen.,0,17
09:05,3,Punt,4,Chris Milo punts for 54 yards to Edm6. Kendial Lawrence return for 4 yards to Edm10. Tackled by Matt Webster.,0,17
08:57,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Fred Stamps defensed by Tristan Jackson.,0,17
08:41,2,Pass,23,Mike Reilly pass to Adarius Bowman for 23 yards to the Edm33. Tackled by Weldon Brown.,0,17
08:05,1,Rush,7,rush for 7 yards to the Edm40. Tackled by Macho Harris.,0,17
07:30,0,Fumble,-6,"FUMBLE, recovered by Edm (Mike Reilly).",0,17
07:00,3,Unnecessary Roughness,20,Hugh O'Neill punts for 38 yards to Ssk38. Weston Dressler return for 5 yards to Ssk43. Tackled by Mike Miller. Penalty: Unnecessary Roughness on Edmonton (Mike Miller) 15 yards.,0,17
06:38,1,Rush,4,Anthony Allen rush for 4 yards to the Edm48. Tackled by Odell Willis.,0,17
06:02,2,Incomplete Pass,0,Seth Doege incomplete pass intended for Weston Dressler defensed by Alonzo Lawrence.,0,17
05:50,3,Punt,12,Chris Milo punts for 37 yards to Edm11. Kendial Lawrence return for 12 yards to Edm23. Tackled by Chad Kilgore.,0,17
05:23,1,Rush,9,rush for 9 yards to the Edm32. Tackled by Weldon Brown.,0,17
04:50,2,Rush,5,rush for 5 yards to the Edm37. Tackled by Brian Peters.,0,17
04:11,1,Sack,-2,Sack at Edm35 for a loss of 2 yards by David Lee.,0,17
03:30,2,Illegal Procedure,-5,Penalty: Illegal Procedure on Edmonton (Justin Sorensen) -5 yards.,0,17
03:05,2,Pass,7,Mike Reilly pass to Kendial Lawrence for 7 yards to the Edm37.,0,17
02:43,3,Punt,7,Hugh O'Neill punts for 38 yards to Ssk35. Weston Dressler return for 7 yards to Ssk42. Tackled by Nathan Kanya.,0,17
02:25,1,Pass,7,Seth Doege pass to Rob Bagg for 7 yards to the Ssk49. Tackled by  .,0,17
01:30,2,Rush,1,Anthony Allen rush for 1 yard to the Ssk50. Tackled by Eddie Steele.,0,17
00:58,3,Punt,5,Chris Milo punts for 50 yards to Edm10. Kendial Lawrence return for 5 yards to Edm15. Tackled by Samuel Hurl.,0,17
00:35,1,Rush,5,rush for 5 yards to the Edm20. Tackled by Macho Harris.,0,17
00:03,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for  .,0,17
15:00,3,Punt,12,Hugh O'Neill punts for 50 yards to Ssk40. Weston Dressler return for 12 yards to Ssk52. Tackled by Rennie Curran.,0,17
14:37,1,Pass,5,Seth Doege pass to Rob Bagg for 5 yards to the Edm53. Tackled by  .,0,17
14:05,2,Sack,-6,Sack at Ssk51 for a loss of 6 yards by Dexter McCoil.,0,17
13:09,3,Punt,0,Chris Milo punts for 43 yards to Edm16. Kendial Lawrence return for no gain to Edm16. Tackled by Paul Woldu.,0,17
13:04,1,Rush,-3,rush for a loss of 3 yards to the Edm13. Tackled by John Chick.,0,17
12:24,0,Face Mask,15,Penalty: Face Mask on Saskatchewan (Chad Kilgore) 15 yards.,0,17
11:45,1,Pass,10,Mike Reilly pass to Kendial Lawrence for 10 yards to the Edm38. Tackled by John Chick.,0,17
11:27,1,Rush,5,Mike Reilly rush for 5 yards to the Edm43. Tackled by Hilee Taylor.,0,17
10:44,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Akeem Foster.,0,17
10:24,3,No Yards,45,Hugh O'Neill punts for 50 yards to Ssk17. Penalty: No Yards on Edmonton (Ryan King) -5 yards.,0,17
10:05,1,Rush,6,Jerome Messam rush for 6 yards to the Ssk28. Tackled by Cameron Sheffield.,0,17
09:35,0,Pass Interference,11,Penalty: Pass Interference on Edmonton (Alonzo Lawrence) 11 yards.,0,17
09:21,1,Pass,10,Seth Doege pass to Chris Getzlaf for 10 yards to the Ssk49. Tackled by Marcell Young.,0,17
08:40,2,Rush,2,Jerome Messam rush for 2 yards to the Ssk51. Tackled by Alonzo Lawrence.,0,17
07:59,1,Pass,14,Seth Doege pass to Weston Dressler for 14 yards to the Edm45. Tackled by Alonzo Lawrence.,0,17
07:37,1,Incomplete Pass,0,Seth Doege incomplete pass intended for   defensed by Eddie Steele.,0,17
07:15,2,Incomplete Pass,0,Seth Doege incomplete pass intended for Rob Bagg defensed by  .,0,17
06:48,3,Punt,3,Chris Milo punts for 37 yards to Edm8. Kendial Lawrence return for 3 yards to Edm11. Tackled by Dylan Ainsworth.,0,17
06:24,1,Pass,6,Mike Reilly pass to Kendial Lawrence for 6 yards to the Edm17. Tackled by Rod Williams.,0,17
05:51,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Kendial Lawrence.,0,17
05:31,3,Punt,2,Hugh O'Neill punts for 45 yards to Ssk48. Weston Dressler return for 2 yards to Ssk50. Tackled by Mike Miller.,0,17
05:14,1,Pass,25,Seth Doege pass to Weston Dressler for 25 yards to the Edm35. Tackled by Marcell Young.,0,17
04:30,1,Interception,1,Seth Doege pass INTERCEPTED and returned for 1 yard. Tackled by Weston Dressler.,0,17
04:14,1,Rush,5,rush for 5 yards to the Edm10. Tackled by Trevor Guyton.,0,17
03:40,2,Rush,7,rush for 7 yards to the Edm17. Tackled by Hilee Taylor.,0,17
03:01,1,Rush,2,rush for 2 yards to the Edm19. Tackled by Trevor Guyton.,0,17
02:37,2,Rush,20,Mike Reilly rush for 20 yards to the Edm39.,0,17
02:16,1,Rush,7,rush for 7 yards to the Edm46. Tackled by John Chick.,0,17
