Time,Down,Type,Yards,Details,Montreal,Toronto
15:00,0,Kickoff,15,Sean Whyte kicks off to the Tor13. Steve Slaton return for 15 yards to Tor28. Tackled by S.J. Green.,0,0
14:54,1,Pass,14,Ricky Ray pass to Chad Owens for 14 yards to the Tor42. Tackled by Billy Parker.,0,0
14:00,1,Rush,20,Curtis Steele rush for 20 yards to the Mtl48. Tackled by Jerald Brown.,0,0
13:49,1,Fumble,8,"Ricky Ray pass to Curtis Steele for 8 yards to the Mtl40. FUMBLE, recovered by Mtl (Alan-Michael Cash). Tackled by Tyler Holmes.",0,0
13:07,1,Rush,0,Tyrell Sutton rush for no gain to the Mtl40. Tackled by Matthew Ware.,0,0
12:41,2,Objectionable Conduct,-1,Jonathan Crompton pass to S.J. Green for 9 yards to the Mtl49. Tackled by Jermaine Gabriel. Penalty: Objectionable Conduct on Montreal (S.J. Green) -10 yards.,0,0
12:25,3,Punt,8,Sean Whyte punts for 44 yards to Tor27. Chad Owens return for 8 yards to Tor35. Tackled by Jonathan Beaulieu-Richard.,0,0
12:02,1,Pass,9,Ricky Ray pass to Steve Slaton for 9 yards to the Tor44. Tackled by Gabriel Knapton.,0,0
11:38,2,Rush,1,Mitchell Gale rush for 1 yard to the Tor45. Tackled by Winston Venable.,0,0
11:01,1,Pass,11,Ricky Ray pass to Chad Owens for 11 yards to the Mtl54.,0,0
10:29,1,Pass,8,Ricky Ray pass to   for 8 yards to the Mtl46. Tackled by Billy Parker.,0,0
09:48,2,Rush,5,Steve Slaton rush for 5 yards to the Mtl41. Tackled by Chip Cox.,0,0
09:19,0,Pass Interference,18,Penalty: Pass Interference on Montreal (Geoff Tisdale) 18 yards.,0,0
09:00,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Zander Robinson defensed by Scott Paxson.,0,0
08:30,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Chad Owens.,0,0
07:57,3,Missed Field Goal,30,Swayze Waters 30 yard field goal attempt is GOOD.,0,3
07:57,0,Kickoff,30,Swayze Waters kicks off to the Mtl8. Chris Rainey return for 30 yards to Mtl38. Tackled by Gregory Jones.,0,3
07:50,1,Rush,-3,James Rodgers rush for a loss of 3 yards to the Mtl35. Tackled by Tristan Okpalaugo.,0,3
07:14,2,Roughing Passer,40,Jonathan Crompton pass to Brandon London for 25 yards to the Tor50. Tackled by Shea Emry. Penalty: Roughing Passer on Toronto (Tristan Okpalaugo) 15 yards.,0,3
06:51,1,Pass,7,Jonathan Crompton pass to Kenny Stafford for 7 yards to the Tor28. Tackled by Alex Suber.,0,3
06:25,2,Rush,0,Tyrell Sutton rush for no gain to the Tor28. Tackled by Mike Bradwell.,0,3
05:35,3,Missed Field Goal,35,Sean Whyte 35 yard field goal attempt is GOOD.,3,3
05:35,0,Kickoff,18,Sean Whyte kicks off to the Tor16. Steve Slaton return for 18 yards to Tor34. Tackled by Jonathan Beaulieu-Richard.,3,3
05:22,1,Pass,5,Ricky Ray pass to Mike Bradwell for 5 yards to the Tor39. Tackled by Chip Cox.,3,3
04:56,2,Pass,4,Ricky Ray pass to Anthony Woodson for 4 yards to the Tor43. Tackled by Dominique Ellis.,3,3
04:15,3,Punt,1,Swayze Waters punts for 48 yards to Mtl19. James Rodgers return for 1 yard to Mtl20. Tackled by Nick Rosamonda.,3,3
04:04,1,Pass,12,Jonathan Crompton pass to Duron Carter for 12 yards to the Mtl32. Tackled by Evan McCollough.,3,3
03:44,1,Pass,18,Jonathan Crompton pass to Brandon London for 18 yards to the Mtl50. Tackled by Orhian Johnson.,3,3
02:56,1,Pass,11,Jonathan Crompton pass to Chris Rainey for 11 yards to the Tor49. Tackled by Gregory Jones.,3,3
02:39,1,Offside,5,Penalty: Offside on Toronto (Tristan Okpalaugo) 5 yards.,3,3
02:08,1,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for S.J. Green.,3,3
01:30,2,Pass,18,Jonathan Crompton pass to S.J. Green for 18 yards to the Tor26. Tackled by Evan McCollough.,3,3
01:00,1,Pass,8,Jonathan Crompton pass to S.J. Green for 8 yards to the Tor18. Tackled by Alex Suber.,3,3
00:33,2,Rush,8,Jonathan Crompton rush for 8 yards to the Tor10. Tackled by Evan McCollough.,3,3
00:00,1,Pass,10,Jonathan Crompton pass to S.J. Green for 10 yards for a TOUCHDOWN.,9,3
00:00,0,Made Extra Point,0,Sean Whyte extra point is good.,10,3
15:00,0,Kickoff,17,Sean Whyte kicks off to the Tor18. Steve Slaton return for 17 yards to Tor35. Tackled by Andrew Lue.,10,3
14:54,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Chad Owens defensed by Jerald Brown.,10,3
14:24,2,Pass,12,Ricky Ray pass to   for 12 yards to the Tor47. Tackled by Mitchell White.,10,3
13:58,1,Pass,8,Ricky Ray pass to Anthony Woodson for 8 yards to the Tor55. Tackled by Chip Cox.,10,3
13:16,2,Rush,5,Steve Slaton rush for 5 yards to the Mtl50. Tackled by Chip Cox.,10,3
12:56,1,Pass,4,Ricky Ray pass to   for 4 yards to the Mtl46. Tackled by Chip Cox.,10,3
12:08,2,Rush,4,Ricky Ray rush for 4 yards to the Mtl42. Tackled by Billy Parker.,10,3
11:17,3,Missed Field Goal,49,Swayze Waters 49 yard field goal attempt is GOOD.,10,6
