Time,Down,Type,Yards,Details,Montreal,Hamilton
06:10,1,Pass,8,Tanner Marsh pass to Brandon London for 8 yards to the Ham35. Tackled by Michael Coe.,7,7
05:39,2,Rush,-1,Brandon Rutley rush for a loss of 1 yard to the Ham36. Tackled by Erik Harris.,7,7
04:40,3,Missed Field Goal,43,Sean Whyte 43 yard field goal attempt is GOOD.,10,7
04:40,0,Kickoff,12,Sean Whyte kicks off to the Ham16. Tavoy Moore return for 12 yards to Ham28. Tackled by Mitchell White.,10,7
04:33,1,Interception,0,Dan LeFevour pass intended for LaMark Brown INTERCEPTED. No return. Tackled by Tavoy Moore.,10,7
04:10,1,Unnecessary Roughness,19,Alex Brink pass INTERCEPTED and returned for 34 yards. Penalty: Unnecessary Roughness on Hamilton (Carl-Olivier Prime) -15 yards.,10,7
03:41,1,Rush,0,Isi Sofele rush for no gain to the Ham39. Tackled by Jermaine McElveen.,10,7
02:55,2,Incomplete Pass,0,Dan LeFevour incomplete pass intended for Samuel Giguere.,10,7
02:41,3,Punt,12,Justin Medlock punts for 32 yards to Mtl39. Preston Cleckley return for 12 yards to Mtl51. Tackled by Kyle Miller.,10,7
02:24,1,Pass,10,Alex Brink pass to Kyle Graves for 10 yards to the Ham49. Tackled by Neil King.,10,7
02:17,1,Pass,8,Alex Brink pass to Brandon London for 8 yards to the Ham41. Tackled by Michael Coe.,10,7
02:04,2,Rush,3,Brandon Rutley rush for 3 yards to the Ham38. Tackled by Sam Scott.,10,7
01:47,1,Roughing Passer,29,Alex Brink pass to Brandon London for 20 yards to the Ham18. Penalty: Roughing Passer on Hamilton 9 yards.,10,7
01:22,1,Pass,9,Alex Brink pass to Kyle Graves for 9 yards for a TOUCHDOWN.,16,7
01:22,0,Made Extra Point,0,Sean Whyte extra point is good.,17,7
01:22,0,Unnecessary Roughness,42,Sean Whyte kicks off to the Ham20. Tavoy Moore return for 27 yards to Ham47. Penalty: Unnecessary Roughness on Montreal (Jamaan Webb) 15 yards.,17,7
01:15,1,Offside,5,Penalty: Offside on Montreal 5 yards.,17,7
01:10,1,Pass,6,Dan LeFevour pass to Samuel Giguere for 6 yards to the Mtl37. Tackled by Winston Venable.,17,7
01:06,1,Pass,8,Dan LeFevour pass to Samuel Giguere for 8 yards to the Mtl29. Tackled by Mitchell White.,17,7
00:51,2,Incomplete Pass,0,Dan LeFevour incomplete pass intended for Kelvin Bolden.,17,7
