Time,Down,Type,Yards,Details,Ottawa,Montreal
04:35,0,Illegal Block,-10,Penalty: Illegal Block on Ottawa (Jeraill McCuller) -10 yards.,3,8
04:09,2,Sack,-4,Sack at Ott17 for a loss of 4 yards by Gabriel Knapton.,3,8
03:16,3,Punt,6,Brett Maher punts for 53 yards to Mtl40. James Rodgers return for 6 yards to Mtl46. Tackled by John Delahunt.,3,8
02:47,1,Rush,5,Tyrell Sutton rush for 5 yards to the Mtl51. Tackled by Zack Evans.,3,8
02:30,2,Roughing Passer,34,Jonathan Crompton pass to Duron Carter for 19 yards to the Ott40. Tackled by Antoine Pruneau. Penalty: Roughing Passer on Ottawa (Travis Brown) 15 yards.,3,8
02:07,1,Rush,18,Brandon Whitaker rush for 18 yards to the Ott7. Tackled by  .,3,8
01:56,1,Rush,5,Tyrell Sutton rush for 5 yards to the Ott2. Tackled by Jeremiah Green.,3,8
01:36,2,Fumble,1,"Brandon Whitaker rush for 1 yard to the Ott1. FUMBLE, recovered by Ott (Jerrell Gavins). Tackled by S.J. Green.",3,8
01:15,1,Offside,-5,Penalty: Offside on Ottawa (Matt Carter) -5 yards.,3,8
01:10,1,Pass,10,Henry Burris pass to Dobson Collins for 10 yards to the Ott30. Tackled by Kyries Hebert.,3,8
00:57,2,Offside,-5,Penalty: Offside on Ottawa (Wallace Miles) -5 yards.,3,8
00:49,2,Pass,12,Henry Burris pass to Wallace Miles for 12 yards to the Ott37. Tackled by Jerald Brown.,3,8
00:44,1,Rush,8,Henry Burris rush for 8 yards to the Ott45. Tackled by Billy Parker.,3,8
00:30,2,Pass,11,Henry Burris pass to Khalil Paden for 11 yards to the Mtl54. Tackled by Marc-Olivier Brouillette.,3,8
00:09,1,Incomplete Pass,0,Henry Burris incomplete pass.,3,8
00:03,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Matt Carter defensed by Chip Cox.,3,8
15:00,0,Holding,8,Brett Maher kicks off to the Mtl12. James Rodgers return for 18 yards to Mtl30. Penalty: Holding on Montreal (Daryl Townsend) -10 yards.,3,8
14:45,1,Rush,0,Tyrell Sutton rush for no gain to the Mtl20. Tackled by Antoine Pruneau.,3,8
14:11,2,Pass,30,Jonathan Crompton pass to Duron Carter for 30 yards to the Mtl50. Tackled by  .,3,8
13:35,1,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for Brandon Whitaker.,3,8
13:10,2,Rush,8,Jonathan Crompton rush for 8 yards to the Ott52. Tackled by Jeremiah Green.,3,8
12:03,3,Punt Single,0,Sean Whyte punts for 55 yards to Ott0. No return (Single).,3,9
12:03,1,Rush,3,Chevon Walker rush for 3 yards to the Ott38. Tackled by Winston Venable.,3,9
11:30,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Wallace Miles.,3,9
11:20,3,Illegal Block,7,Brett Maher punts for 49 yards to Mtl23. James Rodgers return for 2 yards to Mtl25. Tackled by Jordan Verdone. Penalty: Unnecessary Roughness on Ottawa (Alexander Krausnick) 15 yards. Penalty: Illegal Block on Montreal (Brian Brikowski) -10 yards.,3,9
10:56,1,Rush,4,Tyrell Sutton rush for 4 yards to the Mtl34. Tackled by Zack Evans.,3,9
10:22,2,Pass,8,Jonathan Crompton pass to Brandon Whitaker for 8 yards to the Mtl42. Tackled by Abdul Kanneh.,3,9
09:38,1,Pass,4,Jonathan Crompton pass to Brandon Whitaker for 4 yards to the Mtl46. Tackled by Jasper Simmons.,3,9
08:55,2,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for S.J. Green.,3,9
08:37,3,Punt,0,Sean Whyte punts for 32 yards to Ott32. No return.,3,9
08:26,1,Rush,3,Chevon Walker rush for 3 yards to the Ott35. Tackled by John Bowman.,3,9
08:00,2,Pass,6,Henry Burris pass to John Delahunt for 6 yards to the Ott41. Tackled by Jerald Brown.,3,9
07:12,3,Punt,6,Brett Maher punts for 43 yards to Mtl26. James Rodgers return for 6 yards to Mtl32. Tackled by Travis Brown.,3,9
