Time,Down,Type,Yards,Details,Toronto,Montreal
15:00,0,Kickoff,22,Swayze Waters kicks off to the Mtl15. Larry Taylor return for 22 yards to Mtl37. Tackled by James Yurichuk.,0,0
14:42,1,Rush,10,Brandon Whitaker rush for 10 yards to the Mtl47. Tackled by Shane Horton.,0,0
14:14,1,Objectionable Conduct,10,Troy Smith incomplete pass intended for Duron Carter. Penalty: Objectionable Conduct on Toronto (Dwight Anderson) 10 yards.,0,0
13:56,1,Rush,7,Brandon Whitaker rush for 7 yards to the Tor46. Tackled by Shane Horton.,0,0
13:17,2,Rush,-1,Brandon Whitaker rush for a loss of 1 yard to the Tor47. Tackled by Shea Emry.,0,0
12:15,3,Punt Single,0,Sean Whyte punts for 58 yards to Tor0. No return (Single).,0,1
12:15,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Maurice Mann.,0,1
12:06,2,Rush,7,Ricky Ray rush for 7 yards to the Tor42. Tackled by Marc-Olivier Brouillette.,0,1
11:35,3,Punt,9,Swayze Waters punts for 40 yards to Mtl28. Larry Taylor return for 9 yards to Mtl37. Tackled by Jermaine Gabriel.,0,1
11:19,1,Pass,14,Troy Smith pass to Duron Carter for 14 yards to the Mtl51. Tackled by Vincent Agnew.,0,1
10:52,1,Pass,8,Troy Smith pass to Mardy Gilyard for 8 yards to the Tor51. Tackled by Jermaine Gabriel.,0,1
10:09,2,Rush,2,Tanner Marsh rush for 2 yards to the Tor49. Tackled by Aston Whiteside.,0,1
09:38,1,Pass,8,Troy Smith pass to Mardy Gilyard for 8 yards to the Tor41. Tackled by Dwight Anderson.,0,1
08:53,2,Rush,4,Brandon Whitaker rush for 4 yards to the Tor37. Tackled by Dwight Anderson.,0,1
08:15,1,Rush,-5,Brandon Whitaker rush for a loss of 5 yards to the Tor42. Tackled by Tristan Okpalaugo.,0,1
07:37,2,Incomplete Pass,0,Troy Smith incomplete pass intended for Chad Johnson.,0,1
06:59,3,Missed Field Goal,49,Sean Whyte 49 yard field goal attempt is GOOD.,0,4
06:59,0,Kickoff,18,Sean Whyte kicks off to the Tor14. Robert Gill return for 18 yards to Tor32. Tackled by Mike Edem.,0,4
06:50,1,Unnecessary Roughness,32,Steve Slaton rush for 17 yards to the Tor49. Tackled by Geoff Tisdale. Penalty: Unnecessary Roughness on Montreal (Chris Smith) 15 yards.,0,4
06:26,1,Pass,18,Ricky Ray pass to Steve Slaton for 18 yards to the Mtl28. Tackled by Kyries Hebert.,0,4
05:39,1,Rush,-3,Steve Slaton rush for a loss of 3 yards to the Mtl31. Tackled by Billy Parker.,0,4
04:58,2,Incomplete Pass,0,Ricky Ray incomplete pass defensed by Alan-Michael Cash.,0,4
04:36,3,Missed Field Goal,37,42 yard field goal attempt by Swayze Waters is NO GOOD.  Missed field goal returned by Larry Taylor to the Mtl26. Tackled by Jake Reinhart.,0,4
04:08,1,Illegal Procedure,-5,Penalty: Illegal Procedure on Montreal (Josh Bourke) -5 yards.,0,4
04:00,1,Pass,-3,Troy Smith pass to Duron Carter for a loss of 3 yards to the Mtl18. Tackled by Branden Smith.,0,4
03:05,2,Incomplete Pass,0,Troy Smith incomplete pass intended for Brandon Whitaker defensed by Aston Whiteside.,0,4
02:50,3,Holding,54,Sean Whyte punts for 49 yards to Tor43. Penalty: No Yards on Montreal ( ) -5 yards. Penalty: Holding on Toronto 10 yards.,0,4
02:40,1,Face Mask,35,Ricky Ray pass to Anthony Coombs for 20 yards to the Mtl52. Tackled by Chip Cox. Penalty: Face Mask on Montreal 15 yards.,0,4
02:06,1,Pass,9,Ricky Ray pass to Steve Slaton for 9 yards to the Mtl28. Tackled by Scott Paxson.,0,4
01:24,2,Rush,1,Mitchell Gale rush for 1 yard to the Mtl27. Tackled by Marc-Olivier Brouillette.,0,4
01:01,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Mike Bradwell.,0,4
00:36,2,Rush,4,Curtis Steele rush for 4 yards to the Mtl23. Tackled by Aaron Lavarias.,0,4
00:00,3,Missed Field Goal,30,Swayze Waters 30 yard field goal attempt is GOOD.,3,4
15:00,0,Offside on Kickoff,-5,Penalty: Offside on Kickoff on Toronto ( ) -5 yards.,3,4
14:53,0,Kickoff,13,Swayze Waters kicks off to the Mtl38. Nicolas Boulay return for 13 yards to Mtl51. Tackled by Ivan Brown.,3,4
14:45,1,Rush,3,Brandon Whitaker rush for 3 yards to the Mtl54. Tackled by Cleyon Laing.,3,4
14:09,2,Pass,13,Alex Brink pass to Dave Stala for 13 yards to the Tor43. Tackled by Dwight Anderson.,3,4
13:25,1,Pass,-2,Alex Brink pass to Kenny Stafford for a loss of 2 yards to the Tor45. Tackled by Branden Smith.,3,4
12:40,2,Incomplete Pass,0,Alex Brink incomplete pass intended for Eric Deslauriers.,3,4
11:59,3,Punt Single,0,Sean Whyte punts for 53 yards to Tor0. No return (Single).,3,5
11:59,0,Pass Interference,10,Penalty: Pass Interference on Montreal (John Bowman) 10 yards.,3,5
11:31,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Darvin Adams.,3,5
11:19,2,Pass,25,Ricky Ray pass to Maurice Mann for 25 yards to the Mtl40. Tackled by Geoff Tisdale.,3,5
10:53,1,Fumble,13,"Ricky Ray pass to Darvin Adams for 4 yards to the Mtl36. FUMBLE, recovered by Mtl (Jerald Brown) and returned for 9 yards. Tackled by Zander Robinson.",3,5
10:26,1,Rush,5,Brandon Whitaker rush for 5 yards to the Mtl50. Tackled by Gregory Jones.,3,5
09:57,2,Pass,3,Alex Brink pass to Kenny Stafford for 3 yards to the Mtl53.,3,5
09:14,0,Too Many Men on Field,-10,Penalty: Too Many Men on Field on Montreal -10 yards.,3,5
09:14,3,Punt,0,Sean Whyte punts for 47 yards to Tor20. Branden Smith return for no gain to Tor20. Tackled by  .,3,5
09:06,1,Rush,-4,Steve Slaton rush for a loss of 4 yards to the Tor16. Tackled by Brian Brikowski.,3,5
08:33,2,Incomplete Pass,0,Ricky Ray incomplete pass defensed by Michael Klassen.,3,5
08:10,3,Punt,0,Swayze Waters punts for 64 yards to Mtl30. No return.,3,5
07:52,1,Incomplete Pass,0,Alex Brink incomplete pass intended for Dave Stala.,3,5
07:28,2,Pass,16,Alex Brink pass to Dave Stala for 16 yards to the Mtl46. Tackled by Jalil Carter.,3,5
07:02,1,Rush,0,Larry Taylor rush for no gain to the Mtl46. Tackled by Jamie Robinson.,3,5
06:23,2,Incomplete Pass,0,Alex Brink incomplete pass intended for Duron Carter.,3,5
05:59,3,Punt,2,Sean Whyte punts for 43 yards to Tor21. Branden Smith return for 2 yards to Tor23. Tackled by  .,3,5
05:39,1,Pass,0,Ricky Ray pass to Anthony Coombs for no gain to the Tor23. Tackled by Chip Cox.,3,5
04:44,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Darvin Adams.,3,5
04:34,3,Punt,11,Swayze Waters punts for 64 yards to Mtl23. Larry Taylor return for 11 yards to Mtl34. Tackled by Jermaine Gabriel.,3,5
04:14,1,Incomplete Pass,0,Alex Brink incomplete pass intended for Dave Stala.,3,5
03:53,2,Rush,9,Alex Brink rush for 9 yards to the Mtl43. Tackled by Branden Smith.,3,5
03:11,3,Rush,-2,Tanner Marsh rush for a loss of 2 yards to the Mtl41. Tackled by Tristan Okpalaugo.,3,5
02:47,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Spencer Watt.,3,5
02:36,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Jarred Fayson.,3,5
02:32,3,Missed Field Goal,41,41 yard field goal attempt by Swayze Waters is NO GOOD.,3,5
02:26,1,Incomplete Pass,0,Alex Brink incomplete pass intended for Kenny Stafford.,3,5
02:19,2,Incomplete Pass,0,Alex Brink incomplete pass intended for Dave Stala.,3,5
02:15,3,Punt,1,Sean Whyte punts for 48 yards to Tor37. Branden Smith return for 1 yard to Tor38. Tackled by  .,3,5
02:08,1,Pass,4,Ricky Ray pass to Maurice Mann for 4 yards to the Tor42. Tackled by Chris Smith.,3,5
01:57,2,Pass,8,Ricky Ray pass to Steve Slaton for 8 yards to the Tor50. Tackled by Kyries Hebert.,3,5
01:34,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Maurice Mann.,3,5
01:13,2,Pass,17,Ricky Ray pass to Maurice Mann for 17 yards to the Mtl43. Tackled by Geoff Tisdale.,3,5
01:07,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Jarred Fayson.,3,5
00:57,2,Roughing Passer,33,Ricky Ray pass to Jarred Fayson for 23 yards to the Mtl20. Tackled by Aaron Lavarias. Penalty: Roughing Passer on Montreal (Brian Brikowski) 10 yards.,3,5
00:44,1,Pass,10,Ricky Ray pass to Steve Slaton for 10 yards for a TOUCHDOWN.,9,5
00:44,0,Made Extra Point,0,Swayze Waters extra point is good.,10,5
00:44,0,Kickoff,23,Swayze Waters kicks off to the Mtl5. Larry Taylor return for 23 yards to Mtl28. Tackled by Gregory Jones.,10,5
00:37,1,Rush,8,Brandon Whitaker rush for 8 yards to the Mtl36. Tackled by Logan Harrell.,10,5
00:30,2,Rush,-1,Brandon Whitaker rush for a loss of 1 yard to the Mtl35. Tackled by Shea Emry.,10,5
15:00,0,Kickoff,35,Sean Whyte kicks off to the Tor20. Robert Gill return for 35 yards to Tor55. Tackled by Sean Whyte.,10,5
14:51,1,Pass,13,Ricky Ray pass to Anthony Coombs for 13 yards to the Mtl42. Tackled by Chip Cox.,10,5
