Time,Down,Type,Yards,Details,Edmonton,Montreal
07:48,1,Rush,5,Brandon Whitaker rush for 5 yards to the Mtl40. Tackled by Eric Samuels.,20,8
07:12,2,Incomplete Pass,0,Troy Smith incomplete pass intended for  .,20,8
06:50,3,Illegal Block,-6,Sean Whyte punts for 48 yards to Edm22. Jamal Miles return for 4 yards to Edm26. Penalty: Illegal Block on Edmonton (Mathieu Boulay) -10 yards.,20,8
06:27,1,Rush,6,John White rush for 6 yards to the Edm22. Tackled by Kyries Hebert.,20,8
05:53,2,Rush,12,John White rush for 12 yards to the Edm34. Tackled by Winston Venable.,20,8
05:14,1,Rush,8,Kendial Lawrence rush for 8 yards to the Edm42. Tackled by Chip Cox.,20,8
04:32,2,Pass,12,Mike Reilly pass to Adarius Bowman for 12 yards to the Edm54. Tackled by Geoff Tisdale.,20,8
03:56,1,Pass,9,Mike Reilly pass to Adarius Bowman for 9 yards to the Mtl47. Tackled by Chip Cox.,20,8
03:24,2,Face Mask,22,Mike Reilly pass to Adarius Bowman for 7 yards to the Mtl40. Tackled by Chris Smith. Penalty: Face Mask on Montreal (Chris Smith) 15 yards.,20,8
02:37,1,Pass,25,Mike Reilly pass to Adarius Bowman for 25 yards for a TOUCHDOWN.,26,8
02:37,0,Made Extra Point,0,Grant Shaw extra point is good.,27,8
02:37,0,Kickoff,13,Grant Shaw kicks off to the Mtl15. Bo Bowling return for 13 yards to Mtl28. Tackled by Otha Foster.,27,8
02:32,0,Rush,4,"FUMBLE Brandon Whitaker rush for 4 yards to the Mtl32., recovered by Mtl (Ryan Bomben).",27,8
02:07,2,Incomplete Pass,0,Troy Smith incomplete pass intended for Brandon Whitaker.,27,8
02:03,3,Punt,16,Sean Whyte punts for 46 yards to Edm32. Jamal Miles return for 16 yards to Edm48. Tackled by Nicolas Boulay.,27,8
01:49,1,Rush,-4,John White rush for a loss of 4 yards to the Edm44. Tackled by Michael Klassen.,27,8
01:41,2,Pass,24,Mike Reilly pass to Devon Bailey for 24 yards to the Mtl42. Tackled by Aaron Lavarias.,27,8
01:17,1,Holding,-4,Mike Reilly rush for 6 yards to the Mtl36. Penalty: Holding on Edmonton (Matthew O'Donnell) -10 yards.,27,8
00:58,1,Pass,15,Mike Reilly pass to A.J. Guyton for 15 yards to the Mtl37. Tackled by Chip Cox.,27,8
00:50,2,Pass,2,Mike Reilly pass to A.J. Guyton for 2 yards to the Mtl35. Tackled by Kyries Hebert.,27,8
00:21,3,Missed Field Goal,42,Grant Shaw 42 yard field goal attempt is GOOD.,30,8
00:21,1,Pass,10,Troy Smith pass to Eric Deslauriers for 10 yards to the Mtl45. Tackled by Deon Lacey.,30,8
00:14,1,Pass,15,Troy Smith pass to Duron Carter for 15 yards to the Edm50. Tackled by Deon Lacey.,30,8
