Time,Down,Type,Yards,Details,Winnipeg,Montreal
10:22,3,Punt,8,Mike Renaud punts for 42 yards to Mtl8. Larry Taylor return for 8 yards to Mtl16. Tackled by Chris Randle.,10,10
10:05,1,Pass,10,Troy Smith pass to Brandon London for 10 yards to the Mtl26. Tackled by Ejiro Kuale.,10,10
09:41,2,Rush,3,Tanner Marsh rush for 3 yards to the Mtl29. Tackled by Mike Cornell.,10,10
09:21,1,Unnecessary Roughness,16,Brandon Whitaker rush for 1 yard to the Mtl30. Tackled by Chris Randle. Penalty: Unnecessary Roughness on Winnipeg (Chris Randle) 15 yards.,10,10
08:50,1,Incomplete Pass,0,Troy Smith incomplete pass intended for Chad Johnson.,10,10
08:40,2,Incomplete Pass,0,Troy Smith incomplete pass.,10,10
08:18,3,Holding,55,Sean Whyte punts for 45 yards to Wpg20. Penalty: Holding on Winnipeg (Donovan Alexander) 10 yards.,10,10
07:52,1,Rush,1,Nic Grigsby rush for 1 yard to the Wpg11. Tackled by Jerald Brown.,10,10
07:15,2,Pass,11,Drew Willy pass to Clarence Denmark for 11 yards to the Wpg22. Tackled by Chip Cox.,10,10
06:31,1,Pass,-2,Drew Willy pass to Nick Moore for a loss of 2 yards to the Wpg20. Tackled by Jerald Brown.,10,10
05:48,2,Pass,11,Drew Willy pass to Clarence Denmark for 11 yards to the Wpg31. Tackled by Geoff Tisdale.,10,10
05:14,3,Rush,-1,Robert Marve rush for a loss of 1 yard to the Wpg30. Tackled by Chip Cox.,10,10
04:50,0,Too Many Men on Field,-10,Penalty: Too Many Men on Field on Montreal -10 yards.,10,10
04:19,1,Sack,70,Sack at Wpg40 for no gain by Jason Vega Recovered by Wpg (Desia Dunn) and returned for 70 yards for a TOUCHDOWN,16,10
04:19,0,Blocked Extra Point,0,Lirim Hajrullahu extra point is NO GOOD.  extra point is BLOCKED.,16,10
04:06,0,Kickoff,13,Lirim Hajrullahu kicks off to the Mtl17. Larry Taylor return for 13 yards to Mtl30. Tackled by Chris Randle.,16,10
04:00,0,Pass Interference,26,Penalty: Pass Interference on Winnipeg (Demond Washington) 26 yards.,16,10
03:38,1,Pass,7,Troy Smith pass to Brandon London for 7 yards to the Wpg47. Tackled by Desia Dunn.,16,10
03:04,2,Rush,7,Brandon Whitaker rush for 7 yards to the Wpg40. Tackled by Kashawn Fraser.,16,10
02:37,1,Rush,8,Brandon Whitaker rush for 8 yards to the Wpg32. Tackled by Matt Bucknor.,16,10
02:24,2,Rush,0,Tanner Marsh rush for no gain to the Wpg32. Tackled by Greg Peach.,16,10
01:53,3,Missed Field Goal,39,Sean Whyte 39 yard field goal attempt is GOOD.,16,13
01:53,1,Pass,13,Drew Willy pass to Nick Moore for 13 yards to the Wpg48. Tackled by Marc-Olivier Brouillette.,16,13
01:46,1,Pass,4,Drew Willy pass to Julian Feoli-Gudino for 4 yards to the Wpg52. Tackled by Chip Cox.,16,13
01:26,2,Pass,9,Drew Willy pass to Aaron Kelly for 9 yards to the Mtl49. Tackled by Billy Parker.,16,13
01:00,1,Pass,20,Drew Willy pass to Rory Kohlert for 20 yards to the Mtl29. Tackled by Kyries Hebert.,16,13
00:40,1,Pass,6,Drew Willy pass to Nick Moore for 6 yards to the Mtl23. Tackled by Aaron Lavarias.,16,13
00:25,2,Incomplete Pass,0,Drew Willy incomplete pass intended for Aaron Kelly defensed by Billy Parker.,16,13
00:13,0,Unnecessary Roughness,12,Penalty: Unnecessary Roughness on Montreal (Alan-Michael Cash) 12 yards.,16,13
00:09,1,Offside,-5,Penalty: Offside on Winnipeg (Aaron Kelly) -5 yards.,16,13
00:00,1,Missed Field Goal,24,Lirim Hajrullahu 24 yard field goal attempt is GOOD.,19,13
15:00,0,Kickoff,23,Lirim Hajrullahu kicks off to the Mtl6. Larry Taylor return for 23 yards to Mtl29. Tackled by Derek Jones.,19,13
14:53,1,Pass,6,Troy Smith pass to S.J. Green for 6 yards to the Mtl35. Tackled by Demond Washington.,19,13
14:10,2,Pass,10,Troy Smith pass to Steven Lumbala for 10 yards to the Mtl45. Tackled by Matt Bucknor.,19,13
13:35,1,Rush,10,Brandon Whitaker rush for 10 yards to the Mtl55. Tackled by Desia Dunn.,19,13
12:46,2,Rush,4,Tanner Marsh rush for 4 yards to the Wpg51. Tackled by Mike Cornell.,19,13
12:09,1,Pass,2,Troy Smith pass to Brandon Whitaker for 2 yards to the Wpg49. Tackled by Johnny Sears Jr..,19,13
11:07,2,Pass,49,Troy Smith pass to Kenny Stafford for 49 yards for a TOUCHDOWN.,19,19
10:54,0,Made Extra Point,0,Sean Whyte extra point is good.,19,20
10:54,0,Unnecessary Roughness,32,Sean Whyte kicks off to the Wpg15. Paris Cotton return for 17 yards to Wpg32. Tackled by Winston Venable. Penalty: Unnecessary Roughness on Montreal (Martin Bedard) 15 yards.,19,20
10:47,1,Rush,3,Nic Grigsby rush for 3 yards to the Wpg50. Tackled by Gabriel Knapton.,19,20
10:13,2,Sack,-9,Sack at Wpg41 for a loss of 9 yards by Alan-Michael Cash.,19,20
09:42,3,Punt,6,Mike Renaud punts for 45 yards to Mtl24. Larry Taylor return for 6 yards to Mtl30. Tackled by Louie Richardson.,19,20
09:14,1,Rush,7,Brandon Whitaker rush for 7 yards to the Mtl37. Tackled by Johnny Sears Jr..,19,20
08:45,2,Sack,-7,Sack at Mtl30 for a loss of 7 yards by Bryant Turner Jr..,19,20
08:14,3,Punt,-1,Sean Whyte punts for 43 yards to Wpg37. Demond Washington return for a loss of 1 yard to Wpg36. Tackled by Dominique Ellis.,19,20
07:52,1,Pass,49,Drew Willy pass to Nick Moore for 49 yards to the Mtl25. Tackled by Jamaan Webb.,19,20
07:04,1,Rush,5,Nic Grigsby rush for 5 yards to the Mtl20. Tackled by Jerald Brown.,19,20
06:32,2,Incomplete Pass,0,Drew Willy incomplete pass intended for Clarence Denmark.,19,20
05:54,3,Missed Field Goal,27,Lirim Hajrullahu 27 yard field goal attempt is GOOD.,22,20
05:54,0,Holding,-5,Penalty: Offside on Kickoff on Winnipeg (Demond Washington) 5 yards. Penalty: Holding on Montreal (Mike Edem) -10 yards.,22,20
05:49,0,Kickoff,29,Lirim Hajrullahu kicks off to the Mtl4. Larry Taylor return for 29 yards to Mtl33. Tackled by Don Unamba.,22,20
05:42,1,Rush,9,Kenny Stafford rush for 9 yards to the Mtl42. Tackled by Matt Bucknor.,22,20
04:50,2,Illegal Procedure,-5,Penalty: Illegal Procedure on Montreal (Josh Bourke) -5 yards.,22,20
04:36,2,Incomplete Pass,0,Tanner Marsh incomplete pass intended for Brandon London.,22,20
04:16,3,Fumble,2,"Sean Whyte punts for 52 yards to Wpg21. Demond Washington return for 2 yards to Wpg23. FUMBLE, recovered by Mtl (Dominique Ellis). Tackled by Derek Jones.",22,20
03:50,1,Sack,-11,Sack at Wpg34 for a loss of 11 yards by Ian Wild.,22,20
03:23,2,Pass,4,Troy Smith pass to Brandon Whitaker for 4 yards to the Wpg30. Tackled by Bruce Johnson.,22,20
02:16,3,Missed Field Goal,37,Sean Whyte 37 yard field goal attempt is GOOD.,22,23
02:16,0,Holding,6,Sean Whyte kicks off to the Wpg16. Paris Cotton return for 16 yards to Wpg32. Penalty: Holding on Winnipeg (Derek Jones) -10 yards.,22,23
02:01,1,Rush,0,Drew Willy rush for no gain to the Wpg22. Tackled by Kyries Hebert.,22,23
01:30,2,Sack,-10,Sack at Wpg12 for a loss of 10 yards by Alan-Michael Cash.,22,23
00:53,3,Illegal Participation,45,Mike Renaud punts for 50 yards to Mtl48. Penalty: Unnecessary Roughness on Winnipeg (Dan West) -15 yards. Penalty: Illegal Participation on Montreal (Winston Venable) 10 yards.,22,23
00:33,0,Holding,-10,Penalty: Holding on Montreal (Josh Bourke) -10 yards.,22,23
00:10,1,Pass,7,Troy Smith pass to Steven Lumbala for 7 yards to the Mtl50. Tackled by Jake Thomas.,22,23
15:00,2,Pass,25,Troy Smith pass to S.J. Green for 25 yards to the Wpg35. Tackled by Johnny Sears Jr..,22,23
14:37,1,Rush,8,Brandon Whitaker rush for 8 yards to the Wpg27. Tackled by Demond Washington.,22,23
13:57,2,Rush,2,Tanner Marsh rush for 2 yards to the Wpg25. Tackled by Teague Sherman.,22,23
13:10,1,Incomplete Pass,0,Troy Smith incomplete pass intended for Brandon London defensed by Chris Randle.,22,23
12:47,2,Pass,15,Troy Smith pass to Kenny Stafford for 15 yards to the Wpg10. Tackled by Desia Dunn.,22,23
12:00,1,Rush,5,Brandon Whitaker rush for 5 yards to the Wpg5. Tackled by Ian Wild.,22,23
11:03,2,Pass,5,Troy Smith pass to S.J. Green for 5 yards for a TOUCHDOWN.,22,29
10:48,0,Made Extra Point,0,Sean Whyte extra point is good.,22,30
10:48,0,Kickoff,22,Sean Whyte kicks off to the Wpg20. Paris Cotton return for 22 yards to Wpg42. Tackled by Mike Edem.,22,30
10:40,1,Pass,3,Drew Willy pass to Nick Moore for 3 yards to the Wpg45. Tackled by Chris Wilson.,22,30
10:04,2,Incomplete Pass,0,Drew Willy incomplete pass intended for Nick Moore defensed by Jerald Brown.,22,30
09:43,3,Punt,10,Mike Renaud punts for 53 yards to Mtl12. Larry Taylor return for 10 yards to Mtl22. Tackled by Dan West.,22,30
09:30,1,Rush,5,Brandon Whitaker rush for 5 yards to the Mtl27. Tackled by Ejiro Kuale.,22,30
08:37,2,Interception,28,Troy Smith pass intended for S.J. Green INTERCEPTED and returned for 28 yards for a TOUCHDOWN.,28,30
08:37,1,Incomplete Pass,0,Drew Willy incomplete pass intended for Aaron Kelly.,28,30
08:14,0,Kickoff,77,Lirim Hajrullahu kicks off to the Mtl0.,28,30
08:12,1,Rush,4,Brandon Whitaker rush for 4 yards to the Mtl29. Tackled by Greg Peach.,28,30
07:20,2,Incomplete Pass,0,Troy Smith incomplete pass intended for Chad Johnson defensed by Matt Bucknor.,28,30
07:05,3,Punt,1,Sean Whyte punts for 44 yards to Wpg37. Demond Washington return for 1 yard to Wpg38. Tackled by Chris Wilson.,28,30
06:43,1,Incomplete Pass,0,Drew Willy incomplete pass intended for Clarence Denmark.,28,30
06:28,2,Pass,4,Drew Willy pass to Nick Moore for 4 yards to the Wpg42. Tackled by Jamahl Knowles.,28,30
05:59,3,Punt,6,Mike Renaud punts for 48 yards to Mtl20. Larry Taylor return for 6 yards to Mtl26. Tackled by Chris Randle.,28,30
05:42,1,Rush,3,Brandon Whitaker rush for 3 yards to the Mtl29. Tackled by Ian Wild.,28,30
05:10,2,Pass,21,Troy Smith pass to Brandon Whitaker for 21 yards to the Mtl50. Tackled by Demond Washington.,28,30
04:21,1,Rush,5,Kenny Stafford rush for 5 yards to the Mtl55. Tackled by Teague Sherman.,28,30
03:50,2,Incomplete Pass,0,Troy Smith incomplete pass intended for S.J. Green.,28,30
03:21,3,Fumble,5,"Sean Whyte punts for 45 yards to Wpg10. Demond Washington return for 5 yards to Wpg15. FUMBLE, recovered by Mtl (Daryl Townsend). Tackled by Demond Washington.",28,30
02:59,1,Rush,0,Brandon Whitaker rush for no gain to the Wpg15. Tackled by Teague Sherman.,28,30
02:39,2,Incomplete Pass,0,Troy Smith incomplete pass intended for S.J. Green.,28,30
02:18,3,Missed Field Goal,22,Sean Whyte 22 yard field goal attempt is GOOD.,28,33
02:18,1,Incomplete Pass,0,Drew Willy incomplete pass intended for Nic Grigsby.,28,33
02:14,2,Rush,15,Drew Willy rush for 15 yards to the Wpg50. Tackled by Jamahl Knowles.,28,33
02:07,1,Pass,3,Drew Willy pass to Julian Feoli-Gudino for 3 yards to the Wpg53. Tackled by Chip Cox.,28,33
01:53,0,Illegal Contact,10,Penalty: Illegal Contact on Montreal (Geoff Tisdale) 10 yards.,28,33
01:40,1,Pass,-1,Drew Willy pass to Nic Grigsby for a loss of 1 yard to the Mtl48. Tackled by Marc-Olivier Brouillette.,28,33
01:34,2,Pass,14,Drew Willy pass to Rory Kohlert for 14 yards to the Mtl34. Tackled by Chip Cox.,28,33
01:18,1,Illegal Procedure,-5,Penalty: Illegal Procedure on Winnipeg ( ) -5 yards.,28,33
01:07,1,Pass,10,Drew Willy pass to Nic Grigsby for 10 yards to the Mtl29. Tackled by Kyries Hebert.,28,33
01:02,2,Incomplete Pass,0,Drew Willy incomplete pass intended for Aaron Kelly.,28,33
00:49,3,Pass,11,Drew Willy pass to Nick Moore for 11 yards to the Mtl18. Tackled by Jerald Brown.,28,33
00:44,1,Incomplete Pass,0,Drew Willy incomplete pass intended for Clarence Denmark defensed by Geoff Tisdale.,28,33
00:39,2,Incomplete Pass,0,Drew Willy incomplete pass intended for Julian Feoli-Gudino.,28,33
00:29,3,Pass,18,Drew Willy pass to Julian Feoli-Gudino for 18 yards for a TOUCHDOWN.,34,33
00:29,1,Incomplete Pass,0,Drew Willy incomplete pass intended for Aaron Kelly defensed by Billy Parker.,34,33
00:28,0,Kickoff,16,Lirim Hajrullahu kicks off to the Mtl6. Steven Lumbala return for 16 yards to Mtl22. Tackled by Don Unamba.,34,33
00:22,1,Incomplete Pass,0,Troy Smith incomplete pass intended for Brandon Whitaker.,34,33
00:18,2,Incomplete Pass,0,Troy Smith incomplete pass intended for Chad Johnson.,34,33
00:13,3,Pass,27,Troy Smith pass to Eric Deslauriers for 27 yards to the Mtl49. Tackled by Johnny Sears Jr..,34,33
00:06,1,Pass,7,Troy Smith pass to Brandon Whitaker for 7 yards to the Wpg54. Tackled by Matt Bucknor.,34,33
00:01,2,Incomplete Pass,0,Troy Smith incomplete pass intended for Dave Stala.,34,33
