Time,Down,Type,Yards,Details,Toronto,Montreal
15:00,0,Kickoff,7,Sean Whyte kicks off to the Tor24. Branden Smith return for 7 yards to Tor31. Tackled by Andrew Lue.,0,0
14:51,1,Pass,5,Ricky Ray pass to John Chiles for 5 yards to the Tor36. Tackled by Billy Parker.,0,0
14:15,2,Rush,10,Steve Slaton rush for 10 yards to the Tor46. Tackled by Bear Woods.,0,0
13:42,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for John Chiles defensed by Billy Parker.,0,0
13:10,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Spencer Watt.,0,0
12:54,3,Punt,6,Swayze Waters punts for 49 yards to Mtl15. James Rodgers return for 6 yards to Mtl21. Tackled by  .,0,0
12:39,1,Rush,12,Tyrell Sutton rush for 12 yards to the Mtl33. Tackled by Logan Harrell.,0,0
12:05,1,Rush,5,Tyrell Sutton rush for 5 yards to the Mtl38. Tackled by Jamie Robinson.,0,0
11:33,2,Pass,22,Jonathan Crompton pass to Eric Deslauriers for 22 yards to the Tor50. Tackled by Jermaine Gabriel.,0,0
10:53,1,Pass,12,Jonathan Crompton pass to Duron Carter for 12 yards to the Tor38. Tackled by Vincent Agnew.,0,0
10:36,1,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for Chris Rainey.,0,0
10:18,2,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for S.J. Green.,0,0
10:00,3,Missed Field Goal,25,45 yard field goal attempt by Sean Whyte is NO GOOD.  Missed field goal returned by Chad Owens to the Tor18. Tackled by Nicolas Boulay.,0,0
09:31,1,Pass,9,Ricky Ray pass to Alexandre Dupuis for 9 yards to the Tor27. Tackled by Jerald Brown.,0,0
09:03,2,Rush,2,Steve Slaton rush for 2 yards to the Tor29. Tackled by Brian Brikowski.,0,0
08:21,1,Rush,1,Steve Slaton rush for 1 yard to the Tor30. Tackled by Geoff Tisdale.,0,0
07:42,2,Sack,-8,Sack at Tor22 for a loss of 8 yards by Kyries Hebert.,0,0
07:04,3,Punt,8,Swayze Waters punts for 60 yards to Mtl28. James Rodgers return for 8 yards to Mtl36. Tackled by  .,0,0
06:48,1,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for James Rodgers.,0,0
06:39,2,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for S.J. Green.,0,0
06:19,3,Punt,17,Sean Whyte punts for 37 yards to Tor37. Chad Owens return for 17 yards to Tor54. Tackled by Andrew Lue.,0,0
05:55,1,Rush,2,Steve Slaton rush for 2 yards to the Mtl54. Tackled by Scott Paxson.,0,0
05:23,2,Pass,39,Ricky Ray pass to John Chiles for 39 yards to the Mtl15. Tackled by Jerald Brown.,0,0
04:38,1,Pass,-3,Ricky Ray pass to Steve Slaton for a loss of 3 yards to the Mtl18. Tackled by Mitchell White.,0,0
