Time,Down,Type,Yards,Details,Montreal,Hamilton
15:00,0,Kickoff,21,Justin Medlock kicks off to the Mtl14. Dominique Ellis return for 21 yards to Mtl35. Tackled by Ed Gainey.,0,0
14:53,1,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for S.J. Green.,0,0
14:31,2,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for Brandon London.,0,0
14:11,3,Holding,3,Sean Whyte punts for 54 yards to Ham21. Brandon Banks return for 13 yards to Ham34. Penalty: Holding on Hamilton (Mike Daly) -10 yards.,0,0
13:54,1,Rush,8,Nic Grigsby rush for 8 yards to the Ham32. Tackled by Marc-Olivier Brouillette.,0,0
13:16,2,Rush,4,Nic Grigsby rush for 4 yards to the Ham36. Tackled by Bear Woods.,0,0
12:42,1,Rush,2,Nic Grigsby rush for 2 yards to the Ham38. Tackled by Alan-Michael Cash.,0,0
12:07,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Terrell Sinkfield defensed by Geoff Tisdale.,0,0
11:41,0,Fumble,5,", recovered by Ham (Mardy Gilyard). Justin Medlock punts for 33 yards to Mtl39. Mardy Gilyard return for 5 yards to Mtl44. FUMBLE",0,0
11:15,1,Pass,9,Jonathan Crompton pass to Brandon Rutley for 9 yards to the Mtl53. Tackled by Linden Gaydosh.,0,0
10:40,2,Rush,2,Tanner Marsh rush for 2 yards to the Mtl55. Tackled by Frederic Plesius.,0,0
10:09,1,Rush,5,Brandon Rutley rush for 5 yards to the Ham50. Tackled by Simoni Lawrence.,0,0
09:31,2,Pass,10,Jonathan Crompton pass to Mardy Gilyard for 10 yards to the Ham40. Tackled by Rico Murray.,0,0
08:51,1,Rush,3,Brandon Rutley rush for 3 yards to the Ham37. Tackled by Bryan Hall.,0,0
08:16,2,Pass,15,Jonathan Crompton pass to Mardy Gilyard for 15 yards to the Ham22. Tackled by Rico Murray.,0,0
07:19,1,Pass,22,Jonathan Crompton pass to S.J. Green for 22 yards for a TOUCHDOWN.,6,0
07:07,0,Made Extra Point,0,Sean Whyte extra point is good.,7,0
07:07,0,Kickoff,33,Sean Whyte kicks off to the Ham7. Terrell Sinkfield return for 33 yards to Ham40. Tackled by Kyries Hebert.,7,0
06:59,1,Unnecessary Roughness,-9,Nic Grigsby rush for 6 yards to the Ham46. Tackled by Bear Woods. Penalty: Unnecessary Roughness on Hamilton (Tim O'Neill) -15 yards.,7,0
06:36,0,Illegal Block,10,Penalty: Illegal Block on Montreal (Geoff Tisdale) 10 yards.,7,0
06:12,2,Sack,-3,Sack at Ham38 for a loss of 3 yards by Gabriel Knapton.,7,0
05:44,3,Punt,-2,Justin Medlock punts for 35 yards to Mtl37. Duron Carter return for a loss of 2 yards to Mtl35. Tackled by Erik Harris.,7,0
05:29,1,Rush,3,Brandon Rutley rush for 3 yards to the Mtl38. Tackled by Linden Gaydosh.,7,0
04:58,2,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for Brandon London.,7,0
04:41,3,Holding,16,Sean Whyte punts for 41 yards to Ham31. Brandon Banks return for 26 yards to Mtl53. Penalty: Holding on Hamilton (Neil King) -10 yards.,7,0
04:10,1,Pass,11,Zach Collaros pass to Luke Tasker for 11 yards to the Mtl52. Tackled by Marc-Olivier Brouillette.,7,0
03:37,1,Pass,25,Zach Collaros pass to Luke Tasker for 25 yards to the Mtl27. Tackled by Winston Venable.,7,0
02:45,1,Rush,2,Nic Grigsby rush for 2 yards to the Mtl25. Tackled by Jerald Brown.,7,0
02:31,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Terrell Sinkfield defensed by Geoff Tisdale.,7,0
01:51,3,Missed Field Goal,32,Justin Medlock 32 yard field goal attempt is GOOD.,7,3
01:51,0,Kickoff,12,Justin Medlock kicks off to the Mtl19. Mardy Gilyard return for 12 yards to Mtl31. Tackled by Brandon Stewart.,7,3
