Time,Down,Type,Yards,Details,Montreal,Edmonton
15:00,0,Kickoff,23,Hugh O'Neill kicks off to the Mtl15. Tyrell Sutton return for 23 yards to Mtl38. Tackled by Patrick Watkins.,0,0
14:51,1,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for S.J. Green.,0,0
14:30,2,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for S.J. Green defensed by Odell Willis.,0,0
14:09,3,Punt,9,Sean Whyte punts for 55 yards to Edm17. Kendial Lawrence return for 9 yards to Edm26. Tackled by Jonathan Beaulieu-Richard.,0,0
13:45,1,Pass,3,Mike Reilly pass to Fred Stamps for 3 yards to the Edm29. Tackled by Billy Parker.,0,0
13:18,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for A.J. Guyton defensed by Billy Parker.,0,0
13:01,3,Punt,2,Hugh O'Neill punts for 42 yards to Mtl39. James Rodgers return for 2 yards to Mtl41. Tackled by Mike Miller.,0,0
12:36,1,Illegal Procedure,-5,Penalty: Illegal Procedure on Montreal (Kristian Matte) -5 yards.,0,0
12:25,1,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for Tyrell Sutton.,0,0
12:12,2,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for Chad Johnson.,0,0
11:49,3,Punt,5,Sean Whyte punts for 51 yards to Edm23. Kendial Lawrence return for 5 yards to Edm28. Tackled by Mike Edem.,0,0
11:23,1,Pass,11,Mike Reilly pass to Adarius Bowman for 11 yards to the Edm39. Tackled by Mitchell White.,0,0
11:09,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Adarius Bowman defensed by Billy Parker.,0,0
10:34,2,Pass,10,Mike Reilly pass to Adarius Bowman for 10 yards to the Edm49. Tackled by Jerald Brown.,0,0
10:03,3,Rush,1,Pat White rush for 1 yard to the Edm50. Tackled by Aaron Lavarias.,0,0
09:30,1,Rush,3,Pat White rush for 3 yards to the Edm53. Tackled by Winston Venable.,0,0
09:12,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Adarius Bowman.,0,0
08:52,3,Illegal Block,0,Hugh O'Neill punts for 50 yards to Mtl7. James Rodgers return for 7 yards to Mtl14. Penalty: Illegal Block on Montreal (Martin Bedard) -7 yards.,0,0
08:25,1,Rush,5,Brandon Whitaker rush for 5 yards to the Mtl12. Tackled by Otha Foster.,0,0
07:49,2,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for Brandon London defensed by Dexter McCoil.,0,0
07:15,3,Safety,-12,Safety,0,2
07:15,0,Kickoff,29,Sean Whyte kicks off to the Edm20. Tyler Thomas return for 29 yards to Edm49. Tackled by Andrew Lue.,0,2
07:08,1,Rush,-6,A.J. Guyton rush for a loss of 6 yards to the Edm43. Tackled by Chip Cox.,0,2
06:30,2,Rush,4,Mike Reilly rush for 4 yards to the Edm47. Tackled by Aaron Lavarias.,0,2
06:01,3,Illegal Procedure,-5,Penalty: Illegal Procedure on Edmonton (Otha Foster) -5 yards.,0,2
05:46,3,Punt,10,Hugh O'Neill punts for 41 yards to Mtl27. James Rodgers return for 10 yards to Mtl37. Tackled by Ryan King.,0,2
05:26,1,Rush,0,Brandon Whitaker rush for no gain to the Mtl37. Tackled by Cameron Sheffield.,0,2
04:49,2,Rush,4,Jonathan Crompton rush for 4 yards to the Mtl41. Tackled by Eddie Steele.,0,2
04:05,3,Punt,0,Sean Whyte punts for 26 yards to Edm43. No return.,0,2
03:43,1,Rush,9,Kendial Lawrence rush for 9 yards to the Edm52. Tackled by Kyries Hebert.,0,2
03:00,2,Rush,2,Kendial Lawrence rush for 2 yards to the Edm54. Tackled by John Bowman.,0,2
02:21,1,Rush,0,A.J. Guyton rush for no gain to the Edm54. Tackled by Bear Woods.,0,2
01:36,0,Roughing Passer,15,Penalty: Roughing Passer on Montreal (John Bowman) 15 yards.,0,2
01:30,1,Rush,2,Kendial Lawrence rush for 2 yards to the Mtl39. Tackled by Aaron Lavarias.,0,2
00:44,2,Rush,7,Mike Reilly rush for 7 yards to the Mtl32. Tackled by Winston Venable.,0,2
00:00,3,Missed Field Goal,40,Hugh O'Neill 40 yard field goal attempt is GOOD.,0,5
15:00,0,Face Mask,36,Hugh O'Neill kicks off to the Mtl7. Tyrell Sutton return for 21 yards to Mtl28. Tackled by Nathan Kanya. Penalty: Face Mask on Edmonton (Tyler Thomas) 15 yards.,0,5
14:53,1,Pass,12,Jonathan Crompton pass to Duron Carter for 12 yards to the Mtl55. Tackled by Marcell Young.,0,5
14:13,1,Rush,6,Brandon Whitaker rush for 6 yards to the Edm49. Tackled by Aaron Grymes.,0,5
13:33,2,Rush,9,Brandon Whitaker rush for 9 yards to the Edm40. Tackled by Patrick Watkins.,0,5
13:10,0,Holding,-10,Penalty: Holding on Montreal (Josh Bourke) -10 yards.,0,5
12:50,1,Rush,3,Jonathan Crompton rush for 3 yards to the Edm47. Tackled by Odell Willis.,0,5
12:14,2,Pass,15,Jonathan Crompton pass to S.J. Green for 15 yards to the Edm32. Tackled by Odell Willis.,0,5
11:06,3,Missed Field Goal,40,Sean Whyte 40 yard field goal attempt is GOOD.,3,5
11:05,0,Kickoff,16,Sean Whyte kicks off to the Edm15. Tyler Thomas return for 16 yards to Edm31. Tackled by Jonathan Beaulieu-Richard.,3,5
10:59,1,Rush,17,Tyler Thomas rush for 17 yards to the Edm48. Tackled by Bear Woods.,3,5
10:17,1,Pass,8,Mike Reilly pass to Adarius Bowman for 8 yards to the Mtl54. Tackled by Jerald Brown.,3,5
10:05,2,Rush,2,Kendial Lawrence rush for 2 yards to the Mtl52. Tackled by John Bowman.,3,5
09:41,3,Offside,5,Penalty: Offside on Montreal (Scott Paxson) 5 yards.,3,5
09:21,1,Offside,5,Penalty: Offside on Montreal (John Bowman) 5 yards.,3,5
09:05,1,Rush,6,Kendial Lawrence rush for 6 yards to the Mtl36. Tackled by Jerald Brown.,3,5
08:22,1,Pass,5,Mike Reilly pass to Calvin McCarty for 5 yards to the Mtl31. Tackled by Bear Woods.,3,5
07:43,2,Pass,7,Mike Reilly pass to Adarius Bowman for 7 yards to the Mtl24. Tackled by Jerald Brown.,3,5
07:08,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Adarius Bowman defensed by Geoff Tisdale.,3,5
06:41,2,Illegal Procedure,-5,Penalty: Illegal Procedure on Edmonton (Selvish Capers) -5 yards.,3,5
06:21,2,Pass,0,Mike Reilly pass to Kendial Lawrence for no gain to the Mtl29. Tackled by Winston Venable.,3,5
05:27,3,Field Goal Single,49,49 yard field goal attempt by Hugh O'Neill is NO GOOD (Single).,3,6
05:27,1,Rush,7,Brandon Whitaker rush for 7 yards to the Mtl42. Tackled by  .,3,6
05:08,2,Rush,1,Brandon Whitaker rush for 1 yard to the Mtl43. Tackled by Aaron Grymes.,3,6
04:32,3,Punt,51,Sean Whyte punts for 52 yards to Edm15. Kendial Lawrence return for 51 yards to Mtl44. Tackled by Andrew Lue.,3,6
04:00,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Adarius Bowman.,3,6
03:51,2,Pass,9,Mike Reilly pass to A.J. Guyton for 9 yards to the Mtl35. Tackled by Chip Cox.,3,6
03:15,0,Offside,-10,Penalty: Unnecessary Roughness on Edmonton (Selvish Capers) -15 yards. Penalty: Offside on Montreal 5 yards.,3,6
03:00,1,Fumble,12,"Tyler Thomas rush for 12 yards to the Mtl33. FUMBLE, recovered by Mtl (Winston Venable). Tackled by D'Anthony Batiste.",3,6
02:49,1,Pass,20,Jonathan Crompton pass to Dave Stala for 20 yards to the Mtl53. Tackled by Marcell Young.,3,6
02:39,1,Rush,3,Brandon Whitaker rush for 3 yards to the Edm54. Tackled by Gregory Alexandre.,3,6
02:30,2,Pass,8,Jonathan Crompton pass to S.J. Green for 8 yards to the Edm46. Tackled by Marcell Young.,3,6
02:09,1,Pass,-12,Jonathan Crompton pass to Duron Carter for a loss of 12 yards to the Mtl52. Tackled by  .,3,6
01:44,2,Pass,12,Jonathan Crompton pass to S.J. Green for 12 yards to the Edm46. Tackled by J.C. Sherritt.,3,6
01:25,3,Face Mask,41,Sean Whyte punts for 37 yards to Edm9. Penalty: Face Mask on Edmonton (Patrick Watkins) 4 yards.,3,6
01:05,1,Fumble,6,"Mike Reilly pass to Adarius Bowman for 6 yards to the Edm11. FUMBLE, recovered by Edm (Adarius Bowman).",3,6
01:00,2,Rush,0,Kendial Lawrence rush for no gain to the Edm11. Tackled by Gabriel Knapton.,3,6
00:50,3,Illegal Procedure,-5,Penalty: Illegal Procedure on Edmonton (Mike Miller) -5 yards.,3,6
00:50,3,Punt,10,Hugh O'Neill punts for 38 yards to Edm44. James Rodgers return for 10 yards to Edm34. Tackled by Deon Lacey.,3,6
00:41,1,Pass,-5,Jonathan Crompton pass to Brandon Whitaker for a loss of 5 yards to the Edm39. Tackled by J.C. Sherritt.,3,6
00:29,2,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for S.J. Green.,3,6
00:15,3,Missed Field Goal,46,Sean Whyte 46 yard field goal attempt is GOOD.,6,6
15:00,0,Kickoff,22,Sean Whyte kicks off to the Edm17. Tyler Thomas return for 22 yards to Edm39. Tackled by Jean-Christophe Beaulieu.,6,6
14:56,1,Pass,6,Mike Reilly pass to A.J. Guyton for 6 yards to the Edm45. Tackled by Bear Woods.,6,6
14:24,2,Pass,54,Mike Reilly pass to Fred Stamps for 54 yards to the Mtl11. Tackled by Geoff Tisdale.,6,6
13:46,1,Pass,7,Mike Reilly pass to Nate Coehoorn for 7 yards to the Mtl4. Tackled by Kyries Hebert.,6,6
12:53,2,Illegal Procedure,-5,Penalty: Illegal Procedure on Edmonton (D'Anthony Batiste) -5 yards.,6,6
12:39,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Fred Stamps defensed by Geoff Tisdale.,6,6
12:02,3,Missed Field Goal,16,Hugh O'Neill 16 yard field goal attempt is GOOD.,6,9
12:02,1,Rush,7,Brandon Whitaker rush for 7 yards to the Mtl42. Tackled by Otha Foster.,6,9
11:35,2,Rush,2,Brandon Whitaker rush for 2 yards to the Mtl44. Tackled by Rennie Curran.,6,9
11:11,3,Punt,3,Sean Whyte punts for 47 yards to Edm19. Kendial Lawrence return for 3 yards to Edm22. Tackled by Martin Bedard.,6,9
10:47,1,Rush,6,Kendial Lawrence rush for 6 yards to the Edm28. Tackled by Bear Woods.,6,9
10:13,2,Rush,7,Kendial Lawrence rush for 7 yards to the Edm35. Tackled by Winston Venable.,6,9
09:45,1,Time Count,-5,Penalty: Time Count on Edmonton (Mike Reilly) -5 yards.,6,9
09:30,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Kendial Lawrence.,6,9
09:27,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Fred Stamps.,6,9
08:58,3,Illegal Block,1,Hugh O'Neill punts for 36 yards to Mtl44. James Rodgers return for 11 yards to Mtl55. Penalty: Illegal Block on Montreal (Jamahl Knowles) -10 yards.,6,9
