Time,Down,Type,Yards,Details,Hamilton,Winnipeg
15:00,0,Kickoff,17,Lirim Hajrullahu kicks off to the Ham16. Brandon Banks return for 17 yards to Ham33. Tackled by Chris Randle.,0,0
14:56,1,Pass,7,Zach Collaros pass to Brandon Banks for 7 yards to the Ham40. Tackled by Matt Bucknor.,0,0
14:04,2,Pass,23,Zach Collaros pass to Samuel Giguere for 23 yards to the Wpg47. Tackled by Chris Randle.,0,0
13:34,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Greg Ellingson.,0,0
13:14,0,Illegal Contact,10,Penalty: Illegal Contact on Winnipeg (Johnny Sears Jr.) 10 yards.,0,0
12:30,1,Rush,1,Mossis Madu rush for 1 yard to the Wpg36. Tackled by Matt Bucknor.,0,0
11:48,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Luke Tasker.,0,0
11:29,3,Missed Field Goal,43,Justin Medlock 43 yard field goal attempt is GOOD.,3,0
11:29,0,Holding,10,Justin Medlock kicks off to the Wpg5. Demond Washington return for 20 yards to Wpg25. Penalty: Holding on Winnipeg (Dan West) -10 yards.,3,0
11:00,1,Rush,4,Nic Grigsby rush for 4 yards to the Wpg19. Tackled by Bryan Hall.,3,0
10:41,2,Incomplete Pass,0,Drew Willy incomplete pass intended for Clarence Denmark.,3,0
10:26,3,Punt,5,Lirim Hajrullahu punts for 39 yards to Ham52. Brandon Banks return for 5 yards to Wpg53. Tackled by Carl Fitzgerald.,3,0
09:56,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Brandon Banks.,3,0
09:45,2,Sack,-2,Sack at Ham55 for a loss of 2 yards by Greg Peach.,3,0
09:08,3,Punt,4,Justin Medlock punts for 42 yards to Wpg13. Troy Stoudermire return for 4 yards to Wpg17. Tackled by Aaron Crawford.,3,0
09:00,1,Pass,5,Drew Willy pass to Nic Grigsby for 5 yards to the Wpg22. Tackled by Brandon Stewart.,3,0
08:31,2,Pass,18,Drew Willy pass to Aaron Kelly for 18 yards to the Wpg40. Tackled by Brandon Stewart.,3,0
07:52,1,Pass,8,Drew Willy pass to Aaron Kelly for 8 yards to the Wpg48. Tackled by Delvin Breaux.,3,0
07:12,2,Sack,-6,Sack at Wpg42 for a loss of 6 yards by Eric Norwood.,3,0
06:42,3,Punt,3,Lirim Hajrullahu punts for 47 yards to Ham21. Brandon Banks return for 3 yards to Ham24. Tackled by Jesse Briggs.,3,0
06:20,1,Rush,1,Mossis Madu rush for 1 yard to the Ham25. Tackled by Bryant Turner Jr..,3,0
05:53,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Mossis Madu.,3,0
05:31,3,Punt,5,Justin Medlock punts for 53 yards to Wpg32. Troy Stoudermire return for 5 yards to Wpg37. Tackled by Taylor Reed.,3,0
05:19,1,Rush,3,Nic Grigsby rush for 3 yards to the Wpg40. Tackled by Eric Norwood.,3,0
04:36,2,Pass,9,Drew Willy pass to Aaron Kelly for 9 yards to the Wpg49. Tackled by Rico Murray.,3,0
04:02,1,Rush,-2,Nic Grigsby rush for a loss of 2 yards to the Wpg47. Tackled by Linden Gaydosh.,3,0
03:28,2,Incomplete Pass,0,Drew Willy incomplete pass intended for Rory Kohlert.,3,0
03:05,3,No Yards,20,Lirim Hajrullahu punts for 35 yards to Ham28. Penalty: No Yards on Winnipeg (Chris Randle) -15 yards.,3,0
02:40,1,Pass,4,Zach Collaros pass to Brandon Banks for 4 yards to the Ham47. Tackled by Greg Peach.,3,0
02:20,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Bakari Grant.,3,0
02:00,3,Face Mask,23,Justin Medlock punts for 52 yards to Wpg11. Troy Stoudermire return for 8 yards to Wpg19. Tackled by Ed Gainey. Penalty: Face Mask on Hamilton (Bo Palmer) 15 yards.,3,0
01:42,1,Sack,-7,Sack at Wpg27 for a loss of 7 yards by  .,3,0
01:02,2,Pass,31,Drew Willy pass to Clarence Denmark for 31 yards to the Ham52. Tackled by Frederic Plesius.,3,0
00:35,1,Pass,4,Drew Willy pass to Romby Bryant for 4 yards to the Ham48. Tackled by Delvin Breaux.,3,0
00:01,2,Pass,6,Drew Willy pass to Nic Grigsby for 6 yards to the Ham42. Tackled by Rico Murray.,3,0
15:00,3,Illegal Procedure,-5,Penalty: Illegal Procedure on Winnipeg -5 yards.,3,0
14:42,3,Punt,3,Lirim Hajrullahu punts for 41 yards to Ham6. Brandon Banks return for 3 yards to Ham9. Tackled by Chris Randle.,3,0
13:56,1,Safety,-9,Sack at Ham0 for a loss of 9 yards by Bryant Turner Jr.. Safety.,3,2
13:56,0,Kickoff,21,Justin Medlock kicks off to the Wpg20. Demond Washington return for 21 yards to Wpg41. Tackled by Mike Daly.,3,2
13:49,1,Incomplete Pass,0,Drew Willy incomplete pass intended for Romby Bryant.,3,2
13:30,2,Pass,18,Drew Willy pass to Nic Grigsby for 18 yards to the Ham51. Tackled by Erik Harris.,3,2
12:52,0,Holding,-10,Penalty: Holding on Winnipeg (Jarvis Jones) -10 yards.,3,2
12:31,1,Pass,9,Drew Willy pass to Clarence Denmark for 9 yards to the Ham52. Tackled by Erik Harris.,3,2
11:53,2,Sack,-7,Sack at Wpg51 for a loss of 7 yards by Justin Hickman.,3,2
11:23,0,Blocked Punt,-20,FUMBLE Punt blocked by Ed Gainey.  Recovered by Ham (Samuel Giguere). Tackled by Desia Dunn,3,2
10:58,1,Rush,9,Mossis Madu rush for 9 yards to the Wpg22. Tackled by Demond Washington.,3,2
10:07,2,Rush,22,Mossis Madu rush for 22 yards for a TOUCHDOWN.,9,2
10:07,0,Illegal Procedure,-5,Penalty: Illegal Procedure on Hamilton -5 yards.,9,2
09:33,0,Made Extra Point,0,Justin Medlock extra point is good.,10,2
09:33,0,Kickoff,14,Justin Medlock kicks off to the Wpg18. Demond Washington return for 14 yards to Wpg32. Tackled by Marcellus Bowman.,10,2
09:19,1,Pass,18,Drew Willy pass to Aaron Kelly for 18 yards to the Wpg50. Tackled by Simoni Lawrence.,10,2
08:48,1,Rush,8,Romby Bryant rush for 8 yards to the Ham52. Tackled by Simoni Lawrence.,10,2
08:09,2,Rush,5,Nic Grigsby rush for 5 yards to the Ham47. Tackled by  .,10,2
07:27,1,Rush,9,Nic Grigsby rush for 9 yards to the Ham38. Tackled by Eric Norwood.,10,2
06:50,2,Offside,5,Penalty: Offside on Hamilton (Justin Hickman) 5 yards.,10,2
06:31,0,Roughing Passer,15,Penalty: Roughing Passer on Hamilton (Bryan Hall) 15 yards.,10,2
06:09,1,Rush,2,Nic Grigsby rush for 2 yards to the Ham16. Tackled by Justin Hickman.,10,2
05:30,2,Rush,3,Drew Willy rush for 3 yards to the Ham13. Tackled by Bryan Hall.,10,2
04:35,3,Missed Field Goal,20,Lirim Hajrullahu 20 yard field goal attempt is GOOD.,10,5
04:35,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Luke Tasker.,10,5
04:22,0,Unnecessary Roughness,15,Penalty: Unnecessary Roughness on Winnipeg (Ejiro Kuale) 15 yards.,10,5
03:50,1,Pass,-3,Zach Collaros pass to Mossis Madu for a loss of 3 yards to the Ham47. Tackled by Desia Dunn.,10,5
03:13,2,Pass,8,Zach Collaros pass to Samuel Giguere for 8 yards to the Ham55. Tackled by Chris Randle.,10,5
02:54,3,Punt,0,Justin Medlock punts for 27 yards to Wpg28. No return.,10,5
02:34,1,Pass,6,Drew Willy pass to Clarence Denmark for 6 yards to the Wpg34. Tackled by Brandon Stewart.,10,5
02:29,2,Incomplete Pass,0,Drew Willy incomplete pass intended for Aaron Kelly.,10,5
02:07,3,Punt,14,Lirim Hajrullahu punts for 52 yards to Ham24. Brandon Banks return for 14 yards to Ham38. Tackled by Carl Fitzgerald.,10,5
01:54,1,Pass,10,Zach Collaros pass to Luke Tasker for 10 yards to the Ham48. Tackled by Maurice Leggett.,10,5
01:49,2,Rush,2,Zach Collaros rush for 2 yards to the Ham50. Tackled by Ejiro Kuale.,10,5
01:33,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Greg Ellingson.,10,5
01:11,2,Pass,11,Zach Collaros pass to Brandon Banks for 11 yards to the Wpg49. Tackled by Greg Peach.,10,5
01:04,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Samuel Giguere.,10,5
00:55,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Mossis Madu defensed by Ejiro Kuale.,10,5
00:51,3,Illegal Punt,18,Justin Medlock punts for 28 yards to Wpg21. Penalty: Illegal Punt on Hamilton (Justin Medlock) -10 yards.,10,5
00:46,1,Sack,-7,Sack at Wpg24 for a loss of 7 yards by  .,10,5
00:40,2,Incomplete Pass,0,Drew Willy incomplete pass intended for Rory Kohlert.,10,5
00:16,3,Punt,20,Lirim Hajrullahu punts for 46 yards to Ham40. Brandon Banks return for 20 yards to Wpg50. Tackled by Desia Dunn.,10,5
00:01,1,Punt,30,Zach Collaros pass to Luke Tasker for 10 yards to the Wpg40. Luke Tasker punts for 32 yards to Wpg8. Maurice Leggett return for 30 yards to Wpg38.,10,5
15:00,0,Kickoff,0,Lirim Hajrullahu kicks off to the Wpg45. Pawel Kruba - no return. Tackled by Lirim Hajrullahu.,10,5
14:49,1,Pass,13,Zach Collaros pass to Luke Tasker for 13 yards to the Wpg32. Tackled by Maurice Leggett.,10,5
14:20,0,Holding,-10,Penalty: Holding on Hamilton (Brian Simmons) -10 yards.,10,5
13:59,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Luke Tasker.,10,5
