Time,Down,Type,Yards,Details,Winnipeg,Edmonton
08:10,1,Rush,4,Sam McGuffie rush for 4 yards to the Wpg53. Tackled by Dexter McCoil.,0,14
07:36,2,Incomplete Pass,0,Drew Willy incomplete pass intended for Clarence Denmark defensed by Aaron Grymes.,0,14
07:13,3,Fumble,7,"Lirim Hajrullahu punts for 42 yards to Edm15. Kendial Lawrence return for 7 yards to Edm22. FUMBLE, recovered by Wpg (Carl Volny).",0,14
06:57,1,Pass,0,Drew Willy pass to Nick Moore for no gain to the Edm22. Tackled by Alonzo Lawrence.,0,14
05:48,2,Fumble,66,"Sack at Edm33 for a loss of 11 yards by Odell Willis. FUMBLE, recovered by Edm (Dexter McCoil) and returned for 77 yards for a TOUCHDOWN.",0,20
05:31,0,Made Extra Point,0,Hugh O'Neill extra point is good.,0,21
05:31,0,Kickoff,8,Hugh O'Neill kicks off to the Wpg0. Aaron Woods return for 8 yards to Wpg8. Tackled by Nate Coehoorn.,0,21
05:29,1,Rush,2,Paris Cotton rush for 2 yards to the Wpg10. Tackled by Odell Willis.,0,21
04:54,2,Incomplete Pass,0,Drew Willy incomplete pass intended for Rory Kohlert.,0,21
04:28,3,Punt,9,Lirim Hajrullahu punts for 51 yards to Edm49. Kendial Lawrence return for 9 yards to Wpg52. Tackled by Ian Wild.,0,21
04:14,1,Rush,2,John White rush for 2 yards to the Wpg50. Tackled by Ian Wild.,0,21
03:51,2,Unnecessary Roughness,24,Mike Reilly pass to Adarius Bowman for 9 yards to the Wpg41. Tackled by Demond Washington. Penalty: Unnecessary Roughness on Winnipeg (Demond Washington) 15 yards.,0,21
03:25,1,Rush,2,Pat White rush for 2 yards to the Wpg24. Tackled by Teague Sherman.,0,21
03:00,2,Offside,5,Penalty: Offside on Winnipeg (Bryant Turner Jr.) 5 yards.,0,21
02:45,0,Pass Interference,18,Penalty: Pass Interference on Winnipeg (Demond Washington) 18 yards.,0,21
02:37,1,Rush,1,Mike Reilly rush for 1 yard for a TOUCHDOWN.,0,27
02:37,0,Made Extra Point,0,Hugh O'Neill extra point is good.,0,28
02:37,0,Kickoff,0,Hugh O'Neill kicks off to the Wpg5. Aaron Woods - no return.,0,28
02:35,1,Illegal Procedure,-3,Penalty: Illegal Procedure on Winnipeg (Steve Morley) -3 yards.,0,28
02:35,1,Incomplete Pass,0,Drew Willy incomplete pass intended for Nick Moore.,0,28
02:27,2,Sack,-2,Sack at Wpg0 for no gain for a TOUCHDOWN by Dexter McCoil,0,30
02:27,0,Kickoff,10,Lirim Hajrullahu kicks off to the Edm22. Kendial Lawrence return for 10 yards to Edm32. Tackled by Brett Carter.,0,30
02:22,1,Pass,2,Mike Reilly pass to Adarius Bowman for 2 yards to the Edm34. Tackled by Chris Randle.,0,30
02:16,2,Pass,12,Mike Reilly pass to Devon Bailey for 12 yards to the Edm46. Tackled by Chris Randle.,0,30
01:52,1,Pass,7,Mike Reilly pass to Nate Coehoorn for 7 yards to the Edm53. Tackled by Teague Sherman.,0,30
01:47,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Adarius Bowman.,0,30
01:26,3,Punt,0,Hugh O'Neill punts for 47 yards to Wpg10. No return.,0,30
01:20,1,Pass,15,Brian Brohm pass to Romby Bryant for 15 yards to the Wpg25. Tackled by Marcell Young.,0,30
01:11,1,Pass,8,Brian Brohm pass to Nick Moore for 8 yards to the Wpg33. Tackled by Dexter McCoil.,0,30
01:05,2,Incomplete Pass,0,Brian Brohm incomplete pass intended for Rory Kohlert.,0,30
00:51,3,Punt,19,Lirim Hajrullahu punts for 54 yards to Edm23. Kendial Lawrence return for 19 yards to Edm42. Tackled by Jesse Briggs.,0,30
00:40,1,Pass,10,Mike Reilly pass to Nate Coehoorn for 10 yards to the Edm52. Tackled by Matt Bucknor.,0,30
00:34,2,Rush,3,Mike Reilly rush for 3 yards to the Edm55. Tackled by Ian Wild.,0,30
00:30,1,Pass,14,Mike Reilly pass to Adarius Bowman for 14 yards to the Wpg41. Tackled by Jason Vega.,0,30
