Time,Down,Type,Yards,Details,Ottawa,Winnipeg
06:07,0,Made Extra Point,0,Lirim Hajrullahu extra point is good.,21,14
06:07,0,Objectionable Conduct,31,Lirim Hajrullahu kicks off to the Ott8. Jamill Smith return for 21 yards to Ott29. Tackled by Louie Richardson. Penalty: Objectionable Conduct on Winnipeg (Louie Richardson) 10 yards.,21,14
06:01,1,Rush,3,Chevon Walker rush for 3 yards to the Ott42. Tackled by Ian Wild.,21,14
05:20,2,Pass,11,Henry Burris pass to Matt Carter for 11 yards to the Ott53. Tackled by Matt Bucknor.,21,14
05:00,1,Pass,1,Henry Burris pass to Dobson Collins for 1 yard to the Ott54. Tackled by Bruce Johnson.,21,14
04:18,2,Pass,8,Henry Burris pass to Dobson Collins for 8 yards to the Wpg48. Tackled by Ian Wild.,21,14
03:44,3,Illegal Procedure,-5,Penalty: Illegal Procedure on Ottawa (Jason Pottinger) -5 yards.,21,14
03:22,3,No Yards,15,Brett Maher punts for 20 yards to Wpg33. Penalty: No Yards on Ottawa (Antoine Pruneau) -5 yards.,21,14
03:03,1,Incomplete Pass,0,Drew Willy incomplete pass intended for Nick Moore defensed by Jerrell Gavins.,21,14
02:40,2,Pass,14,Drew Willy pass to Clarence Denmark for 14 yards to the Wpg52. Tackled by Jovon Johnson.,21,14
02:23,1,Pass,1,Drew Willy pass to Julian Feoli-Gudino for 1 yard to the Wpg53. Tackled by Eric Fraser.,21,14
02:06,2,Sack,-7,Sack at Wpg46 for a loss of 7 yards by Brandon Lang.,21,14
01:50,3,Punt,1,Mike Renaud punts for 36 yards to Ott28. Jamill Smith return for 1 yard to Ott29. Tackled by Desia Dunn.,21,14
01:24,1,Rush,4,Chevon Walker rush for 4 yards to the Ott33. Tackled by Zach Anderson.,21,14
01:14,2,Time Count,0,Penalty: Time Count on Ottawa (Henry Burris) 0 yards.,21,14
00:51,3,Punt,0,Brett Maher punts for 38 yards to Wpg39. Aaron Woods return for no gain to Wpg39. Tackled by John Delahunt.,21,14
00:41,1,Pass,14,Drew Willy pass to Nick Moore for 14 yards to the Wpg53. Tackled by Jerrell Gavins.,21,14
00:37,1,Pass,6,Drew Willy pass to Rory Kohlert for 6 yards to the Ott51. Tackled by Seth Williams.,21,14
00:28,2,Pass,11,Drew Willy pass to Julian Feoli-Gudino for 11 yards to the Ott40. Tackled by Brandyn Thompson.,21,14
00:13,1,Incomplete Pass,0,Drew Willy incomplete pass intended for Nic Grigsby.,21,14
00:00,2,Missed Field Goal,47,Lirim Hajrullahu 47 yard field goal attempt is GOOD.,21,17
15:00,0,Kickoff,20,Lirim Hajrullahu kicks off to the Ott15. Jamill Smith return for 20 yards to Ott35. Tackled by Don Unamba.,21,17
14:52,1,Rush,1,Chevon Walker rush for 1 yard to the Ott36. Tackled by Jason Vega.,21,17
14:15,2,Pass,4,Henry Burris pass to Kierrie Johnson for 4 yards to the Ott40. Tackled by Matt Bucknor.,21,17
13:43,3,Punt,34,Brett Maher punts for 54 yards to Wpg16. Aaron Woods return for 34 yards to Wpg50. Tackled by Travis Brown.,21,17
13:12,1,Incomplete Pass,0,Drew Willy incomplete pass intended for Clarence Denmark.,21,17
12:59,2,Pass,45,Drew Willy pass to Nic Grigsby for 45 yards to the Ott15. Tackled by Seth Williams.,21,17
12:11,1,Roughing Passer,10,Drew Willy pass to Aaron Kelly for 5 yards to the Ott10. Penalty: Roughing Passer on Ottawa (Jerrell Gavins) 5 yards.,21,17
11:50,1,Sack,-4,Sack at Ott9 for a loss of 4 yards by T.J. Hill.,21,17
11:13,2,Incomplete Pass,0,Drew Willy incomplete pass intended for Clarence Denmark.,21,17
10:37,3,Missed Field Goal,16,Lirim Hajrullahu 16 yard field goal attempt is GOOD.,21,20
10:37,1,Rush,10,Chevon Walker rush for 10 yards to the Ott45. Tackled by Ejiro Kuale.,21,20
10:00,1,Rush,1,Chevon Walker rush for 1 yard to the Ott46. Tackled by Greg Peach.,21,20
09:24,2,Sack,-13,Sack at Ott33 for a loss of 13 yards by Zach Anderson.,21,20
08:50,3,Holding,28,Brett Maher punts for 54 yards to Wpg23. Aaron Woods return for 13 yards to Wpg36. Tackled by Jason Pottinger. Penalty: Face Mask on Ottawa (Patrick Lavoie) 15 yards. Penalty: Objectionable Conduct on Ottawa (Andrew Marshall) 10 yards. Penalty: Holding on Winnipeg (Mike Cornell) -10 yards.,21,20
08:28,0,Holding,-10,Penalty: Holding on Winnipeg (Matthias Goossen) -10 yards.,21,20
08:10,1,Incomplete Pass,0,Drew Willy incomplete pass intended for Rory Kohlert.,21,20
