Time,Down,Type,Yards,Details,Montreal,Winnipeg
05:47,1,Rush,3,Paris Cotton rush for 3 yards to the Wpg39. Tackled by Michael Klassen.,3,1
05:07,2,Rush,1,Paris Cotton rush for 1 yard to the Wpg40. Tackled by Alan-Michael Cash.,3,1
04:41,3,Incomplete Pass,0,Lirim Hajrullahu incomplete pass intended for Teague Sherman.,3,1
04:29,1,Rush,28,Duron Carter rush for 28 yards to the Wpg12.,3,1
04:01,1,Sack,-16,Sack at Wpg28 for a loss of 8 yards by Jake Thomas,3,1
03:36,2,Rush,4,Jonathan Crompton rush for 4 yards to the Wpg16. Tackled by Ian Wild.,3,1
03:00,3,Missed Field Goal,16,16 yard field goal attempt by Sean Whyte is NO GOOD.,3,1
02:49,1,Pass,9,Drew Willy pass to Nick Moore for 9 yards to the Wpg34. Tackled by Kyries Hebert.,3,1
02:45,2,Rush,2,Drew Willy rush for 2 yards to the Wpg36. Tackled by Alan-Michael Cash.,3,1
02:38,1,Rush,3,Drew Willy rush for 3 yards to the Wpg39.,3,1
02:16,2,Incomplete Pass,0,Drew Willy incomplete pass intended for Clarence Denmark.,3,1
01:57,3,Punt,-4,Lirim Hajrullahu punts for 55 yards to Mtl16. Larry Taylor return for a loss of 4 yards to Mtl12. Tackled by Ian Wild.,3,1
01:47,1,Interception,0,Jonathan Crompton pass intended for S.J. Green INTERCEPTED. No return. Tackled by S.J. Green.,3,1
01:42,1,Fumble,11,"Drew Willy pass to Nick Moore for 11 yards to the Mtl20. FUMBLE, recovered by Mtl (Jerald Brown). Tackled by Nick Moore.",3,1
01:35,1,Pass,7,Jonathan Crompton pass to Brandon Whitaker for 7 yards to the Mtl27. Tackled by Demond Washington.,3,1
01:29,2,Pass,3,Jonathan Crompton pass to Eric Deslauriers for 3 yards to the Mtl30. Tackled by Bruce Johnson.,3,1
01:06,1,Offside,-5,Penalty: Offside on Montreal (S.J. Green) -5 yards.,3,1
00:47,1,Pass,40,Jonathan Crompton pass to Brandon London for 40 yards to the Wpg45. Tackled by Matt Bucknor.,3,1
00:40,1,Pass,14,Jonathan Crompton pass to Brandon London for 14 yards to the Wpg31. Tackled by Ian Wild.,3,1
00:34,0,Pass Interference,19,Penalty: Pass Interference on Winnipeg (Demond Washington) 19 yards.,3,1
00:14,1,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for S.J. Green.,3,1
00:09,2,Rush,6,Jonathan Crompton rush for 6 yards to the Wpg6. Tackled by Demond Washington.,3,1
00:00,3,Missed Field Goal,14,Sean Whyte 14 yard field goal attempt is GOOD.,6,1
15:00,0,Kickoff,13,Lirim Hajrullahu kicks off to the Mtl9. Larry Taylor return for 13 yards to Mtl22. Tackled by Maurice Leggett.,6,1
14:53,1,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for Duron Carter.,6,1
14:34,2,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for Tyrell Sutton.,6,1
13:59,3,Fumble,-20,Punt blocked by Derek Jones FUMBLE Recovered by Wpg (Don Unamba) and returned for 1 yard for a TOUCHDOWN,6,7
13:42,0,Made Extra Point,0,Lirim Hajrullahu extra point is good.,6,8
13:42,0,Kickoff,20,Lirim Hajrullahu kicks off to the Mtl15. Larry Taylor return for 20 yards to Mtl35. Tackled by Abraham Kromah.,6,8
13:36,1,Rush,1,Brandon Whitaker rush for 1 yard to the Mtl36. Tackled by Greg Peach.,6,8
13:00,2,Rush,3,Jonathan Crompton rush for 3 yards to the Mtl39. Tackled by Ian Wild.,6,8
12:30,3,Unnecessary Roughness,79,Sean Whyte punts for 53 yards to Wpg18. Troy Stoudermire return for 65 yards to Mtl27. Tackled by Brandon London. Penalty: Unnecessary Roughness on Montreal (Brandon London) 14 yards.,6,8
12:11,1,Incomplete Pass,0,Drew Willy incomplete pass intended for Nick Moore.,6,8
11:56,2,Sack,-1,Sack at Mtl14 for a loss of 1 yard by Chip Cox.,6,8
11:23,3,Missed Field Goal,14,14 yard field goal attempt by Lirim Hajrullahu is NO GOOD.,6,8
11:05,1,Pass,6,Jonathan Crompton pass to Kenny Stafford for 6 yards to the Mtl31. Tackled by Desia Dunn.,6,8
10:31,2,Pass,5,Jonathan Crompton pass to Brandon Whitaker for 5 yards to the Mtl36. Tackled by Chris Randle.,6,8
09:50,1,Pass,3,Jonathan Crompton pass to Duron Carter for 3 yards to the Mtl39. Tackled by Mike Cornell.,6,8
09:11,2,Pass,15,Jonathan Crompton pass to S.J. Green for 15 yards to the Mtl54. Tackled by Bruce Johnson.,6,8
08:32,1,Rush,7,Brandon Whitaker rush for 7 yards to the Wpg49. Tackled by Abraham Kromah.,6,8
07:52,2,Rush,2,Brandon Whitaker rush for 2 yards to the Wpg47. Tackled by Greg Peach.,6,8
07:04,3,Rush,0,Brandon Whitaker rush for no gain to the Wpg47. Tackled by Greg Peach.,6,8
06:32,1,Rush,8,Paris Cotton rush for 8 yards to the Wpg55. Tackled by Kyries Hebert.,6,8
05:57,2,Rush,0,Paris Cotton rush for no gain to the Wpg55. Tackled by Jerald Brown.,6,8
05:25,3,Punt,2,Lirim Hajrullahu punts for 47 yards to Mtl8. Larry Taylor return for 2 yards to Mtl10. Tackled by Chris Randle.,6,8
05:04,1,Pass,71,Jonathan Crompton pass to Tyrell Sutton for 71 yards to the Wpg29. Tackled by Ian Wild.,6,8
04:18,1,Pass,7,Jonathan Crompton pass to Brandon Whitaker for 7 yards to the Wpg22. Tackled by Ian Wild.,6,8
