Time,Down,Type,Yards,Details,BC,Winnipeg
08:52,1,Pass,11,Drew Willy pass to Michel-Pierre Pontbriand for 11 yards to the BC6. Tackled by Adam Bighill.,7,4
08:34,1,Rush,-2,Michel-Pierre Pontbriand rush for a loss of 2 yards to the BC8. Tackled by Cord Parks.,7,4
07:57,2,Sack,-2,Sack at BC10 for a loss of 2 yards by Jabar Westerman.,7,4
07:20,3,Missed Field Goal,17,Lirim Hajrullahu 17 yard field goal attempt is GOOD.,7,7
07:20,0,Kickoff,11,Lirim Hajrullahu kicks off to the BC16. Marco Iannuzzi return for 11 yards to BC27. Tackled by Don Unamba.,7,7
07:14,0,Too Many Men on Field,-10,Penalty: Too Many Men on Field on BC -10 yards.,7,7
07:14,1,Rush,7,Keola Antolin rush for 7 yards to the BC24. Tackled by Johnny Sears Jr..,7,7
06:39,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Shawn Gore.,7,7
06:20,3,Punt,7,Ricky Schmitt punts for 41 yards to Wpg45. Troy Stoudermire return for 7 yards to Wpg52. Tackled by Jason Arakgi.,7,7
05:58,0,Pass Interference,10,Penalty: Pass Interference on BC (David Menard) 10 yards.,7,7
05:40,1,Rush,15,Paris Cotton rush for 15 yards to the BC33. Tackled by T.J. Lee.,7,7
05:00,1,Rush,9,Paris Cotton rush for 9 yards to the BC24. Tackled by Cord Parks.,7,7
04:18,2,Rush,5,Paris Cotton rush for 5 yards to the BC19. Tackled by Khreem Smith.,7,7
03:21,1,Pass,19,Drew Willy pass to Clarence Denmark for 19 yards for a TOUCHDOWN.,7,13
03:03,0,Made Extra Point,0,Lirim Hajrullahu extra point is good.,7,14
03:03,0,Kickoff,59,Lirim Hajrullahu kicks off to the BC15. Marco Iannuzzi return for 59 yards to Wpg36. Tackled by Chris Randle.,7,14
02:51,1,Rush,8,Keola Antolin rush for 8 yards to the Wpg28. Tackled by Maurice Leggett.,7,14
02:42,2,Rush,2,John Beck rush for 2 yards to the Wpg26. Tackled by Jake Thomas.,7,14
02:21,1,Rush,-4,Keola Antolin rush for a loss of 4 yards to the Wpg30. Tackled by Johnny Sears Jr..,7,14
02:03,2,Pass,14,Kevin Glenn pass to Shawn Gore for 14 yards to the Wpg16. Tackled by Bruce Johnson.,7,14
01:38,3,Rush,1,John Beck rush for 1 yard to the Wpg15. Tackled by Desia Dunn.,7,14
01:20,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Shawn Gore.,7,14
00:55,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Lavasier Tuinei.,7,14
00:48,3,Missed Field Goal,23,Paul McCallum 23 yard field goal attempt is GOOD.,10,14
00:48,1,Fumble,16,"Paris Cotton rush for 16 yards to the Wpg51. FUMBLE, recovered by BC (Solomon Elimimian). Tackled by Paris Cotton.",10,14
00:39,1,Pass,42,Kevin Glenn pass to Ernest Jackson for 42 yards to the Wpg9. Tackled by Bruce Johnson.,10,14
00:31,1,Rush,2,Keola Antolin rush for 2 yards to the Wpg7. Tackled by Ian Wild.,10,14
00:00,2,Missed Field Goal,15,Paul McCallum 15 yard field goal attempt is GOOD.,13,14
15:00,0,Kickoff OOB,30,Lirim Hajrullahu kicks off to the BC19. Penalty: Kickoff OOB on Winnipeg (Lirim Hajrullahu) -26 yards.,13,14
15:00,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Shawn Gore.,13,14
