Time,Down,Type,Yards,Details,Winnipeg,BC
07:09,3,Face Mask,32,Lirim Hajrullahu punts for 36 yards to BC49.   return for 17 yards to Wpg44. Penalty: Face Mask on Winnipeg (Don Unamba) 15 yards.,9,0
06:40,1,Pass,11,Kevin Glenn pass to Shawn Gore for 11 yards to the Wpg18. Tackled by Demond Washington.,9,0
06:02,1,Rush,5,Emmanuel Arceneaux rush for 5 yards to the Wpg13. Tackled by Bruce Johnson.,9,0
05:25,2,Pass,7,Kevin Glenn pass to Courtney Taylor for 7 yards to the Wpg6. Tackled by Demond Washington.,9,0
04:42,1,Rush,3,Andrew Harris rush for 3 yards to the Wpg3. Tackled by Bryant Turner Jr..,9,0
04:00,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Emmanuel Arceneaux.,9,0
03:23,3,Missed Field Goal,11,Paul McCallum 11 yard field goal attempt is GOOD.,9,3
03:23,0,Kickoff,9,Paul McCallum kicks off to the Wpg17. Aaron Woods return for 9 yards to Wpg26. Tackled by Keynan Parker.,9,3
03:14,1,Roughing Passer,28,Drew Willy pass to Brett Carter for 13 yards to the Wpg39. Tackled by Ryan Phillips. Penalty: Roughing Passer on BC (Brandon Jordan) 15 yards.,9,3
02:48,1,Pass,23,Drew Willy pass to Nick Moore for 23 yards to the BC33. Tackled by Solomon Elimimian.,9,3
02:31,1,Pass,9,Drew Willy pass to Nick Moore for 9 yards to the BC24. Tackled by Ronnie Yell.,9,3
02:13,2,Rush,1,Drew Willy rush for 1 yard to the BC23. Tackled by Adam Bighill.,9,3
01:59,3,Rush,0,Robert Marve rush for no gain to the BC23. Tackled by J.R. LaRose.,9,3
01:38,1,Pass,2,Kevin Glenn pass to Stefan Logan for 2 yards to the BC25. Tackled by Bruce Johnson.,9,3
01:32,2,Pass,27,Kevin Glenn pass to Courtney Taylor for 27 yards to the BC52. Tackled by Maurice Leggett.,9,3
01:07,1,Rush,9,Stefan Logan rush for 9 yards to the Wpg49. Tackled by Ian Wild.,9,3
00:46,0,Rush,7,"FUMBLE Andrew Harris rush for 7 yards to the Wpg42., recovered by BC (Andrew Harris).",9,3
00:38,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Courtney Taylor.,9,3
00:26,2,Pass,16,Kevin Glenn pass to Courtney Taylor for 16 yards to the Wpg26. Tackled by Ian Wild.,9,3
00:18,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Shawn Gore.,9,3
00:08,2,Pass,15,Kevin Glenn pass to Ernest Jackson for 15 yards to the Wpg11.,9,3
00:00,1,Missed Field Goal,19,Paul McCallum 19 yard field goal attempt is GOOD.,9,6
15:00,0,Kickoff,9,Lirim Hajrullahu kicks off to the BC15. Stefan Logan return for 9 yards to BC24. Tackled by Derek Jones.,9,6
14:49,1,Pass,23,Kevin Glenn pass to Shawn Gore for 23 yards to the BC47. Tackled by Maurice Leggett.,9,6
14:11,1,Rush,5,Andrew Harris rush for 5 yards to the BC52. Tackled by Greg Peach.,9,6
13:36,2,Pass,18,Kevin Glenn pass to Stefan Logan for 18 yards to the Wpg40. Tackled by Ejiro Kuale.,9,6
13:00,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Andrew Harris.,9,6
12:41,2,Illegal Procedure,-5,Penalty: Illegal Procedure on BC (Hunter Steward) -5 yards.,9,6
12:24,2,Fumble,19,"Kevin Glenn pass to Emmanuel Arceneaux for 19 yards to the Wpg26. FUMBLE, recovered by BC (Emmanuel Arceneaux).",9,6
11:48,1,Interception,10,Kevin Glenn pass intended for Shawn Gore INTERCEPTED and returned for 10 yards. Tackled by Matthew Norman.,9,6
11:21,1,Pass,38,Drew Willy pass to Carl Fitzgerald for 38 yards to the BC42. Tackled by Ryan Phillips.,9,6
10:44,1,Rush,-2,Nic Grigsby rush for a loss of 2 yards to the BC44. Tackled by Jabar Westerman.,9,6
10:02,2,Incomplete Pass,0,Drew Willy incomplete pass intended for Romby Bryant.,9,6
09:21,3,Missed Field Goal,51,Lirim Hajrullahu 51 yard field goal attempt is GOOD.,12,6
09:21,1,Rush,4,Andrew Harris rush for 4 yards to the BC39. Tackled by Desia Dunn.,12,6
08:54,2,Sack,-3,Sack at BC36 for a loss of 3 yards by Desia Dunn.,12,6
08:14,3,No Yards,14,Paul McCallum punts for 29 yards to Wpg45. Penalty: No Yards on BC (Jason Arakgi) -15 yards.,12,6
07:53,1,Pass,4,Drew Willy pass to Nic Grigsby for 4 yards to the BC46. Tackled by Jamall Johnson.,12,6
07:22,2,Pass,9,Drew Willy pass to Clarence Denmark for 9 yards to the BC37. Tackled by Ronnie Yell.,12,6
06:46,1,Unnecessary Roughness,52,Drew Willy pass to Clarence Denmark for 37 yards for a TOUCHDOWN. Penalty: Unnecessary Roughness on BC (J.R. LaRose) 15 yards.,18,6
06:07,0,Made Extra Point,0,Lirim Hajrullahu extra point is good.,19,6
06:04,0,Kick Off Single,63,Lirim Hajrullahu kicks off to the BC0 (Single).,20,6
06:04,1,Rush,8,Stefan Logan rush for 8 yards to the BC43. Tackled by Zach Anderson.,20,6
05:26,2,Rush,1,Stefan Logan rush for 1 yard to the BC44. Tackled by Ejiro Kuale.,20,6
04:35,3,Rush,2,Travis Partridge rush for 2 yards to the BC46. Tackled by Ejiro Kuale.,20,6
03:59,1,Incomplete Pass,0,John Beck incomplete pass intended for  .,20,6
03:27,2,Fumble,10,"John Beck pass to Ernest Jackson for 10 yards to the Wpg54. FUMBLE, recovered by Wpg (Chris Randle). Tackled by Kirby Fabien.",20,6
03:05,1,Pass,10,Drew Willy pass to Nick Moore for 10 yards to the BC46. Tackled by Cord Parks.,20,6
02:31,2,Rush,2,Nic Grigsby rush for 2 yards to the BC44. Tackled by Solomon Elimimian.,20,6
01:56,1,Pass,2,Drew Willy pass to Nick Moore for 2 yards to the BC42. Tackled by Ronnie Yell.,20,6
01:20,2,Incomplete Pass,0,Drew Willy incomplete pass intended for Nick Moore.,20,6
00:37,3,Missed Field Goal,49,Lirim Hajrullahu 49 yard field goal attempt is GOOD.,23,6
00:37,1,Rush,12,Emmanuel Arceneaux rush for 12 yards to the BC47. Tackled by Chris Randle.,23,6
00:25,1,Rush,1,Stefan Logan rush for 1 yard to the BC48. Tackled by Greg Peach.,23,6
00:01,2,Sack,-4,Sack at BC44 for a loss of 4 yards by Greg Peach.,23,6
15:00,1,Holding,10,Paul McCallum punts for 42 yards to Wpg24. Aaron Woods return for 10 yards to Wpg34. Penalty: Objectionable Conduct on BC (Akwasi Antwi) 10 yards. Penalty: Holding on Winnipeg (Mike Cornell) -10 yards.,23,6
14:34,1,Rush,4,Nic Grigsby rush for 4 yards to the Wpg38. Tackled by Solomon Elimimian.,23,6
14:01,2,Pass,11,Drew Willy pass to Rory Kohlert for 11 yards to the Wpg49. Tackled by Josh Johnson.,23,6
13:25,1,Rush,-2,Nic Grigsby rush for a loss of 2 yards to the Wpg47. Tackled by Khreem Smith.,23,6
12:50,2,Sack,-7,Sack at Wpg40 for a loss of 7 yards by Alex Bazzie.,23,6
12:01,3,Illegal Block,-2,Lirim Hajrullahu punts for 50 yards to BC20.   return for 8 yards to BC28. Penalty: Illegal Block on BC (Jason Arakgi) -10 yards.,23,6
11:34,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Courtney Taylor.,23,6
11:23,2,Pass,16,Kevin Glenn pass to Emmanuel Arceneaux for 16 yards to the BC34. Tackled by Teague Sherman.,23,6
10:44,1,Sack,-10,Sack at BC24 for a loss of 10 yards by Bryant Turner Jr..,23,6
10:01,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Stefan Logan.,23,6
09:44,3,Punt,4,Paul McCallum punts for 38 yards to Wpg48. Aaron Woods return for 4 yards to Wpg52. Tackled by Jason Arakgi.,23,6
09:31,1,Pass,5,Drew Willy pass to Michel-Pierre Pontbriand for 5 yards to the BC53. Tackled by Solomon Elimimian.,23,6
09:05,2,Sack,-10,Sack at Wpg47 for a loss of 10 yards by Alex Bazzie.,23,6
08:12,3,Punt,4,Lirim Hajrullahu punts for 39 yards to BC24.   return for 4 yards to BC28. Tackled by Louie Richardson.,23,6
07:45,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Courtney Taylor.,23,6
07:38,2,Pass,17,Kevin Glenn pass to Emmanuel Arceneaux for 17 yards to the BC45. Tackled by Teague Sherman.,23,6
06:48,1,Rush,1,Stefan Logan rush for 1 yard to the BC46. Tackled by Ejiro Kuale.,23,6
06:23,2,Pass,11,Kevin Glenn pass to Andrew Harris for 11 yards to the Wpg53. Tackled by Bruce Johnson.,23,6
05:49,1,Sack,-9,Sack at BC48 for a loss of 9 yards by Maurice Leggett.,23,6
05:14,2,Pass,6,Kevin Glenn pass to Andrew Harris for 6 yards to the BC54. Tackled by Ian Wild.,23,6
04:44,3,Punt,8,Paul McCallum punts for 43 yards to Wpg13. Aaron Woods return for 8 yards to Wpg21. Tackled by Jamall Johnson.,23,6
04:30,1,Rush,-2,Nic Grigsby rush for a loss of 2 yards to the Wpg19. Tackled by Solomon Elimimian.,23,6
03:48,2,Rush,15,Drew Willy rush for 15 yards to the Wpg34. Tackled by Solomon Elimimian.,23,6
03:06,1,Rush,1,Nic Grigsby rush for 1 yard to the Wpg35. Tackled by Solomon Elimimian.,23,6
02:42,2,Offside,5,Penalty: Offside on BC (Solomon Elimimian) 5 yards.,23,6
02:20,2,Pass,8,Drew Willy pass to Clarence Denmark for 8 yards to the Wpg48. Tackled by Ryan Phillips.,23,6
02:15,1,Rush,0,Nic Grigsby rush for no gain to the Wpg48. Tackled by Alex Bazzie.,23,6
01:53,2,Interception,0,Drew Willy pass intended for Romby Bryant INTERCEPTED. No return.,23,6
01:28,1,Pass,6,Kevin Glenn pass to Andrew Harris for 6 yards to the BC40. Tackled by Chris Randle.,23,6
01:22,2,Pass,16,Kevin Glenn pass to Courtney Taylor for 16 yards to the Wpg54. Tackled by Teague Sherman.,23,6
01:15,1,Pass,1,Kevin Glenn pass to Ernest Jackson for 1 yard to the Wpg53. Tackled by Bryant Turner Jr..,23,6
01:05,2,Sack,-8,Sack at BC49 for a loss of 8 yards by Louie Richardson.,23,6
00:48,3,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Shawn Gore.,23,6
