Time,Down,Type,Yards,Details,Saskatchewan,Winnipeg
15:00,0,Kickoff,28,Saskatchewan kicks off.   return for 28 yards to Wpg40.,0,0
14:53,1,Pass,23,pass to the Ssk47.,0,0
13:25,2,Incomplete Pass,0,incomplete pass.,0,0
13:12,3,Punt,0,punts for 49 yards to Ssk1. No return.,0,0
12:11,2,Pass,7,pass to the Ssk14.,0,0
11:36,1,Pass,17,pass to the Ssk31.,0,0
09:28,1,Pass,6,pass to the Ssk54.,0,0
08:46,2,Pass,25,pass to the Wpg31.,0,0
07:28,2,Sack,-1,Sack at Wpg28 for a loss of 1 yard.,0,0
06:36,3,Unnecessary Roughness,-13,47 yard field goal attempt by   is NO GOOD.  Missed field goal returned by   to the Wpg0 (Single). Penalty: Unnecessary Roughness on Winnipeg -15 yards.,0,0
05:26,1,Pass,0,pass to the Wpg30.,1,0
04:43,2,Pass,37,pass to the Ssk43.,1,0
03:15,2,Pass,15,pass to the Ssk25.,1,0
02:34,1,Pass,13,pass to the Ssk12.,1,0
01:57,1,,12,for a TOUCHDOWN,1,6
01:48,0,Made Extra Point,0,extra point is good.,1,7
01:48,0,Kickoff,80,Winnipeg kicks off.,1,7
01:48,1,Pass,3,pass to the Ssk28.,1,7
01:14,2,Pass,7,pass to the Ssk35.,1,7
00:42,3,Fumble,3,FUMBLE Recovered by Wpg ( ),1,7
00:25,1,Incomplete Pass,0,incomplete pass.,1,7
00:01,2,Incomplete Pass,0,incomplete pass.,1,7
14:45,3,Fumble,60,"0 yard field goal attempt by   is NO GOOD. Field goal attempt is BLOCKED. FUMBLE, recovered by Ssk ( ).  for a TOUCHDOWN",7,7
14:35,0,Made Extra Point,0,extra point is good.,8,7
14:25,0,Unnecessary Roughness,10,Saskatchewan kicks off.   return for 25 yards to Wpg32. Penalty: Unnecessary Roughness on Winnipeg -15 yards.,8,7
13:43,2,Pass,8,pass to the Wpg28.,8,7
13:05,1,Pass,47,pass to the Ssk35.,8,7
12:18,1,Pass,7,pass to the Ssk28.,8,7
11:42,2,Unnecessary Roughness,-15,incomplete pass. Penalty: Unnecessary Roughness on Winnipeg -15 yards.,8,7
10:59,3,Punt Single,0,punts for 48 yards to Ssk0. No return (Single).,8,8
10:18,2,Incomplete Pass,0,incomplete pass.,8,8
09:55,3,Punt,0,punts for 48 yards to Wpg25.   return for no gain to Wpg25.,8,8
09:00,2,Sack,-8,Sack at Wpg22 for a loss of 8 yards.,8,8
08:30,0,Safety,-22,FUMBLE Safety.  Recovered by Wpg ( ),10,8
08:11,0,Kickoff,28,Winnipeg kicks off.   return for 28 yards to Ssk45.,10,8
05:27,2,Pass,1,pass to the Wpg28.,10,8
04:37,3,Missed Field Goal,35,35 yard field goal attempt is GOOD.,13,8
04:37,0,Holding,-10,Penalty: Holding on Winnipeg -10 yards.,13,8
04:10,1,Incomplete Pass,0,incomplete pass.,13,8
03:20,3,No Yards,29,punts for 34 yards to Ssk47. Penalty: No Yards on Winnipeg -5 yards.,13,8
02:18,1,Roughing Passer,26,pass to the Wpg35. Penalty: Roughing Passer on Winnipeg 15 yards.,13,8
01:33,2,,13,for a TOUCHDOWN,19,8
01:33,0,Made Extra Point,0,extra point is good.,20,8
01:33,0,Kickoff,25,Saskatchewan kicks off.   return for 25 yards to Wpg30.,20,8
01:25,1,Sack,-10,Sack at Wpg20 for a loss of 10 yards.,20,8
01:19,2,Pass,5,pass to the Wpg25.,20,8
00:38,3,Punt,75,punts for 50 yards to Ssk35.   return for 75 yards to Wpg0 for a TOUCHDOWN.,26,8
00:38,0,Made Extra Point,0,extra point is good.,27,8
00:38,0,Holding,8,Saskatchewan kicks off.   return for 3 yards to Wpg11. Penalty: Unnecessary Roughness on Saskatchewan 15 yards. Penalty: Holding on Winnipeg -10 yards.,27,8
00:33,0,Roughing Passer,5,Penalty: Holding on Winnipeg -10 yards. Penalty: Roughing Passer on Saskatchewan 15 yards.,27,8
00:17,1,Pass,7,pass to the Wpg28.,27,8
00:01,2,Pass,9,pass to the Wpg37.,27,8
15:00,0,Kickoff,33,Saskatchewan kicks off.   return for 33 yards to Wpg49.,27,8
14:18,1,Pass,3,pass to the Ssk40.,27,8
13:42,2,Pass,21,pass to the Ssk19.,27,8
12:58,1,Pass,5,pass to the Ssk14.,27,8
12:07,2,Pass,14,pass for a TOUCHDOWN.,27,14
11:53,0,Made Extra Point,0,extra point is good.,27,15
11:53,0,Kickoff,11,Winnipeg kicks off.   return for 11 yards to Ssk13.,27,15
09:43,2,Illegal Procedure,-5,Penalty: Illegal Procedure on Saskatchewan -5 yards.,27,15
09:22,2,Pass,20,pass to the Ssk46.,27,15
08:11,2,Unnecessary Roughness,25,pass to the Wpg51. Penalty: Unnecessary Roughness on Winnipeg 15 yards.,27,15
06:02,3,Missed Field Goal,35,35 yard field goal attempt is GOOD.,30,15
06:02,0,Kickoff,17,Saskatchewan kicks off.   return for 17 yards to Wpg33.,30,15
05:55,1,Pass,13,pass to the Wpg46.,30,15
03:53,1,Incomplete Pass,0,incomplete pass.,30,15
03:28,2,Illegal Procedure,-5,Penalty: Illegal Procedure on Winnipeg -5 yards.,30,15
03:04,2,Sack,-6,Sack at Wpg47 for a loss of 6 yards.,30,15
02:17,3,Punt Single,0,punts for 83 yards to Ssk0. No return (Single).,30,16
00:01,3,Punt,0,punts for 42 yards to Wpg7.   return for no gain to Wpg7.,30,16
15:00,1,Illegal Procedure,-3,Penalty: Illegal Procedure on Winnipeg -3 yards.,30,16
14:26,1,Incomplete Pass,0,incomplete pass.,30,16
14:03,2,Pass,4,pass to the Wpg38.,30,16
13:26,3,Punt,2,punts for 42 yards to Ssk30.   return for 2 yards to Ssk32.,30,16
12:44,2,Sack,-5,Sack at Ssk31 for a loss of 5 yards.,30,16
12:16,3,Punt,6,punts for 48 yards to Wpg31.   return for 6 yards to Wpg37.,30,16
11:54,1,Pass,28,pass to the Ssk45.,30,16
10:39,2,Incomplete Pass,0,incomplete pass.,30,16
09:49,3,Punt Single,0,punts for 49 yards to Ssk0. No return (Single).,30,17
09:15,1,Incomplete Pass,0,incomplete pass.,30,17
08:52,2,Incomplete Pass,0,incomplete pass.,30,17
08:28,3,Punt,0,punts for 35 yards to Wpg18. No return.,30,17
08:11,1,Pass,19,pass to the Wpg37.,30,17
07:37,1,Incomplete Pass,0,incomplete pass.,30,17
07:13,2,Incomplete Pass,0,incomplete pass.,30,17
06:50,3,Punt,8,punts for 44 yards to Ssk29.   return for 8 yards to Ssk37.,30,17
05:42,2,Incomplete Pass,0,incomplete pass.,30,17
05:27,3,Punt,12,punts for 56 yards to Wpg13.   return for 12 yards to Wpg25.,30,17
05:03,1,Pass,14,pass to the Wpg39.,30,17
04:23,1,Pass,3,pass to the Wpg42.,30,17
03:54,0,Pass Interference,10,Penalty: Pass Interference on Saskatchewan 10 yards.,30,17
03:40,1,Sack,-1,Sack at Wpg51 for a loss of 1 yard.,30,17
03:12,2,Pass,15,pass to the Ssk44.,30,17
03:00,1,Pass,6,pass to the Ssk38.,30,17
02:50,2,Pass,7,pass to the Ssk31.,30,17
02:27,2,Pass,29,pass for a TOUCHDOWN.,30,23
02:27,0,Made Extra Point,0,extra point is good.,30,24
02:27,0,Kickoff,17,Winnipeg kicks off.   return for 17 yards to Ssk35.,30,24
01:58,3,Fumble,1,FUMBLE Recovered by Wpg ( ),30,24
01:36,1,Disqualification,37,pass INTERCEPTED and returned for 22 yards. Penalty: Disqualification on Winnipeg 25 yards. Penalty: Unnecessary Roughness on Winnipeg 15 yards. Penalty: Disqualification on Saskatchewan -25 yards.,30,24
01:22,2,Sack,-3,Sack at Ssk41 for a loss of 3 yards.,30,24
01:01,3,Punt,16,punts for 50 yards to Wpg19.   return for 16 yards to Wpg35.,30,24
00:49,1,Pass,8,pass to the Wpg43.,30,24
00:44,2,Sack,-7,Sack at Wpg36 for a loss of 7 yards.,30,24
00:34,3,Interception,0,pass INTERCEPTED. No return.,30,24
